L2 R2 F' U' L2 B'
R2 L2 F' U' L2 B'
U L2 U2 L2 B U
U L2 U2 B L2 U
U L2 D2 R2 F' U'
L2 U B U L2 F
R2 U' F' L2 B' U'
L2 U2 B U B' L2
R2 F D R2 F2 B
R2 F D R2 B F2
B' D L2 U2 L2 F2
B' D L2 U2 F2 L2
R2 F' L2 U' B' L2
B' D F2 D2 R2 B2
B' D F2 D2 B2 R2
U B U2 B' L2 U'
R2 L U' L F' U' L2
D2 L U B R2 U L'
B' L U B2 R' U L'
D L U B U L' F2
R2 L' U' L' F' U' L2
D' L B2 U B' U L'
B2 L' U' L' F U' L2
L2 R' F' U' L2 B' R'
L' R2 U' L' F' U' L2
L R2 U' L F' U' L2
L2 R2 U' F' U' F L2
R2 L2 U' F' U' F L2
D' L' B2 R' U B' U
F' L2 R' U' B' L2 R'
F' L2 R' U' B' R' L2
F' L2 R2 F' U' B' L2
R' L2 F' U' L2 B' R'
L2 R2 F' R U' L2 B'
R2 L2 F' R U' L2 B'
L2 R2 F' R' U' L2 B'
R2 L2 F' R' U' L2 B'
U L2 R2 D' F' U' B2
L2 R2 F' R2 U' L2 B'
R2 L2 F' R2 U' L2 B'
F L2 R2 F' U' L2 B
F L2 R2 F' U' B L2
U L2 R2 D2 F' R2 U'
L2 R2 F' U F U2 L2
L2 R2 F' U' L2 D B'
L2 R2 F' U' L2 D' B'
L2 R2 F' U' L2 D2 B'
L2 R2 F' U' L2 B' D
L2 R2 F' U' L2 B' D'
L2 R2 F' U' L2 B' D2
R2 L2 F' U F U2 L2
L2 R2 F' U' B L2 B'
L2 R2 F' U' B' L2 B'
L2 R2 F' U' B2 L2 B'
R2 L2 F' U' L2 D B'
R2 L2 F' U' L2 D' B'
R2 L2 F' U' L2 D2 B'
R2 L2 F' U' L2 B' D
R2 L2 F' U' L2 B' D'
R2 L2 F' U' L2 B' D2
U L2 R2 F' U' D' B2
U L2 R2 F' U2 L2 U
U L2 R2 F' D' U' B2
U L2 R2 F' D2 R2 U'
R2 L2 F' U' B L2 B'
R2 L2 F' U' B' L2 B'
R2 L2 F' U' B2 L2 B'
L2 R2 F' B U' L2 B'
R2 L2 F' B U' L2 B'
L2 R2 F' B' U' L2 B'
R2 L2 F' B' U' L2 B'
L2 R2 F' B2 U' L2 B'
R2 L2 F' B2 U' L2 B'
D2 L2 U B R2 U L2
D L2 U B U L2 F2
D L2 U B U F2 L2
B2 L2 U' F U' L2 F'
B2 L2 U' F U' F' L2
F' L2 U' B' L2 D' R2
U L2 U' B' D' R2 B2
U L2 U' B' D' B2 R2
L2 R2 B F' U' L2 B'
R2 L2 B F' U' L2 B'
U L2 U2 L' B L' U
U L2 U2 L2 D B U
U L2 U2 L2 D' B U
U L2 U2 L2 D2 B U
U L2 U2 L2 B U D
U L2 U2 L2 B U D'
U L2 U2 L2 B U D2
U L2 U2 L2 B D U
U L2 U2 L2 B D' U
U L2 U2 L2 B D2 U
F' L2 U2 B U L2 B2
F' L2 U2 B U B2 L2
U' L2 U2 B U2 B' U'
B' L2 U2 B2 U L2 B2
B' L2 U2 B2 U B2 L2
U L2 U2 D' B U B
U L2 U2 B L2 U D
U L2 U2 B L2 U D'
U L2 U2 B L2 U D2
U L2 U2 B L2 D U
U L2 U2 B L2 D' U
U L2 U2 B L2 D2 U
U L2 U2 B U D' B2
U L2 U2 B D' U B2
U L2 U2 B' L2 B2 U
L2 R2 B' F' U' L2 B'
R2 L2 B' F' U' L2 B'
L2 R2 B2 F' U' L2 B'
R2 L2 B2 F' U' L2 B'
U L2 D' R2 F' U' B2
U L2 D' U2 B U B
U L2 D2 R2 D F' U'
U L2 D2 R2 D' F' U'
U L2 D2 R2 D2 F' U'
U L2 D2 R2 F' U' D
U L2 D2 R2 F' U' D'
U L2 D2 R2 F' U' D2
U L2 D2 R2 F' D U'
U L2 D2 R2 F' D' U'
U L2 D2 R2 F' D2 U'
U L2 D2 F R2 F' U'
U L2 D2 F' R2 F' U'
U L2 D2 F2 R2 F' U'
B2 L2 F R2 U' L2 B
B2 L2 F R2 U' B L2
U' L2 F U2 F' B U
U' L2 F U2 B F' U
B2 L2 F U F' U2 L2
U L2 F U2 L2 B U
U L2 F U2 B L2 U
R2 U L2 D' F' U' B2
R2 U L2 D2 F' R2 U'
U L2 F D2 R2 F' U'
R2 U L2 F' U' D' B2
R2 U L2 F' U2 L2 U
R2 U L2 F' D' U' B2
R2 U L2 F' D2 R2 U'
U' L2 F' U2 F B U
U' L2 F' U2 B F U
U L2 F' U2 L2 B U
U L2 F' U2 B L2 U
U L2 F' D2 R2 F' U'
U' L2 F2 U2 F2 B U
U' L2 F2 U2 B F2 U
U L2 F2 U2 L2 B U
U L2 F2 U2 B L2 U
U L2 F2 D2 R2 F' U'
D' L2 B2 U B' U L2
L2 U F B U L2 F
R2 U F' L2 U' D' B2
R2 U F' L2 U2 L2 U
R2 U F' L2 D' U' B2
R2 U F' L2 D2 R2 U'
L2 U F' B U L2 F
L2 U F2 B U L2 F
L2 U B R U L2 F
L2 U B R' U L2 F
L2 U B R2 U L2 F
L2 U B U L2 D F
L2 U B U L2 D' F
L2 U B U L2 D2 F
L2 U B U L2 F D
L2 U B U L2 F D'
L2 U B U L2 F D2
L2 U B U F L2 F
L2 U B U F' L2 F
L2 U B U F2 L2 F
L2 U B U' B' U2 L2
L U B U D L' F
L2 U B F U L2 F
L2 U B F' U L2 F
L2 U B F2 U L2 F
L U B D U L' F
B' R D L2 U2 L2 F2
B' R D L2 U2 F2 L2
F' R D F2 R2 B R'
B' R D F2 D2 R2 B2
B' R D F2 D2 B2 R2
F R D R F2 B R'
F R D R B R' F2
F R D R B F2 R'
F R D F2 R B R'
L U B2 R' B' U L'
L U' L U2 B U L2
L' U' L' U2 B U L2
L2 U' L2 U' B U B'
R2 U' L2 F' U2 F U
F' R' L2 U' B' L2 R'
F' R' L2 U' B' R' L2
R' U' F' L2 B' U' R'
R2 U' F' L2 D B' U'
R2 U' F' L2 D' B' U'
R2 U' F' L2 D2 B' U'
R2 U' F' L2 B' U' D
R2 U' F' L2 B' U' D'
R2 U' F' L2 B' U' D2
R2 U' F' L2 B' D U'
R2 U' F' L2 B' D' U'
R2 U' F' L2 B' D2 U'
R2 U' F' B L2 B' U'
R2 U' F' B' L2 B' U'
R2 U' F' B2 L2 B' U'
R2 U' B F' L2 B' U'
B' R' D L2 U2 L2 F2
B' R' D L2 U2 F2 L2
B' R' D F2 D2 R2 B2
B' R' D F2 D2 B2 R2
R2 U' B' F' L2 B' U'
R2 U' B2 F' L2 B' U'
L2 U2 L B U B' L
L2 U2 L' B U B' L'
L2 U2 D F2 B U B'
L2 U2 D B F2 U B'
F' R2 L2 F' U' B' L2
L2 U2 F B U B' L2
F' R2 U L2 F' U' B'
U R2 L2 D' F' U' B2
F R2 L2 F' U' L2 B
F R2 L2 F' U' B L2
U R2 L2 D2 F' R2 U'
U R2 L2 F' U' D' B2
U R2 L2 F' U2 L2 U
U R2 L2 F' D' U' B2
U R2 L2 F' D2 R2 U'
L2 U2 F' B U B' L2
F R2 U L2 F' U' B
F R2 U F' L2 U' B
L2 U2 F2 B U B' L2
U' R2 U2 L2 F' R2 U'
L2 U2 B U B L2 B2
L2 U2 B U B' L2 D
L2 U2 B U B' L2 D'
L2 U2 B U B' L2 D2
L2 U2 B U B2 L2 B
L2 U2 B D F2 U B'
U' R2 U2 F' L2 R2 U'
U' R2 U2 F' R2 L2 U'
L2 U2 B F U B' L2
L2 U2 B F' U B' L2
L2 U2 B F2 U B' L2
B' R2 D L2 U2 L2 F2
B' R2 D L2 U2 F2 L2
U R2 U2 F' L2 B' U'
B' R2 D F2 D2 R2 B2
B' R2 D F2 D2 B2 R2
U' R2 D2 L2 R2 B U
U' R2 D2 R2 L2 B U
U' R2 D2 R2 B L2 U
F2 R2 F D F2 R2 B
U' R2 F' L2 R2 B' U'
U' R2 F' L2 B' R2 U'
U' R2 F' R2 L2 B' U'
D R2 F D R2 F B
D R2 F D R2 B F
F R2 F D F2 B R2
F R2 F D B R2 F2
F R2 F D B F2 R2
F R2 F B D R2 F2
F R2 F B D F2 R2
F R2 F' L2 U' L2 B
F R2 F' L2 U' B L2
U R2 F' L2 U' D' B2
U R2 F' L2 U2 L2 U
U R2 F' L2 D' U' B2
U R2 F' L2 D2 R2 U'
F R2 B U L2 F' U'
F R2 B U F' L2 U'
F R2 B F D R2 F2
F R2 B F D F2 R2
L2 D U2 F2 B U B'
L2 D U2 B F2 U B'
F' U L2 R' U' B' R'
F' U L2 R2 F' U' B'
B' U L2 U' D' R2 B2
B' U L2 U' D' B2 R2
F' U L2 U' B' D' R2
B' U L2 U2 L2 B2 U
R2 D F D R2 F B
R2 D F D R2 B F
F' U L2 U2 B U B2
B' U L2 U2 B2 L2 U
B' U L2 D' U' R2 B2
B' U L2 D' U' B2 R2
B' U L2 D2 R2 F2 U'
B' U L2 D2 F2 R2 U'
B2 U L2 U2 L2 B' U
F2 U L2 D R2 F' U'
B2 U L2 D' F U' B2
R D F R2 F B R'
R D F R2 B R' F
R D F R2 B F R'
B2 U L2 D2 R2 F U'
B2 U L2 D2 F R2 U'
B2 U L2 F U' D' B2
B2 U L2 F U2 L2 U
B2 U L2 F D' U' B2
B2 U L2 F D2 R2 U'
F U L2 R2 F' U' B
B U L2 D2 R2 U' R2
F' U R' L2 U' B' R'
F' U R2 L2 F' U' B'
R D F2 B R' D2 B2
R D F2 B D2 R' B2
R D F2 B' D2 B2 R'
R D B R' F2 D2 B2
R D B U2 R' F2 L'
F U R2 L2 F' U' B
R D B F2 R' D2 B2
R D B F2 D2 R' B2
R D B' L U2 L' F2
F2 U D R2 F' U' F'
F U R2 F' L2 U' B
R D B' F2 D2 B2 R'
B2 U D2 B' R2 F' U
D2 U B R2 U2 B' U'
U' D B U F2 D2 B2
D2 U B' R2 F' B2 U
D2 U B' R2 B2 F' U
D U B U2 B' U' F2
U D B U2 B' U' F2
B2 U B' U2 L2 B U'
B2 U B' U2 B L2 U'
B2 U B' D2 R2 F' U
B' U B2 U D L2 F2
B' U B2 U D F2 L2
B' U B2 U2 L2 B2 U'
B' U B2 U2 B2 L2 U'
B' U B2 D U L2 F2
B' U B2 D U F2 L2
B' U B2 D2 R2 F2 U
B' U B2 D2 F2 R2 U
D2 U' R2 U2 F' R2 U'
B2 U' L2 F U2 F' U
B U' L2 U L2 U2 L2
D' U' B U' B U2 B'
U' D' B U' B U2 B'
D2 U' B R2 U D B2
D2 U' B R2 U2 R2 U'
D2 U' B R2 D U B2
D2 U' B R2 D2 L2 U
L2 D' B2 U2 B' U B
D U' B U F2 D2 B2
U2 D' B2 U B' U B'
F U' D2 B R2 U B
B2 U' F' L2 F B' U'
B2 U' F' L2 B' F U'
F' U' B U2 L2 U' B'
F2 U' B D2 R2 U B2
L2 D2 R2 U' F' U' F
F U' B D2 R2 U B
U' D2 R2 U2 F' R2 U'
U' D2 B R2 U D B2
U' D2 B R2 U2 R2 U'
U' D2 B R2 D U B2
U' D2 B R2 D2 L2 U
U D2 B R2 U2 B' U'
D' U2 B2 U B' U B'
U D2 B' R2 F' B2 U
U D2 B' R2 B2 F' U
B' U2 D' R2 D2 L2 F2
B' U2 D' R2 D2 F2 L2
B' U2 D' B2 U2 R2 B2
B' U2 D' B2 U2 B2 R2
U' F L2 U2 F' B U
U' F L2 U2 B F' U
R2 F L2 F2 U' L2 B'
U F L2 U2 L2 B U
U F L2 U2 B L2 U
U F L2 D2 R2 F' U'
R' F R2 D F2 B R'
R' F R2 D B R' F2
R' F R2 D B F2 R'
L2 F R2 F' U' L2 B
L2 F R2 F' U' B L2
R2 F R2 D F2 B R2
R2 F R2 D B R2 F2
R2 F R2 D B F2 R2
R2 F R2 B D R2 F2
R2 F R2 B D F2 R2
D F R2 F D B R2
D F R2 F B D R2
D F R2 B F D R2
R2 F U F2 L2 U' B'
D2 F U' B R2 U B
B' D L' U2 F2 L R
B' D L' U2 F2 R L
B' D L2 R U2 L2 F2
B' D L2 R U2 F2 L2
B' D L2 R' U2 L2 F2
B' D L2 R' U2 F2 L2
B' D L2 R2 U2 L2 F2
B' D L2 R2 U2 F2 L2
B' D L2 U2 L F2 L
B' D L2 U2 L2 F2 D
B' D L2 U2 L2 F2 D'
B' D L2 U2 L2 F2 D2
B' D L2 U2 F' L2 F'
B' D L2 U2 F2 L2 D
B' D L2 U2 F2 L2 D'
B' D L2 U2 F2 L2 D2
B' D L2 D2 R2 B2 U2
B' D L2 D2 B2 R2 U2
B' D L2 B U2 L2 F2
B' D L2 B U2 F2 L2
B' D L2 B' U2 L2 F2
B' D L2 B' U2 F2 L2
R2 F D R' F2 R' B
B' D L2 B2 U2 L2 F2
B' D L2 B2 U2 F2 L2
R2 F D R2 F2 D B
R2 F D R2 F2 D' B
R2 F D R2 F2 D2 B
R2 F D R2 F2 B D
R2 F D R2 F2 B D'
R2 F D R2 F2 B D2
R2 F D R2 B F2 D
R2 F D R2 B F2 D'
R2 F D R2 B F2 D2
B' D R L2 U2 L2 F2
B' D R L2 U2 F2 L2
R2 F D B R2 F2 B
R2 F D B R2 B F2
R2 F D B' R2 F2 B
R2 F D B' R2 B F2
R2 F D B2 R2 F2 B
R2 F D B2 R2 B F2
B' D R F2 D2 R2 B2
B' D R F2 D2 B2 R2
R F D R2 F2 B R'
R F D R2 B R' F2
R F D R2 B F2 R'
B' D R' L2 U2 L2 F2
B' D R' L2 U2 F2 L2
B' D R' F2 D2 R2 B2
B' D R' F2 D2 B2 R2
B' D R2 L2 U2 L2 F2
B' D R2 L2 U2 F2 L2
B' D R2 F2 D2 R2 B2
B' D R2 F2 D2 B2 R2
D2 F B' D' R2 F2 B
D2 F B' D' R2 B F2
R2 F B D R2 F2 B
R2 F B D R2 B F2
F2 D U R2 F' U' F'
U F B U2 B' L2 U'
R2 F B' D R2 F2 B
R2 F B' D R2 B F2
D F B' D' R2 F B
D F B' D' R2 B F
R2 F B2 D R2 F2 B
R2 F B2 D R2 B F2
R' F' L2 U' B' L2 R'
R' F' L2 U' B' R' L2
B' D F D2 R2 F B
B' D F D2 R2 B F
U' F' L2 B' U' D' R2
U' F' L2 B' U2 B2 U
U' F' L2 B' D' U' R2
