B' F L' U' B'
F B' L' U' B'
F L' U' D' B' L
F L' D' U' B' L
B' R F L' U' B'
F R B' L' U' B'
B' R' F L' U' B'
F R' B' L' U' B'
B' R2 F L' U' B'
F R2 B' L' U' B'
F R2 B' L' U' B'
U' F R B' L' U'
R' F B' L' U' B'
U' F B' L' R U'
U' F B' R L' U'
R2 F B' L' U' B'
U F B' L' R' U'
U F B' R' L' U'
R F B' L' U' B'
F D B' L' U' B'
F D' B' L' U' B'
F D' B' L' U' B'
F D2 B' L' U' B'
B' F L' R U' B'
B' F L' R' U' B'
B' F L' R2 U' B'
B' F L' U' D B'
B' F L' U' D' B'
B' F L' U' D2 B'
B' F L' U' B' D
B' F L' U' B' D'
B' F L' U' B' D2
B' F L' D U' B'
B' F L' D' U' B'
B' F L' D2 U' B'
B2 F L' B U' B2
B' F R L' U' B'
B' F R' L' U' B'
B F L' B2 U' B
F B L' B2 U' B
B' F R2 L' U' B'
B' F D L' U' B'
B' F D' L' U' B'
B' F D2 L' U' B'
U B' R' F L' U'
F B' L' R U' B'
F B' L' R' U' B'
F B' L' R2 U' B'
F B' L' U' D B'
F B' L' U' D' B'
F B' L' U' D2 B'
F B' L' U' B' D
F B' L' U' B' D'
F B' L' U' B' D2
F B' L' D U' B'
F B' L' D' U' B'
F B' L' D2 U' B'
F B' R L' U' B'
R' B' F L' U' B'
F B' R' L' U' B'
U' B' F L' R U'
U' B' F R L' U'
F B' R2 L' U' B'
R2 B' F L' U' B'
U B' F L' R' U'
U B' F R' L' U'
R B' F L' U' B'
F B' D L' U' B'
F B' D' L' U' B'
F B' D2 L' U' B'
F B2 L' B U' B2
F L' R U' D' B' L
F L' R D' U' B' L
F L' R' U' D' B' L
F L' R' D' U' B' L
F L' R2 U' D' B' L
F L' R2 D' U' B' L
F L' U' D' B' L D
F L' U' D' B' L D'
F L' U' D' B' L D2
F L' U' D' B' D L
F L' U' D' B' D' L
F L' U' D' B' D2 L
F L' D' R U' B' L
F L' D' R' U' B' L
F L' D' R2 U' B' L
F L' D' U' B' L D
F L' D' U' B' L D'
F L' D' U' B' L D2
F L' D' U' B' D L
F L' D' U' B' D' L
F L' D' U' B' D2 L
F L' D' B U' B2 L
F L' D2 R' B U' B2
F R L' U' D' B' L
F R L' D' U' B' L
R' U F B' L' R' U'
R' U F B' R' L' U'
R2 U F B' L' R' U'
R2 U F B' R' L' U'
R U F B' L' R' U'
R U F B' R' L' U'
R' U B' R' F L' U'
R' U B' F L' R' U'
R' U B' F R' L' U'
R2 U B' R' F L' U'
R U B' R' F L' U'
R2 U B' F L' R' U'
R2 U B' F R' L' U'
R U B' F L' R' U'
R U B' F R' L' U'
F R D B' L' U' B'
F R D' B' L' U' B'
B' R F L' R U' B'
B' R F L' R' U' B'
B' R F L' R2 U' B'
B' R F L' U' D B'
B' R F L' U' D' B'
B' R F L' U' D2 B'
B' R F L' U' B' D
B' R F L' U' B' D'
B' R F L' U' B' D2
B' R F L' D U' B'
B' R F L' D' U' B'
B' R F L' D2 U' B'
B' R F R L' U' B'
B' R F R' L' U' B'
U' R F R B' L' U'
B' R F R2 L' U' B'
F R D2 B' L' U' B'
B' R F D L' U' B'
B R F L' B2 U' B
B' R F D' L' U' B'
B' R F D2 L' U' B'
U' R F B' L' R U'
U' R F B' R L' U'
U2 R F B' L' U' B2
B R F B2 L' U' B'
U R F B' L' R' U'
U R F B' R' L' U'
F R B L' B2 U' B
F R B' L' R U' B'
F R B' L' R' U' B'
F R B' L' R2 U' B'
F R B' L' U' D B'
F R B' L' U' D' B'
F R B' L' U' D2 B'
F R B' L' U' B' D
F R B' L' U' B' D'
F R B' L' U' B' D2
F R B' L' D U' B'
F R B' L' D' U' B'
F R B' L' D2 U' B'
U' R B' F L' R U'
U' R B' F R L' U'
F R B' R L' U' B'
F R B' R' L' U' B'
F R B' R2 L' U' B'
U2 R B' F L' U' B2
U R B' R' F L' U'
F R B' D L' U' B'
F R B' D' L' U' B'
F R B' D2 L' U' B'
U R B' F L' R' U'
U R B' F R' L' U'
F R B2 L' B U' B2
B R B2 F L' U' B'
R' U' F R B' L' U'
R' U' F B' L' R U'
R' U' F B' R L' U'
R2 U' F R B' L' U'
F R' L' U' D' B' L
F R' L' D' U' B' L
R U' F R B' L' U'
R2 U' F B' L' R U'
R2 U' F B' R L' U'
R U' F B' L' R U'
R U' F B' R L' U'
R' U' B' F L' R U'
R' U' B' F R L' U'
R2 U' B' F L' R U'
R2 U' B' F R L' U'
R U' B' F L' R U'
R U' B' F R L' U'
F R' D B' L' U' B'
F R' D' B' L' U' B'
