F' R F' B' U L'
F' R B' F' U L'
B' U D' F2 L' F
B' U' D R U2 F'
B' D U' R U2 F'
B' D' U F2 L' F
B' D' F2 U L' F
D' F2 B' U L' F
D' B' U F2 L' F
F' B' R F' U L'
B' F' R F' U L'
D B' U' R U2 F'
F2 B' U L F L2
D' B' F2 U L' F
B' F2 U L F L2
U' L' D R U2 F' R
U L' D F' R F' L'
U2 L' F L' F U' L'
U' L2 R U' F L' U'
B' L2 F2 L2 U L F
U' R L2 U' F L' U'
U' R U' L2 F L' U'
D R U B' U F' B
D R U B' U B F'
F' R D F' B' U L'
F' R D B' F' U L'
F' R D' F' B' U L'
F' R D' B' F' U L'
F' R D2 F' B' U L'
F' R D2 B' F' U L'
B' R F U2 L' U' L
F' R F B' U' R U2
B' R F' R U' R' U2
F' R F' D B' U L'
B R F' R B2 U L
F' R F' D' B' U L'
F' R F' D2 B' U L'
F' R F' B' U L' D
F' R F' B' U L' D'
F' R F' B' U L' D2
F' R F' B' U D L'
F' R F' B' U D' L'
F' R F' B' U D2 L'
F' R F' B' D U L'
F' R F' B' D' U L'
F' R F' B' D2 U L'
F' R F2 D2 B' U L
D2 R B' U2 L U' L'
F' R B' U2 B U' L
F2 R B' U L F L2
F' R B' D F' U L'
F' R B' D' F' U L'
F' R B' D2 F' U L'
F' R B' F U' R U2
F' R B' F' U L' D
F' R B' F' U L' D'
F' R B' F' U L' D2
F' R B' F' U D L'
F' R B' F' U D' L'
F' R B' F' U D2 L'
F' R B' F' D U L'
F' R B' F' D' U L'
F' R B' F' D2 U L'
B' R' F D' F2 R U
B' R' F' R U' R U2
B' R' F' R F2 U L'
F' R' F' R2 B' U L'
B' R' F' D' R F2 U
B' R' F' D2 R U L2
F' R' F' B' R2 U L'
R U2 L2 F L' U' L'
D2 R' B R' B2 U L
F' R' B' R2 F' U L'
F2 R' B' U L F L2
F' R' B' F' R2 U L'
D R' B' U D2 L2 F2
D R' B' U D2 F2 L2
D R' B' U' R2 B2 U2
D R' B' U' B2 R2 U2
D R' B' D' R2 F2 U
D R' B' D' F2 R2 U
D R' B' D2 U L2 F2
D R' B' D2 U F2 L2
B' R2 U' D R' B U2
B' R2 D U' R' B U2
B' R2 F' R U D2 L2
B' R2 F' R U' R2 U2
B' R2 F' R D' F2 U
B' R2 F' R D2 U L2
F' R2 F' R' B' U L'
B' R2 F2 U' R' U2 F'
B R2 F' B2 R U L
B R2 F2 B2 U L F
F2 R2 B' U L F L2
B' U L D' F2 L' F
B R2 B2 F' R U L
B R2 B2 F2 U L F
B' U L' D' F2 L' F
B' U L2 D' F2 L' F
U' D R U B' U F'
F' U R B' U B L
B' U D F2 D2 L' F
B' U D' L' F2 L' F'
B' U D' F L' F L'
B' U D' F2 L' D F
B' U D' F2 L' D' F
B' U D' F2 L' D2 F
B' U D' F2 L' F D
B' U D' F2 L' F D'
B' U D' F2 L' F D2
B' U D2 F2 D L' F
B U D' F2 L' R2 F
B U D' F2 L' F R2
B U D' F2 R2 L' F
D U' R U B' U F'
B' U' R2 D R' B U2
B' U' D R U2 D F'
B' U' D R U2 D' F'
B' U' D R U2 D2 F'
B' U' D R U2 F' D
B' U' D R U2 F' D'
B' U' D R U2 F' D2
B' U' D R D U2 F'
B' U' D R D' U2 F'
B' U' D R D2 U2 F'
B' U' D R B U2 F'
B' U' D R B' U2 F'
B' U' D R B2 U2 F'
B' U' D R' B R2 U2
B' U' D B R U2 F'
B' U' D B' R U2 F'
B' U' D B2 R U2 F'
B U' D L2 R U2 F'
B U' D R L2 U2 F'
B' U' B D R U2 F'
B' U' B' D R U2 F'
B' U' B2 D R U2 F'
F2 U2 L2 F U' L F
F U2 L2 F L U' L2
R' D2 B R' B2 U L2
R' D2 B' U2 L U' L
R D2 B' U2 L U' L'
U2 F L2 F L U' L2
R' F D' F2 R B' U
R' F D' F2 B' R U
R' F D' B' F2 R U
F' D R F' B' U L'
F' D R B' F' U L'
B' D R' U' R2 U2 F'
B' D R' U' B R2 U2
D' F B' U L' F L'
D' F B' U F L' F
R' F B' D' F2 R U
B' D U F2 D2 L' F
B' D U' R U2 D F'
B' D U' R U2 D' F'
B' D U' R U2 D2 F'
B' D U' R U2 F' D
B' D U' R U2 F' D'
B' D U' R U2 F' D2
B' D U' R D U2 F'
B' D U' R D' U2 F'
B' D U' R D2 U2 F'
B' D U' R B U2 F'
B' D U' R B' U2 F'
B' D U' R B2 U2 F'
B' D U' R' B R2 U2
B' D U' B R U2 F'
B' D U' B' R U2 F'
B' D U' B2 R U2 F'
R F B' U2 L' U' L
B D U' L2 R U2 F'
B D U' R L2 U2 F'
B' D F2 R U L' F'
R' F' R F2 B' U L'
R' F' R B' U' R U2
R' F' R B' F2 U L'
B' D F2 U D2 L' F
B' D F2 D2 U L' F
R2 F' R D' F2 B' U
