U2 L D B' L U L2
U' L' R' F U' F' B
U' L' R' F U' B F'
U2 L2 U L2 B' R' B
U2 L2 U B' L2 R' B
U2 L2 U B' R' L2 B
U2 L2 U B' R' B L2
R U D F' R' U2 R2
D2 R F' U' B2 L B'
D2 R F' B2 U' L B'
L' U' R' F L U' B
R' U' D' B R' D2 L2
D2 R B2 F' U' L B'
L' U' D2 F L U' B'
L' U' F L R' U' B
L' U' F R' L U' B
U' R' L' F U' F' B
U' R' L' F U' B F'
L' U' F D2 L U' B'
U2 R' D' B R' D' F2
U2 R2 D' R F2 B R'
U2 R2 D' R B R' F2
U2 R2 D' R B F2 R'
U2 R2 D' F2 R B R'
R D U F' R' U2 R2
R' D' U' B R' D2 L2
R' D' F2 U' L' B R'
R' D' F2 U' B L' R'
R' D' F2 U' B R' L'
R2 D2 R F' U' L2 B
R2 D2 R F' U' B L2
L' D2 U' F L U' B'
R' F2 U' D' L' B R'
R' F2 U' D' B L' R'
R' F2 U' D' B R' L'
R' F2 D' U' L' B R'
R' F2 D' U' B L' R'
R' F2 D' U' B R' L'
