B2 L2 U' B' R' U2
F2 L2 B2 U F' L'
B2 R' F' L2 U F2
D' R2 B2 D' F L'
D' U F R2 B2 L
R2 D' R2 F L' B2
R2 D' R2 F B2 L'
R2 D' R2 B2 F L'
R2 D' F L' R2 B2
R2 D' F L' B2 R2
R2 D' F R2 L' B2
R2 D' F R2 B2 L'
R2 D' F B2 L' R2
R2 D' F B2 R2 L'
U D' F R2 B2 L
R2 D' B2 R2 F L'
R2 D' B2 F L' R2
R2 D' B2 F R2 L'
R' F D' L2 R2 B2
R' F D' L2 B2 R2
R' F D' R2 L2 B2
R' F D' R2 B2 L2
R' F D' B2 L2 R2
R' F D' B2 R2 L2
U F D' R2 B2 L
R' F' L2 B2 U F2
R' F' B2 L2 U F2
R' F' B2 L2 U F2
B2 F2 L2 U F' L'
F2 B2 L2 U F' L'
D' B2 R2 D' F L'
L2 B2 U' B U2 L
R' B2 F' L2 U F2
L2 R' F' B2 R2 U F'
L2 R' F' B2 U' B U2
L2 R' B2 F' R2 U F'
L2 R' B2 F' U' B U2
F2 L' B2 L' U F' L'
F' L2 R' F' B2 U F'
B2 L2 R' F' U' B' U2
F' L2 R' B2 F' U F'
F L2 R' F' B2 U F
F L2 R' B2 F' U F
R' L2 F' B2 R2 U F'
R' L2 F' B2 U' B U2
B2 L2 U L' F' L' F
B2 L2 U L2 F' L' F2
F2 L2 U D' F' L' R2
F2 L2 U D' F' R2 L'
F2 L2 U F' L' D' R2
F2 L2 U F' D' L' R2
F2 L2 U F' D' R2 L'
B2 L2 U F' L2 F L
D' L2 U B2 R2 F' L'
B2 L2 U F2 L2 F L'
B2 L2 U' R B' R' U2
B2 L2 U' R' B' R' U2
B2 L2 U' R2 B' R' U2
B2 L2 U' D B' R' U2
B2 L2 U' D' B' R' U2
B2 L2 U' D2 B' R' U2
B2 L2 U' B' R' U2 D
B2 L2 U' B' R' U2 D'
B2 L2 U' B' R' U2 D2
B2 L2 U' B' R' D U2
B2 L2 U' B' R' D' U2
B2 L2 U' B' R' D2 U2
B2 L2 U' B' D R' U2
B2 L2 U' B' D' R' U2
B2 L2 U' B' D2 R' U2
B2 L2 D U' B' R' U2
L2 R2 B2 R2 U F' L'
R2 L2 B2 R2 U F' L'
R' L2 B2 F' R2 U F'
R' L2 B2 F' U' B U2
F2 L2 D' U F' L' R2
F2 L2 D' U F' R2 L'
B2 L2 D' U' B' R' U2
B2 L2 D2 U' B' R' U2
B2 L2 F U' B' R' U2
F L2 F B2 U F' L'
B2 L2 F' U' B' R' U2
F' L2 F' B2 U F' L'
B2 L2 F2 U' B' R' U2
F' L2 B2 R' F' U F'
F' L2 B2 U F' L' F'
U' L2 B2 U' B R' U2
F2 L2 B2 U L F' L'
F2 L2 B2 U L' F' L'
F2 L2 B2 U L2 F' L'
F2 L2 B2 U D F' L'
F2 L2 B2 U D' F' L'
F2 L2 B2 U D2 F' L'
F2 L2 B2 U F' L' D
F2 L2 B2 U F' L' D'
F2 L2 B2 U F' L' D2
F2 L2 B2 U F' D L'
F2 L2 B2 U F' D' L'
F2 L2 B2 U F' D2 L'
F L2 B2 R' F' U F
F2 L2 B2 D U F' L'
F' L2 B2 F' U F' L'
F2 L2 B2 D' U F' L'
F2 L2 B2 D2 U F' L'
R2 U D' R2 F L' B2
R2 U D' R2 F B2 L'
R2 U D' R2 B2 F L'
R2 U D' F L' R2 B2
R2 U D' F L' B2 R2
R2 U D' F R2 L' B2
R2 U D' F R2 B2 L'
R2 U D' F B2 L' R2
R2 U D' F B2 R2 L'
F L2 B2 F U F' L'
R2 U D' B2 R2 F L'
R2 U D' B2 F L' R2
R2 U D' B2 F R2 L'
R' U F D' L2 R2 B2
R' U F D' L2 B2 R2
R' U F D' R2 L2 B2
R' U F D' R2 B2 L2
R' U F D' B2 L2 R2
R' U F D' B2 R2 L2
R' U F' L2 B2 U F2
R' U F' B2 L2 U F2
F R U' B2 L2 F U
R' U B2 F' L2 U F2
U R D' F R2 B2 L
U R F D' R2 B2 L
D2 R B R F2 U' F'
D' R B U' B R F
F' R B2 L2 F U F
L2 U' D B' L2 R' U2
L2 U' D B' R' L2 U2
F R B2 L2 F U F'
R2 U' D' R2 F L' B2
R2 U' D' R2 F B2 L'
R2 U' D' R2 B2 F L'
R2 U' D' F L' R2 B2
R2 U' D' F L' B2 R2
R2 U' D' F R2 L' B2
R2 U' D' F R2 B2 L'
R2 U' D' F B2 L' R2
R2 U' D' F B2 R2 L'
L2 U' D' B' R' U2 R'
R2 U' D' B2 R2 F L'
R2 U' D' B2 F L' R2
R2 U' D' B2 F R2 L'
R' U' F D' L2 R2 B2
R' U' F D' L2 B2 R2
R' U' F D' R2 L2 B2
R' U' F D' R2 B2 L2
R' U' F D' B2 L2 R2
R' U' F D' B2 R2 L2
R' U' F' L2 B2 U F2
F' R' L2 F' B2 U F'
B2 R' L2 F' U' B' U2
F' R' L2 B2 F' U F'
R' U' F' B2 L2 U F2
F R' L2 F' B2 U F
F R' L2 B2 F' U F
B2 R' U F D' L2 B2
B2 R' U F D' B2 L2
F R' U' L2 F' B2 U
F R' U' L2 B2 F' U
F R' U' F' L2 B2 U
F R' U' F' B2 L2 U
F R' U' B2 L2 F' U
F R' U' B2 F' L2 U
L2 U' B' R' U B' U
R' U' B2 F' L2 U F2
B2 R' D' F' U F2 B2
B2 R' D' F' U B2 F2
U R' D' F R2 B2 L
D' R' F R' B2 D' L2
B2 R' F L2 F2 U F2
F' R' F' L2 B2 U F'
D' R' F' U R' F2 B2
D' R' F' U R' B2 F2
D' R' F' U F2 R' B2
B2 R' F' L2 R U F2
B2 R' F' L2 R' U F2
B2 R' F' L2 R2 U F2
B2 R' F' L2 U F2 D
B2 R' F' L2 U F2 D'
B2 R' F' L2 U F2 D2
B2 R' F' L2 D R2 U
B2 R' F' R L2 U F2
B2 R' F' R' L2 U F2
B2 R' F' R2 L2 U F2
U R' F D' R2 B2 L
B2 R' F' U F2 D' B2
B' R' F' B' L2 U F2
F' R' F' B2 L2 U F'
B' R' B' F' L2 U F2
F' R' B2 L2 F' U F'
F' R' B2 F' L2 U F'
F R' B2 L2 F' U F
R2 U2 D' R2 F L' B2
R2 U2 D' R2 F B2 L'
R2 U2 D' R2 B2 F L'
R2 U2 D' F L' R2 B2
R2 U2 D' F L' B2 R2
R2 U2 D' F R2 L' B2
R2 U2 D' F R2 B2 L'
R2 U2 D' F B2 L' R2
R2 U2 D' F B2 R2 L'
R2 U2 D' B2 R2 F L'
R2 U2 D' B2 F L' R2
R2 U2 D' B2 F R2 L'
R' U2 F D' L2 R2 B2
R' U2 F D' L2 B2 R2
R' U2 F D' R2 L2 B2
R' U2 F D' R2 B2 L2
R' U2 F D' B2 L2 R2
R' U2 F D' B2 R2 L2
R' U2 F' L2 B2 U F2
R' U2 F' B2 L2 U F2
B2 R2 U D' F L' B2
B2 R2 U D' F B2 L'
B2 R2 U D' B2 F L'
R' U2 B2 F' L2 U F2
D' R2 D' F L' D B2
D' R2 D' F D L' B2
D' R2 D' F D B2 L'
B2 R2 D' U F L' B2
B2 R2 D' U F B2 L'
B2 R2 D' U B2 F L'
U R2 D' F R2 B2 L
D' R2 F B' D B' L
U R2 F D' R2 B2 L
R2 D L2 F2 B' U2 L
R2 D L2 B' F2 U2 L
D' R2 B D' F L' B
D' R2 B D' F B L'
D' R2 B D' B F L'
D' R2 B' D F B' L
D' R2 B' D B' F L
D' R2 B' D' F B' L'
D' R2 B' D' B' F L'
D' R2 B' F D B' L
D' R2 B2 D' F L' D
D' R2 B2 D' F L' D'
D' R2 B2 D' F L' D2
D' R2 B2 D' F D L'
D' R2 B2 D' F D' L'
D' R2 B2 D' F D2 L'
L2 D U' B' L2 R' U2
L2 D U' B' R' L2 U2
U' D L2 F2 B' R' U2
D' U L2 B2 R2 F' L'
U' D L2 B' R' F2 U2
U' D L2 B' F2 R' U2
D' U R2 F' L' F2 B2
D' U R2 F' L' B2 F2
D' U R2 F' B2 L' F2
D' U R2 B2 F' L' F2
D' U F L R2 B2 L
D' U F L' R2 B2 L
