B U R U2 R2 F'
B U R B U2 R2
B2 L U R U B U
B L U R U2 R2 F'
B L U R B U2 R2
B2 L F2 B' U' L' R'
B2 L F2 B' U' R' L'
B2 L B U L R U2
B2 L B U R L U2
B2 L B' U R U2 R2
B2 L B' U' R' D2 L2
B2 L B' F2 U' L' R'
B2 L B' F2 U' R' L'
B L' U R U2 R2 F'
B L' U R B U2 R2
B' L' D F2 U' L' F
B L2 U R U2 R2 F'
B L2 U R B U2 R2
U R U R2 B U R'
B2 R U' L R' F U'
B2 R U' L F R' U'
B2 R U' R' L F U'
U R U B R2 U R
R' U B R' D B2 L
R U B R2 U R B
U R B U R2 U R
U R B U2 D' R' F2
U R B U2 D' F2 R'
U R B D B2 L U2
U R B D' U2 R' F2
U R B D' U2 F2 R'
U R B' L U R2 U
U R B' L U2 D' F2
U R B' L D B2 U2
U R B' L D' U2 F2
U R B' D L B2 U2
U R B' D B2 U2 R'
U R B' D' L U2 F2
D' R' D' F2 L' B U
D' R' D' F2 B L' U
D' R' D' B F2 L' U
U2 R' D2 F' U L2 R
U2 R' D2 F' U R L2
D' R' B D' F2 L' U
U2 R' B U D2 L2 R'
U2 R' B U D2 R' L2
U2 R' B U' R2 U2 R
U2 R' B D' F2 U R'
U2 R' B D2 U L2 R'
U2 R' B D2 U R' L2
U2 R' B' U' L R2 U2
U2 R' B' U' R2 L U2
B' U L D' R U2 F'
B U L R U2 R2 F'
B U L R B U2 R2
B U L' R U2 R2 F'
B U L' R B U2 R2
B U L2 R U2 R2 F'
B U L2 R B U2 R2
D' U R U R2 B U
B' U R D L B' U2
B U R L U2 R2 F'
B U R L B U2 R2
B U R L' U2 R2 F'
B U R L' B U2 R2
B U R L2 U2 R2 F'
B U R L2 B U2 R2
B U R U2 R2 D F'
B U R U2 R2 D' F'
B U R U2 R2 D2 F'
B U R U2 R2 F' D
B U R U2 R2 F' D'
B U R U2 R2 F' D2
B U R U2 F R2 F'
B U R U2 F' R2 F'
B U R U2 F2 R2 F'
B U R D2 L2 B U2
B U R D2 B L2 U2
B U R B L U2 R2
B U R B L' U2 R2
B U R B L2 U2 R2
B U R B U2 R2 D
B U R B U2 R2 D'
B U R B U2 R2 D2
B U R B D2 L2 U2
B U R' D2 F' L2 B'
B U R' F' D2 L2 B'
B' U D L R B' U2
B' U D L B' R U2
B' U D R L B' U2
B' U D' L R U2 F'
B' U D' R L U2 F'
B U D R U2 R2 F'
B U D R B U2 R2
R D B2 U L B' U
B U D' R U2 R2 F'
B U D' R B U2 R2
B U D2 R U2 R2 F'
B U D2 R B U2 R2
B U B R B L U2
B U B' R B U2 R'
B U B2 L R B U2
B U B2 R L B U2
B U' L R' D2 F L2
B U' L R' F D2 L2
B U' L F2 L' F' R'
U D' R U R2 B U
B U' L' R' D2 L2 F
U2 D' R' D' F2 B U
U2 D' R' D' B F2 U
U2 D' R' D2 B U L2
U2 D' R' B U D2 L2
U2 D' R' B U' R2 U2
U2 D' R' B D' F2 U
U2 D' R' B D2 U L2
B U' L2 F2 L' R' F
B U' L2 F2 L' F R'
B U' L2 F2 R' L' F
B U' R' L D2 F L2
B U' R' L F D2 L2
B U' R' L' D2 L2 F
B U' R' D2 L F L
U2 D' F2 R' B U L'
B U' F L R' F L'
B U' F L F L' R'
B U' F L F R' L'
B U' F R' L F L'
B U' F2 L R' F L2
B U' F2 L F L2 R'
B U' F2 L F R' L2
B U' F2 R' L F L2
D' U2 R' D' F2 B U
D' U2 R' D' B F2 U
D' U2 R' D2 B U L2
D' U2 R' B U D2 L2
D' U2 R' B U' R2 U2
D' U2 R' B D' F2 U
D' U2 R' B D2 U L2
D' U2 F2 R' B U L'
F' U2 R' B U L R'
F' U2 R' B U R' L
F2 U2 R' B U L' R'
F2 U2 R' B U R' L'
F' U2 D' R' B U L
F2 U2 D' R' B U L'
F' U2 B U L R' F'
F' U2 B U R' L F'
F' U2 B U R' F' L
F2 U2 B U L' R' F'
F2 U2 B U R' L' F'
B' D U L R B' U2
B' D U L B' R U2
B' D U R L B' U2
B D U R U2 R2 F'
B D U R B U2 R2
D' F' U2 R' B U L
B' D' U L R U2 F'
B' D' U R L U2 F'
B D' U R U2 R2 F'
B D' U R B U2 R2
F' D' U2 R' B U L
F2 D' U2 R' B U L'
U2 F2 R' B U L' R'
U2 F2 R' B U R' L'
D' F2 U2 R' B U L'
U2 F2 D' R' B U L'
U2 F2 B U L' R' F'
U2 F2 B U R' L' F'
B D2 U R U2 R2 F'
B D2 U R B U2 R2
R' B U R' D B2 L
L' B U R U2 R2 F'
L' B U R B U2 R2
L2 B U R U2 R2 F'
L2 B U R B U2 R2
U2 B U R' D2 L2 F'
U2 B U R' D2 F' L2
U2 B U R' F' D2 L2
U2 B U F' R' F' L'
U2 B U F2 L' R' F'
U2 B U F2 R' L' F'
L B U R U2 R2 F'
L B U R B U2 R2
F2 B L2 U' L R' F
F2 B L2 U' L F R'
F2 B L2 U' R' L F
R' B D' F2 L' U R'
U2 B F2 U L' R' F'
U2 B F2 U R' L' F'
F2 B U' L R' F L2
F2 B U' L F L2 R'
F2 B U' L F R' L2
F2 B U' R' L F L2
B F U' L R' F L'
B F U' L F L' R'
B F U' L F R' L'
B F U' R' L F L'
F B U' L R' F L'
F B U' L F L' R'
F B U' L F R' L'
