D2 L' F U' B2
L' R D F' R2 U'
L' R D2 F' U' B2
L' R F' R2 U' B
L' R F' U F' U2
R' L' D R2 F' U'
L' R' D R2 F' U'
D2 L' R F U' B2
D2 L' R' F U' B2
R L' D F' R2 U'
D2 L' R2 F U' B2
R L' D2 F' U' B2
R L' F' R2 U' B
R L' F' U F' U2
D2 L' D' R2 F U'
D2 L' D' F R2 U'
D2 L' F R U' B2
D2 L' F R' U' B2
D2 L' F R2 U' B2
D2 L' F U' B2 D
D2 L' F U' B2 D'
D2 L' F U' B2 D2
D2 L' F D' R2 U'
D2 R L' F U' B2
D2 R' L' F U' B2
D2 R2 L' F U' B2
D R2 D L' F U'
R' D L' R2 F' U'
R D L' F' R2 U'
R' D R2 L' F' U'
R D2 L' F' U' B2
L' R U F2 U' F U'
L2 R D L F' R2 U'
L' R D R2 U2 B U
R' L D R2 F' U' F'
L' R D F R2 F2 U'
L' R D F' R2 U' D
L' R D F' R2 U' D'
L' R D F' R2 U' D2
L' R D F' R2 D U'
L' R D F' R2 D' U'
L' R D F' R2 D2 U'
L' R D F' U' D B2
L' R D F' D U' B2
L' R D F2 R2 F U'
L2 R D F' L R2 U'
L2 R D F' R2 L U'
L' R D' F' U' D' B2
L' R D' F' U2 L2 U
L' R D' F' D' U' B2
L' R D' F' D2 R2 U'
L2 R D2 L F' U' B2
L' R D2 F' R U' B2
L' R D2 F' R' U' B2
L' R D2 F' R2 U' B2
L' R D2 F' U' B2 D
L' R D2 F' U' B2 D'
L' R D2 F' U' B2 D2
L' R D2 F' D' R2 U'
L2 R D2 F' L U' B2
R2 L F L2 U' B' R'
L R F L2 F2 U' B'
R L F L2 F2 U' B'
L2 R F' L R2 U' B
L2 R F' L U F' U2
L R F' L2 R2 U' B
L R F' L2 U F' U2
L' R F' R2 U' D B
L' R F' R2 U' D' B
L' R F' R2 U' D2 B
L' R F' R2 U' B D
L' R F' R2 U' B D'
L' R F' R2 U' B D2
L' R F' R2 D U' B
L' R F' R2 D' U' B
L' R F' R2 D2 U' B
L' R F' U D F' U2
L' R F' U D' F' U2
L' R F' U D2 F' U2
L' R F' U F' U2 D
L' R F' U F' U2 D'
L' R F' U F' U2 D2
L' R F' U F' D U2
L' R F' U F' D' U2
L' R F' U F' D2 U2
R L F' L2 R2 U' B
R L F' L2 U F' U2
L' R F' U' R2 B R2
L R F' R2 L2 U' B
L2 R F' R2 L U' B
L' R F' D R2 U' B
L' R F' D U F' U2
R L F' R2 L2 U' B
L' R F' D' R2 U' B
L' R F' D' U F' U2
L' R F' D2 R2 U' B
L' R F' D2 U F' U2
D2 L F L2 F U' B2
D2 L F' L2 F U' B2
D2 L F2 L2 F U' B2
L' R' U F2 U B U
R' L' U F2 U B U
R2 L' U F' L' F' U2
R L' U F2 U' F U'
R2 L' U' D2 B' R' B'
R2 L' U' B D2 B2 R'
R2 L' U' B' R' D2 B2
R2 L' U' B' D2 R' B2
R' L' U2 D' L2 B U
L' R' U2 D' L2 B U
R' L' U2 D' B L2 U
L' R' U2 D' B L2 U
R' L' U2 D2 B U B
L' R' U2 D2 B U B
R' L' U2 B U D2 B2
L' R' U2 B U D2 B2
R' L' U2 B U' F2 U2
L' R' U2 B U' F2 U2
R' L' U2 B D' L2 U
L' R' U2 B D' L2 U
R' L' U2 B D2 U B2
L' R' U2 B D2 U B2
D2 L' R D' R2 F U'
D2 L' R D' F R2 U'
D2 L' R F R U' B2
D2 L' R F R' U' B2
D2 L' R F R2 U' B2
D2 L' R F U' B2 D
D2 L' R F U' B2 D'
D2 L' R F U' B2 D2
D2 L' R F D' R2 U'
D L' R D' R F' U'
L2 R' D L R2 F' U'
F L' R F' L' U' B'
R' L' D R2 D F' U'
R' L' D R2 D' F' U'
R' L' D R2 D2 F' U'
L' R' D R2 D F' U'
R' L' D R2 F' U' D
R' L' D R2 F' U' D'
R' L' D R2 F' U' D2
R' L' D R2 F' D U'
R' L' D R2 F' D' U'
R' L' D R2 F' D2 U'
L' R' D R2 D' F' U'
L' R' D R2 D2 F' U'
L' R' D R2 F' U' D
L' R' D R2 F' U' D'
L' R' D R2 F' U' D2
L' R' D R2 F' D U'
L' R' D R2 F' D' U'
L' R' D R2 F' D2 U'
R2 L' D R' F' R' U'
L2 R' D R2 L F' U'
R' L' D F R2 F' U'
L R' D R2 F' U' F'
L' R' D F R2 F' U'
L2 R' D R2 F' L U'
R' L' D F' R2 F' U'
L' R' D F' R2 F' U'
R L' D R2 U2 B U
D2 L' R' D' R2 F U'
R' L' D F2 R2 F' U'
D2 L' R' D' F R2 U'
L' R' D F2 R2 F' U'
D2 L' R' F R U' B2
D2 L' R' F R' U' B2
D2 L' R' F R2 U' B2
D2 L' R' F U' B2 D
D2 L' R' F U' B2 D'
D2 L' R' F U' B2 D2
D2 L' R' F D' R2 U'
R L' D F R2 F2 U'
R L' D F' R2 U' D
R L' D F' R2 U' D'
