B2 L2 U F' B' L'
B2 L2 U B' F' L'
B2 U L' F' L' B'
B2 U L2 F' B' L'
B2 U L2 B' F' L'
B2 U F' L' D2 B2
B2 U F' D2 L' B2
B2 U F' D2 B2 L'
L2 B2 U F' L' B
L2 B2 U F' B L'
L2 B2 U B F' L'
B2 L U L F' B' L'
B2 L U L B' F' L'
B2 L U L2 F' L' B'
B2 L U F' L B' L2
U L' D' F' L' R2 B'
U L' D' F' L' B' R2
U L' D' F' R2 L' B'
U L' F' L' D' R2 B'
U L' F' L' D' B' R2
U L' F' D' L' R2 B'
U L' F' D' L' B' R2
U L' F' D' R2 L' B'
B2 L2 U L F' L' B'
D' L2 U F' R2 B' L'
B2 L2 U D F' B' L'
B2 L2 U D B' F' L'
D' L2 U F' B' L' R2
D' L2 U F' B' R2 L'
B2 L2 U D' F' B' L'
B2 L2 U D' B' F' L'
B2 L2 U D2 F' B' L'
B2 L2 U D2 B' F' L'
D' L2 U B' F' L' R2
D' L2 U B' F' R2 L'
B2 L2 U F' D B' L'
B2 L2 U F' D' B' L'
B2 L2 U F' D2 B' L'
B2 L2 U F' B L' B2
B2 L2 U F' B' L' D
B2 L2 U F' B' L' D'
B2 L2 U F' B' L' D2
B2 L2 U F' B' D L'
B2 L2 U F' B' D' L'
B2 L2 U F' B' D2 L'
B2 L2 U F' B2 L' B
B2 L2 U B F' L' B2
B2 L2 U B' L F' L'
B2 L2 U B' L' F' L'
B2 L2 U B' L2 F' L'
B2 L2 U B' D F' L'
B2 L2 U B' D' F' L'
B2 L2 U B' D2 F' L'
B2 L2 U B' F' L' D
B2 L2 U B' F' L' D'
B2 L2 U B' F' L' D2
B2 L2 U B' F' D L'
B2 L2 U B' F' D' L'
B2 L2 U B' F' D2 L'
B2 L2 U B2 F' L' B
B2 L2 D U F' B' L'
B2 L2 D U B' F' L'
B2 L2 D' U F' B' L'
B2 L2 D' U B' F' L'
U2 L2 D' F' R2 B' L
U2 L2 D' F' B' L R2
U2 L2 D' F' B' R2 L
U2 L2 D' B' L F' R2
U2 L2 D' B' F' L R2
U2 L2 D' B' F' R2 L
U L2 D' F' R2 B' L'
U L2 D' F' B' L' R2
U L2 D' F' B' R2 L'
U L2 D' B' F' L' R2
U L2 D' B' F' R2 L'
B2 L2 D2 U F' B' L'
B2 L2 D2 U B' F' L'
D' L2 F' R2 D B' L
U2 L2 F' D' R2 B' L
U2 L2 F' D' B' L R2
U2 L2 F' D' B' R2 L
U L2 F' D' R2 B' L'
U L2 F' D' B' L' R2
U L2 F' D' B' R2 L'
B L2 B U F' L' B2
B L2 B U F' B2 L'
B L2 B U B2 F' L'
L2 U D' F' R2 B' L'
L2 U D' F' B' L' R2
L2 U D' F' B' R2 L'
L2 U D' B' F' L' R2
L2 U D' B' F' R2 L'
L2 U F' D' R2 B' L'
L2 U F' D' B' L' R2
L2 U F' D' B' R2 L'
F R' U F' B2 U F'
F R' U B2 F' U F'
L2 U2 B2 U F' B L
L2 U2 B2 U B L F'
L2 U2 B2 U B F' L
F2 R2 D' F L' B R2
F2 R2 D' F B L' R2
F2 R2 D' F B R2 L'
F2 R2 D' B R2 F L'
F2 R2 D' B F L' R2
F2 R2 D' B F R2 L'
R2 D L2 B R' U2 B2
R2 D L2 B U2 B2 L
B2 U L F' L B' L2
D' U L' F' L' R2 B'
D' U L' F' L' B' R2
D' U L' F' R2 L' B'
B2 U L' D F' L' B'
B2 U L' D' F' L' B'
B2 U L' D2 F' L' B'
R2 D F L2 B R' U2
B2 U L' F' L' D B'
B2 U L' F' L' D' B'
B2 U L' F' L' D2 B'
B2 U L' F' L' B' D
B2 U L' F' L' B' D'
B2 U L' F' L' B' D2
B2 U L' F' D L' B'
B2 U L' F' D' L' B'
B2 U L' F' D2 L' B'
B2 U L' F' B L' B'
B2 U L' F' B' L' B'
B2 U L' F' B2 L' B'
B2 U L' B F' L' B'
B2 U L' B' F' L' B'
B2 U L' B2 F' L' B'
U' D L2 U2 F' B' L'
U' D L2 U2 B' F' L'
R2 D F B L2 R' U2
R2 D F B R' L2 U2
D' U L2 F' R2 B' L'
D' U L2 F' B' L' R2
D' U L2 F' B' R2 L'
B2 U L2 D F' B' L'
B2 U L2 D B' F' L'
B2 U L2 D' F' B' L'
B2 U L2 D' B' F' L'
B2 U L2 D2 F' B' L'
D' U L2 B' F' L' R2
D' U L2 B' F' R2 L'
B2 U L2 D2 B' F' L'
B2 U L2 F' D B' L'
B2 U L2 F' D' B' L'
B2 U L2 F' D2 B' L'
B2 U L2 F' B L' B2
B2 U L2 F' B' L' D
B2 U L2 F' B' L' D'
B2 U L2 F' B' L' D2
B2 U L2 F' B' D L'
B2 U L2 F' B' D' L'
B2 U L2 F' B' D2 L'
B2 U L2 F' B2 L' B
B2 U L2 B F' L' B2
B2 U L2 B' L F' L'
B2 U L2 B' L' F' L'
B2 U L2 B' L2 F' L'
B2 U L2 B' D F' L'
B2 U L2 B' D' F' L'
B2 U L2 B' D2 F' L'
B2 U L2 B' F' L' D
B2 U L2 B' F' L' D'
B2 U L2 B' F' L' D2
B2 U L2 B' F' D L'
B2 U L2 B' F' D' L'
B2 U L2 B' F' D2 L'
B2 U L2 B2 F' L' B
R2 D B L2 R' U2 B'
R2 D B R' L2 U2 B'
R2 D B R' F L2 U2
R2 D B F L2 R' U2
R2 D B F R' L2 U2
D' U F R U2 R F2
B2 U D L' F' L' B'
B2 U D L2 F' B' L'
B2 U D L2 B' F' L'
D' U F U2 F2 L' R2
D' U F U2 F2 R2 L'
B2 U D F' L' D2 B2
B2 U D F' D2 L' B2
B2 U D F' D2 B2 L'
D' U F' L' R2 D2 B2
D U F L2 R U2 F2
D U F L2 U2 F2 L'
D U F R L2 U2 F2
B2 U D' L' F' L' B'
D' U F' R2 L' D2 B2
B2 U D' L2 F' B' L'
B2 U D' L2 B' F' L'
D' U F' R2 D2 L' B2
D' U F' R2 D2 B2 L'
U D F L2 R U2 F2
U D F L2 U2 F2 L'
U D F R L2 U2 F2
B2 U D' F' L' D2 B2
B2 U D' F' D2 L' B2
B2 U D' F' D2 B2 L'
B2 U D2 L' F' L' B'
B2 U D2 L2 F' B' L'
B2 U D2 L2 B' F' L'
D' U F2 R2 F L' B
D' U F2 R2 F B L'
D' U F2 R2 B F L'
B2 U D2 F' L' D2 B2
B2 U D2 F' D2 L' B2
B2 U D2 F' D2 B2 L'
D U F' D2 L' R2 B2
D U F' D2 L' B2 R2
D U F' D2 R2 L' B2
D U F' D2 R2 B2 L'
D U F' D2 B2 L' R2
D U F' D2 B2 R2 L'
B2 U F R U2 R' F2
B2 U F R U2 F2 R'
U D F' D2 L' R2 B2
U D F' D2 L' B2 R2
U D F' D2 R2 L' B2
U D F' D2 R2 B2 L'
U D F' D2 B2 L' R2
U D F' D2 B2 R2 L'
B2 U F' L' U2 F2 U2
B2 U F' L' D2 B2 D
B2 U F' L' D2 B2 D'
B2 U F' L' D2 B2 D2
B2 U F' L' B D2 B2
B2 U F' L' B' D2 B2
B2 U F' L' B2 D2 B2
B2 U F' L2 D2 L B2
B2 U F' U2 F2 R U2
B2 U F' D L' D B2
B2 U F' D2 L B2 L2
B2 U F' D2 L' B2 D
B2 U F' D2 L' B2 D'
B2 U F' D2 L' B2 D2
B2 U F' D2 B L' B
B2 U F' D2 B2 L' D
B2 U F' D2 B2 L' D'
B2 U F' D2 B2 L' D2
B2 U F' D2 B2 D L'
B2 U F' D2 B2 D' L'
B2 U F' D2 B2 D2 L'
B2 U F' B L' D2 B2
B2 U F' B D2 L' B2
B2 U F' B D2 B2 L'
B2 U F' B' L' D2 B2
B2 U F' B' D2 L' B2
B2 U F' B' D2 B2 L'
B2 U F' B2 L' D2 B2
B2 U F' B2 D2 L' B2
B2 U F' B2 D2 B2 L'
F U F' B2 U L' F'
B2 U B L' F' L' B'
B2 U B L2 F' B' L'
B2 U B L2 B' F' L'
B2 U B F' L' D2 B2
B2 U B F' D2 L' B2
B2 U B F' D2 B2 L'
B2 U B' L' F' L' B'
B2 U B' L2 F' B' L'
B2 U B' L2 B' F' L'
B2 U B' F' L' D2 B2
B2 U B' F' D2 L' B2
B2 U B' F' D2 B2 L'
B2 U B2 L' F' L' B'
B2 U B2 L2 F' B' L'
B2 U B2 L2 B' F' L'
L2 D' U F' R2 B' L'
L2 D' U F' B' L' R2
L2 D' U F' B' R2 L'
L2 D' U B' F' L' R2
L2 D' U B' F' R2 L'
B2 U B2 F' L' D2 B2
B2 U B2 F' D2 L' B2
B2 U B2 F' D2 B2 L'
U D' L' F' L' R2 B'
U D' L' F' L' B' R2
U D' L' F' R2 L' B'
D U' L2 U2 F' B' L'
D U' L2 U2 B' F' L'
F U B2 F' U L' F'
U D' L2 F' R2 B' L'
U D' L2 F' B' L' R2
U D' L2 F' B' R2 L'
U D' L2 B' F' L' R2
U D' L2 B' F' R2 L'
R2 D' F U2 L' R2 F'
R2 D' F U2 R2 L' F'
R2 D' F B U2 L' R2
R2 D' F B U2 R2 L'
L2 D' F' R2 D B' L
R2 D' F2 R2 F' L' B
R2 D' F2 R2 F' B L'
R2 D' F2 R2 B F' L'
U D' F R U2 R F2
U D' F U2 F2 L' R2
U D' F U2 F2 R2 L'
U' D' F2 R2 F B L
D' U' F2 R2 F B L
U' D' F2 R2 B F L
D' U' F2 R2 B F L
R2 D' B F U2 L' R2
R2 D' B F U2 R2 L'
B2 U' R2 F B U2 L
U D' F' L' R2 D2 B2
B2 U' R2 B F U2 L
U D' F' R2 L' D2 B2
U D' F' R2 D2 L' B2
U D' F' R2 D2 B2 L'
U D' F2 R2 F L' B
U D' F2 R2 F B L'
U D' F2 R2 B F L'
F2 U' D' R2 F B L
F2 U' D' R2 B F L
B2 U' F U2 F' L' F'
B2 U' F B U2 L F2
B2 U' F B U2 F2 L
B2 U' F B' R' U2 F2
B2 U' B F U2 L F2
B2 U' B F U2 F2 L
B2 U' B' F R' U2 F2
U F R U B2 U F2
U F R U2 F2 D' R2
U F U B2 U F2 L'
B2 D L2 U F' B' L'
B2 D L2 U B' F' L'
R2 F D L2 B R' U2
U F U2 F2 L' D' R2
U F U2 F2 D' L' R2
U F U2 F2 D' R2 L'
R2 F D B L2 R' U2
R2 F D B R' L2 U2
B2 D U L' F' L' B'
B2 D U L2 F' B' L'
B2 D U L2 B' F' L'
B2 D U F' L' D2 B2
B2 D U F' D2 L' B2
B2 D U F' D2 B2 L'
U F' L' D' R2 D' B2
U F' L' D2 B2 D R2
B2 D' L2 U F' B' L'
B2 D' L2 U B' F' L'
L2 F' D' R2 D B' L
U F' D' R2 D' L' B2
U F' D' R2 D' B2 L'
U F' D2 L' B2 D R2
F2 D' R2 D' F L' B
F2 D' R2 D' F B L'
F2 D' R2 D' B F L'
U F' D2 B2 L' D R2
U F' D2 B2 D L' R2
U F' D2 B2 D R2 L'
F2 D' R2 B D' F L'
B2 D' U L' F' L' B'
B2 D' U L2 F' B' L'
B2 D' U L2 B' F' L'
B2 D' U F' L' D2 B2
B2 D' U F' D2 L' B2
B2 D' U F' D2 B2 L'
F2 D' U' R2 F B L
F2 D' U' R2 B F L
D' F2 R2 D' F L' B
D' F2 R2 D' F B L'
D' F2 R2 D' B F L'
D' F2 R2 B D' F L'
D2 F2 U F' U2 L' F2
D' F2 U' R2 F B L
D' F2 U' R2 B F L
U' F2 D' R2 F B L
U' F2 D' R2 B F L
B2 D2 L2 U F' B' L'
B2 D2 L2 U B' F' L'
B2 D2 U L' F' L' B'
B2 D2 U L2 F' B' L'
B2 D2 U L2 B' F' L'
B2 D2 U F' L' D2 B2
B2 D2 U F' D2 L' B2
B2 D2 U F' D2 B2 L'
L2 B2 L U F' L' B
L2 B2 L U F' B L'
L2 B2 L U B F' L'
L' B2 L' U F' B' L'
L' B2 L' U B' F' L'
U' B2 L2 U F' B' L
U' B2 L2 U B' L F'
U' B2 L2 U B' F' L
L2 B2 L' U F' L' B
L2 B2 L' U F' B L'
L2 B2 L' U B F' L'
L B2 L U F' B' L'
L B2 L U B' F' L'
L2 B2 L2 U F' L' B
L2 B2 L2 U F' B L'
L2 B2 L2 U B F' L'
U' B2 U L2 F' B' L
U' B2 U L2 B' L F'
U' B2 U L2 B' F' L
L2 B2 U L F' L' B
L2 B2 U L F' B L'
L2 B2 U L B F' L'
L2 B2 U L' F' L' B
L2 B2 U L' F' B L'
L2 B2 U L' B F' L'
L2 B2 U L2 F' L' B
L2 B2 U L2 F' B L'
L2 B2 U L2 B F' L'
L2 B2 U D F' L' B
