F' U R' U D R2
F' U R' U2 F2 U'
F' U R' D U R2
F' U R' D2 B2 U
F' U D R' U R'
F' U D2 R' B2 U
F' U' F2 U2 R' U
F' D U R' U R'
L2 F' U R' B' U
F' D' L2 U R' U
F' D2 U R' B2 U
B2 F' U' L F2 U'
B2 F' U' F2 L U'
F' B2 U' L F2 U'
F' B2 U' F2 L U'
F' L U R' U D R2
F' L U R' U2 F2 U'
F' L U R' D U R2
F' L U R' D2 B2 U
F' L U D R' U R'
F' L U D2 R' B2 U
F' L U' F2 U2 R' U
F' L D U R' U R'
F' L D' L2 U R' U
F' L D2 U R' B2 U
R' L' U' R F' L' U2
L' R' U' R F' L' U2
F' L B2 U' L F2 U'
F' L B2 U' F2 L U'
U L' R' U B' R' B
F' L' U R' U D R2
F' L' U R' U2 F2 U'
F' L' U R' D U R2
F' L' U R' D2 B2 U
F' L' U D R' U R'
F' L' U D2 R' B2 U
F' L' U' F2 U2 R' U
F' L' D U R' U R'
F' L' D' L2 U R' U
F' L' D2 U R' B2 U
L2 R' B' U' R F' U2
F' L' B2 U' L F2 U'
F' L' B2 U' F2 L U'
U L2 R' D B' L U
F' L2 U R' U D R2
F' L2 U R' U2 F2 U'
F' L2 U R' D U R2
F' L2 U R' D2 B2 U
F' L2 U D R' U R'
U L2 R2 B' R U B2
F' L2 U D2 R' B2 U
F' L2 U' F2 U2 R' U
R' L2 B' U' R F' U2
F' L2 D U R' U R'
F' L2 D' L2 U R' U
F' L2 D2 U R' B2 U
D2 L2 F' U R' B' U
D' L2 F' U R' B' U
D L2 F' U R' B' U
L2 U R' D B' L U
L' U R' B' U R' B
L2 U R2 B' R U B2
F' L2 B2 U' L F2 U'
F' L2 B2 U' F2 L U'
F' R D R' B2 L U2
F' R D B2 U2 L R2
F' R D B2 U2 R2 L
F' R D' L2 R' U2 F2
F' R D' R' L2 U2 F2
F R D2 L2 U' B2 L
R' U' R F' U' F2 U'
R' U' R F' U2 D R2
R' U' R F' D U2 R2
R' U' R F' D' L2 U2
U R' L' U B' R' B
U R' L2 D B' L U
F R' U R F2 U2 F2
F R' U F2 U2 L' F2
F R' U' R F2 U2 R'
U R' U2 R' F U' B
U R' U2 F R' U' B
U R' D L2 B' L U
U R2 L2 B' R U B2
F R2 D R2 B2 L U'
U' R2 F2 L' F' U' B
L2 D F' U R' B' U
L D F' U R' U R2
L D F' U2 R D' F2
F' U R' U R D R2
F' U R' U R' D R2
F' U R' U R2 D R2
F' U R' U D R2 D
F' U R' U D R2 D'
F' U R' U D R2 D2
F' U R' U' D' L2 U2
F' U R' U2 F2 U' D
F' U R' U2 F2 U' D'
F' U R' U2 F2 U' D2
F' U R' U2 F2 D U'
F' U R' U2 F2 D' U'
F' U R' U2 F2 D2 U'
F' U R' D U R2 D
F' U R' D U R2 D'
F' U R' D U R2 D2
F' U R' D B U R2
F' U R' D B' U R2
F' U R' D B2 U R2
F' U R' D' U' L2 U2
F' U R' D2 B2 U D
F' U R' D2 B2 U D'
F' U R' D2 B2 U D2
F' U R' D2 B2 D U
F' U R' D2 B2 D' U
F' U R' D2 B2 D2 U
F' U R' B U D R2
F' U R' B U2 F2 U'
F' U R' B D U R2
F' U R' B D2 B2 U
F' U R' B' U D R2
F' U R' B' U2 F2 U'
F' U R' B' D U R2
F' U R' B' D2 B2 U
F' U R' B2 U D R2
F' U R' B2 U2 F2 U'
F' U R' B2 D U R2
F' U R' B2 D2 B2 U
F' U R2 U2 F2 L' U'
F' U R2 D R U R
F' U R2 D2 R B2 U
F' U R2 D2 B2 R U
F' U D R' U R' D
F' U D R' U R' D'
F' U D R' U R' D2
F' U D R' U D R'
F' U D R' U D' R'
F' U D R' U D2 R'
F' U D R' D U R'
F' U D R' D' U R'
F' U D R' D2 U R'
F' U D' R' U D2 R2
F' U D' R' U' L2 U2
F' U D' R' D' B2 U
F' U D' R' D2 U R2
F' U D2 R B2 R2 U
F' U D2 R' U D' R2
F' U D2 R' D' U R2
F' U D2 R' B2 U D
F' U D2 R' B2 U D'
F' U D2 R' B2 U D2
F' U D2 R' B2 D U
F' U D2 R' B2 D' U
F' U D2 R' B2 D2 U
F' U D2 R2 B2 R U
F' U D2 B2 U2 L U'
F U F2 U R' F2 U
F U F2 U F2 R' U
F' U B2 U2 L F2 U'
F' U B2 U2 F2 L U'
F' U B2 D2 B2 R' U
F' U' L F2 U2 R' U
F' U' L' F2 U2 R' U
F' U' L2 F2 U2 R' U
L2 D' F' U R' B' U
F' U' R2 F2 L' R2 U'
F' U' R2 F2 R2 L' U'
B2 U' R2 F L U' B
B2 U' F L U F2 U2
B2 U' F L U' D2 B2
B2 U' F L D R2 U'
B2 U' F L D2 U' B2
B2 U' F D L R2 U'
B2 U' F D R2 L U'
B2 U' F D2 L U' B2
F' U' F2 L U2 R' U
F' U' F2 L' U2 R' U
F' U' F2 L2 U2 R' U
F' U' F2 U2 R' U D
F' U' F2 U2 R' U D'
F' U' F2 U2 R' U D2
F' U' F2 U2 R' D U
F' U' F2 U2 R' D' U
F' U' F2 U2 R' D2 U
F' U' F2 U2 D R' U
F' U' F2 U2 D' R' U
F' U' F2 U2 D2 R' U
F' U' F2 D U2 R' U
F' U' F2 D' U2 R' U
F' U' F2 D2 U2 R' U
F' U' F2 B2 L B2 U'
F' U' B2 L F2 B2 U'
F' U' B2 L B2 F2 U'
F' U' B2 F2 L B2 U'
L2 D2 F' U R' B' U
F' U2 R D R2 D2 F2
F' U2 R D' F2 D2 R2
L D2 F' U R' B U
F' U2 R' U F2 U' F2
F' U2 R' D R2 D' F2
F' U2 R2 U F2 L' U'
F U2 R' D' L2 U L2
F' U2 D R D' R F2
F' U2 D R2 U' R U
F' U2 D2 R D' R2 F2
F' U2 D2 R D' F2 R2
F U2 D' L2 R' U L2
F U2 D' R' L2 U L2
U' F R D2 L2 U' B2
U' F R' U F2 U2 F2
F' U2 F2 U' R' U R
U' F U F2 U R' U
F' D L U R' U R'
U' F U2 R' U D2 B2
U' F U2 R' U' F2 U2
U' F U2 R' D' L2 U
U' F U2 R' D2 U B2
U' F U2 D' L2 R' U
U' F U2 D' R' L2 U
U' F U2 D2 R' U B2
F' D L' U R' U R'
U' F D R2 U2 R U
F' D L2 U R' U R'
U' F D' U2 L2 R' U
U' F D' U2 R' L2 U
U' F D2 U2 R' U B2
F' D U R' U R' D
F' D U R' U R' D'
F' D U R' U R' D2
F' D U R' U D R'
F' D U R' U D' R'
F' D U R' U D2 R'
F' D U R' D U R'
F' D U R' D' U R'
F' D U R' D2 U R'
F' D U2 R D' R F2
F' D U2 R2 U' R U
L' F' L' U R' B' U
L F' L U R' B' U
B2 D F' U' L F2 U'
B2 D F' U' F2 L U'
D2 F' U R' U D R2
D' F' U R' U D R2
D2 F' U R' U2 F2 U'
D' F' U R' U2 F2 U'
D2 F' U R' D U R2
D' F' U R' D U R2
D2 F' U R' D2 B2 U
D' F' U R' D2 B2 U
D2 F' U D R' U R'
D' F' U D R' U R'
L' F' U R' B' U R'
D2 F' U D2 R' B2 U
D' F' U D2 R' B2 U
L2 F' U R B' R2 U
L2 F' U R' D B' U
L2 F' U R' D' B' U
L2 F' U R' D2 B' U
L2 F' U R' B' U D
L2 F' U R' B' U D'
L2 F' U R' B' U D2
L2 F' U R' B' D U
L2 F' U R' B' D' U
L2 F' U R' B' D2 U
L2 F' U R2 B' R U
L2 F' U D R' B' U
F' D B2 U' L U' R2
L2 F' U D' R' B' U
L2 F' U D2 R' B' U
D F' U R' U D R2
D F' U R' U2 F2 U'
D F' U R' D U R2
D F' U R' D2 B2 U
D2 F' U' F2 U2 R' U
D' F' U' F2 U2 R' U
D F' U D R' U R'
D F' U D2 R' B2 U
L F' U D2 R' B U
D F' U' F2 U2 R' U
D2 F' D U R' U R'
D' F' D U R' U R'
F' D' L2 U R' U D
F' D' L2 U R' U D'
F' D' L2 U R' U D2
F' D' L2 U R' D U
F' D' L2 U R' D' U
F' D' L2 U R' D2 U
F' D' L2 U D R' U
F' D' L2 U D' R' U
F' D' L2 U D2 R' U
D2 F' D' L2 U R' U
F' D' L2 D U R' U
D' F' D' L2 U R' U
F' D' L2 D' U R' U
L2 F' D U R' B' U
F' D' L2 D2 U R' U
F' D' L2 B2 U' L U'
D F' D U R' U R'
L2 F' D' U R' B' U
D2 F' D2 U R' B2 U
D' F' D2 U R' B2 U
D F' D' L2 U R' U
L2 F' D2 U R' B' U
D F' D2 U R' B2 U
L F' D2 U R' B U
F' D' U R' U D2 R2
F' D' U R' U' L2 U2
F' D' U R' D' B2 U
F' D' U R' D2 U R2
D2 F' B2 U' L F2 U'
D' F' B2 U' L F2 U'
D2 F' B2 U' F2 L U'
D' F' B2 U' F2 L U'
D F' B2 U' L F2 U'
D F' B2 U' F2 L U'
F D' U2 L2 R' U L2
F D' U2 R' L2 U L2
B2 D' F' U' L F2 U'
B2 D' F' U' F2 L U'
F' D' B2 L2 U' L' U'
F' D2 L U R' B2 U
F' D2 L' U R' B2 U
F' D2 L2 U R' B2 U
F' D2 U R B2 R2 U
F' D2 U R' U D' R2
F' D2 U R' D' U R2
F' D2 U R' B2 U D
F' D2 U R' B2 U D'
F' D2 U R' B2 U D2
F' D2 U R' B2 D U
F' D2 U R' B2 D' U
F' D2 U R' B2 D2 U
F' D2 U R2 B2 R U
F' D2 U B2 U2 L U'
F' D2 U2 R D' R2 F2
F' D2 U2 R D' F2 R2
B' D2 F' U' F2 L' U'
B2 D2 F' U' L F2 U'
B2 D2 F' U' F2 L U'
F' B U' L F2 U' F'
F' B U' F2 L U' F
B2 F' L U' F2 U' F2
B2 F' L' U' L2 F2 U'
B2 F' L' U' F2 L2 U'
B2 F' L' U2 D R2 F2
B2 F' L' U2 D F2 R2
B2 F' L' D U2 R2 F2
B2 F' L' D U2 F2 R2
B2 F' L' D' L2 B2 U2
B2 F' L' D' B2 L2 U2
B2 F' L2 U' L' F2 U'
B2 F' U D2 B2 R' U
B2 F' U' L U' D R2
B2 F' U' L D U' R2
B2 F' U' L F2 U' D
B2 F' U' L F2 U' D'
B2 F' U' L F2 U' D2
B2 F' U' L F2 D U'
B2 F' U' L F2 D' U'
B2 F' U' L F2 D2 U'
B2 F' U' L' F2 L2 U'
B2 F' U' D L U' R2
B2 F' U' F' L F' U'
B2 F' U' F2 L U' D
B2 F' U' F2 L U' D'
B2 F' U' F2 L U' D2
B2 F' U' F2 L D U'
B2 F' U' F2 L D' U'
B2 F' U' F2 L D2 U'
B2 F' U' F2 D L U'
B2 F' U' F2 D' L U'
B2 F' U' F2 D2 L U'
B F' U' L F2 U' F'
B' F' D L B' U2 R2
B' F' D L' U2 R2 F
B' F' D L' U2 F R2
B F' U' F2 L U' F
F' B' D L B' U2 R2
F' B' D L' U2 R2 F
F' B' D L' U2 F R2
B2 F' D U' L U' R2
B2 F' D' L2 U' L' U'
B2 F' D2 U B2 R' U
F' B2 L U' F2 U' F2
F' B2 L' U' L2 F2 U'
F' B2 L' U' F2 L2 U'
F' B2 L' U2 D R2 F2
F' B2 L' U2 D F2 R2
F' B2 L' D U2 R2 F2
F' B2 L' D U2 F2 R2
F' B2 L' D' L2 B2 U2
F' B2 L' D' B2 L2 U2
F' B2 L2 U' L' F2 U'
F' B2 U D2 B2 R' U
F' B2 U' L U' D R2
F' B2 U' L D U' R2
F' B2 U' L F2 U' D
F' B2 U' L F2 U' D'
F' B2 U' L F2 U' D2
F' B2 U' L F2 D U'
F' B2 U' L F2 D' U'
F' B2 U' L F2 D2 U'
F' B2 U' L' F2 L2 U'
F' B2 U' D L U' R2
F' B2 U' F' L F' U'
F' B2 U' F2 L U' D
F' B2 U' F2 L U' D'
F' B2 U' F2 L U' D2
F' B2 U' F2 L D U'
F' B2 U' F2 L D' U'
F' B2 U' F2 L D2 U'
F' B2 U' F2 D L U'
F' B2 U' F2 D' L U'
F' B2 U' F2 D2 L U'
F' B2 D U' L U' R2
F' B2 D' L2 U' L' U'
D2 B2 F' U' L F2 U'
D2 B2 F' U' F2 L U'
D' B2 F' U' L F2 U'
D' B2 F' U' F2 L U'
F' B2 D2 U B2 R' U
D B2 F' U' L F2 U'
D B2 F' U' F2 L U'
