F' L R2 B R' U'
D2 L F' R B2 U'
D2 L F' B2 R U'
D2 L B2 F' R U'
F' R2 L B R' U'
L D2 F' R B2 U'
L D2 F' B2 R U'
L D2 B2 F' R U'
D2 F' L R B2 U'
D2 F' L B2 R U'
D2 F' R L B2 U'
L F' R2 B R' U'
F' L R' B R' B U'
F' L R2 B R' U' D
F' L R2 B R' U' D'
F' L R2 B R' U' D2
F' L R2 B R' D U'
F' L R2 B R' D' U'
F' L R2 B R' D2 U'
F' L R2 B D R' U'
F' L R2 B D' R' U'
F' L R2 B D2 R' U'
D L D F' B2 U' B
D L D B2 F' U' B
D' L D' F' R U' L
D' L D2 F' U' L B'
U' L D2 F' R B2 U'
U2 L D2 F' R B2 U'
D L D2 F' U' B' L2
U' L D2 F' B2 R U'
U2 L D2 F' B2 R U'
U L D2 F' R B2 U'
U L D2 F' B2 R U'
U2 L D2 B2 F' R U'
U' L D2 B2 F' R U'
U L D2 B2 F' R U'
D2 L F' R U' D L2
D2 L F' R D U' L2
D2 L F' R B2 U' D
D2 L F' R B2 U' D'
D2 L F' R B2 U' D2
D2 L F' R B2 D U'
D2 L F' R B2 D' U'
D2 L F' R B2 D2 U'
D' L F' R' U' L B
D2 L F' R' B2 R2 U'
U2 L F' R2 B R' U'
U' L F' R2 B R' U'
D' L F' U' D2 L B'
D L F' U R2 U2 B'
D2 L F' D R U' L2
D L F' U' D2 B' L2
D L F' U' B' D2 L2
U L F' R2 B R' U'
D' L F' D2 U' L B'
D L F' D B2 U' B
D2 L F' B' R B' U'
D L F' D2 U' B' L2
D2 L F' B2 R U' D
D2 L F' B2 R U' D'
D2 L F' B2 R U' D2
D2 L F' B2 R D U'
D2 L F' B2 R D' U'
D2 L F' B2 R D2 U'
D2 L F' B2 D R U'
D2 L F' B2 D' R U'
D2 L F' B2 D2 R U'
F' L B R2 B R U'
F' L B' U2 L F' U
F' L B' U2 F' L U
D2 L B' F' R B' U'
F' L B2 U2 F' L' U
D2 L B2 F' R U' D
D2 L B2 F' R U' D'
D2 L B2 F' R U' D2
D2 L B2 F' R D U'
D2 L B2 F' R D' U'
D2 L B2 F' R D2 U'
D2 L B2 F' D R U'
D2 L B2 F' D' R U'
D2 L B2 F' D2 R U'
F' L' R2 B L2 R' U'
F' L' R2 B R' L2 U'
D2 L' F' L2 R B2 U'
D2 L' F' L2 B2 R U'
D2 L' F' R L2 B2 U'
D2 L' F' R B2 L2 U'
D2 L' F' B2 L2 R U'
D2 L' F' B2 R L2 U'
B' L' F2 L2 B' R' U
D2 L' B2 L2 F' R U'
D2 L' B2 F' L2 R U'
D2 L' B2 F' R L2 U'
F' L2 R2 B L' R' U'
F' L2 R2 B R' L' U'
F2 L2 B' L U D F2
F2 L2 B' L U2 L2 U'
F2 L2 B' L D U F2
F2 L2 B' L D2 R2 U
D2 L2 B2 L' F' R U'
F' R' L B R' B U'
F' R' D L U' B' L
F' R2 L B R' U' D
F' R2 L B R' U' D'
