B' D L2 U2 B'
B' D F L2 U2
B' D' F U2 R2
B' F U B2 U
B' F U2 D' R2
B' F D L2 U2
B' F D' U2 R2
F B' U B2 U
F B' U2 D' R2
F B' D L2 U2
F B' D' U2 R2
B' L2 U B2 U B
F L2 U B U F
B' L2 U2 D' R2 B'
B' L2 U2 D' B' R2
B' L2 D L2 F U2
B' L2 D' U2 R2 B'
B' L2 D' U2 B' R2
U L2 B U F B2
U L2 B U B2 F
L2 U B U F B2
L2 U B U B2 F
L2 U2 F B' D' R2
L2 U2 B' D' R2 F
L2 U2 B' D' F R2
L2 U2 B' F D' R2
B' U L2 B2 U B
F U B U D2 F2
F U B U' B2 U2
B' U B2 L2 U B'
F U B D' R2 U
F U B D2 U F2
B' U B2 U' F U2
B' D L2 U2 D B'
B' D L2 U2 D B'
B' D L2 U2 D' B'
B' D L2 U2 D2 B'
B' D L2 U2 B' D
B' D L2 U2 B' D'
B' D L2 U2 B' D2
B' D L2 D U2 B'
B' D L2 D' U2 B'
B' D L2 D2 U2 B'
B' D L2 F U2 B'
B' D L2 F' U2 B'
B' D L2 F2 U2 B'
D2 F B' U B2 U
D2 F B' U2 D' R2
D2 F B' D L2 U2
D' F B' U B2 U
D2 F B' D' U2 R2
D' F B' U2 D' R2
D' F B' D L2 U2
D' F B' D' U2 R2
D F B' U B2 U
D F B' U2 D' R2
D F B' D L2 U2
D F B' D' U2 R2
B' D F L2 U2 D
B' D F L2 U2 D'
B' D F L2 U2 D2
B' D F L2 D U2
B' D F L2 D' U2
B' D F L2 D2 U2
B' D F U2 D2 R2
B' D F D2 U2 R2
B' D F' L2 F2 U2
B' D F2 L2 F' U2
F D B' U B2 U
F D B' U2 D' R2
F D B' D L2 U2
F D B' D' U2 R2
B' D' L2 U2 R2 B'
B' D' L2 U2 B' R2
B' D' F L U2 R2
B' D' F L' U2 R2
B' D' F L2 U2 R2
B' D' F U2 R2 D
B' D' F U2 R2 D'
B' D' F U2 R2 D2
B' D' F D2 L2 U2
B' D' F2 U2 R2 B
F D' B' U B2 U
F D' B' U2 D' R2
F D' B' D L2 U2
F D' B' D' U2 R2
B' D2 F U' F U'
B' F L U B2 U
B' F L U2 D' R2
B' F L D L2 U2
B' F L D' U2 R2
F D2 B' U B2 U
F D2 B' U2 D' R2
F D2 B' D L2 U2
F D2 B' D' U2 R2
B' F L' U B2 U
B' F L' U2 D' R2
B' F L' D L2 U2
B' F L' D' U2 R2
B' F L2 U B2 U
B' F L2 U2 D' R2
B' F L2 D L2 U2
B' F L2 D' U2 R2
U B U' F B2 U2
U B U' B2 F U2
B' F U B2 U D
B' F U B2 U D'
B' F U B2 U D2
B' F U B2 D U
B' F U B2 D' U
B' F U B2 D2 U
B' F U' D2 F2 U'
B' F U2 R D' R2
B' F U2 R' D' R2
B' F U2 R2 D' R2
B' F U2 D' R2 D
B' F U2 D' R2 D'
B' F U2 D' R2 D2
B' F D L2 U2 D
B' F D L2 U2 D'
B' F D L2 U2 D2
B' F D L2 D U2
B' F D L2 D' U2
B' F D L2 D2 U2
B' F D' L U2 R2
B' F D' L' U2 R2
B' F D' L2 U2 R2
B' F D' U2 R2 D
B' F D' U2 R2 D'
B' F D' U2 R2 D2
B' F D2 U' F2 U'
F B' L U B2 U
F B' L U2 D' R2
F B' L D L2 U2
F B' L D' U2 R2
F B' L' U B2 U
F B' L' U2 D' R2
F B' L' D L2 U2
F B' L' D' U2 R2
D2 B' D L2 U2 B'
F B' L2 U B2 U
F B' L2 U2 D' R2
D' B' D L2 U2 B'
F B' L2 D L2 U2
F B' L2 D' U2 R2
D2 B' D F L2 U2
D' B' D F L2 U2
D2 B' D' F U2 R2
D B' D L2 U2 B'
D' B' D' F U2 R2
D B' D F L2 U2
D B' D' F U2 R2
D2 B' F U B2 U
D2 B' F U2 D' R2
D2 B' F D L2 U2
D2 B' F D' U2 R2
D' B' F U B2 U
D' B' F U2 D' R2
D' B' F D L2 U2
D' B' F D' U2 R2
D B' F U B2 U
F B' U B2 U D
F B' U B2 U D'
F B' U B2 U D2
F2 B' U2 D' R2 B
F B' U B2 D U
F B' U B2 D' U
F B' U B2 D2 U
D B' F U2 D' R2
D B' F D L2 U2
D B' F D' U2 R2
F B' U' D2 F2 U'
F2 B' D L2 F' U2
F2 B' D F' L2 U2
F B' U2 R D' R2
F B' U2 R' D' R2
F B' U2 R2 D' R2
F B' U2 D' R2 D
F B' U2 D' R2 D'
F B' U2 D' R2 D2
F2 B' D' U2 R2 B
F B' D L2 U2 D
F B' D L2 U2 D'
F B' D L2 U2 D2
F B' D L2 D U2
F B' D L2 D' U2
F B' D L2 D2 U2
F2 B' D' F' U2 R2
F B' D' L U2 R2
F B' D' L' U2 R2
F B' D' L2 U2 R2
F B' D' U2 R2 D
F B' D' U2 R2 D'
F B' D' U2 R2 D2
F B' D2 U' F2 U'
B' F2 U2 D' R2 B
B' F2 D L2 F' U2
B' F2 D F' L2 U2
B' F2 D' U2 R2 B
B' F2 D' F' U2 R2
B' L U L B2 U B
B' L U B2 L U B'
F L U B U2 L U'
F L U B' R' B2 U
U L B L U F B'
U L B L U B' F
F L B2 U B' R' U
F L' U D' B R' U
B' L' U B L B U
B' L' U2 R D' B R2
B' L' U2 R' D' R2 B
B' L' U2 D' R B R
B' L' D L F L U2
B' L' D' L F U2 R2
B' L' D' L' U2 R2 B'
B' L' D' L' U2 B' R2
B' L' D' U2 R B R
F L' D' U B R' U
U L' B L' U F B'
U L' B L' U B' F
U' L2 R' U' F B' R'
U' L2 R' U' B' R' F
U' L2 R' U' B' F R'
U L2 R' U F R B'
U L2 R' U F B' R
U L2 R' U B' F R
U' L2 R2 F' U' F2 B'
U' L2 R2 F' U' B' F2
F L2 U R' U F R
D2 L2 U B U F B2
D2 L2 U B U B2 F
D' L2 U B U F B2
D' L2 U B U B2 F
F L2 U D B U F
B' L2 U B2 L U B
B' L2 U B2 L' U B
B' L2 U B2 L2 U B
B' L2 U B2 U D B
B' L2 U B2 U D' B
B' L2 U B2 U D2 B
B' L2 U B2 U B D
B' L2 U B2 U B D'
B' L2 U B2 U B D2
B' L2 U B2 D U B
B' L2 U B2 D' U B
B' L2 U B2 D2 U B
F L2 U D' B U F
F L2 U D2 B U F
D L2 U B U F B2
D L2 U B U B2 F
U L2 U F B' D' R2
F L2 U B R U F
F L2 U B R' U F
F L2 U B R2 U F
F L2 U B U D F
F L2 U B U D' F
F L2 U B U D2 F
F L2 U B U F D
F L2 U B U F D'
F L2 U B U F D2
F L2 U B D U F
F L2 U B D' U F
F L2 U B D2 U F
U L2 U B' D' R2 F
U L2 U B' D' F R2
U L2 U B' F D' R2
B' L2 U' D2 F2 U' B'
U' L2 U' F B' D' R2
U' L2 U' B' D' R2 F
U' L2 U' B' D' F R2
U' L2 U' B' F D' R2
B' L2 U2 R D' R2 B'
B' L2 U2 R D' B' R2
B' L2 U2 R' D' R2 B'
B' L2 U2 R' D' B' R2
B' L2 U2 R2 D' R2 B'
B' L2 U2 R2 D' B' R2
B' L2 U2 D B' D2 R2
B' L2 U2 D' R B' R
B' L2 U2 D' R2 D B'
B' L2 U2 D' R2 D' B'
B' L2 U2 D' R2 D2 B'
B' L2 U2 D' R2 B' D
B' L2 U2 D' R2 B' D'
B' L2 U2 D' R2 B' D2
B' L2 U2 D' B R2 B2
B' L2 U2 D' B' R2 D
B' L2 U2 D' B' R2 D'
B' L2 U2 D' B' R2 D2
B' L2 U2 D2 B' D R2
D2 L2 U2 F B' D' R2
D' L2 U2 F B' D' R2
D2 L2 U2 B' D' R2 F
D2 L2 U2 B' D' F R2
D2 L2 U2 B' F D' R2
U' L2 U2 B U F B2
U' L2 U2 B U B2 F
F L2 U2 R2 F D R2
B' L2 U2 B' U' B' U
D' L2 U2 B' D' R2 F
D' L2 U2 B' D' F R2
D' L2 U2 B' F D' R2
D L2 U2 F B' D' R2
F L2 U2 F U' B U
B' L2 D L2 D F U2
B' L2 D L2 D' F U2
B' L2 D L2 D2 F U2
B' L2 D L2 F U2 D
B' L2 D L2 F U2 D'
B' L2 D L2 F U2 D2
B' L2 D L2 F D U2
B' L2 D L2 F D' U2
B' L2 D L2 F D2 U2
D L2 U2 B' D' R2 F
D L2 U2 B' D' F R2
D L2 U2 B' F D' R2
B' L2 D U2 B' D2 R2
B' L2 D F L2 F U2
B' L2 D F' L2 F U2
B' L2 D F2 L2 F U2
F L2 D U B U F
B' L2 D' L2 F U2 R2
U L2 D B U F B2
U L2 D B U B2 F
B' L2 D' U2 R B' R
B' L2 D' U2 R2 D B'
B' L2 D' U2 R2 D' B'
B' L2 D' U2 R2 D2 B'
B' L2 D' U2 R2 B' D
B' L2 D' U2 R2 B' D'
B' L2 D' U2 R2 B' D2
B' L2 D' U2 B R2 B2
B' L2 D' U2 B' R2 D
B' L2 D' U2 B' R2 D'
B' L2 D' U2 B' R2 D2
B' L2 D' F U2 R2 B'
B' L2 D' F U2 B' R2
B' L2 D' F' U2 R2 B'
B' L2 D' F' U2 B' R2
B' L2 D' F2 U2 R2 B'
B' L2 D' F2 U2 B' R2
F L2 D' U B U F
U L2 D' B U F B2
U L2 D' B U B2 F
B' L2 D2 U' F2 U' B'
B' L2 D2 U2 B' D R2
F L2 D2 U B U F
B' L2 F U B2 U B
U L2 D2 B U F B2
U L2 D2 B U B2 F
B' L2 F U2 D' R2 B'
B' L2 F U2 D' B' R2
B' L2 F D L2 F U2
B' L2 F D' U2 R2 B'
B' L2 F D' U2 B' R2
U2 L2 F B' L2 D' R2
L' U L2 B L U F
B' L2 F' U B2 U B
B' L2 F' U2 D' R2 B'
B' L2 F' U2 D' B' R2
B' L2 F' D L2 F U2
F2 L2 F' U B U F2
B' L2 F' D' U2 R2 B'
B' L2 F' D' U2 B' R2
R' U R F B' U2 R
R' U R B' F U2 R
F' L2 F2 U B U F'
B' L2 F2 U B2 U B
B' L2 F2 U2 D' R2 B'
B' L2 F2 U2 D' B' R2
B' L2 F2 D L2 F U2
B' L2 F2 D' U2 R2 B'
B' L2 F2 D' U2 B' R2
L2 U R' U F R B'
L2 U R' U F B' R
L2 U R' U B' F R
U2 L2 B U F L2 B2
U2 L2 B U F B2 L2
U2 L2 B U B2 F L2
B2 L2 B U' F U' B2
U L2 B R U F B2
U L2 B R U B2 F
U L2 B R' U F B2
U L2 B R' U B2 F
U L2 B R2 U F B2
U L2 B R2 U B2 F
U L2 B U F B2 D
U L2 B U F B2 D'
U L2 B U F B2 D2
U L2 B U B2 D F
U L2 B U B2 D' F
U L2 B U B2 D2 F
U L2 B U B2 F D
U L2 B U B2 F D'
U L2 B U B2 F D2
F L2 B' U B2 U F
U2 L2 B' F L2 D' R2
F L2 B' U2 D' R2 F
F L2 B' U2 D' F R2
F L2 B' U2 F D' R2
F L2 B' D L2 B' U2
F L2 B' D' U2 R2 F
F L2 B' D' U2 F R2
L2 U D B U F B2
L2 U D B U B2 F
L' U D' B L R' U
L' U D' B R' L U
B L2 B2 U B2 U B'
B L2 B2 U2 D' B R2
F L2 B2 U B' U F
B L2 B2 D L2 U2 B
B L2 B2 D' U2 B R2
L2 U D' B U F B2
L2 U D' B U B2 F
L2 U D2 B U F B2
L2 U D2 B U B2 F
L' U B L U' B' U2
B R U' R' F B2 U2
B R U' R' B2 F U2
L2 U B R U F B2
B R U' F R' B2 U2
L2 U B R U B2 F
B R U' F B2 U2 L
L2 U B R' U F B2
L2 U B R' U B2 F
L2 U B R2 U F B2
L2 U B R2 U B2 F
L2 U B U F B2 D
L2 U B U F B2 D'
L2 U B U F B2 D2
L2 U B U B2 D F
L2 U B U B2 D' F
L2 U B U B2 D2 F
