R2 U2 R2 B' U' R'
R2 U2 B' R2 U' R
R2 D2 L2 F U R
B' U2 R2 B' U R'
B' U2 B' R2 U R
D2 F B' L2 U' R
D' F B' U' R F
B' D' F U' R F
F' D' B' U' F2 R
F D' B' U' R F2
B' D2 L2 F U' R
B' D2 F L2 U' R
F D2 B' L2 U' R
B' F U' D' R F2
B' F U' D' R F2
B' F U2 R2 U R'
D2 B' L2 F U' R
B' F D' U' R F2
B' F D2 L2 U' R
F' B' U' D' F2 R
D2 B' F L2 U' R
B' F' U' D' F2 R
D' B' F U' R F
F B' U' D' R F2
F' B' D' U' F2 R
B' F' D' U' F2 R
F B' U2 R2 U R'
F B' D' U' R F2
F B' D2 L2 U' R
B' L U2 R2 B' U R'
B' L U2 B' R2 U R
B' L D' F U' R F
B' L D2 L2 F U' R
B' L D2 F L2 U' R
B' L F U' D' R F2
B' L F U2 R2 U R'
B' L F D' U' R F2
B' L F D2 L2 U' R
B' L F' U' D' F2 R
B' L F' D' U' F2 R
B' L' U2 R2 B' U R'
B' L' U2 B' R2 U R
B' L' D' F U' R F
B' L' D2 L2 F U' R
B' L' D2 F L2 U' R
B' L' F U' D' R F2
B' L' F U2 R2 U R'
B' L' F D' U' R F2
B' L' F D2 L2 U' R
B' L' F' U' D' F2 R
B' L' F' D' U' F2 R
L2 R2 D F U R B2
L2 R2 D F U B2 R
R2 L2 D F U R B2
R2 L2 D F U B2 R
L2 R2 D2 F L2 U R
R2 L2 D2 F L2 U R
L2 R2 F U D R B2
L2 R2 F U D B2 R
R2 L2 F U D R B2
R2 L2 F U D B2 R
L2 R2 F U2 R2 U' R'
R2 L2 F U2 R2 U' R'
L2 R2 F D U R B2
L2 R2 F D U B2 R
R2 L2 F D U R B2
R2 L2 F D U B2 R
L2 R2 F D2 L2 U R
R2 L2 F D2 L2 U R
B' L2 U2 R2 B' U R'
D2 L2 U2 F B' U R'
D2 L2 U2 B' F U R'
B' L2 U2 B' R2 U R
F L2 U2 R2 F U R'
B' L2 D' F U' R F
B' L2 D2 L2 F U' R
B' L2 D2 F L2 U' R
F L2 D2 L2 B' U' R
B' L2 F U' D' R F2
B' L2 F U2 R2 U R'
B' L2 F D' U' R F2
B' L2 F D2 L2 U' R
D2 L2 F' U2 F2 U R
B' L2 F' U' D' F2 R
B' L2 F' D' U' F2 R
D2 L2 F2 U2 F' U R
R2 U2 R B' R U' R2
L2 U2 R2 F B' U R'
R2 U2 R2 D B' U' R'
R2 U2 R2 D' B' U' R'
R2 U2 R2 D2 B' U' R'
R2 U2 R2 F B' U' R'
L2 U2 R2 B' F U R'
R2 U2 R2 F' B' U' R'
R2 U2 R2 F2 B' U' R'
R2 U2 R2 B' U' R' D
R2 U2 R2 B' U' R' D'
R2 U2 R2 B' U' R' D2
R2 U2 R2 B' U' D R'
R2 U2 R2 B' U' D' R'
R2 U2 R2 B' U' D2 R'
R2 U2 R2 B' D U' R'
R2 U2 R2 B' D' U' R'
R2 U2 R2 B' D2 U' R'
R2 U2 R2 B' F U' R'
R2 U2 R2 B' F' U' R'
R2 U2 R2 B' F2 U' R'
R2 U2 D B' U' R' B'
L2 U2 F R2 B' U R'
R2 U2 F R2 B' U' R'
L2 U2 F B' R2 U R
R2 U2 F B' R2 U' R
R2 U2 F' R2 B' U' R'
R2 U2 F' B' R2 U' R
R2 U2 F2 R2 B' U' R'
R2 U2 F2 B' R2 U' R
R2 U2 B R2 B2 U' R'
U2 R2 U2 F B' U' R
U2 R2 U2 B' F U' R
F R2 U2 R2 B' U' R
R2 U2 B' R2 U' R D
R2 U2 B' R2 U' R D'
R2 U2 B' R2 U' R D2
R2 U2 B' R2 U' D R
R2 U2 B' R2 U' D' R
R2 U2 B' R2 U' D2 R
R2 U2 B' R2 D U' R
R2 U2 B' R2 D' U' R
R2 U2 B' R2 D2 U' R
R2 U2 B' U' D R' B2
R2 U2 B' D U' R' B2
L2 U2 B' F R2 U R
R2 U2 B' F R2 U' R
R2 U2 B' F' R2 U' R
R2 U2 B' F2 R2 U' R
F R2 D2 L2 F U R'
R2 D L2 F U R B2
R2 D L2 F U B2 R
U2 R2 B U2 B2 U' R'
U2 R2 B2 U2 B U' R'
B' U L' U R2 B' U
B' U L' U B' R2 U
R2 D U2 B' U' R' B'
B' U' R U' B R U
U2 D' B' U R' F2 L'
L2 D2 L2 F B' U' R
R2 D2 L2 D F U R
R2 D2 L2 D' F U R
R2 D2 L2 D2 F U R
R2 D2 L2 F U R D
R2 D2 L2 F U R D'
R2 D2 L2 F U R D2
R2 D2 L2 F U D R
R2 D2 L2 F U D' R
R2 D2 L2 F U D2 R
R2 D2 L2 F D U R
R2 D2 L2 F D' U R
R2 D2 L2 F D2 U R
R2 D2 L2 F B U R
L2 D2 L2 B' F U' R
R2 D2 L2 F B' U R
R2 D2 L2 F B2 U R
R2 D2 L2 B F U R
R2 D2 L2 B' F U R
R2 D2 L2 B2 F U R
B' U2 R B' R U R2
D' U2 B' U R' F2 L'
B' U2 R2 U2 F U' R
B' U2 R2 D B' U R'
B' U2 R2 D' B' U R'
B' U2 R2 D2 B' U R'
B' U2 R2 B U' L U2
B' U2 R2 B' U R' D
B' U2 R2 B' U R' D'
B' U2 R2 B' U R' D2
B' U2 R2 B' U D R'
B' U2 R2 B' U D' R'
B' U2 R2 B' U D2 R'
B' U2 R2 B' D U R'
B' U2 R2 B' D' U R'
B' U2 R2 B' D2 U R'
B2 U2 R2 F' B' U R'
B2 U2 R2 B' F' U R'
B' U2 D' B' U R' F2
B' U2 D' B' U F2 R'
B' U2 B R2 U' L U2
B' U2 B R2 B2 U R'
B' U2 B' R2 U R D
B' U2 B' R2 U R D'
B' U2 B' R2 U R D2
B' U2 B' R2 U D R
B' U2 B' R2 U D' R
B' U2 B' R2 U D2 R
B' U2 B' R2 D U R
B' U2 B' R2 D' U R
B' U2 B' R2 D2 U R
B' U2 B' R2 B U R
B' U2 B' R2 B' U R
B' U2 B' R2 B2 U R
L2 F R2 U D R' B2
B' U2 B' U D' R' F2
B' U2 B' U D' F2 R'
L2 F R2 U2 R2 U' R
L2 F R2 D U R' B2
B' U2 B' D' U R' F2
B' U2 B' D' U F2 R'
L2 F R2 D2 L2 U R'
B' U2 B2 R2 B U R'
F2 U2 B2 R2 F' U R
F U2 B2 R2 F' U R'
D' F D B' U' R F
D2 F D B' U' R F2
R2 F U2 B' R2 U' R'
D' F D' B' U' R F
D F D B' L2 U' R
D' F D2 B' U' R F
D2 F B L2 B2 U' R
D2 F B' L2 U' R D
D2 F B' L2 U' R D'
D2 F B' L2 U' R D2
D2 F B' L2 U' D R
D2 F B' L2 U' D' R
D2 F B' L2 U' D2 R
D2 F B' L2 D U' R
D2 F B' L2 D' U' R
D2 F B' L2 D2 U' R
D F D2 B' U' R F2
D' F B' U' R D F
D' F B' U' R D' F
D' F B' U' R D2 F
D' F B' U' R F D
D' F B' U' R F D'
D' F B' U' R F D2
D' F B' U' R' F R2
D' F B' U' R2 F R'
D2 F B' U' R D F2
D' F B' U' D R F
D' F B' U' D' R F
D' F B' U' D2 R F
D2 F B' U' D R F2
D' F B' D U' R F
D2 F B' D U' R F2
D' F B' D' U' R F
D' F B' D2 U' R F
D2 F B2 L2 B U' R
D F B' L2 U' R F
D F B' U B' U2 R
B' D F U B2 U2 R
B' D F U' R D2 F2
B' D F U' D2 R F2
B' D F D L2 U' R
B' D F D2 U' R F2
B' D F' U L' B2 U2
B' D F' U B2 L' U2
B' D F' U' D2 F2 R
B' D F' D2 U' F2 R
F' D B' U B' L' U2
F D B' L2 U' R F
F D B' U B' U2 R
B' D' L F U' R F
L2 F' U' D' F2 L2 R
L2 F' U' D' F2 R L2
B' D' L' F U' R F
L2 F' U2 R2 F2 U R
L2 F' U2 F2 R2 U R'
D2 F' D B' U' F2 R
B' D' L2 F U' R F
L2 F' D' U' F2 L2 R
L2 F' D' U' F2 R L2
L2 F' D2 L2 B2 U' R'
D2 F' B L2 B2 U' R'
D2 F' B' L2 U L U2
D' F' B' U L' U2 F'
D F' D2 B' U' F2 R
D2 F' B' U' D F2 R
D' F' B' U' F2 R F
D2 F' B' D U' F2 R
D F' B' U B' L' U2
B' D' U2 B' U R' F2
B' D' U2 B' U F2 R'
B' D' F U' R D F
B' D' F U' R D' F
B' D' F U' R D2 F
B' D' F U' R F D
B' D' F U' R F D'
B' D' F U' R F D2
B' D' F U' R' F R2
B' D' F U' R2 F R'
B' D' F U' D R F
B' D' F U' D' R F
B' D' F U' D2 R F
B' D' F D U' R F
B' D' F D' U' R F
B' D' F D2 U' R F
B2 D' F B U' R F
B' D' F' U L' U2 F'
B' D' F' U' F2 R F
F' D' F' B' U' F' R
B2 D' B F U' R F
F' D' B' U L' U2 F2
F2 D' B' L' F U' F
F' D' B' U' R F2 R
F' D' B' U' R' F2 R
F' D' B' U' R2 F2 R
F' D' B' U' F2 R D
F' D' B' U' F2 R D'
F' D' B' U' F2 R D2
F' D' B' U' F2 D R
F' D' B' U' F2 D' R
F' D' B' U' F2 D2 R
F' D' B' F' U' F' R
F D' B' L U' R F2
F D' B' L' U' R F2
F D' B' L2 U' R F2
F D' B' U' R F2 D
F D' B' U' R F2 D'
F D' B' U' R F2 D2
F D' B' U' R' F2 R2
F D' B' U' R2 F2 R'
B' D2 L F L U' R
F D' B' D' L2 U' R
L2 F2 U2 F' R2 U R'
B' D2 L2 U2 B' U R'
B' D2 L2 D F U' R
B' D2 L2 D' F U' R
B' D2 L2 D2 F U' R
B' D2 L2 F U' R D
B' D2 L2 F U' R D'
B' D2 L2 F U' R D2
B' D2 L2 F U' D R
B' D2 L2 F U' D' R
B' D2 L2 F U' D2 R
B' D2 L2 F D U' R
B' D2 L2 F D' U' R
B' D2 L2 F D2 U' R
B' D2 L2 F' U L' U2
B2 D2 L2 F B U' R
B2 D2 L2 B F U' R
D2 F2 B' L2 F' U' R
B' D2 F L2 U' R D
B' D2 F L2 U' R D'
B' D2 F L2 U' R D2
B' D2 F L2 U' D R
B' D2 F L2 U' D' R
B' D2 F L2 U' D2 R
B' D2 F L2 D U' R
B' D2 F L2 D' U' R
B' D2 F L2 D2 U' R
B' D2 F U' R D F2
B' D2 F U' D R F2
B' D2 F D U' R F2
B2 D2 F L2 B U' R
B' D2 F' L2 U L U2
D2 B L2 F B2 U' R
B2 D2 F B L2 U' R
B' D2 F' U' D F2 R
D2 B L2 B2 F U' R
B' D2 F' D U' F2 R
B D2 F L2 B' U' R
B' D2 F2 L2 F' U' R
F' D2 F2 B' L2 U' R
F' D2 B L2 B2 U' R'
B2 D2 B L2 F U' R
B2 D2 B F L2 U' R
F' D2 B' L2 U L U2
U2 B R2 U2 B2 U' R'
F' D2 B' U' D F2 R
F2 D2 B' L2 U L' U2
F2 D2 B' L2 F2 U' R
F' D2 B' D U' F2 R
F D2 B L2 B2 U' R
F' D2 B' F2 L2 U' R
F D2 B' L2 U' R D
F D2 B' L2 U' R D'
F D2 B' L2 U' R D2
F D2 B' L2 U' D R
F D2 B' L2 U' D' R
F D2 B' L2 U' D2 R
F D2 B' L2 D U' R
F D2 B' L2 D' U' R
F D2 B' L2 D2 U' R
B' F L U' D' R F2
B' F L U2 R2 U R'
B' F L D' U' R F2
B' F L D2 L2 U' R
F D2 B' U' R D F2
F D2 B' U' D R F2
F D2 B' D U' R F2
F D2 B2 L2 B U' R
B' F L' U' D' R F2
B' F L' U2 R2 U R'
B' F L' D' U' R F2
B' F L' D2 L2 U' R
B' F L2 U' D' R F2
B' F L2 U2 R2 U R'
B' F L2 D' U' R F2
B' F L2 D2 L2 U' R
D2 B F L2 B2 U' R
D2 B F' L2 B2 U' R'
B' F U D B2 U2 R
B' F U' R U' R U
B' F U' D R D2 F2
B' F U' D' R F2 D
B' F U' D' R F2 D'
B' F U' D' R F2 D2
B' F U' D' R' F2 R2
B' F U' D' R2 F2 R'
