B L U D2 R2 F
B L U D2 F R2
B L U F D2 R2
B L U' L2 B' U2
B L D' B2 U F
B L D2 U R2 F
B L D2 U F R2
L2 U' L F B' U2
L2 U' L B' F U2
B L R U D2 R2 F
B L R U D2 F R2
B L R U F D2 R2
B L R U' L2 B' U2
B L R D' B2 U F
B L R D2 U R2 F
B L R D2 U F R2
B L R' U D2 R2 F
B L R' U D2 F R2
B L R' U F D2 R2
B L R' U' L2 B' U2
L2 R U' L F B' U2
L2 R U' L B' F U2
B L R' D' B2 U F
B L R' D2 U R2 F
B L R' D2 U F R2
B L R2 U D2 R2 F
B L R2 U D2 F R2
B L R2 U F D2 R2
B L R2 U' L2 B' U2
B L R2 D' B2 U F
B L R2 D2 U R2 F
B L R2 D2 U F R2
B L U R D2 R2 F
B L U R D2 F R2
B L U R F D2 R2
B L U R' D2 R2 F
B L U R' D2 F R2
B L U R' F D2 R2
B L U R2 D2 R2 F
B L U R2 D2 F R2
B L U R2 F D2 R2
B L U D' F D' R2
B L U D2 R' F R'
B L U D2 R2 D F
B L U D2 R2 D' F
B L U D2 R2 D2 F
B L U D2 R2 F D
B L U D2 R2 F D'
B L U D2 R2 F D2
B L U D2 F R2 D
B L U D2 F R2 D'
B L U D2 F R2 D2
B L U D2 F' R2 F2
B L U F R D2 R2
B L U F R' D2 R2
B L U F R2 D2 R2
B L U F U2 L2 U2
B L U F D2 R2 D
B L U F D2 R2 D'
B L U F D2 R2 D2
B L U F2 D2 F' R2
B L U' L2 D B' U2
B L U' L2 D' B' U2
B L U' L2 D2 B' U2
B L U' L2 B' U2 D
B L U' L2 B' U2 D'
B L U' L2 B' U2 D2
B L U' L2 B' D U2
B L U' L2 B' D' U2
B L U' L2 B' D2 U2
B L U' B L2 B' U2
B L U' B' L2 B' U2
B L U' B2 L2 B' U2
B L U2 D F2 U' F'
B L D U2 F2 U' F'
B L D' R B2 U F
B L D' R' B2 U F
B L D' R2 B2 U F
B L D' U F D' R2
B L D' B2 R U F
B L D' B2 R' U F
B L D' B2 R2 U F
B L D' B2 U D F
B L D' B2 U D' F
