U' R' D' F L' B'
F' R2 U R F2 B
F' R2 U R B F2
F' U R F2 B R2
F' U R B R2 F2
F' U R B F2 R2
F' U F2 R B R2
F' U' R' F2 L' B'
F' D R2 U R B
U2 F' L' U R' F2
U2 F' L' U F2 R'
F' L R2 U R F2 B
F' L R2 U R B F2
F' L U R F2 B R2
F' L U R B R2 F2
F' L U R B F2 R2
F' L U F2 R B R2
F' L U' R' F2 L' B'
F' L D R2 U R B
U2 L F' L' U R' F
U2 L F' L' U F R'
U' L' R' D B' L F
F' L' R2 U R F2 B
F' L' R2 U R B F2
F' L' U R F2 B R2
F' L' U R B R2 F2
F' L' U R B F2 R2
F' L' U F2 R B R2
F' L' U' R' F2 L' B'
F2 L' U' F' L' R' B'
F2 L' U' F' R' L' B'
F' L' D R2 U R B
F' L2 R2 U R F2 B
F' L2 R2 U R B F2
F' L2 U R F2 B R2
F' L2 U R B R2 F2
F' L2 U R B F2 R2
F' L2 U F2 R B R2
F' L2 U' R' F2 L' B'
F' L2 D R2 U R B
R2 U R D' F L' B
R2 U R D' F B L'
R2 U R D' B F L'
R2 U R B D' F L'
F' R U R B R F2
F' R U F2 R B R
U R U' F B L R2
U R U' F B R2 L
U R U' B R2 F L
U R U' B F L R2
U R U' B F R2 L
R2 U' R D' F L' B'
F' R B L U R2 F2
F' R B L U F2 R2
U R B R2 D' F L'
U' R' L' D B' L F
F R' U' L' F2 U B'
F R' U' F2 L' U B'
U' R' D L' B' L F
U' R' D F L' B' L
U' R' D' F L' D B'
U' R' D' F L' D' B'
U' R' D' F L' D2 B'
U' R' D' F L' B' D
U' R' D' F L' B' D'
U' R' D' F L' B' D2
U' R' D' F D L' B'
U' R' D' F D' L' B'
U' R' D' F D2 L' B'
U' R' D' F B L' B'
U' R' D' F B' L' B'
U' R' D' F B2 L' B'
U' R' D' B F L' B'
U' R' D' B' F L' B'
U' R' D' B2 F L' B'
U R' D' F L' D2 B2
U R' D' F D2 L' B2
U R' D' F D2 B2 L'
