L2 R U L R U
L2 R U R L U
R2 L' U' L' R' U2
R2 L' U' R' L' U2
L' R2 U' L' R' U2
L' R2 U' R' L' U2
R L2 U L R U
R L2 U R L U
D' L' B2 U F2 L'
L' U D' F2 L' R
L' U D' F2 R L'
R2 D' L' B2 U L
L' D' U F2 L' R
L' D' U F2 R L'
L D' F2 B2 L' R'
L D' F2 B2 R' L'
R2 D' B2 L' U L2
L D' B2 F2 L' R'
L D' B2 F2 R' L'
L' F2 R2 U L' R'
L' F2 R2 U R' L'
D' B2 L' U F2 L'
L2 R U L R U D
L2 R U L R U D'
L2 R U L R U D2
L2 R U L R D U
L2 R U L R D' U
L2 R U L R D2 U
L2 R U L D R U
L2 R U L D' R U
L2 R U L D2 R U
L2 R U R L U D
L2 R U R L U D'
L2 R U R L U D2
L2 R U R L D U
L2 R U R L D' U
L2 R U R L D2 U
L2 R U R D L U
L2 R U R D' L U
L2 R U R D2 L U
L2 R U D L R U
L2 R U D R L U
L2 R U D' L R U
L2 R U D' R L U
R2 L U D' B2 L R'
R2 L U D' B2 R' L
L2 R U D2 L R U
L2 R U D2 R L U
L2 R D U L R U
L2 R D U R L U
L2 R D' U L R U
L2 R D' U R L U
R2 L D' U B2 L R'
R2 L D' U B2 R' L
L2 R D2 U L R U
L2 R D2 U R L U
B' L D' F2 B2 L' R'
B' L D' F2 B2 R' L'
U' L D' F2 B2 L' R'
U' L D' F2 B2 R' L'
U2 L D' F2 B2 L' R'
U2 L D' F2 B2 R' L'
B2 L D' F2 B2 L' R'
B2 L D' F2 B2 R' L'
B L D' F2 B2 L' R'
B L D' F2 B2 R' L'
L2 R F' U L U F
B' L D' B2 F2 L' R'
B' L D' B2 F2 R' L'
U' L D' B2 F2 L' R'
U' L D' B2 F2 R' L'
U L D' F2 B2 L' R'
U L D' F2 B2 R' L'
U2 L D' B2 F2 L' R'
U2 L D' B2 F2 R' L'
B2 L D' B2 F2 L' R'
B2 L D' B2 F2 R' L'
B L D' B2 F2 L' R'
B L D' B2 F2 R' L'
U L D' B2 F2 L' R'
U L D' B2 F2 R' L'
L2 R B' U R U B
D' L F2 D' L' R2 B2
D' L F2 D' L' B2 R2
D' L F2 D' R2 L' B2
D' L F2 D' R2 B2 L'
D' L F2 D' B2 L' R2
D' L F2 D' B2 R2 L'
R2 L B2 L2 U L' R'
R2 L B2 L2 U R' L'
R2 L' U' L' R' U2 D
R2 L' U' L' R' U2 D'
R2 L' U' L' R' U2 D2
R2 L' U' L' R' D U2
R2 L' U' L' R' D' U2
R2 L' U' L' R' D2 U2
R2 L' U' L' D R' U2
R2 L' U' L' D' R' U2
R2 L' U' L' D2 R' U2
R2 L' U' R' L' U2 D
R2 L' U' R' L' U2 D'
R2 L' U' R' L' U2 D2
R2 L' U' R' L' D U2
R2 L' U' R' L' D' U2
R2 L' U' R' L' D2 U2
R2 L' U' R' D L' U2
R2 L' U' R' D' L' U2
R2 L' U' R' D2 L' U2
R2 L' U' D L' R' U2
R2 L' U' D R' L' U2
R2 L' U' D' L' R' U2
R2 L' U' D' R' L' U2
R2 L' U' D2 L' R' U2
R2 L' U' D2 R' L' U2
D' L B2 L2 U F2 L'
R2 L' D U' L' R' U2
R2 L' D U' R' L' U2
R' L' D' R' F2 U R
L' R' D' R' F2 U R
B' L' R2 U' L' R' U2
B' L' R2 U' R' L' U2
U' L' R2 U' L' R' U2
U' L' R2 U' R' L' U2
U2 L' R2 U' L' R' U2
U2 L' R2 U' R' L' U2
B2 L' R2 U' L' R' U2
B2 L' R2 U' R' L' U2
B L' R2 U' L' R' U2
B L' R2 U' R' L' U2
R' L' D' F2 R' U R2
R2 L' D' U' L' R' U2
R2 L' D' U' R' L' U2
U L' R2 U' L' R' U2
L' R' D' F2 R' U R2
U L' R2 U' R' L' U2
D' L' R2 B2 U L F2
D' L' R2 B2 U F2 L
B' L' U D' F2 L' R
B' L' U D' F2 R L'
R2 L' D2 U' L' R' U2
U' L' U D' F2 L' R
U' L' U D' F2 R L'
R2 L' D2 U' R' L' U2
U2 L' U D' F2 L' R
U2 L' U D' F2 R L'
B2 L' U D' F2 L' R
B2 L' U D' F2 R L'
D' L' U F2 L' D' R2
D' L' U F2 D' L' R2
D' L' U F2 D' R2 L'
B L' U D' F2 L' R
B L' U D' F2 R L'
U L' U D' F2 L' R
U L' U D' F2 R L'
R2 L' F2 U R D2 L2
R2 L' F2 U' R' U2 R2
R2 L' F2 B2 U L R
R2 L' F2 B2 U R L
U' L' D' U F2 L' R
U' L' D' U F2 R L'
B' L' D' U F2 L' R
B' L' D' U F2 R L'
U2 L' D' U F2 L' R
U2 L' D' U F2 R L'
B2 L' D' U F2 L' R
B2 L' D' U F2 R L'
B L' D' U F2 L' R
B L' D' U F2 R L'
U L' D' U F2 L' R
U L' D' U F2 R L'
D L' D2 B2 U F2 L'
R2 L' B2 U L D2 R2
R2 L' B2 U' L' U2 L2
D' L' F B2 U F L'
R2 L' B2 F2 U L R
R2 L' B2 F2 U R L
R L2 U L R U D
R L2 U L R U D'
R L2 U L R U D2
R L2 U L R D U
R L2 U L R D' U
R L2 U L R D2 U
R L2 U L D R U
R L2 U L D' R U
R L2 U L D2 R U
R L2 U R L U D
R L2 U R L U D'
R L2 U R L U D2
R L2 U R L D U
R L2 U R L D' U
R L2 U R L D2 U
R L2 U R D L U
R L2 U R D' L U
R L2 U R D2 L U
L R2 U D' B2 L R'
L R2 U D' B2 R' L
R L2 U D L R U
R L2 U D R L U
R L2 U D' L R U
R L2 U D' R L U
R L2 U D2 L R U
R L2 U D2 R L U
L' R2 U' L' R' U2 D
L' R2 U' L' R' U2 D'
L' R2 U' L' R' U2 D2
L' R2 U' L' R' D U2
L' R2 U' L' R' D' U2
L' R2 U' L' R' D2 U2
L' R2 U' L' D R' U2
L' R2 U' L' D' R' U2
L' R2 U' L' D2 R' U2
L' R2 U' R' L' U2 D
L' R2 U' R' L' U2 D'
L' R2 U' R' L' U2 D2
L' R2 U' R' L' D U2
L' R2 U' R' L' D' U2
L' R2 U' R' L' D2 U2
L' R2 U' R' D L' U2
L' R2 U' R' D' L' U2
L' R2 U' R' D2 L' U2
D2 L' F2 R U L' R
D2 L' F2 R U R L'
L' R2 U' D L' R' U2
L' R2 U' D R' L' U2
L' R2 U' D' L' R' U2
L' R2 U' D' R' L' U2
B' L' F2 R2 U L' R'
B' L' F2 R2 U R' L'
L' R2 U' D2 L' R' U2
L' R2 U' D2 R' L' U2
U' L' F2 R2 U L' R'
U' L' F2 R2 U R' L'
U2 L' F2 R2 U L' R'
U2 L' F2 R2 U R' L'
B2 L' F2 R2 U L' R'
B2 L' F2 R2 U R' L'
B L' F2 R2 U L' R'
B L' F2 R2 U R' L'
U L' F2 R2 U L' R'
U L' F2 R2 U R' L'
L' R2 D U' L' R' U2
L' R2 D U' R' L' U2
R L2 D U L R U
R L2 D U R L U
L' R2 D' U' L' R' U2
L' R2 D' U' R' L' U2
D' L' B2 U L F2 L'
D' L' B2 U L' F2 L'
D' L' B2 U L2 F2 L'
D' L' B2 U F2 L' D
D' L' B2 U F2 L' D'
D' L' B2 U F2 L' D2
D' L' B2 U F2 D L'
D' L' B2 U F2 D' L'
D' L' B2 U F2 D2 L'
D' L' B2 U' R U2 F2
L R2 D' U B2 L R'
L R2 D' U B2 R' L
D' L' B2 F U F L'
R L2 D' U L R U
R L2 D' U R L U
B' L2 R U L R U
B' L2 R U R L U
U' L2 R U L R U
U' L2 R U R L U
B2 L2 R U L R U
B2 L2 R U R L U
U2 L2 R U L R U
U2 L2 R U R L U
B L2 R U L R U
L' R2 D2 U' L' R' U2
B L2 R U R L U
L' R2 D2 U' R' L' U2
U L2 R U L R U
U L2 R U R L U
R L2 D2 U L R U
R L2 D2 U R L U
R L2 F' U L U F
L' R2 F2 U R D2 L2
L' R2 F2 U' R' U2 R2
L' R2 F2 B2 U L R
L' R2 F2 B2 U R L
R L2 B' U R U B
L' R2 B2 U L D2 R2
L' R2 B2 U' L' U2 L2
L R2 B2 L2 U L' R'
L R2 B2 L2 U R' L'
L' R2 B2 F2 U L R
L' R2 B2 F2 U R L
L2 U L R2 U' R' U2
L2 U L U D' F2 L'
L2 U L D' U F2 L'
R2 U L D' B2 L R'
R2 U L D' B2 R' L
L2 U L F2 R2 U L'
R U L' R U' L' U2
D' L2 F2 L' D' R2 B2
D' L2 F2 L' D' B2 R2
R U R L' U' L' U2
R U R D' L' B2 U
R U R D' B2 L' U
R U R D2 L' U R2
L2 U R2 L U' R' U2
L2 U D' L U F2 L'
L' U D' F2 L' R D
L' U D' F2 L' R D'
L' U D' F2 L' R D2
L' U D' F2 L' D R
L' U D' F2 L' D' R
L' U D' F2 L' D2 R
L' U D' F2 R L' D
L' U D' F2 R L' D'
L' U D' F2 R L' D2
L' U D' F2 R D L'
L' U D' F2 R D' L'
L' U D' F2 R D2 L'
L' U D' F2 D L' R
L' U D' F2 D R L'
L' U D' F2 D' L' R
L' U D' F2 D' R L'
L' U D' F2 D2 L' R
L' U D' F2 D2 R L'
R U D' L' R B2 U
R U D' L' B2 R U
R U D' R L' B2 U
R U D' R B2 L' U
L U D' F2 B2 L' R'
L U D' F2 B2 R' L'
L U D' B2 F2 L' R'
L U D' B2 F2 R' L'
R U D' B2 L' R U
R U D' B2 R L' U
R U D2 L' R U R
R U D2 R L' U R
B' R L2 U L R U
B' R L2 U R L U
U' R L2 U L R U
U' R L2 U R L U
B2 R L2 U L R U
B2 R L2 U R L U
U2 R L2 U L R U
U2 R L2 U R L U
B R L2 U L R U
B R L2 U R L U
U R L2 U L R U
U R L2 U R L U
D' R U L' B2 U F2
L' U F2 L' D' R F2
L2 U F2 L R2 U L2
D' R U B2 L' U F2
L' U F2 D' L' R F2
L' U F2 D' R L' F2
L2 U F2 R2 L U L2
R2 U B2 L D' B2 R'
L' U' L' R U R U
L' U' L' U2 D' F2 L'
L' U' L' D R B2 U2
L' U' L' D B2 R U2
L' U' L' D' R U2 F2
L' U' L' D' U2 F2 L'
R2 U' L2 R' U L U
L' U' R L' U R U
R2 U' R' L2 U L U
L' U' D L' R B2 U2
L' U' D L' B2 R U2
L' U' D R L' B2 U2
L' U' D R B2 L' U2
L' U' D B2 L' R U2
L' U' D B2 R L' U2
L' U' D' L' R U2 F2
L' U' D' L' U2 F2 L'
L' U' D' R L' U2 F2
L' U' D' R U2 F2 R
R U' D F2 L' R U'
R U' D F2 R L' U'
D R B2 U' F2 R U'
L U' D' F2 B2 L' R'
L U' D' F2 B2 R' L'
L U' D' B2 F2 L' R'
L U' D' B2 F2 R' L'
L2 U2 L' D' F2 L' B2
L2 U2 L' D' F2 B2 L'
L2 U2 L' D' B2 F2 L'
L2 U2 D' F2 L' D' B2
L U2 D' F2 B2 L' R'
L U2 D' F2 B2 R' L'
B' R2 L' U' L' R' U2
U' R2 L' U' L' R' U2
B' R2 L' U' R' L' U2
U' R2 L' U' R' L' U2
L U2 D' B2 F2 L' R'
L U2 D' B2 F2 R' L'
B2 R2 L' U' L' R' U2
B2 R2 L' U' R' L' U2
U2 R2 L' U' L' R' U2
U2 R2 L' U' R' L' U2
B R2 L' U' L' R' U2
D' R2 L' B2 U L F2
D' R2 L' B2 U F2 L
B R2 L' U' R' L' U2
U R2 L' U' L' R' U2
U R2 L' U' R' L' U2
L2 U2 F2 L' D' F2 B2
L2 U2 F2 L' D' B2 F2
U' R2 D' L' B2 U L
B' R2 D' L' B2 U L
B2 R2 D' L' B2 U L
U2 R2 D' L' B2 U L
B R2 D' L' B2 U L
U' R2 D' B2 L' U L2
B' R2 D' B2 L' U L2
B2 R2 D' B2 L' U L2
F2 R2 D' B2 L U L2
U R2 D' L' B2 U L
U2 R2 D' B2 L' U L2
L D L R F2 B2 U2
B R2 D' B2 L' U L2
L D L R B2 F2 U2
U R2 D' B2 L' U L2
L D L F2 B2 U2 L'
L D L B2 R F2 U2
L D L B2 F2 U2 L'
R2 D L' D2 B2 U L
L D R L F2 B2 U2
L D R L B2 F2 U2
L2 D R B2 U' R' U'
L D R F2 L B2 U2
L D R F2 B2 U2 R'
L D R B2 F2 U2 R'
D' R2 B2 L' U L2 F2
D' R2 B2 L' U F2 L2
L' D U' L' R B2 U2
L' D U' L' B2 R U2
L' D U' R L' B2 U2
L' D U' R B2 L' U2
L' D U' B2 L' R U2
L' D U' B2 R L' U2
R D U' F2 L' R U'
R D U' F2 R L' U'
D' U L' B2 U F2 L'
R' D F2 B2 L R U'
R' D F2 B2 R L U'
L D F2 L B2 U2 L2
L D F2 B2 U2 L' R'
L D F2 B2 U2 R' L'
R' D B2 F2 L R U'
R' D B2 F2 R L U'
L2 D B2 R U' R2 U'
L2 D B2 R U2 D B2
L2 D B2 R D U2 B2
L2 D B2 R D' F2 U2
L D B2 R F2 U2 R2
L2 D' L U F2 L' R
L2 D' L U F2 R L'
R' D' L' R' F2 B2 U
R' D' L' R' B2 F2 U
L D B2 F2 U2 L' R'
L D B2 F2 U2 R' L'
L D' L R U2 F2 B2
L D' L R U2 B2 F2
R' D' L' F2 R' B2 U
R2 D' L B2 L2 U L'
L D' L U2 F2 L' B2
L D' L U2 F2 B2 L'
L D' L U2 B2 F2 L'
L D' L F2 L' B2 R'
R2 D' L' F B2 U L
R2 D' L' F' B2 U L
R2 D' L' F2 B2 U L
R D' L' R B2 U L
R2 D' L' B2 U L D
R2 D' L' B2 U L D'
R2 D' L' B2 U L D2
R2 D' L' B2 U D L
R2 D' L' B2 U D' L
