B L' F U' L2
L' F B U' L
L' B F U' L
B L' D' F B2 U'
B L' D' B2 F U'
B2 L' D2 F U' L'
B' L' F U R' U2
U' L' F B' U' B
B2 L' F B' U' L
B' L' F B2 U' L
B L' F U' L2 D
B L' F U' L2 D
B L' F U' L2 D'
B L' F U' L2 D2
B L' F D' B2 U'
B L' F B U' L2
B L' F B' U' L2
B L' F B2 U' L2
D' L' B U' L R'
D' L' B U' R' L
B L' B F U' L2
U' L' B' F U' B
B2 L' B' F U' L
B L' B' F U' L2
B' L' B2 F U' L
B L' B2 F U' L2
L' D F B U' L
L' D B F U' L
L' D' F B U' L
L' D' B F U' L
L' D2 F B U' L
L' D2 B F U' L
L' F U2 F' U L'
L' F D B U' L
L' F D' B U' L
L' F D2 B U' L
L' F B U' L D
L' F B U' L D'
L' F B U' L D2
L' F B U' D L
L' F B U' D' L
L' F B U' D2 L
L' F B D U' L
L' F B D' U' L
L' F B D2 U' L
L' F B' U R' U2
D' B L' U' L2 R'
D' B L' U' R' L2
L' B D F U' L
L' B D' F U' L
L' B D2 F U' L
L' B F U' L D
L' B F U' L D'
L' B F U' L D2
L' B F U' D L
L' B F U' D' L
L' B F U' D2 L
L' B F D U' L
L' B F D' U' L
L' B F D2 U' L
L' B' F U R' U2
L' B2 D2 F U' L'
U' L U L2 F B' U'
U' L U L2 B' F U'
L' R F R' B U' L
B L F L2 F U' L2
B L F' L2 F U' L2
B L F2 L2 F U' L2
D' L B L2 U' L' R'
D' L B L2 U' R' L'
U' L' R F B' U' B
B L' R F R' U' L2
U' L' R B' F U' B
U' L' R' F B' U' B
U' L' R' B' F U' B
U' L' R2 F B' U' B
B L' R2 F R2 U' L2
U' L' R2 B' F U' B
B' L' U R' U' F U'
B L' U' L2 U' B' U
R2 L' F R2 B U' L
R L' F R' B U' L
R2 L' F B R2 U' L
D L' U2 F' U L' R
D L' U2 F' U R L'
B' L' D F U R' U2
B' L' D F B2 U' L
U' L' D F B' U' B
D2 L' D B U' L R'
D2 L' D B U' R' L
B L' D F U2 F U
U' L' D B' F U' B
R' L' B R F U' L
B' L' D B2 F U' L
L' R' B R F U' L
R2 L' B R2 F U' L
B' L' D' F U R' U2
U' L' D' F B' U' B
B' L' D' F B2 U' L
B L' D' F U' D L2
B L' D' F D U' L2
B L' D' F B2 U' D
B L' D' F B2 U' D'
B L' D' F B2 U' D2
B L' D' F B2 D U'
B L' D' F B2 D' U'
B L' D' F B2 D2 U'
U' L' D' B' F U' B
R2 L' B F R2 U' L
B' L' D' B2 F U' L
B L' D' B2 D F U'
B L' D' B2 D' F U'
B L' D' B2 D2 F U'
B L' D' B2 F U' D
B L' D' B2 F U' D'
B L' D' B2 F U' D2
B L' D' B2 F D U'
B L' D' B2 F D' U'
B L' D' B2 F D2 U'
B' L' D2 F U R' U2
B' L' D2 F B2 U' L
U' L' D2 F B' U' B
B2 L' D2 F U' L' D
B2 L' D2 F U' L' D'
B2 L' D2 F U' L' D2
B2 L' D2 F U' D L'
B2 L' D2 F U' D' L'
B2 L' D2 F U' D2 L'
B2 L' D2 F D U' L'
B2 L' D2 F D' U' L'
B2 L' D2 F D2 U' L'
B2 L' D2 F B U' L'
B2 L' D2 F B' U' L'
B2 L' D2 F B2 U' L'
B L' D2 F U R2 U2
B L' D2 F U' D2 L2
B L' D2 F D B2 U'
B L' D2 F D2 U' L2
U' L' D2 B' F U' B
B' L' D2 B2 F U' L
B2 L' D2 B F U' L'
D L' D2 B U' L R'
D L' D2 B U' R' L
B2 L' D2 B' F U' L'
F' L' F L' B U' L
B2 L' D2 B2 F U' L'
U' L' F R B' U' B
U' L' F R' B' U' B
U' L' F R2 B' U' B
B' L' F U R' U2 D
B' L' F U R' U2 D'
B' L' F U R' U2 D2
B' L' F U R' D U2
B' L' F U R' D' U2
B' L' F U R' D2 U2
B' L' F U D R' U2
B' L' F U D' R' U2
B' L' F U D2 R' U2
B' L' F U' B2 L B2
B' L' F D U R' U2
B L' F U R U2 L2
U' L' F D B' U' B
B L' F U R' U2 L2
B' L' F D B2 U' L
B L' F U R2 U2 L2
B2 L' F U' B' L B
