F R U' F B U
F R U' B F U
R U' F2 B U F'
R U' B F2 U F'
D' R' F L2 D R2
D2 R' F D L2 R2
D2 R' F D R2 L2
R' D' F L2 D R2
R2 D' F' L2 R F2
R2 D' F' R L2 F2
R2 D' F' R F2 L2
F U' F B' U R'
R' D2 F D L2 R2
R' D2 F D R2 L2
F U' B' F U R'
R F U' F B U
R F U' B F U
U' F2 B' U F' R'
R F2 B U F' B'
R F2 B U B' F'
R B F2 U F' B'
R B F2 U B' F'
U' B' F2 U F' R'
L2 R' D' L2 F D R2
U2 L' U F2 B' R' U
U2 L' U B' R' F2 U
U2 L' U B' F2 R' U
R' L2 D' L2 F D R2
L2 R2 D' L2 F' R F2
R2 L2 D' L2 F' R F2
L2 R2 D' F' L2 R F
L2 R2 D' F' R L2 F
R2 L2 D' F' L2 R F
R2 L2 D' F' R L2 F
L2 R2 D' F2 L2 F R
R2 L2 D' F2 L2 F R
F L2 R' U F' B' U'
F L2 R' U B' F' U'
F L2 U F B' U' R
F L2 U B' F U' R
U2 L2 D' B' L U2 L
R' U D' F' U' L2 F2
R' U D' F' U' F2 L2
R' U D2 F' B2 U' F2
R' U D2 B2 F' U' F2
R' U F' U2 F' U F'
D' R U' B U F L2
F' R U' B U L F2
F' R U' B U F2 L
F R U' D F B U
F R U' D B F U
F R U' D' F B U
F R U' D' B F U
F R U' D2 F B U
F R U' D2 B F U
F R U' F D B U
F R U' F D' B U
F R U' F D2 B U
F R U' F B U D
F R U' F B U D'
F R U' F B U D2
F R U' F B D U
F R U' F B D' U
F R U' F B D2 U
F R U' B D F U
F R U' B D' F U
F R U' B D2 F U
F R U' B F U D
F R U' B F U D'
F R U' B F U D2
F R U' B F D U
F R U' B F D' U
F R U' B F D2 U
F R D U' F B U
F R D U' B F U
F R D' U' F B U
F R D' U' B F U
D' R F L2 U' B U
F R D2 U' F B U
F R D2 U' B F U
D' R F U' B U L2
F R F B U F' B'
F R F B U B' F'
F' R F2 U' B U L
U' R F2 B' U F' R'
B2 R F2 B U F' B
B2 R F2 B U B F'
B R F2 B U F' B2
B R F2 B U B2 F'
D' R B U F B' L2
D' R B U B' F L2
F2 R B R' U F' B'
F2 R B R' U B' F'
R2 U' R' F2 B U F'
R2 U' R' B F2 U F'
R' U' R2 F2 B U F'
R' U' R2 B F2 U F'
B2 R B F2 U F' B
B2 R B F2 U B F'
B R B F2 U F' B2
B R B F2 U B2 F'
F R B F U F' B'
F R B F U B' F'
U' R B' F2 U F' R'
B R B' D' R2 F L2
B R B' D' F L2 R2
B R B' D' F R2 L2
R U' D' B U F L2
F R' L2 U F' B' U'
F R' L2 U B' F' U'
D' R' U F' U' L2 F2
D' R' U F' U' F2 L2
D2 R' U F' B2 U' F2
R' U' F2 U F' D R2
R' U' F2 U2 F U' F2
D2 R' U B2 F' U' F2
R2 U' F2 U D' F' R
F R' U F' U' D' L2
F R' U F' U2 F2 U
F R' U F' D' U' L2
F R' U F' D2 B2 U'
R2 U' F2 D' U F' R
R U' F2 D B U F'
R U' F2 D' B U F'
R U' F2 D2 B U F'
R U' F2 B U D F'
R U' F2 B U D' F'
R U' F2 B U D2 F'
R U' F2 B U F' D
R U' F2 B U F' D'
R U' F2 B U F' D2
R U' F2 B D U F'
R U' F2 B D' U F'
R U' F2 B D2 U F'
F R' U' F U D R2
F R' U' F U2 F2 U'
F R' U' F D U R2
F R' U' F D2 B2 U
R U' B R F2 U F'
R U' B R' F2 U F'
R U' B R2 F2 U F'
R U' B U D' F L2
R U' B D' U F L2
R U' B F2 U D F'
R U' B F2 U D' F'
R U' B F2 U D2 F'
R U' B F2 U F' D
R U' B F2 U F' D'
R U' B F2 U F' D2
R U' B F2 D U F'
R U' B F2 D' U F'
R U' B F2 D2 U F'
D2 R' D F L2 D R2
D' R' D' F D L2 R2
D' R' D' F D R2 L2
D2 R' F L D L2 R2
D2 R' F L D R2 L2
D' R' F L D L R2
D' R' F L D R2 L
D2 R' F L' D L2 R2
D2 R' F L' D R2 L2
D' R' F L' D L' R2
D' R' F L' D R2 L'
D' R' F L2 R D R2
D' R' F L2 R' D R2
D' R' F L2 R2 D R2
D' R' F L2 U F2 U'
D2 R' F L2 D L2 R2
D2 R' F L2 D R2 L2
D' R' F L2 D R2 D
D' R' F L2 D R2 D'
D' R' F L2 D R2 D2
D' R' F R L2 D R2
D2 R' F R D L2 R2
D2 R' F R D R2 L2
D' R' F R' L2 D R2
D2 R' F R' D L2 R2
D2 R' F R' D R2 L2
D' R' F R2 L2 D R2
D2 R' F R2 D L2 R2
D2 R' F R2 D R2 L2
D2 R' F U F2 B2 U'
D2 R' F U B2 F2 U'
D' R' F U F2 U' L2
D2 R' F D L2 R2 D
D2 R' F D L2 R2 D'
D2 R' F D L2 R2 D2
D2 R' F D R2 L2 D
D2 R' F D R2 L2 D'
D2 R' F D R2 L2 D2
D' R' F D R2 D' L2
D' R' F' L2 F2 D R2
D2 R' F' B2 U' F2 B2
D2 R' F' B2 U' B2 F2
U' R' F2 B' U F' R'
U R' F2 L' U F' R
U' R' B' F2 U F' R'
D2 R' B2 F' U' F2 B2
D2 R' B2 F' U' B2 F2
D2 R2 D' F' R F2 L'
U R2 D' F L2 R B'
U R2 D' F L2 B' R
U R2 D' F R L2 B'
D' R2 F2 L2 D' F' R
U' R2 F2 B' U F' R'
U' R2 B' F2 U F' R'
R' D F D R2 D L2
R' D F D2 L2 D' R2
R2 D F2 D2 L2 F' R
R2 D F2 D2 F' L2 R
R2 D F2 D2 F' R L2
B' U D' F L2 B R
B' U D' F B L2 R
B' U D' F B R L2
D' U F' U' F2 L2 R
D' U F' U' F2 R L2
B' U D' B F L2 R
B' U D' B F R L2
D2 U F' B2 U' F2 R
B U D' F R B' L2
B U D' F B' L2 R
B U D' F B' R L2
D' U F2 U' L2 F' R
D' U F2 U' F' L2 R
D' U F2 U' F' R L2
B U D' B' F L2 R
B U D' B' F R L2
D2 U F2 B2 U' F' R
L2 D' L2 R' F D R2
B' U F2 U F' B R
B' U F2 U B F' R
B2 U F2 U F' R B2
B2 U F2 U F' B2 R
B2 U F2 U B2 F' R
F U F' U2 F2 U R
R2 D' R F' L2 R F2
R2 D' R F' R L2 F2
R2 D' R F' R F2 L2
L2 D' R' L2 F D R2
D2 U B2 F' U' F2 R
B U F2 U F' R B'
B U F2 U F' B' R
B U F2 U B' F' R
D2 U B2 F2 U' F' R
B' U B D' F L2 R
B' U B D' F R L2
F U F2 U2 F' U R
R2 D' R' F' L2 R F2
R2 D' R' F' R L2 F2
R2 D' R' F' R F2 L2
R' D' U F' U' L2 F2
R' D' U F' U' F2 L2
R2 D' R2 F' L2 R F2
R2 D' R2 F' R L2 F2
R2 D' R2 F' R F2 L2
R D' R2 F L2 D R2
B U B' D' F L2 R
B U B' D' F R L2
B2 U B2 D' F L2 R
B2 U B2 D' F R L2
R' D' F L D L R2
R' D' F L D R2 L
R' D' F L' D L' R2
R' D' F L' D R2 L'
R' D' F L2 R D R2
R' D' F L2 R' D R2
R' D' F L2 R2 D R2
R' D' F L2 U F2 U'
R' D' F L2 D R2 D
R' D' F L2 D R2 D'
R' D' F L2 D R2 D2
R' D' F R L2 D R2
R' D' F R' L2 D R2
R' D' F R2 L2 D R2
R' D' F U F2 U' L2
R' D' F D R2 D' L2
R D' U' B U F L2
R2 D' F L D2 L R2
R2 D' F L D2 R2 L
R2 D' F L2 U2 L U2
R' D' F' L2 F2 D R2
R2 D' F L2 B2 R' B2
R2 D' F U2 L' U2 L'
R2 D' F B2 L2 B2 R'
R D' F L2 U' B U
R2 D' F' L R F2 L
R2 D' F' L2 R F2 D
R2 D' F' L2 R F2 D'
R2 D' F' L2 R F2 D2
R2 D' F' L2 R' F2 R2
R2 D' F' L2 R2 F2 R'
R2 D' F' R L F2 L
R2 D' F' R L2 F2 D
R2 D' F' R L2 F2 D'
R2 D' F' R L2 F2 D2
R2 D' F' R F' L2 F'
R2 D' F' R F2 L2 D
R2 D' F' R F2 L2 D'
R2 D' F' R F2 L2 D2
R2 D' F' R' L2 F2 R2
R2 D' F' R' F2 L2 R2
R2 D' F' R' F2 R2 L2
R D' F U' B U L2
R2 D' F' R2 L2 F2 R'
R2 D' F' R2 F2 L2 R'
R2 D' F' R2 F2 R' L2
R2 D' F2 L2 F R F2
R D' B U F B' L2
R D' B U B' F L2
U D' F' U' F2 L2 R
U D' F' U' F2 R L2
U D' F2 U' L2 F' R
U D' F2 U' F' L2 R
U D' F2 U' F' R L2
U' D' B' U R' F L2
R2 D' B2 F L2 B2 R'
U' D' B' U F L2 R'
U' D' B' U F R' L2
D' U' B' U R' F L2
D' U' B' U F L2 R'
D' U' B' U F R' L2
F U' D F B' U R'
F U' D B' F U R'
B U' D' F B' L2 R'
B U' D' F B' R' L2
B U' D' B' R' F L2
B U' D' B' F L2 R'
B U' D' B' F R' L2
F U' D' F B' U R'
F U' D' B' F U R'
F U' D2 F B' U R'
F U' D2 B' F U R'
F' U' F' B' U F' R'
F U' F U2 F U' R
F U' F D B' U R'
F U' F D' B' U R'
F U' F D2 B' U R'
F U' F B U' L U2
F U' F B' U R' D
F U' F B' U R' D'
F U' F B' U R' D2
F U' F B' U D R'
F U' F B' U D' R'
F U' F B' U D2 R'
F U' F B' D U R'
F U' F B' D' U R'
F U' F B' D2 U R'
R' D2 U F' B2 U' F2
F' U' B' F' U F' R'
R' D2 U B2 F' U' F2
F U' B F U' L U2
B U' B' R' D' F L2
B U' B' D' R' F L2
B U' B' D' F L2 R'
B U' B' D' F R' L2
R D2 R2 F D L2 R2
R D2 R2 F D R2 L2
F U' B' D F U R'
F U' B' D' F U R'
F U' B' D2 F U R'
F U' B' F U R' D
F U' B' F U R' D'
F U' B' F U R' D2
F U' B' F U D R'
F U' B' F U D' R'
F U' B' F U D2 R'
F U' B' F D U R'
F U' B' F D' U R'
F U' B' F D2 U R'
R' D2 F L D L2 R2
R' D2 F L D R2 L2
R' D2 F L' D L2 R2
R' D2 F L' D R2 L2
R' D2 F L2 D L2 R2
R' D2 F L2 D R2 L2
R' D2 F R D L2 R2
R' D2 F R D R2 L2
R' D2 F R' D L2 R2
R' D2 F R' D R2 L2
R' D2 F R2 D L2 R2
R' D2 F R2 D R2 L2
R' D2 F U F2 B2 U'
R' D2 F U B2 F2 U'
R' D2 F D L2 R2 D
R' D2 F D L2 R2 D'
R' D2 F D L2 R2 D2
R' D2 F D R2 L2 D
R' D2 F D R2 L2 D'
R' D2 F D R2 L2 D2
R' D2 F' B2 U' F2 B2
R' D2 F' B2 U' B2 F2
U D2 F' B2 U' F2 R
R2 D2 F2 D L2 F' R
R2 D2 F2 D F' L2 R
R2 D2 F2 D F' R L2
U D2 F2 B2 U' F' R
R' D2 B2 F' U' F2 B2
R' D2 B2 F' U' B2 F2
U D2 B2 F' U' F2 R
U D2 B2 F2 U' F' R
D' F L2 R U' B U
