B R' U B U F
L2 R B' U' F' U' L
L2 R' B' U2 L D' R2
L2 R' B' U2 D' L R2
L2 R' B' U2 D' R2 L
L2 R' B' D L2 U2 L'
L2 R' B' D' U2 L R2
L2 R' B' D' U2 R2 L
B L2 R' B' U B2 U
B L2 R' B' U2 D' R2
B L2 R' B' D L2 U2
B L2 R' B' D' U2 R2
R' L2 B' U2 L D' R2
R' L2 B' U2 D' L R2
R' L2 B' U2 D' R2 L
R' L2 B' D L2 U2 L'
R' L2 B' D' U2 L R2
R' L2 B' D' U2 R2 L
R L2 B' U' F' U' L
B L2 D R' B' L U2
B' L2 D B' L U2 L2
B2 L2 D B' L R' U2
B2 L2 D B' R' L U2
D L2 B' L U F U
B2 L2 B' R' U B U
R' U D2 B U F L'
D' R U F' U R F2
B' R U' F' U' L F2
B' R U' F' U' F2 L
R' U B U' R' U2 F
B' R U2 F L D R2
B' R U2 F D L R2
B' R U2 F D R2 L
U2 R D2 F L' D R2
U2 R D2 F D L' R2
U2 R D2 F D R2 L'
B' R F L D R2 B
B' R F D L R2 B
B' R F D R2 L B
B2 R F D R2 B L
R U' D2 F' U' F2 L'
B R' L2 B' U B2 U
B R' L2 B' U2 D' R2
B R' L2 B' D L2 U2
B R' L2 B' D' U2 R2
B R' U R' U F R
B R' U D B U F
B R' U D' B U F
B R' U D2 B U F
R U' F' B' U' L F2
R U' F' B' U' F2 L
B R' U B R U F
B R' U B R' U F
B R' U B R2 U F
B R' U B U D F
B R' U B U D' F
B R' U B U D2 F
B R' U B U F D
B R' U B U F D'
B R' U B U F D2
B R' U B D U F
B R' U B D' U F
B R' U B D2 U F
B R' U2 R2 F D R2
B R' U2 F U' B U
R2 U' B' U' R' F L
R2 U' B' U' F L R'
R2 U' B' U' F R' L
B R' D U B U F
R U' B' F' U' L F2
R U' B' F' U' F2 L
B R' D' U B U F
B R' D2 U B U F
U R' D2 B U F L'
U R' B U' R' U2 F
B R' B' U B2 U F
B R' B' U2 D' R2 F
B R' B' U2 D' F R2
B R' B' U2 F D' R2
B R' B' D L2 B' U2
B R' B' D' U2 R2 F
B R' B' D' U2 F R2
B R' B2 U B' U F
R U2 D2 F L' D R2
R U2 D2 F D L' R2
R U2 D2 F D R2 L'
U R2 U D2 F L' R
U R2 U D2 F R L'
U R2 D2 U F L' R
U R2 D2 U F R L'
U R2 B' U F L R
U R2 B' U F R L
D' U R F' U R F2
B2 U R' F' B U F2
B2 U R' B F' U F2
B' U R2 U F L R
B' U R2 U F R L
L2 D B' L U' B' U'
U D' R F' U R F2
R' D2 U B U F L'
D2 U2 F L' U F U'
R D2 U' F' U' F2 L'
U2 D2 F L' U F U'
R D2 U2 F L' D R2
R D2 U2 F D L' R2
R D2 U2 F D R2 L'
R D2 F L' D R2 B
R D2 F D L' R2 B
R D2 F D R2 L' B
R D2 F D R2 B L'
B' U2 R F L D R2
D2 U2 F2 D F' L' R
D2 U2 F2 D F' R L'
B' U2 R F D L R2
B' U2 R F D R2 L
U2 D2 F2 D F' L' R
U2 D2 F2 D F' R L'
B' U2 D' F L D2 R2
B' U2 D' F' L R F2
B' U2 D' F' R L F2
B' U2 D' F' R F2 L
B2 U2 D' F' L' R F2
B2 U2 D' F' R L' F2
B' U2 F2 L D' F' R
B' U2 F2 D' L F' R
B' U2 F2 D' F' L R
B' U2 F2 D' F' R L
D2 F R2 D' L' B R'
D2 F R2 D' B L' R'
D2 F R2 D' B R' L'
D2 F D' L' R2 B R'
B' D L2 B' L U2 L2
D2 F D' R2 L' B R'
D2 F D' R2 B L' R'
D2 F D' R2 B R' L'
B2 D L2 B' L R' U2
B2 D L2 B' R' L U2
B D L2 R' B' L U2
R' F B' L D' R2 B
B D R' L2 B' L U2
R' F B' D' L R2 B
R' F B' D' R2 L B
U2 F B' L D B R'
B D R' B U2 R' F
B D R' B U2 F R'
B D R' B2 U2 F R
U2 F B' D L B R'
R F B' L D R2 B
R F B' D L R2 B
R F B' D R2 L B
B' D F L R2 B R'
B' D F R2 L B R'
R F B2 D R2 B L
B2 D F R2 B L R'
B2 D F R2 B R' L
R F' L2 U' F2 B' L
R F' L2 U' B' L F2
R F' L2 U' B' F2 L
B2 D B U2 R' F L
B2 D B U2 F L R'
B2 D B U2 F R' L
B' D B2 R' U2 F R
B D B2 U2 F L R
B D B2 U2 F R L
R F' U' L2 F2 B' L
R F' U' L2 B' L F2
R F' U' L2 B' F2 L
B D' R' U2 F' R F2
B' D' U2 F L D2 R2
B' D' U2 F' L R F2
B' D' U2 F' R L F2
B' D' U2 F' R F2 L
B' D' F L D2 R2 B
B2 D' U2 F' L' R F2
B2 D' U2 F' R L' F2
R2 B R' U' F' U' F2
R2 B R' U2 F D R2
L2 B R' B2 U B' U
B' F L D R2 B R'
D B U2 R' D F L'
D B U2 D R' F L'
D B U2 D F L' R'
D B U2 D F R' L'
D B D U2 R' F L'
D B D U2 F L' R'
D B D U2 F R' L'
B' F D L R2 B R'
B' F D R2 L B R'
B2 F D R2 B L R'
B2 F D R2 B R' L
L2 B' R U' F' U' L
F B' L D R2 B R'
U B' R2 U F L R
U B' R2 U F R L
R' B' U2 D' R2 F L
R' B' U2 D' F L R2
R' B' U2 D' F R2 L
R' B' U2 F L D' R2
R' B' U2 F D' L R2
R' B' U2 F D' R2 L
R' B' D L2 B' U2 L'
R B' U' F' U' L F2
R B' U' F' U' F2 L
U2 B' D F L B R'
R' B' D' U2 R2 F L
R' B' D' U2 F L R2
