F L B2 U' B'
F L U' D L2 B
F L U' D B L2
F L D U' L2 B
F L D U' B L2
F2 L F' B2 U' B'
F' L F2 B2 U' B'
F L B2 R U' B'
F L B2 R' U' B'
F L B2 R2 U' B'
F L B2 U' D B'
F L B2 U' D' B'
F L B2 U' D2 B'
F' L B2 F2 U' B'
F L B2 U' B' D
F L B2 U' B' D'
F L B2 U' B' D2
F L B2 D U' B'
F L B2 D' U' B'
F2 L B2 F' U' B'
F L B2 D2 U' B'
U' F L B2 U' B'
U2 F L B2 U' B'
D F L U' L B
U F L B2 U' B'
F D L U' L B
B2 F U2 R' U B'
F B2 U2 R' U B'
F L R B2 R' U' B
F L R' B2 R U' B
F L R2 B2 R2 U' B
F L R2 B2 U F' U2
F L U D' R2 F' U2
F L U' L D L2 B
F L U' L D B L2
D L U' L B D' R2
F L U' L' D L2 B
F L U' L' D B L2
F L U' L2 D L2 B
F L U' L2 D B L2
F' L U' D L2 B R2
F' L U' D B L2 R2
F' L U' D B R2 L2
D2 L U' D' L2 B R'
D2 L U' D' B L2 R'
D2 L U' D' B R' L2
F L U' D L' B L'
F L U' D L2 D B
F L U' D L2 D' B
F L U' D L2 D2 B
F L U' D L2 B D
F L U' D L2 B D'
F L U' D L2 B D2
D L U' D' L B R'
F L U' D B L2 D
F L U' D B L2 D'
F L U' D B L2 D2
F L U' D B' L2 B2
F L U' D' B D2 L2
F L U' D2 B D' L2
F L U' B U B U'
F L U2 D2 F2 U B
F' L D U' L2 B R2
F' L D U' B L2 R2
F' L D U' B R2 L2
F L D U' L' B L'
F L D U' L2 D B
F L D U' L2 D' B
F L D U' L2 D2 B
F L D U' L2 B D
F L D U' L2 B D'
F L D U' L2 B D2
F L D U' B L2 D
F L D U' B L2 D'
F L D U' B L2 D2
F L D U' B' L2 B2
F2 L D F' U' L2 B
F2 L D F' U' B L2
F L D B' U' L2 B2
F L D B' U' B2 L2
F L D B2 U' B' L2
D2 L D' U' L2 B R'
D2 L D' U' B L2 R'
D2 L D' U' B R' L2
D L D' U' L B R'
F L D' U R2 F' U2
F L D' U' B D2 L2
F L D2 U' B D' L2
F L D2 U2 F2 U B
F2 L F' U' D L2 B
F2 L F' U' D B L2
F2 L F' D U' L2 B
F2 L F' D U' B L2
F2 L F' B2 R U' B'
F2 L F' B2 R' U' B'
F2 L F' B2 R2 U' B'
F2 L F' B2 U' D B'
F2 L F' B2 U' D' B'
F2 L F' B2 U' D2 B'
F2 L F' B2 U' B' D
F2 L F' B2 U' B' D'
F2 L F' B2 U' B' D2
F2 L F' B2 D U' B'
F2 L F' B2 D' U' B'
F2 L F' B2 D2 U' B'
F' L F2 U' D L2 B
F' L F2 U' D B L2
F' L F2 D U' L2 B
F' L F2 D U' B L2
F' L F2 B2 R U' B'
F' L F2 B2 R' U' B'
F' L F2 B2 R2 U' B'
F' L F2 B2 U' D B'
F' L F2 B2 U' D' B'
F' L F2 B2 U' D2 B'
F' L F2 B2 U' B' D
F' L F2 B2 U' B' D'
F' L F2 B2 U' B' D2
F' L F2 B2 D U' B'
F' L F2 B2 D' U' B'
F' L F2 B2 D2 U' B'
F L B D B U' B'
F L B D' B U' B'
F L B D2 B U' B'
F L B' R B' U' B'
F L B' R' B' U' B'
F L B' R2 B' U' B'
F L B' D' R2 B' U'
F L B' D' B' R2 U'
F' L B2 R F2 U' B'
F2 L B2 R U' B' R'
F' L B2 R' F2 U' B'
F' L B2 R2 F2 U' B'
F L B2 R U' D B'
F L B2 R U' D' B'
F L B2 R U' D2 B'
F L B2 R U' B' D
F L B2 R U' B' D'
F L B2 R U' B' D2
F L B2 R D U' B'
F L B2 R D' U' B'
F L B2 R D2 U' B'
F' L B2 U' D R2 B'
F' L B2 U' D B' R2
F L B2 R' U' D B'
F L B2 R' U' D' B'
F L B2 R' U' D2 B'
F L B2 R' U' B' D
F L B2 R' U' B' D'
F L B2 R' U' B' D2
F L B2 R' D U' B'
F L B2 R' D' U' B'
F L B2 R' D2 U' B'
F' L B2 U' B' D R2
F L B2 R2 U' D B'
F L B2 R2 U' D' B'
F L B2 R2 U' D2 B'
F L B2 R2 U' B' D
F L B2 R2 U' B' D'
