D' L F L' R B
D' L F R L' B
D' L F R B L'
L D' F L' R B
L D' F R L' B
L D' F R B L'
D B' L F R B
D' L R F L' B R
D' L R F B L' R
D' L R F B R L'
F L R F D' L2 B
F L R F D' B L2
F L R F B D' L2
D' L R B F L' R
D' L R B F R L'
F L R B F D' L2
D' L U2 F L' B' R'
L R F D' L2 B R
L R F D' B L2 R
L R F D' B R L2
R L F D' L2 B R
F L D' R F L' B
F L D' R F B L'
L R F B R D' L2
F L D' R B F L'
R L F D' B L2 R
R L F D' B R L2
L R F B D' L2 R
L R F B D' R L2
R L F B R D' L2
R L F B D' L2 R
R L F B D' R L2
B' L D' F L' R B
B' L D' F R L' B
B' L D' F R B L'
B2 L D' F L' R B
B2 L D' F R L' B
B2 L D' F R B L'
B L D' F L' R B
B L D' F R L' B
B L D' F R B L'
L R F' U F2 B R
L R F' U B F2 R
R L F' U F2 B R
R L F' U B F2 R
D L D2 F L' R B
D L D2 F R L' B
D L D2 F R B L'
D' L F L R B L2
D' L F L' R D B
D' L F L' R D' B
D' L F L' R D2 B
D' L F L' R B D
D' L F L' R B D'
D' L F L' R B D2
D' L F L' D R B
D' L F L' D' R B
D' L F L' D2 R B
D' L F L' B R B
D' L F L' B' R B
D' L F L' B2 R B
D' L F R L B L2
D' L F R L' D B
D' L F R L' D' B
D' L F R L' D2 B
D' L F R L' B D
D' L F R L' B D'
D' L F R L' B D2
D' L F R D L' B
D' L F R D B L'
D' L F R D' L' B
D' L F R D' B L'
D' L F R D2 L' B
D' L F R D2 B L'
D' L F R B L' D
D' L F R B L' D'
D' L F R B L' D2
D' L F R B D L'
D' L F R B D' L'
D' L F R B D2 L'
D' L F R B' L' B2
D2 L F R B D L2
D L F R B' L B2
D' L F D L' R B
D' L F D R L' B
D' L F D R B L'
D' L F D' L' R B
D' L F D' R L' B
D' L F D' R B L'
D' L F D2 L' R B
D' L F D2 R L' B
D' L F D2 R B L'
D' L F B L' R B
D' L F B R L' B
D' L F B R B L'
D' L F B' L' R B
D' L F B' R L' B
D' L F B' R B L'
D' L F B2 L' R B
D' L F B2 R L' B
D' L F B2 R B L'
D L F B' L R B
D L F B' R L B
D L F B2 R B L
L R B F R D' L2
L R B F D' L2 R
L R B F D' R L2
R L B F R D' L2
R L B F D' L2 R
R L B F D' R L2
D' L B F L' R B
D' L B F R L' B
D' L B F R B L'
D' L B' F L' R B
D' L B' F R L' B
D' L B' F R B L'
D L B' F L R B
D L B' F R L B
D' L B2 F L' R B
D' L B2 F R L' B
D' L B2 F R B L'
D L B2 F R B L
U2 L' D B' L R' F'
U2 L' D B' R' L F'
U2 L' D B' R' F' L
D' L2 F L' R F B
D' L2 F L' R B F
D' L2 F R L' F B
D' L2 F R L' B F
D' L2 F R B L' F
D' R L F L' B R
D' R L F B L' R
D' R L F B R L'
D' R L B F L' R
D' R L B F R L'
F R L F D' L2 B
F R L F D' B L2
F R L F B D' L2
F R L B F D' L2
U R F' L' B' R' U
D' R B L F L' R
D' R B L F R L'
F R B L F D' L2
D R B' L F R B2
D R B' L F B2 R
D R B' L B2 F R
D' R' F' L' R B' U2
D' R' F' L' B' R U2
D' R' F' R L' B' U2
D R' F' L' B' U2 L
U R' B L F R U'
L U2 D' F L' B' R'
U2 D L' B' L R' F'
