L' F R2 U R' B
R2 L U2 B' U' R' B
R2 L' D' F L' U R
F L' R2 F U R' B
R2 L' F U R' B R2
B' L' F R2 U R' B
B2 L' F R2 U R' B
B L' F R2 U R' B
L R2 U2 B' U' R' B
L' R2 D' F L' U R
L' R2 F U R' B R2
F L2 R2 U R' B L
D R' F' L' R B2 U2
D R' F' L' B2 R U2
D R' F' R L' B2 U2
D R' F' R B2 L' U2
D R' F' B2 L' R U2
D R' F' B2 R L' U2
D R' B2 F' L' R U2
D R' B2 F' R L' U2
F R2 L' F U R' B
F R2 L2 U R' B L
U R2 F' L' F B' U
U R2 F' L' B' F U
U2 D' L' F2 B' L R'
U2 D' L' F2 B' R' L
U2 D' L' B' L R' F2
U2 D' L' B' L F2 R'
U2 D' L' B' R' L F2
U2 D' L' B' R' F2 L
U2 D' L' B' F2 L R'
U2 D' L' B' F2 R' L
U2 D' F2 L' B' L R'
U2 D' F2 L' B' R' L
D' U2 L' F2 B' L R'
D' U2 L' F2 B' R' L
D' U2 L' B' L R' F2
D' U2 L' B' L F2 R'
D' U2 L' B' R' L F2
D' U2 L' B' R' F2 L
D' U2 L' B' F2 L R'
D' U2 L' B' F2 R' L
D' U2 F2 L' B' L R'
D' U2 F2 L' B' R' L
L' F L R2 U R' B
L' F L' R2 U R' B
D F L' R D2 F2 B
D F L' R D2 B F2
L' F L2 R2 U R' B
D F L' D2 R F2 B
D F L' D2 R B F2
D' F R D2 F L' B
D' F R D2 F B L'
D' F R D2 B F L'
D' F R F B' L B2
D' F R B' F L B2
D F R L' D2 F2 B
D F R L' D2 B F2
D F R D2 L' F2 B
D F R D2 L' B F2
D F R D2 B L' F2
L' F R2 L U R' B
L' F R2 L' U R' B
L' F R2 L2 U R' B
L' F R2 U R' D B
L' F R2 U R' D' B
L' F R2 U R' D2 B
L' F R2 U R' B D
L' F R2 U R' B D'
L' F R2 U R' B D2
L2 F R2 U R' B L
D' F D2 R F L' B
D' F D2 R F B L'
D' F D2 R B F L'
D F D2 L' R F2 B
D F D2 L' R B F2
D F D2 R L' F2 B
D F D2 R L' B F2
L' F B R2 U R' B
D F D2 R B L' F2
D' F B' R F L B
L' F B' R2 U R' B
D' F B2 R F B L
D' F B2 R B F L
L' F B2 R2 U R' B
D F B2 U2 L' R B'
D F B2 U2 L' B' R
D F B2 U2 R L' B'
R' F' L' U R' F U
R' F' L' U F R' U
D F' L' R B2 U2 B'
U F' L' R2 F B' U
U F' L' R2 B' F U
D F' L' B2 R U2 B
U F' L' F R2 B' U
U F' L' F B' R2 U
U F' L' B' R2 F U
U F' L' B' F R2 U
D F' R L' B2 U2 B'
U F' R2 L' F B' U
U F' R2 L' B' F U
L' F' D' F2 L2 R B
L' F' D' F2 R L2 B
L' F' D' F2 R B L2
D F' D2 F2 L' R B
F D' R F2 B' L B2
D F' D2 F2 R L' B
D F' D2 F2 R B L'
F D' R B' L F2 B2
F D' R B' L B2 F2
F D' R B' F2 L B2
D F' B2 L' R U2 B
D F' B2 R L' U2 B
F' D' F2 R B' L B2
F' D' F2 B' L R B
F' D' F2 B' R L B
F' D' F2 B2 R B L
F' D' B' F2 L R B
F' D' B' F2 R L B
F D' B' L R F2 B
F D' B' L R B F2
F D' B' R L F2 B
F D' B' R L B F2
F D' B' R F2 L B
F' D' B2 F2 R B L
F D' B2 R F2 B L
F D' B2 R B L F2
F D' B2 R B F2 L
D' B R' F' L' U2 F'
L' B F R2 U R' B
D' B' L F R F B
D' B' L F R B F
D B' L2 F L' R B
D B' L2 F R L' B
D B' L2 F R B L'
D' B' F R F L B
L' B' F R2 U R' B
D B2 R' F' L' R U2
D B2 R' F' R L' U2
D' B2 F R F B L
D' B2 F R B F L
L' B2 F R2 U R' B
D B2 F U2 L' R B'
D B2 F U2 L' B' R
D B2 F U2 R L' B'
D B2 F' L' R U2 B
D B2 F' R L' U2 B
