R' U L' B' U2 L
D' L' U' R' B U' F'
U L' B' U2 D L B'
U L' B' D U2 L B'
R' U L' R B' U2 L
R' U L' R' B' U2 L
R' U L' R2 B' U2 L
R' U L' B R' B2 U2
R' U L' B' R U2 L
R' U L' B' R' U2 L
R' U L' B' R2 U2 L
R' U L' B' U2 L D
R' U L' B' U2 L D'
R' U L' B' U2 L D2
R' U L' B' U2 D L
R' U L' B' U2 D' L
R' U L' B' U2 D2 L
R' U L' B' D U2 L
R' U L' B' D' U2 L
R' U L' B' D2 U2 L
R' U R L' B' U2 L
R' U R' L' B' U2 L
R' U R2 L' B' U2 L
R' U B L' R' B' U2
R' U B R' L' B' U2
R' U B' L' U2 L2 F
R' U B' L' B' U2 L2
R' U B2 L' B' R' U2
L' U' R' B' U' L F'
L' U' R' B' U' F' L
L' U' D' R' B U' F'
D' R' B U L' B' U2
B U L' R' F' B' U2
B U L' R' B' F' U2
B U R' L' F' B' U2
B U R' L' B' F' U2
L' D' U' R' B U' F'
B U' L' R' U2 F' B'
B U' L' R' U2 B' F'
B U' R' L' U2 F' B'
B U' R' L' U2 B' F'
F' D' L' R' F B U'
F' D' L' R' B F U'
F' D' L' F R' B U'
F' D' R' L' F B U'
F' D' R' L' B F U'
F' D' R' B L' F U'
R' B U L' R' B' U2
R' B U R' L' B' U2
R' B' U L' U2 L2 F
R' B' U L' B' U2 L2
F2 B' D L R F' B'
F2 B' D L R B' F'
F2 B' D L B' R F'
F2 B' D R L F' B'
F2 B' D R L B' F'
F2 B' D R F' L B'
B' F2 D L R F' B'
B' F2 D L R B' F'
B' F2 D L B' R F'
B' F2 D R L F' B'
B' F2 D R L B' F'
B' F2 D R F' L B'
