F' L' U' B' L' F'
L' R U' B' L' R' F2
L' R U' B' L' F2 R'
L' R U' B' R' L' F2
F' L U F U2 L F2
F' L U F U2 F2 L
F' L U' L2 B' L' F'
F' L U' F' L D2 B2
F' L U' F' D2 L B2
R L' U' B' L' R' F2
R L' U' B' L' F2 R'
R L' U' B' R' L' F2
D L' R2 F2 B U B2
D L' R2 B F2 U B2
F' L' U' D B' L' F'
F' L' U' D' B' L' F'
F' L' U' D2 B' L' F'
F' L' U' F' D2 B' L
F' L' U' B L' F' B2
F' L' U' B L' B2 F'
F' L' U' B' L F' L2
F' L' U' B' L' D F'
F' L' U' B' L' D' F'
F' L' U' B' L' D2 F'
F' L' U' B' L' F' D
F' L' U' B' L' F' D'
F' L' U' B' L' F' D2
F' L' U' B' L2 F' L
F' L' U' B' D L' F'
F' L' U' B' D' L' F'
F' L' U' B' D2 L' F'
F' L' U' B2 L' F' B
F' L' U' B2 L' B F'
F' L' D U' B' L' F'
F' L' D' U' B' L' F'
R2 L' B U L' F2 B2
R2 L' B U L' B2 F2
R2 L' B U B2 L' F2
R2 L' B' L' F2 D' R2
F' L' D2 U' B' L' F'
F' L' B U' L' F' B2
F' L' B U' L' B2 F'
F' L' B U' B2 L' F'
F2 L' B' L' U' B' U
D' L' B2 L' F' U' B
F2 L' B2 L' B D' R2
F' L' B2 U' L' F' B
F' L' B2 U' L' B F'
F' L' B2 U' B L' F'
F2 L2 U' L U B' R'
F2 L2 U' D' B' L U
L' R2 B U L' F2 B2
L' R2 B U L' B2 F2
L' R2 B U B2 L' F2
F2 L2 U' B' L U B'
L' R2 B' L' F2 D' R2
D' L2 D F' R U' L2
F2 L2 D' U' B' L U
L2 U L F' U' F' B'
L2 U L F' U' B' F'
F2 L2 D2 R' B D' R2
U2 L2 F2 U F R U'
D' L2 B2 D F' R U'
L2 U F' L U' F' B'
L2 U F' L U' B' F'
R2 U B L U L F2
R2 U B L U F2 L
U2 R U' B L2 F2 R
D R2 L' F2 B U B2
D R2 L' B F2 U B2
D R2 F2 L' B U B2
D R2 F2 B L' U B'
D R2 B L' F2 U B'
U R2 B L U L F2
U R2 B L U F2 L
L' D R2 B U L' B2
L' D R2 B U B2 L'
D R2 B F2 L' U B'
D U R2 F2 B L U
D U R2 B L F2 U
D U R2 B F2 L U
U D R2 F2 B L U
U D R2 B L F2 U
U D R2 B F2 L U
F2 U F U' L' B' L'
F2 U F B' R' U' L2
F2 U B' R' F U' L2
F2 U B' F R' U' L2
F' U' L F' L D' B2
F2 U' L' U L' B' R'
F' U' L2 F' U' L' U
U' D' F' L2 B2 R' U'
D' U' F' L2 B2 R' U'
F' U' F' L D' L B2
F' U' F' L2 U' L U
F' U' F' U' L' U L'
U' F R F2 U' L2 F'
U' F R F2 U' F' L2
L F U' F2 U' L F'
L F U' F2 U' F' L
L F U2 D R2 F L
L F U2 D F L R2
L F U2 D F R2 L
L F D U2 R2 F L
L F D U2 F L R2
L F D U2 F R2 L
L F D F L R2 B
L F D F R2 L B
L F D' L2 B' U2 L'
L2 F' L U' B' L' F'
D' F' L' B2 L' U' B
U F' L' U' L' F' B'
U F' L' U' L' B' F'
L' F' U' D2 F' B' L
L' F' U' D2 B' L F'
L' F' U' D2 B' F' L
U' F' U2 L' U L' F'
L' F' U' F B' L' F2
L' F' U' B' F L' F2
L F' U F2 U2 F L
L F' U' L D2 F' B2
L F' U' L D2 B2 F'
U F' U' L' B' L' F'
L F' U' D2 L F' B2
L F' U' D2 L B2 F'
L F' U' D2 F' L B2
U F' U' F' L' B' L'
F' D' L' B2 U' F' B
F' D' L' B2 U' B F'
L' F' D2 U' F' B' L
L' F' D2 U' B' L F'
L' F' D2 U' B' F' L
L F' D2 U' L F' B2
L F' D2 U' L B2 F'
L F' D2 U' F' L B2
L F2 L R2 D' B R'
L F2 L D' R2 B R'
D F2 L' R2 U B' R'
U2 F2 L2 R B D' R2
R2 F2 L' B' L' D' R2
R2 F2 L' B' D' L' R2
R2 F2 L' B' D' R2 L'
U2 F2 R L2 B D' R2
D F2 R2 L' U B' R'
F' D' B2 L' U' F' B'
F' D' B2 L' U' B' F'
L F2 R2 L D' B R'
U2 F2 U F R U' L2
R2 B L' U B' L' F2
F' B L' U' B' L' F'
L' B' L' U F' U' F'
L' B' L' F D R2 F
L' B' L' F D F R2
L' B' L' F2 U F U'
B' F' L' U' B' L' F'
F' B' L' U' B' L' F'
B2 F' L' U' B' L' F'
B F' L' U' B' L' F'
D' B2 L2 D F' R U'
F' B2 L' U' B' L' F'
D2 B2 R2 U B L U
