F' R U B R' U
F' L R U B R' U
B' L U F' L' R U2
B' L U F' R L' U2
F' L' R U B R' U
F' L2 R U B R' U
F' R L U B R' U
F' R L' U B R' U
F' R L2 U B R' U
F' R U B R' U D
F' R U B R' U D'
F' R U B R' U D2
F' R U B R' D U
F' R U B R' D' U
F' R U B R' D2 U
F' R U B D R' U
F' R U B D' R' U
F' R U B D2 R' U
F' R B U R' U R
F' R B' U B2 R' U
B2 U F' L' R B U2
B2 U F' R L' B U2
B2 U F' R B L' U2
R2 F D L' F B R'
R2 F D L' B R' F
R2 F D L' B F R'
R2 F D B L' R' F
R2 F D B L' F R'
R2 F D B R' L' F
U F' L' D' R U2 F'
L' F' R U B R' U
L2 F' R U B R' U
L F' R U B R' U
U F' R D L' U2 F
U F' D L' R U2 F
F' D' R U B U F'
U F' D R L' U2 F
U F' D' L' R U2 F'
U F' D' R L' U2 F'
R B R' U' F' R U2
F' B R U B R2 U
B F' R U B R2 U
