B2 R U L2 F' U2
B2 R U F' L2 U2
B2 R U' D2 R2 B
B2 R D2 U' R2 B
B2 R' U L2 U2 B
B2 R' U' D2 B R2
B2 R' U' B D2 R2
B2 R' D F2 U' B
B2 R' D2 U' B R2
R' D F2 U' L2 B
R' D F2 U' B L2
R D F2 U' L2 B'
B2 U' R D2 R2 B
B2 U' R' D2 B R2
B2 U' R' B D2 R2
B D F2 B R' U'
B D B R' F2 U'
B D B F2 R' U'
D F2 B R' U' L2
D B R' F2 U' L2
D B F2 R' U' L2
L B2 L' U' R' B
R' B2 U L2 F U2
R' B2 U' D2 R2 B'
R' B2 U' D2 B' R2
R' B2 U' B' D2 R2
R' B2 D F2 U' B'
R B2 U L2 F' U2
R' B2 D2 U' R2 B'
R' B2 D2 U' B' R2
R B2 U F' L2 U2
R B2 U' D2 R2 B
R B2 D2 U' R2 B
L2 R U2 D F2 L2 B'
U' L U B2 U' R' B
L2 R D U2 F2 L2 B'
L2 R D F' U2 L2 F'
L2 R D F' U2 F' L2
L2 R D' R2 B2 U2 B'
U L U' B2 U' R' B
L2 R D' F' R2 B2 U2
L2 R D' F' B2 R2 U2
L2 R D' B2 R2 U2 B
L2 R D' B2 F' R2 U2
U2 L U2 B2 U' R' B
L2 R F' U' L2 B2 U'
L2 R F' U' B2 L2 U'
L2 R F' U2 D L2 F2
L2 R F' U2 D F2 L2
L2 R F' D U2 L2 F2
L2 R F' D U2 F2 L2
L2 R F' D' R2 B2 U2
L2 R F' D' B2 R2 U2
D2 L F2 R U R B'
D2 L F2 R U B' R
L2 R' U' L2 B2 U' B'
F' L B2 L' U' R' B
F2 L B2 L' U' R' B
F L B2 L' U' R' B
L2 R' U2 D L2 F2 B
L2 R' U2 D L2 B F2
L2 R' U2 D F2 L2 B
L2 R' U2 D F2 B L2
L2 R' U2 D B L2 F2
L2 R' U2 D B F2 L2
L2 R' D U2 L2 F2 B
L2 R' D U2 L2 B F2
L2 R' D U2 F2 L2 B
L2 R' D U2 F2 B L2
L2 R' D U2 B L2 F2
L2 R' D U2 B F2 L2
L2 R' D' R2 F' B2 U2
L2 R' D' R2 B2 F' U2
L2 R' D' B2 R2 U2 B'
R' L2 U' L2 B2 U' B'
R' L2 U2 D L2 F2 B
R' L2 U2 D L2 B F2
R' L2 U2 D F2 L2 B
R' L2 U2 D F2 B L2
R' L2 U2 D B L2 F2
R' L2 U2 D B F2 L2
R L2 U2 D F2 L2 B'
R' L2 D U2 L2 F2 B
R' L2 D U2 L2 B F2
R' L2 D U2 F2 L2 B
R' L2 D U2 F2 B L2
R' L2 D U2 B L2 F2
R' L2 D U2 B F2 L2
R L2 D U2 F2 L2 B'
R L2 D F' U2 L2 F'
R L2 D F' U2 F' L2
R' L2 D' R2 F' B2 U2
R' L2 D' R2 B2 F' U2
R' L2 D' B2 R2 U2 B'
R L2 D' R2 B2 U2 B'
R L2 D' F' R2 B2 U2
R L2 D' F' B2 R2 U2
R L2 D' B2 R2 U2 B
R L2 D' B2 F' R2 U2
U L2 R D F' U2 L2
U L2 R D' R2 U2 B
U L2 R D' F' R2 U2
U L2 R F' U' B2 U'
U L2 R F' U2 D L2
U L2 R F' D U2 L2
U L2 R F' D' R2 U2
U L2 R' U' B2 U' B'
U L2 R' U2 D L2 B
U L2 R' U2 D B L2
U L2 R' D U2 L2 B
U L2 R' D U2 B L2
U L2 R' D' R2 F' U2
R L2 F' U' L2 B2 U'
R L2 F' U' B2 L2 U'
R L2 F' U2 D L2 F2
R L2 F' U2 D F2 L2
R L2 F' D U2 L2 F2
R L2 F' D U2 F2 L2
R L2 F' D' R2 B2 U2
R L2 F' D' B2 R2 U2
U L2 U' R' B2 U' B'
U L2 U' B2 R' U' B
R' U L2 U' B2 U' B'
R' U L2 U2 D L2 B
R' U L2 U2 D B L2
R' U L2 D U2 L2 B
R' U L2 D U2 B L2
R' U L2 D' R2 F' U2
R U L2 D F' U2 L2
R U L2 D' R2 U2 B
R U L2 D' F' R2 U2
R U L2 F' U' B2 U'
R U L2 F' U2 D L2
R U L2 F' D U2 L2
R U L2 F' D' R2 U2
U R L2 D F' U2 L2
B2 R U L F' L U2
U R L2 D' R2 U2 B
U R L2 D' F' R2 U2
B2 R U L2 D F' U2
B2 R U L2 D' F' U2
B2 R U L2 D2 F' U2
B2 R U L2 F' U2 D
B2 R U L2 F' U2 D'
B2 R U L2 F' U2 D2
B2 R U L2 F' D U2
B2 R U L2 F' D' U2
B2 R U L2 F' D2 U2
R U F' L2 U' B2 U'
R U F' L2 U2 D L2
R U F' L2 D U2 L2
R U F' L2 D' R2 U2
U R L2 F' U' B2 U'
U R L2 F' U2 D L2
U R L2 F' D U2 L2
U R L2 F' D' R2 U2
B2 R U D2 F' U2 R2
B2 R U F L2 F2 U2
B2 R U F' L2 U2 D
B2 R U F' L2 U2 D'
B2 R U F' L2 U2 D2
B2 R U F' L2 D U2
B2 R U F' L2 D' U2
B2 R U F' L2 D2 U2
B2 R U F' U2 D2 R2
B2 R U F' D2 U2 R2
B2 R U F2 L2 U2 B'
B2 R U' R2 D2 B R2
B2 R U' R2 B D2 R2
B2 R U' D2 R2 D B
B2 R U' D2 R2 D' B
B2 R U' D2 R2 D2 B
B2 R U' D2 R2 B D
B2 R U' D2 R2 B D'
B2 R U' D2 R2 B D2
B2 R U' D2 B R2 B
B2 R U' D2 B' R2 B
B2 R U' D2 B2 R2 B
B2 R U' B D2 R2 B
B2 R U' B' D2 R2 B
B2 R U' B2 D2 R2 B
U' R D L2 D R2 B
B2 R D R2 F2 U' B
F' R D F2 U' L2 B'
B2 R D F2 U F U2
F2 R D F2 U' L2 B'
L U B2 L' U' R' B
F R D F2 U' L2 B'
U' R D2 R2 D' L2 B
U' R D2 R2 D' B L2
U' R D2 R2 B D' L2
B2 R D2 R' U' R' B
B2 R D2 U F' U2 R2
B2 R D2 U' R2 D B
B2 R D2 U' R2 D' B
B2 R D2 U' R2 D2 B
B2 R D2 U' R2 B D
B2 R D2 U' R2 B D'
B2 R D2 U' R2 B D2
B2 R D2 U' B R2 B
B2 R D2 U' B' R2 B
B2 R D2 U' B2 R2 B
B' R D2 B' U' R2 B
B2 R F U L2 F2 U2
B2 R F U F2 L2 U2
B2 R F U' D2 R2 B2
B2 R F U' D2 B2 R2
B2 R F D R2 F2 U'
B2 R F D F2 R2 U'
L2 U' L2 R' B2 U' B'
B2 R F D2 U' R2 B2
B2 R F D2 U' B2 R2
L2 U' L2 B2 R' U' B
U R F' L2 U' B2 U'
U R F' L2 U2 D L2
U R F' L2 D U2 L2
U R F' L2 D' R2 U2
B2 R F2 U L2 U2 B'
B2 R F2 U F L2 U2
L2 U' R' L2 B2 U' B'
D R F2 B R' U' L2
D R B R' F2 U' L2
D R B F2 R' U' L2
B' R B' U L2 F' U2
B' R B' U F' L2 U2
R' U' D L2 D B R2
R' U' D L2 B D R2
B' R B' U' D2 R2 B
B' R B' D2 U' R2 B
R' U' D B L2 D R2
F' R B2 U L2 F' U2
R U' D L2 D R2 B
F' R B2 U F' L2 U2
F' R B2 U' D2 R2 B
F2 R B2 U L2 F' U2
F2 R B2 U F' L2 U2
F2 R B2 U' D2 R2 B
F' R B2 D2 U' R2 B
F2 R B2 D2 U' R2 B
F R B2 U L2 F' U2
F R B2 U F' L2 U2
F R B2 U' D2 R2 B
F R B2 D2 U' R2 B
R' U' D2 B R2 D' L2
R U' D2 R2 D' L2 B
R U' D2 R2 D' B L2
R U' D2 R2 B D' L2
U R' L2 U' B2 U' B'
U R' L2 U2 D L2 B
U R' L2 U2 D B L2
U R' L2 D U2 L2 B
U R' L2 D U2 B L2
B2 R' U L2 U2 D B
B2 R' U L2 U2 D' B
B2 R' U L2 U2 D2 B
B2 R' U L2 U2 B D
B2 R' U L2 U2 B D'
B2 R' U L2 U2 B D2
B2 R' U L2 D U2 B
U R' L2 D' R2 F' U2
B2 R' U L2 D' U2 B
B2 R' U L2 D2 U2 B
B2 R' U L2 F U2 B
B2 R' U L2 F' U2 B
B2 R' U L2 F2 U2 B
B R' U L2 U2 B L
B2 R' U F L2 U2 B
B2 R' U F' L2 U2 B
B2 R' U F2 L2 U2 B
B2 R' U' R2 D2 R2 B
B2 R' U' D B D R2
B2 R' U' D2 B R2 D
B2 R' U' D2 B R2 D'
B2 R' U' D2 B R2 D2
B2 R' U' D2 B' R2 B2
B2 R' U' D2 B2 R2 B'
B2 R' U' B R D2 R2
B2 R' U' B R' D2 R2
B2 R' U' B R2 D2 R2
B2 R' U' B U2 L2 U2
B2 R' U' B D2 R2 D
B2 R' U' B D2 R2 D'
B2 R' U' B D2 R2 D2
B R' U' D2 B L R2
B R' U' D2 B R2 L
B2 R' U' B2 D2 R2 B'
B2 R' U' B2 D2 B' R2
B R' U' B D2 L R2
B R' U' B D2 R2 L
B2 R' U2 D' B2 U B'
U' R' D L2 D B R2
U' R' D L2 B D R2
B2 R' D U' B D R2
F' R' D F2 U' L2 B
F' R' D F2 U' B L2
B' R' D F2 B' U' B2
U' R' D B L2 D R2
B' R' D B' F2 U' B2
L2 U' B2 L2 R' U' B
B2 R' D F2 U' D B
B2 R' D F2 U' D' B
B2 R' D F2 U' D2 B
B2 R' D F2 U' B D
B2 R' D F2 U' B D'
B2 R' D F2 U' B D2
B2 R' D F2 D U' B
B2 R' D F2 D' U' B
B2 R' D F2 D2 U' B
F2 R' D F2 U' L2 B
F2 R' D F2 U' B L2
L2 U' B2 R' L2 U' B
B R' D F2 U' B L
L U' B2 L' U' R' B
F R' D F2 U' L2 B
F R' D F2 U' B L2
B2 R' D' U2 B2 U B'
B2 R' D2 U' B R2 D
B2 R' D2 U' B R2 D'
B2 R' D2 U' B R2 D2
B2 R' D2 U' B' R2 B2
B2 R' D2 U' B2 R2 B'
U' R' D2 B R2 D' L2
B2 R' D2 F U' B R2
B' R' D2 B' U' R2 B2
B' R' D2 B' U' B2 R2
B2 R' D2 F' U' B R2
B2 R' D2 F2 U' B R2
B R' D2 U' B L R2
B R' D2 U' B R2 L
B2 R' F U L2 U2 B
B2 R' F U' D2 B R2
B2 R' F U' B D2 R2
B2 R' F D F2 U' B
B2 R' F D2 U' B R2
B2 R' F' U L2 U2 B
B2 R' F' U' D2 B R2
B2 R' F' U' B D2 R2
B2 R' F' D F2 U' B
B2 R' F' D2 U' B R2
B2 R' F2 U L2 U2 B
B2 R' F2 U' D2 B R2
B2 R' F2 U' B D2 R2
B2 R' F2 D F2 U' B
B2 R' F2 D2 U' B R2
D R' F2 B R' U' L2
D R' B R' F2 U' L2
B' R' B' U L2 U2 B2
B' R' B' U' B2 D2 R2
D R' B F2 R' U' L2
F' R' B2 U L2 F U2
F' R' B2 U' D2 R2 B'
F' R' B2 U' D2 B' R2
F' R' B2 U' B' D2 R2
F' R' B2 D F2 U' B'
F2 R' B2 U L2 F U2
F' R' B2 D2 U' R2 B'
F' R' B2 D2 U' B' R2
F2 R' B2 U' D2 R2 B'
F2 R' B2 U' D2 B' R2
F2 R' B2 U' B' D2 R2
F2 R' B2 D F2 U' B'
F2 R' B2 D2 U' R2 B'
F2 R' B2 D2 U' B' R2
F R' B2 U L2 F U2
F R' B2 U' D2 R2 B'
F R' B2 U' D2 B' R2
F R' B2 U' B' D2 R2
R' U2 D2 F2 U B R2
F R' B2 D F2 U' B'
F R' B2 D2 U' R2 B'
F R' B2 D2 U' B' R2
B2 R2 D R F2 U' B
B2 R2 D F2 R U' B
L U2 B2 L' U' R' B
B2 R2 D2 R U' B R
R' D L2 D F2 B R2
R' D L2 D B R2 F2
R' D L2 D B F2 R2
R' D L2 B D R2 F2
R' D L2 B D F2 R2
R D L2 D R2 F2 B
R D L2 D R2 B F2
R2 D R F2 U' L2 B
R2 D R F2 U' B L2
D R2 F2 B R' U' L2
R2 D R' F2 U' L2 B'
R' D R2 F2 U' L2 B'
D R2 B R' F2 U' L2
D R2 B F2 R' U' L2
R' D U' L2 D B R2
R' D U' L2 B D R2
R D R2 F2 U' L2 B
R D R2 F2 U' B L2
R' D U' B L2 D R2
U' D L D L R2 B'
U' D L D L B' R2
U' D L D R2 L B'
B2 U L U2 B2 R' B
B2 U L D2 L U2 B'
R D U' L2 D R2 B
B2 U L' D2 L' F U2
B2 U L2 R F' R' U2
B2 U L2 U' R' U' B
B2 U L2 U2 R' B R
R' D F2 U' L' B L'
R' D F2 U' L2 D B
R' D F2 U' L2 D' B
R' D F2 U' L2 D2 B
R' D F2 U' L2 B D
R' D F2 U' L2 B D'
R' D F2 U' L2 B D2
R' D F2 U' B L2 D
R' D F2 U' B L2 D'
R' D F2 U' B L2 D2
R' D F2 U' B' L2 B2
B2 U R L2 F' R' U2
R' D F2 D' B2 U' B'
R' D F2 B' U' L2 B2
R' D F2 B' U' B2 L2
R' D F2 B2 U' B' L2
B2 U R F' L2 R' U2
B2 U R F' R' L2 U2
R' D B L2 D R2 F2
R' D B L2 D F2 R2
R2 D F2 R U' L2 B
R2 D F2 R U' B L2
R D F2 R U' L2 B'
R D F2 R' U' L2 B'
R D F2 R2 U' L2 B'
R D F2 U F U2 L2
R D F2 U' L2 D B'
R D F2 U' L2 D' B'
R D F2 U' L2 D2 B'
R D F2 U' L2 B' D
R D F2 U' L2 B' D'
R D F2 U' L2 B' D2
R D F2 U' B L2 B'
R D F2 U' B' L2 B'
R D F2 U' B2 L2 B'
R D F2 B U' L2 B'
R D F2 B' U' L2 B'
R D F2 B2 U' L2 B'
R' D B' F2 U' L2 B2
R' D B' F2 U' B2 L2
R D B F2 U' L2 B'
R' D B2 F2 U' B' L2
R D B' F2 U' L2 B'
B2 U D2 L U2 R2 B'
B2 U D2 L U2 B' R2
B2 U D2 L' F U2 R2
R D B2 F2 U' L2 B'
D2 U' L R2 D' B' L2
D2 U' L R2 B' D' L2
D2 U' L B' R2 D' L2
D2 U' L' R2 D' L2 B'
D U' L D L R2 B'
D U' L D L B' R2
D U' L D R2 L B'
B2 U' L B2 L' R' B
B2 U' L B2 R' L' B
B2 U' L B2 R' B L'
D2 U' R2 L D' B' L2
D2 U' R2 L B' D' L2
D2 U' R2 L' D' L2 B'
B2 U' R U2 L2 F' U2
B2 U' R U2 F' L2 U2
B2 U' R D2 R2 D B
B2 U' R D2 R2 D' B
B2 U' R D2 R2 D2 B
B2 U' R D2 R2 B D
B2 U' R D2 R2 B D'
B2 U' R D2 R2 B D2
B2 U' R D2 B R2 B
B2 U' R D2 B' R2 B
B2 U' R D2 B2 R2 B
B2 U' R B D2 R2 B
B2 U' R B' D2 R2 B
B2 U' R B2 D2 R2 B
B2 U' R' U2 L2 U2 B
B2 U' R' D B D R2
B2 U' R' D2 B R2 D
B2 U' R' D2 B R2 D'
B2 U' R' D2 B R2 D2
B2 U' R' D2 B' R2 B2
B2 U' R' D2 B2 R2 B'
B2 U' R' B R D2 R2
B2 U' R' B R' D2 R2
B2 U' R' B R2 D2 R2
B2 U' R' B U2 L2 U2
B2 U' R' B D2 R2 D
B2 U' R' B D2 R2 D'
B2 U' R' B D2 R2 D2
B2 U' R' B2 D2 R2 B'
B2 U' R' B2 D2 B' R2
B2 U' R2 D2 R B R
B2 U' D2 L R2 B' L'
B2 U' D2 L B' L' R2
B2 U' D2 L B' R2 L'
B2 U' D2 R' D2 R' B
B2 U' D2 R2 L B' L'
U' D2 L R2 D' B' L2
U' D2 L R2 B' D' L2
U' D2 L B' R2 D' L2
D2 U2 L F2 U R2 B'
D2 U2 L F2 U B' R2
U' D2 L' R2 D' L2 B'
U2 D2 L F2 U R2 B'
U2 D2 L F2 U B' R2
D2 U2 L' F2 U R2 B
U2 D2 L' F2 U R2 B
B2 U' B R D2 R2 B
B2 U' B R' D2 B R2
B2 U' B R' B D2 R2
B2 U' B' R D2 R2 B
B2 U' B' R' D2 B R2
B2 U' B' R' B D2 R2
B2 U' B2 R D2 R2 B
B2 U' B2 R' D2 B R2
B2 U' B2 R' B D2 R2
U' D2 R2 L D' B' L2
U' D2 R2 L B' D' L2
R' D2 U' B R2 D' L2
U' D2 R2 L' D' L2 B'
B2 U2 L U B2 R' B
R' D2 U2 F2 U B R2
B2 U2 L B2 U R' B
R D2 U' R2 D' L2 B
R D2 U' R2 D' B L2
R D2 U' R2 B D' L2
D2 U2 F2 L U R2 B'
D2 U2 F2 L U B' R2
U2 D2 F2 L U R2 B'
U2 D2 F2 L U B' R2
B2 U2 D2 L U R2 B'
B2 U2 D2 L U B' R2
R' F D F2 U' L2 B
R' F D F2 U' B L2
R F D R2 F2 U' L2
D' F D2 F2 R U' L2
R F D F2 R2 U' L2
D F B R' F U' L2
R' F B2 U L2 F U2
R' F B2 U' D2 R2 B'
R' F B2 U' D2 B' R2
R' F B2 U' B' D2 R2
R' F B2 D F2 U' B'
R' F B2 D2 U' R2 B'
R' F B2 D2 U' B' R2
L F B2 U' R' F' B
L F B2 U' R' B F'
R F B2 U L2 F2 U2
R F B2 U F2 L2 U2
R F B2 U' D2 R2 B2
R F B2 U' D2 B2 R2
R F B2 D R2 F2 U'
R F B2 D F2 R2 U'
R F B2 D2 U' R2 B2
R F B2 D2 U' B2 R2
D' F' R D2 F2 U' L'
B D F B R' F U'
B2 D F' D2 F' R U'
B' D F2 B R' B2 U'
B' D F2 B' U2 L U
R F' L2 U' L2 B2 U'
R F' L2 U' B2 L2 U'
R F' L2 U2 D L2 F2
R F' L2 U2 D F2 L2
R F' L2 D U2 L2 F2
R F' L2 D U2 F2 L2
F' D F2 B R' U' L2
R F' L2 D' R2 B2 U2
B2 D F2 D' R' U' B
R F' L2 D' B2 R2 U2
B2 D F2 B R' B' U'
B' D B R' F2 B2 U'
B' D B R' B2 F2 U'
F2 D F2 B R' U' L2
F' D B R' F2 U' L2
B2 D B R' F2 B' U'
B2 D B R' B' F2 U'
F2 D B R' F2 U' L2
B' D B F2 R' B2 U'
B D F2 B R' U' D
B D F2 B R' U' D'
B D F2 B R' U' D2
B D F2 B R' D U'
B D F2 B R' D' U'
F' D B F2 R' U' L2
B D F2 B R' D2 U'
B D F2 B D R' U'
B D F2 B D' R' U'
B D F2 B D2 R' U'
B2 D B F2 R' B' U'
F2 D B F2 R' U' L2
B D B R F2 R2 U'
F D F2 B R' U' L2
B D B R' U' D R2
B D B R' D U' R2
B D B R' F2 U' D
B D B R' F2 U' D'
B D B R' F2 U' D2
B D B R' F2 D U'
B D B R' F2 D' U'
B D B R' F2 D2 U'
B' D B' F2 U2 L U
B D B D R' U' R'
F D B R' F2 U' L2
B D B F R' F U'
B D B F2 R' U' D
B D B F2 R' U' D'
B D B F2 R' U' D2
B D B F2 R' D U'
B D B F2 R' D' U'
B D B F2 R' D2 U'
B D B F2 D R' U'
B D B F2 D' R' U'
B D B F2 D2 R' U'
F D B F2 R' U' L2
R' F' D F2 U' L2 B
R' F' D F2 U' B L2
D' F' D2 R F2 U' L2
R' F' B2 U L2 F U2
R' F' B2 U' D2 R2 B'
R' F' B2 U' D2 B' R2
R' F' B2 U' B' D2 R2
R' F' B2 D F2 U' B'
R' F' B2 D2 U' R2 B'
R' F' B2 D2 U' B' R2
B2 D' F U2 L' B2 U
B2 D' F U2 B2 L' U
B2 D' F D2 F2 R U'
B2 D' F' R U' D' R2
B2 D' F' R U2 B2 U
B2 D' F' R D' U' R2
B2 D' F' R D2 F2 U'
B2 D' F' D' R U' R
B2 D' F' D2 R F2 U'
D F2 R B R' U' L2
D F2 R' B R' U' L2
B D' B R2 F' R U'
D F2 R2 B R' U' L2
D F2 U' L D L B'
R' F2 D F2 U' L2 B
R' F2 D F2 U' B L2
D F2 D' R' B2 U' B'
B2 D2 R' U' D2 R' B
D F2 D' B2 R' U' B
B2 D2 R' D2 U' R' B
D F2 B R' U' L2 D
D F2 B R' U' L2 D'
D F2 B R' U' L2 D2
D F2 B R' D' B2 U'
D F2 B R' B U' L2
D F2 B R' B' U' L2
D F2 B R' B2 U' L2
B2 D2 U L U2 R2 B'
B2 D2 U L U2 B' R2
R' F2 B2 U L2 F U2
B2 D2 U L' F U2 R2
R' F2 B2 U' D2 R2 B'
R' F2 B2 U' D2 B' R2
R' F2 B2 U' B' D2 R2
D F2 B D' R' B2 U'
R' F2 B2 D F2 U' B'
R' F2 B2 D2 U' R2 B'
R' F2 B2 D2 U' B' R2
B2 D2 U' L R2 B' L'
B2 D2 U' L B' L' R2
B2 D2 U' L B' R2 L'
D F2 B' U2 L U L
D F2 B' D' B2 R' U'
B2 D2 U' R' D2 R' B
B2 D2 U' R2 L B' L'
B2 D2 U2 L U R2 B'
B2 D2 U2 L U B' R2
D F2 B2 U' L' B' L'
R F2 B2 U L2 U2 B'
R F2 B2 U F L2 U2
L B L' B U' R' B
D B R F2 R2 U' L2
D B R' U' L2 D R2
D B R' F2 U' L2 D
D B R' F2 U' L2 D'
D B R' F2 U' L2 D2
D B R' F2 D' B2 U'
D B R' F2 B U' L2
D B R' F2 B' U' L2
D B R' F2 B2 U' L2
D B R' B F2 U' L2
D B R' B' F2 U' L2
D B R' B2 F2 U' L2
R' B D F2 B U' B'
R' B D B F2 U' B'
B2 F R U L2 F' U2
B2 F R U F' L2 U2
B2 F R U' D2 R2 B
B2 F R D2 U' R2 B
R' B D2 B U' R2 B'
R' B D2 B U' B' R2
B2 F R' U L2 U2 B
B2 F R' U' D2 B R2
B2 F R' U' B D2 R2
B2 F R' D F2 U' B
B2 F R' D2 U' B R2
D B F R' F U' L2
R B D2 B U' R2 B
B2 F U' R D2 R2 B
B2 F U' R' D2 B R2
