D' B U F U R'
F L R2 B' U F' B2
F L R2 B' U B2 F'
B L U D' B' U L
B L D' U B' U L
F L B' U' F' B2 U2
F L B' U' B2 F' U2
F L B' D' R2 U B
R2 L' U' F U' F2 L'
B L' U' F U R U2
U' L' F U B U2 L
L' R2 U' F U' F2 L'
B L2 U' F B' U' R
F L2 U' F' L' B U2
F L2 U' F' B L' U2
B L2 U' B' F U' R
F L2 U' B F' L' U2
D' L2 B U2 R' D L2
D' L2 B U2 D L2 R'
D' L2 B U2 D R' L2
D' L2 B D U2 L2 R'
D' L2 B D U2 R' L2
D' L2 B D' R2 U2 R
R2 U D F U F2 R
L' U' F U B R U2
D2 R' U F B R U
D2 R' U B F R U
R2 U2 D F' R D' L2
R2 U2 D F' D' L2 R
R2 U2 D F' D' R L2
F R2 L B' U F' B2
F R2 L B' U B2 F'
D2 R2 U F U R F2
D R2 U F U F2 R
F R2 U D F' B R
F R2 U D B F' R
F R2 U D' F' B R'
F R2 U D' B F' R'
F R2 U F' D' B R'
F R2 U B D F' R
D R2 U2 F' R D' L2
D R2 U2 F' D' L2 R
D R2 U2 F' D' R L2
U2 R2 D F' R D' L2
U2 R2 D F' D' L2 R
U2 R2 D F' D' L2 R
U2 R2 D F' D' R L2
F R2 D U F' B R
F R2 D U B F' R
U R2 D F U F2 R
F R2 D' U F' B R'
F R2 D' U B F' R'
D R2 F' R D' L2 B'
D R2 F' D' L2 R B'
D R2 F' D' L2 B' R
D R2 F' D' R L2 B'
R2 D U F U F2 R
R2 D U2 F' R D' L2
R2 D U2 F' D' L2 R
R2 D U2 F' D' R L2
B U L B' L' F U
R2 D F' R D' L2 B'
R2 D F' D' L2 R B'
R2 D F' D' L2 B' R
R2 D F' D' R L2 B'
U2 D R2 F' R D' L2
U2 D R2 F' D' L2 R
U2 D R2 F' D' R L2
D' U F U' B U2 R'
D U R2 F U F2 R
F U R2 D F' B R
F U R2 D B F' R
F U R2 D' F' B R'
F U R2 D' B F' R'
U D R2 F U F2 R
F U R2 F' D' B R'
F U R2 B D F' R
B U D F U' L' U2
D U F U' L' B U2
D U F U' B L' U2
F U D R2 F' B R
F U D R2 B F' R
U D F U' L' B U2
U D F U' B L' U2
B U D' F B U R'
B U D' B F U R'
F U D' R2 F' B R'
F U D' R2 B F' R'
B U F L B' L' U
B U F D' B U R'
B U F2 D F' U R
B2 U' L2 B' U' F R
U D' F U' B U2 R'
L D' B R' U B2 U
L D' B R' U2 D' R2
L D' B R' D L2 U2
L D' B R' D' U2 R2
L D' B U B2 U L
L D' B D L2 R' U2
L D' B D R' L2 U2
L D' B D' R' U2 R'
F U' D F' B U2 R
F U' D B F' U2 R
F U' D' F' B U2 R'
F U' D' B F' U2 R'
F U' F' D' B U2 R'
F U' B D F' U2 R
D U2 R2 F' R D' L2
D U2 R2 F' D' L2 R
D U2 R2 F' D' R L2
B U2 L2 U B' U' R'
D' F R2 U F' B R'
D' F R2 U B F' R'
L' F R2 U' F' L' B
L' F R2 U' F' B L'
L' F R2 U' B F' L'
D' F U R2 F' B R'
D' F U R2 B F' R'
L' F U F' B U2 L
U F R2 U D F' R
L' F U B F' U2 L
U F R2 D U F' R
D' F U' F' B U2 R'
D' F U' B F' U2 R'
U F U R2 D F' R
U F U D R2 F' R
D F U' L' F' B U2
D F U' L' B F' U2
D F U' B L' F' U2
U F U' D' B U2 R'
U F D R2 U F' R
U F D U R2 F' R
U F D' U' B U2 R'
F' D R2 F L' U2 F2
F' D R2 F U2 F2 R
F2 D R2 B U' F' R
F D R2 U F' B R
F D R2 U B F' R
B D U F U' L' U2
F D U R2 F' B R
F D U R2 B F' R
F' D F L' R2 U2 F'
F' D F L' B R2 U2
F' D F R2 L' U2 F'
F D U' F' B U2 R
F D U' B F' U2 R
F' D F B L' R2 U2
F' D F B R2 L' U2
F' D B R2 F L' U2
F' D B F L' R2 U2
F' D B F R2 L' U2
R2 F' D' L2 B R' B2
R2 F' D' B L2 R' B'
R2 F' D' B R' L2 B'
R2 F' D' B2 L2 B' R'
F D' R2 U F' B R'
F D' R2 U B F' R'
B D' U F B U R'
B D' U B F U R'
F D' U R2 F' B R'
F D' U R2 B F' R'
B' D' F R2 U B R'
F D' U' F' B U2 R'
F D' U' B F' U2 R'
F' D' F B U2 L2 R'
F' D' F B U2 R' L2
F' D' B U2 L2 R' B'
F' D' B U2 R' L2 B'
F' D' B F U2 L2 R'
F' D' B F U2 R' L2
F' D' B2 L2 F B' R'
F' D' B2 L2 B' R' F
F' D' B2 L2 B' F R'
B D2 R' U F B U
B D2 R' U B F U
B D2 R2 U F U R
L2 B L U' F B2 U'
L2 B L U' B2 F U'
D' B R U F U R2
L B L' U F B2 U
L B L' U B2 F U
D2 B R' U F B U
D2 B R' U B F U
D2 B R2 U F U R
D' B U D F U R'
D' B U D' F U R'
D' B U D2 F U R'
D' B U F U R' D
D' B U F U R' D'
D' B U F U R' D2
D' B U F U D R'
D' B U F U D' R'
D' B U F U D2 R'
D' B U F D U R'
D' B U F D' U R'
D' B U F D2 U R'
L' B U' F U R U2
D B U F U' L' U2
D' B U2 R' U' F U
L2 B U' F B2 U' R
L2 B U' B2 F U' R
D' B D U F U R'
D' B D' U F U R'
D' B D2 U F U R'
F' B D R2 F L' U2
F' B D F L' R2 U2
F' B D F R2 L' U2
B' F D' R2 U B R'
B F' D R2 F L' U2
B F' D F L' R2 U2
B F' D F R2 L' U2
U' B2 L2 B' U' F R
F B' D' R2 U B R'
