R' L B D R2 F'
D2 L F2 D' R2 B'
D2 L F2 D' B' R2
L R' B D R2 F'
B2 R' U' F2 U' B
B2 R' U2 D B R2
B2 R' U2 B D R2
B2 R' D U2 B R2
B2 R' D' L2 U2 B
D R2 D L F2 B'
D R2 D L B' F2
D R2 D F2 L B'
F2 U B2 R' U2 B
F2 U' D2 L F2 B'
F2 U' D2 L B' F2
F2 U' D2 F2 L B'
D2 F2 L D' R2 B'
D2 F2 L D' B' R2
F2 D2 U' L F2 B'
F2 D2 U' L B' F2
F2 D2 U' F2 L B'
D2 L R F2 D' R2 B'
D2 L R F2 D' B' R2
B2 L R' U' F2 U' B
B2 L R' U2 D B R2
B2 L R' U2 B D R2
B2 L R' D U2 B R2
B2 L R' D' L2 U2 B
D2 L R' F2 D' R2 B'
D2 L R' F2 D' B' R2
U' L R' B D R2 F'
U2 L R' B D R2 F'
U L R' B D R2 F'
D2 L R2 F2 D' R2 B'
D2 L R2 F2 D' B' R2
L R D R2 D F2 B
L R D R2 D B F2
L R D R2 B D F2
R L D R2 D F2 B
R L D R2 D B F2
R L D R2 B D F2
R' L D B R2 D F2
D2 L U' B2 U F2 B
D2 L U' B2 U B F2
R' L D2 F2 D' B R2
D2 L D' R2 D F2 B'
D2 L D' R2 D B' F2
D2 L D' R2 B' D F2
D2 L D' B' R2 D F2
D2 L F D' R2 F B'
D2 L F D' R2 B' F
D2 L F D' F R2 B'
D2 L F D' F B' R2
D2 L F D' B' R2 F
D2 L F D' B' F R2
R' L B R2 D F' R2
R' L B D R2 D F'
R' L B D R2 D' F'
R' L B D R2 D2 F'
R' L B D R2 F' D
R' L B D R2 F' D'
R' L B D R2 F' D2
R' L B D F R2 F'
R' L B D F' R2 F'
R' L B D F2 R2 F'
L R B D R2 F' B
L R B D R2 B F'
R L B D R2 F' B
R L B D R2 B F'
D2 L F' D' F' R2 B'
D2 L F' D' F' B' R2
D2 L F' D' B' F' R2
D2 L F2 R D' R2 B'
D2 L F2 R D' B' R2
D2 L F2 R' D' R2 B'
D2 L F2 R' D' B' R2
D2 L F2 R2 D' R2 B'
D2 L F2 R2 D' B' R2
D2 L F2 U' B2 U B
D2 L F2 D B' D2 R2
D2 L F2 D' R B' R
D2 L F2 D' R2 D B'
D2 L F2 D' R2 D' B'
D2 L F2 D' R2 D2 B'
D2 L F2 D' R2 B' D
D2 L F2 D' R2 B' D'
D2 L F2 D' R2 B' D2
D2 L F2 D' B R2 B2
D2 L F2 D' B' R2 D
D2 L F2 D' B' R2 D'
D2 L F2 D' B' R2 D2
D2 L F2 D2 B' D R2
D2 L F2 B' U' B' U
R' L B2 D B' R2 F'
D2 L B' U' B' U F2
D2 L B' F2 U' B' U
B2 L' R' U' F2 U' B
B2 L' R' U2 D B R2
B2 L' R' U2 B D R2
B2 L' R' D U2 B R2
B2 L' R' D' L2 U2 B
L R' D B R2 D F2
L R' D2 F2 D' B R2
R' L' B L2 D R2 F'
L' R' B L2 D R2 F'
L2 R' B L' D R2 F'
L R' B R2 D F' R2
L2 R' B D L' R2 F'
L2 R' B D R2 L' F'
L R' B D R2 D F'
L R' B D R2 D' F'
L R' B D R2 D2 F'
L R' B D R2 F' D
L R' B D R2 F' D'
L R' B D R2 F' D2
L R' B D F R2 F'
L R' B D F' R2 F'
L R' B D F2 R2 F'
L R' B2 D B' R2 F'
D2 L' F2 L2 D' R2 B
D2 L' B2 U L2 F2 B'
D2 L' B2 U L2 B' F2
B2 L2 R' U' F2 U' B
B2 L2 R' U2 D B R2
B2 L2 R' U2 B D R2
B2 L2 R' D U2 B R2
B2 L2 R' D' L2 U2 B
R' L2 B L' D R2 F'
R' L2 B D L' R2 F'
R' L2 B D R2 L' F'
R' U L B D R2 F'
D L2 B R' U' L' R'
D L2 B R' U' R' L'
D L2 B2 U' L' R2 B'
D L2 B2 U' L' B' R2
D L2 B2 U' R2 L' B'
D2 R L F2 D' R2 B'
D2 R L F2 D' B' R2
F2 R U F' B2 R' U2
F2 R U B2 F' R' U2
D R D L R F2 B'
D R D L R B' F2
D R D L B' R F2
D R D R L F2 B'
D R D R L B' F2
D R D R F2 L B'
R' U' L B D R2 F'
B2 R F' R2 U B U
D2 R F2 L D' R2 B'
D2 R F2 L D' B' R2
B2 R' L U' F2 U' B
B2 R' L U2 D B R2
B2 R' L U2 B D R2
B2 R' L D U2 B R2
B2 R' L D' L2 U2 B
D2 R' L F2 D' R2 B'
D2 R' L F2 D' B' R2
U' R' L B D R2 F'
U2 R' L B D R2 F'
B2 R' L' U' F2 U' B
B2 R' L' U2 D B R2
B2 R' L' U2 B D R2
B2 R' L' D U2 B R2
B2 R' L' D' L2 U2 B
U R' L B D R2 F'
B2 R' L2 U' F2 U' B
B2 R' L2 U2 D B R2
B2 R' L2 U2 B D R2
B2 R' L2 D U2 B R2
B2 R' L2 D' L2 U2 B
B2 R' U D2 B2 U B'
F2 R' U B2 R' U2 B'
F2 R' U' L D2 F2 B
F2 R' U' L D2 B F2
F2 R' U' D2 L F2 B
F2 R' U' D2 L B F2
F2 R' U' D2 F2 L B
B2 R' U' F2 U' D B
B2 R' U' F2 U' D' B
B2 R' U' F2 U' D2 B
B2 R' U' F2 U' B D
B2 R' U' F2 U' B D'
B2 R' U' F2 U' B D2
B2 R' U' F2 D U' B
B2 R' U' F2 D' U' B
B2 R' U' F2 D2 U' B
B2 R' U2 R2 D R2 B
B2 R' U2 D B R2 D
B2 R' U2 D B R2 D'
B2 R' U2 D B R2 D2
B2 R' U2 D B' R2 B2
B2 R' U2 D B2 R2 B'
B2 R' U2 D' B D2 R2
B2 R' U2 B R D R2
B2 R' U2 B R' D R2
B2 R' U2 B R2 D R2
B2 R' U2 B U F2 U'
B2 R' U2 B D R2 D
B2 R' U2 B D R2 D'
B2 R' U2 B D R2 D2
B2 R' U2 B2 D R2 B'
B2 R' U2 B2 D B' R2
B2 R' D L U2 B R2
B2 R' D L' U2 B R2
B2 R' D L2 U2 B R2
F2 R' D L2 U' L' B
F2 R' D L2 U' B L'
D R' D L R' F2 B'
D R' D L R' B' F2
D R' D L F2 R' B'
B2 R' D U2 B R2 D
B2 R' D U2 B R2 D'
B2 R' D U2 B R2 D2
B2 R' D U2 B' R2 B2
D R' D R' L F2 B'
D R' D R' L B' F2
B2 R' D U2 B2 R2 B'
B2 R' D F U2 B R2
D R' D R' F2 L B'
B2 R' D F' U2 B R2
B2 R' D F2 U2 B R2
D R' D F2 L R' B'
D R' D F2 R' L B'
B2 R' D' L2 U2 D B
B2 R' D' L2 U2 D' B
B2 R' D' L2 U2 D2 B
B2 R' D' L2 U2 B D
B2 R' D' L2 U2 B D'
B2 R' D' L2 U2 B D2
B2 R' D' L2 D U2 B
B2 R' D' L2 D' U2 B
B2 R' D' L2 D2 U2 B
B2 R' D' L2 F U2 B
B2 R' D' L2 F' U2 B
B2 R' D' L2 F2 U2 B
B2 R' D' U2 B D2 R2
B2 R' D' F L2 U2 B
B2 R' D' F' L2 U2 B
B2 R' D' F2 L2 U2 B
R' U2 L B D R2 F'
B2 R' D2 U B2 U B'
F2 R' D2 U' L F2 B
F2 R' D2 U' L B F2
F2 R' D2 U' F2 L B
B2 R' F U' F U' B
B2 R' F' U' F' U' B
D2 R' F2 L D' R2 B'
D2 R' F2 L D' B' R2
D2 R2 L F2 D' R2 B'
D2 R2 L F2 D' B' R2
B2 R2 U' F2 U' L' B'
B2 R2 D R U2 B R
D R2 D L F2 D B'
D R2 D L F2 D' B'
D R2 D L F2 D2 B'
D R2 D L F2 B' D
D R2 D L F2 B' D'
D R2 D L F2 B' D2
D R2 D L B' F2 D
D R2 D L B' F2 D'
D R2 D L B' F2 D2
D R2 D F' L F' B'
D R2 D F' L B' F'
B2 R2 D' L2 R U2 B
D R2 D F2 L D B'
D R2 D F2 L D' B'
D R2 D F2 L D2 B'
D R2 D F2 L B' D
D R2 D F2 L B' D'
D R2 D F2 L B' D2
B2 R2 D' R L2 U2 B
R' D L2 U' L' B R2
R' D L2 U' B L' R2
R' D L2 U' B R2 L'
D R2 F D L F2 B'
D R2 F D L B' F2
D R2 F D F2 L B'
D2 R2 F2 L D' R2 B'
D2 R2 F2 L D' B' R2
R D L2 U' L' R2 B
R D L2 U' R2 L' B
R D L2 U' R2 B L'
D R2 F' D L F2 B'
D R2 F' D L B' F2
D R2 F' D F2 L B'
D R2 F2 D L F2 B'
D R2 F2 D L B' F2
D R2 F2 D F2 L B'
R D R2 D L F2 B
R D R2 D L B F2
R D R2 D F2 L B
D2 U L F2 D' R2 B'
D2 U L F2 D' B' R2
F2 U R F' B2 R' U2
F2 U R B2 F' R' U2
F2 U R' B2 R' U2 B'
U' D R2 D L F2 B'
U' D R2 D L B' F2
U' D R2 D F2 L B'
U2 D R2 D L F2 B'
U2 D R2 D L B' F2
U2 D R2 D F2 L B'
D U R2 D L F2 B'
D U R2 D L B' F2
F2 U R2 B2 R' F' U2
D U R2 D F2 L B'
U D R2 D L F2 B'
U D R2 D L B' F2
U D R2 D F2 L B'
D2 U F2 L D' R2 B'
D2 U F2 L D' B' R2
F2 U D2 L F2 R B'
F2 U D2 L F2 B' R
F2 U D2 L B' F2 R
B2 U D2 B2 U L B'
F2 U F B2 R' U2 B
F2 U F' B2 R' U2 B
F2 U F2 B2 R' U2 B
D2 U' L F2 D' R2 B'
D2 U' L F2 D' B' R2
F2 U B2 R F' R2 U2
F2 U B2 R' U2 D B
F2 U B2 R' U2 D' B
F2 U B2 R' U2 D2 B
F2 U B2 R' U2 B D
F2 U B2 R' U2 B D'
F2 U B2 R' U2 B D2
F2 U B2 R' D U2 B
F2 U B2 R' D' U2 B
F2 U B2 R' D2 U2 B
F2 U B2 R' F U2 B
F2 U B2 R' F' U2 B
F2 U B2 R' F2 U2 B
F2 U B2 F R' U2 B
F2 U B2 F' R' U2 B
F2 U B2 F2 R' U2 B
D U' R2 D L F2 B'
