F2 U' L' F B
F2 U' L' B F
F2 U' B L' F
F2 L U' L2 F B
F2 L U' L2 B F
B U F2 U' L' F
F2 U' L' D F B
F2 U' L' D B F
F2 U' L' D' F B
F2 U' L' D' B F
F2 U' L' D2 F B
F2 U' L' D2 B F
F2 U' L' F D B
F2 U' L' F D' B
F2 U' L' F D2 B
F2 U' L' F B D
F2 U' L' F B D'
F2 U' L' F B D2
F2 U' L' B D F
F2 U' L' B D' F
F2 U' L' B D2 F
F2 U' L' B F D
F2 U' L' B F D'
F2 U' L' B F D2
F2 U' B L' D F
F2 U' B L' D' F
F2 U' B L' D2 F
F2 U' B L' F D
F2 U' B L' F D'
F2 U' B L' F D2
F2 U' B' L' F B2
F2 U' B' L' B2 F
L' F2 U' L' F' B
L' F2 U' L' B F'
L' F2 U' B L' F'
U' F2 U' L' F B
U' F2 U' L' B F
U' F2 U' B L' F
U2 F2 U' L' F B
U2 F2 U' L' B F
U2 F2 U' B L' F
U F2 U' L' F B
U F2 U' L' B F
U F2 U' B L' F
F2 B' U' L' F B2
F2 B' U' L' B2 F
F2 B' U' B2 L' F
B' F2 U' L' F B2
B' F2 U' L' B2 F
B' F2 U' B2 L' F
F2 B2 U' B' L' F
B2 F2 U' B' L' F
F2 L U B' U2 L2 B2
F2 L U B' U2 B2 L2
F2 L U' L' B L' F
F2 L U' L2 D F B
F2 L U' L2 D B F
F2 L U' L2 D' F B
F2 L U' L2 D' B F
F2 L U' L2 D2 F B
F2 L U' L2 D2 B F
F2 L U' L2 F D B
F2 L U' L2 F D' B
F2 L U' L2 F D2 B
F2 L U' L2 F B D
F2 L U' L2 F B D'
F2 L U' L2 F B D2
F2 L U' L2 B D F
F2 L U' L2 B D' F
F2 L U' L2 B D2 F
F2 L U' L2 B F D
F2 L U' L2 B F D'
F2 L U' L2 B F D2
F2 L U' F L2 F B
F2 L U' F L2 B F
F2 L U' F' L2 F B
F2 L U' F' L2 B F
F2 L U' F2 L2 F B
F2 L U' F2 L2 B F
F2 L U' B L2 D2 F2
B L' U F2 U' L' F'
F L' U' F L' B R
F L' U' F B L' R
F L' U' F B R L'
F L' U' B F L' R
F L' U' B F R L'
B L' D F2 L' F' R2
F L' F L' B D' R2
F2 L' F U F' U' B
B L' F U F U' L'
F2 L' F B U F' U'
F' L' F' U' L' F2 B
F' L' F' U' L' B F2
F' L' F' U' B L' F2
B' L' F2 U' L' F' B2
B' L' F2 U' L' B2 F'
U' L' F2 U' L' F' B
U' L' F2 U' L' B F'
B' L' F2 U' B2 L' F'
U' L' F2 U' B L' F'
U' L' F2 U' B L' F'
U2 L' F2 U' L' F' B
U2 L' F2 U' L' B F'
U2 L' F2 U' B L' F'
U2 L' F2 U' B L' F'
F2 L' F2 D F' B R2
F2 L' F2 D B F' R2
