B2 R B U' F' R2
B R B U' F' R'
R B U' D2 F' R
R B D2 U' F' R
B2 L R B U' F' R2
B L R B U' F' R'
R' L U' R2 B U' F'
R2 L U' R' B L U'
L R U' B U' F' B'
L R U' B U' B' F'
R L U' B U' F' B'
R L U' B U' B' F'
L' R D F2 B U' F
L' R D B F2 U' F
U' L U' R U' F' L'
U L U' R B U' F'
L' R D2 B U' F' R2
L2 R F2 B U' R F
L' R B U L2 U2 F'
L' R B U' D2 F' R2
R' L B U' R2 B U'
L' R B U' F' D2 R2
L2 R B U L' U2 F'
L' R B D F2 U' F
L2 R B U' F2 R F
L' R B D2 U' F' R2
L2 R B F2 U' R F
L R' U' R2 B U' F'
B2 L' R B U' F' R2
B L' R B U' F' R'
R L' D F2 B U' F
R L' D B F2 U' F
R L' D2 B U' F' R2
L R' B U' R2 B U'
R L' B U L2 U2 F'
R L' B U' D2 F' R2
R L' B U' F' D2 R2
R L' B D F2 U' F
R L' B D2 U' F' R2
L R2 U' R' B L U'
B2 L2 R B U' F' R2
B L2 R B U' F' R'
R L2 F2 B U' R F
R L2 B U L' U2 F'
R L2 B U' F2 R F
R L2 B F2 U' R F
R U L U' B U' F'
B2 R L B U' F' R2
B R L B U' F' R'
B2 R L' B U' F' R2
B R L' B U' F' R'
B2 R L2 B U' F' R2
B R L2 B U' F' R'
U2 R U L U2 F' L'
U2 R U' F' L' D2 R2
B2 R D' F2 B U' F
B2 R D' B F2 U' F
B R D2 B U' F' R
B2 R F B U' R2 F2
B2 R F B U' F2 R2
B R F B U' R' F2
B R F B U' F2 R'
L U' R B U' L F'
L U' R B U' F' L
B2 R F2 B U' R2 F
B2 R F2 B U' F R2
B2 R B L U' F' R2
B2 R B L' U' F' R2
B2 R B L2 U' F' R2
B R F2 B U' R' F
B R F2 B U' F R'
B' R B U L U2 F'
B R B L U' F' R'
B R B L' U' F' R'
B R B L2 U' F' R'
B2 R B U' F R2 F2
B2 R B U' F' R2 D
B2 R B U' F' R2 D'
B2 R B U' F' R2 D2
B2 R B U' F2 R2 F
B2 R B D' F2 U' F
B R B U' D F' R'
B R B U' D' F' R'
B R B U' D2 F' R'
B R B U' F R' F2
B R B U' F' R' D
B R B U' F' R' D'
B R B U' F' R' D2
B R B U' F' D R'
B R B U' F' D' R'
B R B U' F' D2 R'
B R B U' F2 R' F
B2 R B F U' R2 F2
B2 R B F U' F2 R2
B R B D U' F' R'
B2 R B F2 U' R2 F
B2 R B F2 U' F R2
B R B D' U' F' R'
B R B D2 U' F' R'
B R B F U' R' F2
B R B F U' F2 R'
B R B F2 U' R' F
B R B F2 U' F R'
U2 R B2 U' F' L' R'
U2 R B2 U' F' R' L'
B2 R' U R2 B U' F'
L U' B R U' L F'
L U' B R U' F' L
L U2 R U' F' L' R'
L U2 R U' F' R' L'
F' U L F R U2 F'
R D B U' D2 F' R
R D B D2 U' F' R
R D' B U' D2 F' R
R D' B D2 U' F' R
B2 U2 R U' F' L' R2
B2 U2 R U' F' R2 L'
R D2 B U' D2 F' R
R D2 B D2 U' F' R
R F L2 B U' F2 R
L2 F2 L' U R F' L'
R B L U' D2 F' R
R B L D2 U' F' R
R B L' U' D2 F' R
R B L' D2 U' F' R
R B L2 U' D2 F' R
R B L2 D2 U' F' R
R' B U' R2 B U' R'
R B U B U2 F' R'
R B U B' L U2 F'
R B U' D2 F' R D
R B U' D2 F' R D'
R B U' D2 F' R D2
R B U' D2 F' D R
R B U' D2 F' D' R
R B U' D2 F' D2 R
R B U' F' B R' B'
R B U' B F' R' B'
R B U2 B U F' R'
R B D L' F U' F2
R B D2 L U' F' R
R B D2 L' U' F' R
R B D2 L2 U' F' R
R B D2 U' F' R D
R B D2 U' F' R D'
R B D2 U' F' R D2
R B D2 U' F' D R
R B D2 U' F' D' R
R B D2 U' F' D2 R
R B D2 F U' F2 R
R B2 L U' F' L' R'
R B2 L U' F' R' L'
U2 B2 R U' F' L' R2
U2 B2 R U' F' R2 L'
D B2 R B L U' R2
