F L' D' B R' U2 B
B U' R' F' B2 U' R
B U' R' B2 F' U' R
B U' F' R' B2 U' R2
B' U2 D' L R2 B' U
B' U2 D' L B' R2 U
B' U2 D' R2 L B' U
B' D L2 F2 R F' U'
B' D' L B' R2 F' U
R2 F' B R D L2 B2
R2 F' B R D B2 L2
B' D' U2 L R2 B' U
B' D' U2 L B' R2 U
B' D' U2 R2 L B' U
R' B R' B2 U' F' R
D2 B U2 D L2 R' B
D2 B U2 D R' L2 B
D2 B U2 D R' B L2
D2 B D R' B L2 F
D2 B D U2 L2 R' B
D2 B D U2 R' L2 B
D2 B D U2 R' B L2
B F L' U' R' B2 U'
F B L' U' R' B2 U'
R2 B F' R D L2 B2
R2 B F' R D B2 L2
F' B U' R' B2 U' R2
F2 B U' R' F' B2 U'
F2 B U' R' B2 F' U'
F' B U2 R D L2 B2
F' B U2 R D B2 L2
R2 B' U2 L U F' R
B F' U' R' B2 U' R2
B F' U2 R D L2 B2
B F' U2 R D B2 L2
B F2 U' R' F' B2 U'
B F2 U' R' B2 F' U'
