U' R' F' U B' R' B
F' R2 U R B U L'
B' R2 D' B R F' L'
F' U R B R2 U L'
F' U' B2 L F U' L2
F' U2 L' F R D' F2
U2 F' L' U R' F' U
B' D F' U2 L' R' F
B' D F' U2 L' F R'
B' D F' U2 R' L' F
R' F' B' U L' R' B
R' F' B' U R' L' B
R' F' B' U R' B L'
B' F' U2 R' D L' F
R' B' F' U L' R' B
R' B' F' U R' L' B
R' B' F' U R' B L'
B' F' U2 D L' R' F
B' F' U2 D L' F R'
B' F' U2 D R' L' F
F' B' U2 R' D L' F
F' B' U2 D L' R' F
F' B' U2 D L' F R'
F' B' U2 D R' L' F
B' F' D U2 L' R' F
B' F' D U2 L' F R'
B' F' D U2 R' L' F
F' B' D U2 L' R' F
F' B' D U2 L' F R'
F' B' D U2 R' L' F
