D' L2 B' R' F' B2
D' L2 B' R' B2 F'
B' R' B2 D' L2 F'
B' R' B2 D' F' L2
D' B' L2 R' F' B2
D' B' L2 R' B2 F'
D' B' R' L2 F' B2
D' B' R' L2 B2 F'
D' B' R' F' L2 B2
D' B' R' F' L2 B2
D' B' R' F' B2 L2
D' B' R' B2 L2 F'
D' B' R' B2 F' L2
D B' R' F' B2 L
D B' R' B2 L F'
D B' R' B2 F' L
B' L R' B2 D' L2 F'
B' L R' B2 D' F' L2
D' L U2 L F B R
D' L U2 L B F R
U2 L D' F L2 B R
U2 L D' F B L2 R
U2 L D' F B R L2
U2 L D' B F L2 R
U2 L D' B F R L2
U2 L F2 U F' B R
U2 L F2 U B F' R
U2 L B D' F L2 R
U2 L B D' F R L2
D L B' R' F' B2 L
D L B' R' B2 L F'
D L B' R' B2 F' L
B' L' R' B2 D' L2 F'
B' L' R' B2 D' F' L2
U2 L' D' L2 F B R
U2 L' D' L2 B F R
U' L' F2 B' R' U B2
D' L' B' L' R' F' B2
D' L' B' L' R' B2 F'
D' L' B' R' L' F' B2
D' L' B' R' L' B2 F'
D' L' B' R' B2 L' F'
U' L' B' R' F2 U B2
D L' B' R' F' B2 L
D L' B' R' B2 L F'
D L' B' R' B2 F' L
U' L' B' F2 R' U B2
B' L2 R' B2 D' L2 F'
B' L2 R' B2 D' F' L2
D' L2 D B' R' F' B2
D' L2 D B' R' B2 F'
D' L2 D' B' R' F' B2
D' L2 D' B' R' B2 F'
D' L2 D2 B' R' F' B2
D' L2 D2 B' R' B2 F'
D' L2 F B' R' F' B2
D' L2 F B' R' B2 F'
D' L2 F' B' R' F' B2
D' L2 F' B' R' B2 F'
D' L2 F2 B' R' F' B2
D' L2 F2 B' R' B2 F'
D' L2 B U2 L U2 F
D' L2 B' R' F' B2 D
D' L2 B' R' F' B2 D'
D' L2 B' R' F' B2 D2
D' L2 B' R' B2 D F'
D' L2 B' R' B2 D' F'
D' L2 B' R' B2 D2 F'
D' L2 B' R' B2 F' D
D' L2 B' R' B2 F' D'
D' L2 B' R' B2 F' D2
D' L2 B' R2 B2 R F'
D L2 B' R' F' B2 L
D L2 B' R' B2 L F'
D L2 B' R' B2 F' L
D' L2 B' F R' F' B2
D' L2 B' F R' B2 F'
D' L2 B' F' R' F' B2
D' L2 B' F' R' B2 F'
D' L2 B' F2 R' F' B2
D' L2 B' F2 R' B2 F'
B' R F2 U R2 F' B2
B' R F2 U R2 B2 F'
D R B L R F' U2
D R B R L F' U2
D R B R F' L U2
B' R B2 R2 D' L2 F
B' R' L B2 D' L2 F'
B' R' L B2 D' F' L2
B' R' L' B2 D' L2 F'
B' R' L' B2 D' F' L2
B' R' L2 B2 D' L2 F'
B' R' L2 B2 D' F' L2
B' R' U' F2 U F B2
B' R' U' F2 U B2 F
B' R' D' L2 D F' B2
B' R' D' L2 D B2 F'
B' R' D' L2 F' D B2
B' R' D' F' L2 D B2
B R' D' L2 F2 R F
B R' D' F L2 F2 R
B' R' F' U' F' U B2
B' R' F' B2 U' F' U
B' R' B D' L2 F' B
B' R' B D' L2 B F'
B' R' B D' F' L2 B
B' R' B D' F' B L2
B' R' B D' B L2 F'
B' R' B D' B F' L2
B' R' B' D' F' B' L2
B' R' B' D' B' L2 F'
B' R' B' D' B' F' L2
B' R' B2 L D' L2 F'
B' R' B2 L D' F' L2
B' R' B2 L' D' L2 F'
B' R' B2 L' D' F' L2
B' R' B2 L2 D' L2 F'
B' R' B2 L2 D' F' L2
B' R' B2 U' F2 U F
B' R' B2 D F' D2 L2
B' R' B2 D' L F' L
B' R' B2 D' L2 D F'
B' R' B2 D' L2 D' F'
B' R' B2 D' L2 D2 F'
B' R' B2 D' L2 F' D
B' R' B2 D' L2 F' D'
B' R' B2 D' L2 F' D2
B' R' B2 D' F L2 F2
B' R' B2 D' F' L2 D
B' R' B2 D' F' L2 D'
B' R' B2 D' F' L2 D2
B' R' B2 D2 F' D L2
B' R' B2 F' U' F' U
D R2 F' U2 F R F'
B' R2 B2 R D' L2 F'
B' R2 B2 R D' F' L2
L' D B' R' F' B2 L
L' D B' R' B2 L F'
L' D B' R' B2 F' L
L2 D B' R' F' B2 L
L2 D B' R' B2 L F'
L2 D B' R' B2 F' L
U2 D R2 F' L' B' U2
L D B' R' F' B2 L
L D B' R' B2 L F'
L D B' R' B2 F' L
B U D2 B2 U' R' F'
L' D' L2 B' R' F' B2
L' D' L2 B' R' B2 F'
L2 D' L2 B' R' F' B2
L2 D' L2 B' R' B2 F'
L D' L2 B' R' F' B2
L D' L2 B' R' B2 F'
D2 U B2 U' B' R' F'
U2 D' L F L B R
L' D' B' L2 R' F' B2
L' D' B' L2 R' B2 F'
L' D' B' R' L2 F' B2
L' D' B' R' L2 B2 F'
L' D' B' R' F' L2 B2
L' D' B' R' F' B2 L2
L' D' B' R' B2 L2 F'
L' D' B' R' B2 F' L2
L2 D' B' L2 R' F' B2
L2 D' B' L2 R' B2 F'
L2 D' B' R' L2 F' B2
L2 D' B' R' L2 B2 F'
L2 D' B' R' F' L2 B2
L2 D' B' R' F' B2 L2
L2 D' B' R' B2 L2 F'
L2 D' B' R' B2 F' L2
L D' B' L2 R' F' B2
L D' B' L2 R' B2 F'
L D' B' R' L2 F' B2
L D' B' R' L2 B2 F'
L D' B' R' F' L2 B2
L D' B' R' F' B2 L2
L D' B' R' B2 L2 F'
L D' B' R' B2 F' L2
U2 D' B L F L R
U2 D' B L F R L
D' U2 L F L B R
B' U' F2 U R' F' B2
B' U' F2 U R' B2 F'
B U' F2 U' L U2 F
B U2 L U F2 U F'
B U2 L U2 D' F L2
B U2 L D R2 U2 F
B U2 L D' U2 F L2
D U2 R2 F' L' B' U2
D' U2 B L F L R
D' U2 B L F R L
B U2 D L R2 U2 F
B U2 D R2 L U2 F
B U2 D' L U2 F L
U D2 B2 U' B' R' F'
D' F L2 B' R' F' B2
D' F L2 B' R' B2 F'
B' D R' D' F' B2 L
B' D R' D' B2 L F'
B' D R' D' B2 F' L
B' D R' F' D' B2 L
D' F B' L2 R' F' B2
D' F B' L2 R' B2 F'
D' F B' R' L2 F' B2
D' F B' R' L2 B2 F'
D' F B' R' F' L2 B2
D' F B' R' F' B2 L2
D' F B' R' B2 L2 F'
D' F B' R' B2 F' L2
D F B' R' F' B2 L
D F B' R' B2 L F'
D F B' R' B2 F' L
B D U2 L R2 U2 F
B D U2 R2 L U2 F
D' F' L2 B' R' F' B2
D' F' L2 B' R' B2 F'
B D B2 R' F' B2 L
B D B2 R' B2 L F'
B D B2 R' B2 F' L
B' D' L2 D R' F' B2
B' D' L2 D R' B2 F'
B D' L2 R' F2 R F
B D' L2 R2 F2 R F'
B D' L2 U2 L' B' U2
B D' L2 F' R' F' R
B D' L2 F2 R' F' R2
B' D' R2 U' L2 R F'
B' D' R2 U' R L2 F'
B' D' R2 U' R F' L2
D' F' B' L2 R' F' B2
D' F' B' L2 R' B2 F'
B D' R' L2 F2 R F
D' F' B' R' L2 F' B2
D' F' B' R' L2 B2 F'
D' F' B' R' F' L2 B2
D' F' B' R' F' B2 L2
D' F' B' R' B2 L2 F'
D' F' B' R' B2 F' L2
B D' R' F L2 F2 R
B D' R2 L2 F2 R F'
D F' B' R' F' B2 L
D F' B' R' B2 L F'
D F' B' R' B2 F' L
U' F2 L' B' R' U B2
B D' U2 L U2 F L
D' F2 L2 B' R' F' B2
D' F2 L2 B' R' B2 F'
U' F2 U B' R' F' B2
U' F2 U B' R' B2 F'
B D' B2 L2 R' F' B2
B D' B2 L2 R' B2 F'
B D' B2 R' L2 F' B2
B D' B2 R' L2 B2 F'
B D' B2 R' F' L2 B2
