L2 U' B' U' F2 B'
L2 U' B' U' B' F2
D R2 F L2 B' U
F U F B2 D2 R2
F U B2 D2 R2 F
F U B2 D2 F R2
F U B2 F D2 R2
F U' L2 B' U2 B'
D F L2 R2 B' U
D F L2 B' R2 U
D F R2 L2 B' U
L2 R U' B' U' F2 B'
L2 R U' B' U' B' F2
F L U' L B' U2 B'
F2 L U' F' U B2 R'
F2 L F' U F B2 R'
F2 L F' U B2 R' F
F2 L F' U B2 F R'
F' L F2 U F B2 R'
F' L F2 U B2 R' F
F' L F2 U B2 F R'
L2 R' U' B' U' F2 B'
L2 R' U' B' U' B' F2
F2 L B2 U' F' U R'
F' L B2 D' L2 F' R'
F' L B2 D' F' L2 R'
F' L B2 D' F' R' L2
B L' U F2 B L R
B L' U F2 B R L
B L' U B F2 L R
B L' U B F2 R L
F' L' F2 U R F B2
F' L' F2 U R B2 F
F' L' F2 U B2 R F
R' L2 U' B' U' F2 B'
R' L2 U' B' U' B' F2
L2 R2 U' B' U' F2 B'
L2 R2 U' B' U' B' F2
R2 L2 U' B' U' F2 B'
R2 L2 U' B' U' B' F2
R L2 U' B' U' F2 B'
R L2 U' B' U' B' F2
D' L2 R2 D' B' U' R2
D' L2 R2 D2 F2 B' U'
D' L2 R2 D2 B' F2 U'
D L2 R2 U2 F2 B' U'
D L2 R2 U2 B' F2 U'
D' L2 R2 B' U2 B' U
F' L2 U F2 U F B2
F' L2 U F2 U B2 F
F L2 U B2 D' R2 F'
U' L2 U' B' U' F2 B'
U' L2 U' B' U' B' F2
U2 L2 U' B' U' F2 B'
U2 L2 U' B' U' B' F2
B L2 U' B' U' F2 B2
B L2 U' B' U' B2 F2
U L2 U' B' U' F2 B'
U L2 U' B' U' B' F2
F' L2 U2 B2 D' L2 F'
F' L2 U2 B2 D' F' L2
B L2 U2 F2 B D L2
B L2 U2 B F2 D L2
B' L2 F U' B' U' F
L2 U L2 F U F B2
L2 U L2 F U B2 F
D' L2 B R2 F' B2 U'
D' L2 B R2 B2 F' U'
D' L2 B' R2 U2 B' U
L2 U D L2 R2 F U
L2 U D L2 F R2 U
L2 U D R2 L2 F U
L' U F2 R B L B
F R U F B2 D2 R2
L' U F2 B L B R
F R U B2 D2 R2 F
F R U B2 D2 F R2
F R U B2 F D2 R2
F R U' L2 B' U2 B'
L' U B F2 L B R
L2 U' R B' U' F2 B'
L2 U' R B' U' B' F2
L2 U' R' B' U' F2 B'
L2 U' R' B' U' B' F2
L2 U' R2 B' U' F2 B'
L2 U' R2 B' U' B' F2
L2 U' D' R2 B' L2 U'
L2 U' D' B' L2 R2 U'
L2 U' D' B' R2 L2 U'
L' U' F' L' F' R B2
L' U' F' L' F' B2 R
L' U' F' L' B2 F' R
L' U' F' B2 L' F' R
F R' U F B2 D2 R2
F R' U B2 D2 R2 F
F R' U B2 D2 F R2
F R' U B2 F D2 R2
F R' U' L2 B' U2 B'
L2 U' B' R U' F2 B'
L2 U' B' R U' B' F2
L2 U' B' R' U' F2 B'
L2 U' B' R' U' B' F2
L2 U' B' R2 U' F2 B'
L2 U' B' R2 U' B' F2
L2 U' B' U' F2 D B'
L2 U' B' U' F2 D' B'
L2 U' B' U' F2 D2 B'
L2 U' B' U' F2 B' D
L2 U' B' U' F2 B' D'
L2 U' B' U' F2 B' D2
L2 U' B' U' B' F2 D
L2 U' B' U' B' F2 D'
L2 U' B' U' B' F2 D2
L' U' B2 F' L' F' R
D R' F L2 R' B' U
D R' F R' L2 B' U
D' R2 L2 D' B' U' R2
D' R2 L2 D2 F2 B' U'
D' R2 L2 D2 B' F2 U'
D' R2 L2 B' U2 B' U
D R2 L2 U2 F2 B' U'
D R2 L2 U2 B' F2 U'
L2 U2 F2 U B' U' B'
F R2 U F B2 D2 R2
L2 U2 F2 B D L2 B
L2 U2 F2 B D B L2
L2 U2 F2 B2 U B U'
F R2 U B2 D2 R2 F
F R2 U B2 D2 F R2
F R2 U B2 F D2 R2
F R2 U' L2 B' U2 B'
L2 U2 B F2 D L2 B
L2 U2 B F2 D B L2
L2 U2 B2 U B U' F2
L2 U2 B2 F2 U B U'
D R2 F L2 D B' U
D R2 F L2 D' B' U
D R2 F L2 D2 B' U
D R2 F L2 B' U D
D R2 F L2 B' U D'
D R2 F L2 B' U D2
D R2 F L2 B' D U
D R2 F L2 B' D' U
D R2 F L2 B' D2 U
D R2 F B L2 B' U
D R2 F B' L2 B' U
D R2 F B2 L2 B' U
R' D R2 F L2 B' U
D' R2 B' L2 F B' U'
D' R2 B' L2 B' F U'
D R2 B F L2 B' U
R2 D R2 F L2 B' U
L2 D U L2 R2 F U
L2 D U L2 F R2 U
R D R2 F L2 B' U
L2 D U R2 L2 F U
D R2 B' F L2 B' U
D R2 B2 F L2 B' U
R' D F L2 R2 B' U
R' D F L2 B' R2 U
R' D F R2 L2 B' U
R2 D F L2 R2 B' U
R2 D F L2 B' R2 U
R2 D F R2 L2 B' U
F U L B2 L' R' F
F U L B2 L' F R'
F U L B2 R' L' F
R D F L2 R2 B' U
R D F L2 B' R2 U
R D F R2 L2 B' U
F U L2 U2 L2 F B2
F U L2 U2 L2 B2 F
F U L2 B' U2 B' L2
F U R F B2 D2 R2
F U R B2 D2 R2 F
F U R B2 D2 F R2
F U R B2 F D2 R2
U' D R2 F L2 B' U
F U R' F B2 D2 R2
U2 D R2 F L2 B' U
U' D F L2 R2 B' U
U' D F L2 B' R2 U
F U R' B2 D2 R2 F
F U R' B2 D2 F R2
F U R' B2 F D2 R2
U' D F R2 L2 B' U
D U R2 F L2 B' U
U2 D F L2 R2 B' U
U2 D F L2 B' R2 U
U2 D F R2 L2 B' U
F U R2 F B2 D2 R2
U D R2 F L2 B' U
D U F L2 R2 B' U
D U F L2 B' R2 U
F U R2 B2 D2 R2 F
F U R2 B2 D2 F R2
F U R2 B2 F D2 R2
D U F R2 L2 B' U
U D F L2 R2 B' U
U D F L2 B' R2 U
U D F R2 L2 B' U
F U D2 R2 D2 F B2
F U D2 R2 D2 B2 F
F U D2 F' R2 F2 B
F U D2 F' R2 B F2
F U F L B2 L' R'
F U F L B2 R' L'
F U F R B2 D2 R2
F U F R' B2 D2 R2
F U F R2 B2 D2 R2
F U F U2 L2 U2 B2
F U F D2 R2 D2 B2
F U F B D2 B R2
F U F B' D2 R2 B'
F U F B' D2 B' R2
F U F B2 R D2 R2
F U F B2 R' D2 R2
F U F B2 R2 D2 R2
F U F B2 U2 L2 U2
F U F B2 D2 R2 D
F U F B2 D2 R2 D'
F U F B2 D2 R2 D2
F U F2 D2 F' R2 B
F U F2 B2 D2 F' R2
F U B D2 F B R2
F U B D2 B R2 F
F U B D2 B F R2
F U B F D2 B R2
F U B' D2 R2 F B'
F U B' D2 R2 B' F
F U B' D2 F R2 B'
F U B' D2 F B' R2
F U B' D2 B' R2 F
F U B' D2 B' F R2
F U B' F D2 R2 B'
F U B' F D2 B' R2
L2 D' U' R2 B' L2 U'
L2 D' U' B' L2 R2 U'
L2 D' U' B' R2 L2 U'
F U B2 R D2 R2 F
F U B2 R D2 F R2
F U B2 R F D2 R2
F U B2 R' D2 R2 F
F U B2 R' D2 F R2
F U B2 R' F D2 R2
F U B2 R2 D2 R2 F
F U B2 R2 D2 F R2
F U B2 R2 F D2 R2
F U B2 U2 L2 B' U2
F2 U' L F' U B2 R'
F U B2 D' F D' R2
F U B2 D2 R' F R'
F U B2 D2 R2 D F
F U B2 D2 R2 D' F
F U B2 D2 R2 D2 F
F U B2 D2 R2 F D
F U B2 D2 R2 F D'
F U B2 D2 R2 F D2
F U B2 D2 F R2 D
F U B2 D2 F R2 D'
F U B2 D2 F R2 D2
F U B2 D2 F' R2 F2
F U B2 F R D2 R2
F U B2 F R' D2 R2
F U B2 F R2 D2 R2
F U B2 F U2 L2 U2
F U B2 F D2 R2 D
F U B2 F D2 R2 D'
F U B2 F D2 R2 D2
F U B2 F2 D2 F' R2
F U' L2 D2 F2 B' U2
F U' L2 D2 B' F2 U2
D U' R2 F L2 B' U
F U' L2 F B' U2 B'
F U' L2 F' B' U2 B'
F U' L2 F2 B' U2 B'
F U' L2 B' U2 D B'
F U' L2 B' U2 D' B'
F U' L2 B' U2 D2 B'
F U' L2 B' U2 B' D
F U' L2 B' U2 B' D'
F U' L2 B' U2 B' D2
F U' L2 B' D U2 B'
F U' L2 B' D' U2 B'
F U' L2 B' D2 U2 B'
F U' L2 B' F U2 B'
F U' L2 B' F' U2 B'
F U' L2 B' F2 U2 B'
D U' F L2 R2 B' U
D U' F L2 B' R2 U
D U' F R2 L2 B' U
F2 U' D2 F' U R2 B
B2 U' F U D2 R2 F
B2 U' F U D2 F R2
B2 U' F U F D2 R2
B2 U' F U' L2 B' U2
B2 U' F D' B2 U F
B2 U' F D2 U R2 F
B2 U' F D2 U F R2
F U' D2 F2 U2 F' R2
F2 U' F' L U B2 R'
F2 U' F' U B2 D2 R2
F2 U' F' U' L2 U2 B2
F U' F' L2 U2 F2 B2
F U' F' L2 U2 B2 F2
F U' F2 L2 U2 F' B2
F U' F2 L2 U2 B2 F'
F U' B L2 B' U2 B2
F U' B' L2 F B' U2
F U' B' L2 B' F U2
F U' B2 L2 B' U2 B
D U2 R2 F L2 B' U
D U2 F L2 R2 B' U
D U2 F L2 B' R2 U
D U2 F R2 L2 B' U
B2 U2 L2 U' B' U' F2
F2 U2 L2 U F' U B2
L2 D2 F2 B2 U' B U'
L2 D2 B2 F2 U' B U'
D F L2 R B' R U
D F L2 R2 D B' U
D F L2 R2 D' B' U
D F L2 R2 D2 B' U
D F L2 R2 B' U D
D F L2 R2 B' U D'
D F L2 R2 B' U D2
D F L2 R2 B' D U
D F L2 R2 B' D' U
D F L2 R2 B' D2 U
D F L2 D' B' U F2
D F L2 B R2 B2 U
D F L2 B' R2 U D
D F L2 B' R2 U D'
D F L2 B' R2 U D2
D F L2 B' R2 D U
D F L2 B' R2 D' U
D F L2 B' R2 D2 U
D F L2 B' U D' F2
D F L2 B' D' U F2
D F R L2 B' R U
D F R2 L2 D B' U
D F R2 L2 D' B' U
D F R2 L2 D2 B' U
D F R2 L2 B' U D
D F R2 L2 B' U D'
D F R2 L2 B' U D2
D F R2 L2 B' D U
D F R2 L2 B' D' U
D F R2 L2 B' D2 U
U' F U F B2 D2 R2
R' F U F B2 D2 R2
U' F U B2 D2 R2 F
U' F U B2 D2 F R2
U' F U B2 F D2 R2
R' F U B2 D2 R2 F
R' F U B2 D2 F R2
R' F U B2 F D2 R2
U' F U' L2 B' U2 B'
D F R2 B L2 B' U
R' F U' L2 B' U2 B'
D F R2 B' L2 B' U
D F R2 B2 L2 B' U
U2 F U F B2 D2 R2
D2 F U' F B2 U2 R2
U2 F U B2 D2 R2 F
U2 F U B2 D2 F R2
U2 F U B2 F D2 R2
R2 F U F B2 D2 R2
U2 F U' L2 B' U2 B'
D2 F U' B2 F U2 R2
R2 F U B2 D2 R2 F
R2 F U B2 D2 F R2
R2 F U B2 F D2 R2
R2 F U' L2 B' U2 B'
U F U F B2 D2 R2
L2 F U' B' U' F B'
