B2 L U L' B
B2 L U B L'
B2 L' U L B
B2 L2 U L2 B
B2 L2 U B L2
D' R2 D' F2 B'
D' R2 D' B' F2
D' R2 B' D' F2
R2 D' R2 F2 B'
R2 D' R2 B' F2
R2 D' F2 R2 B'
R2 D' F2 B' R2
R2 D' B' R2 F2
R2 D' B' F2 R2
D' B' R2 D' F2
L2 B2 U L2 B'
B2 L U L B L2
B2 L U L' D B
B2 L U L' D' B
B2 L U L' D2 B
B2 L U L' B D
B2 L U L' B D'
B2 L U L' B D2
B2 L U D L' B
B2 L U D B L'
B2 L U D' L' B
B2 L U D' B L'
B2 L U D2 L' B
B2 L U D2 B L'
B2 L U B L' D
B2 L U B L' D'
B2 L U B L' D2
B2 L U B D L'
B2 L U B D' L'
B2 L U B D2 L'
B2 L U B' L' B2
B2 L D U L' B
B2 L D U B L'
B2 L D' U L' B
B2 L D' U B L'
B2 L D2 U L' B
B2 L D2 U B L'
B L B U L' B
B L B U B L'
D' L' U L R2 B'
D' L' U L B' R2
B2 L' U L D B
B2 L' U L D' B
B2 L' U L D2 B
B2 L' U L B D
B2 L' U L B D'
B2 L' U L B D2
D' L' U R2 L B'
B2 L' U L' B L2
B2 L' U L2 B L'
B2 L' U D L B
B2 L' U D' L B
B2 L' U D2 L B
B2 L' D U L B
B2 L' D' U L B
B2 L' D2 U L B
B2 L' F U L B
B2 L' F' U L B
B2 L' F2 U L B
D' L2 U L2 R2 B'
D' L2 U L2 B' R2
D' L2 U R2 L2 B'
B2 L2 U L' B L'
B2 L2 U L2 D B
B2 L2 U L2 D' B
B2 L2 U L2 D2 B
B2 L2 U L2 B D
B2 L2 U L2 B D'
B2 L2 U L2 B D2
B2 L2 U B L2 D
B2 L2 U B L2 D'
B2 L2 U B L2 D2
B2 L2 U B' L2 B2
L' U L D' R2 B'
L' U L D' B' R2
B2 L2 D F2 U B
B2 L2 F U L2 B
B2 L2 F U B L2
L2 U L2 D' R2 B'
L2 U L2 D' B' R2
B2 L2 F' U L2 B
B2 L2 F' U B L2
B2 L2 F2 U L2 B
B2 L2 F2 U B L2
B L2 B U L2 B
B L2 B U B L2
F' L2 B2 U L2 B'
F2 L2 B2 U L2 B'
F L2 B2 U L2 B'
B' R U' R' B' U
R' U' R B2 U B
R U' R' B2 U B
D' R B' D' R F'
R2 U' R2 B2 U B
B' R' U' R B' U
B' R' U' B' R U
B' R2 U' R2 B' U
D' R2 U' R2 U B'
B' R2 U' B' R2 U
F' R2 D' R2 F2 B'
F' R2 D' R2 B' F2
F2 R2 D' R2 F2 B'
F2 R2 D' R2 B' F2
F' R2 D' F2 R2 B'
F' R2 D' F2 B' R2
F' R2 D' B' R2 F2
F' R2 D' B' F2 R2
F2 R2 D' F2 R2 B'
F2 R2 D' F2 B' R2
F2 R2 D' B' R2 F2
D' R2 D' F2 D B'
D' R2 D' F2 D' B'
D' R2 D' F2 D2 B'
D' R2 D' F2 B' D
D' R2 D' F2 B' D'
D' R2 D' F2 B' D2
F2 R2 D' B' F2 R2
D' R2 D' B' F2 D
D' R2 D' B' F2 D'
D' R2 D' B' F2 D2
F R2 D' R2 F2 B'
F R2 D' R2 B' F2
D' R2 D2 B' D F2
F R2 D' F2 R2 B'
F R2 D' F2 B' R2
F R2 D' B' R2 F2
F R2 D' B' F2 R2
D' R2 F D' F2 B'
D' R2 F D' B' F2
D' R2 F B' D' F2
D' R2 F' D' F2 B'
D' R2 F' D' B' F2
D' R2 F' B' D' F2
D' R2 F2 D' F2 B'
D' R2 F2 D' B' F2
D' R2 F2 B' D' F2
D' R2 B' U' R2 U
D' R2 B' D' F2 D
D' R2 B' D' F2 D'
D' R2 B' D' F2 D2
D' R2 B' F D' F2
D' R2 B' F' D' F2
D' R2 B' F2 D' F2
D' R2 B2 D' F2 B
D' R2 B2 D' B F2
B' U L2 F U' F'
D2 U F2 U' F2 B'
D2 U F2 U' B' F2
R2 D' R B' R F2
B2 U B U B' U'
R2 D' R' F2 R' B'
R2 D' R2 F2 D B'
R2 D' R2 F2 D' B'
R2 D' R2 F2 D2 B'
R2 D' R2 F2 B' D
R2 D' R2 F2 B' D'
R2 D' R2 F2 B' D2
R2 D' R2 B' F2 D
R2 D' R2 B' F2 D'
R2 D' R2 B' F2 D2
B2 U B2 D B' L2
R2 D' F R2 F B'
R2 D' F R2 B' F
R2 D' F B' R2 F
R2 D' F2 R B' R
R2 D' F2 R2 D B'
R2 D' F2 R2 D' B'
R2 D' F2 R2 D2 B'
R2 D' F2 R2 B' D
R2 D' F2 R2 B' D'
R2 D' F2 R2 B' D2
R2 D' F2 B R2 B2
R2 D' F2 B' R2 D
R2 D' F2 B' R2 D'
R2 D' F2 B' R2 D2
R2 D' B R2 F2 B2
R2 D' B R2 B2 F2
R2 D' B F2 R2 B2
R2 D' B' R' F2 R'
R2 D' B' R2 F2 D
R2 D' B' R2 F2 D'
R2 D' B' R2 F2 D2
R2 D' B' F R2 F
R2 D' B' F2 R2 D
R2 D' B' F2 R2 D'
R2 D' B' F2 R2 D2
B' U' B' R2 U F'
B' U' B' U' B U2
U D2 F2 U' F2 B'
U D2 F2 U' B' F2
R2 D2 B' D R2 F2
R2 D2 B' D F2 R2
D' F R2 D' F2 B'
D' F R2 D' B' F2
D' F R2 D' B' F2
D' F R2 B' D' F2
B2 D L U L' B
B2 D L U B L'
B2 D L' U L B
B2 D L2 U L2 B
B2 D L2 U B L2
R2 F D' R2 F2 B'
R2 F D' R2 B' F2
R2 F D' F2 R2 B'
R2 F D' F2 B' R2
R2 F D' B' R2 F2
R2 F D' B' F2 R2
B D L2 B U L2
D' F B' R2 D' F2
D' F' R2 D' F2 B'
D' F' R2 D' B' F2
D' F' R2 B' D' F2
B D B L2 U L2
B2 D' L U L' B
B2 D' L U B L'
B2 D' L' U L B
B2 D' L2 U L2 B
B2 D' L2 U B L2
R2 F' D' R2 F2 B'
R2 F' D' R2 B' F2
R2 F' D' F2 R2 B'
R2 F' D' F2 B' R2
R2 F' D' B' R2 F2
R2 F' D' B' F2 R2
F' D' R2 D' F2 B'
F' D' R2 D' B' F2
F' D' R2 B' D' F2
D' F' B' R2 D' F2
F2 D' R2 D' F2 B'
F2 D' R2 D' B' F2
F2 D' R2 B' D' F2
F D' R2 D' F2 B'
F D' R2 D' B' F2
F D' R2 B' D' F2
F' D' B' R2 D' F2
D' F2 R2 D' F2 B'
D' F2 R2 D' B' F2
D' F2 R2 B' D' F2
F2 D' B' R2 D' F2
B2 D2 L U L' B
B2 D2 L U B L'
F D' B' R2 D' F2
B2 D2 L' U L B
B2 D2 L2 U L2 B
B2 D2 L2 U B L2
R2 F2 D' R2 F2 B'
R2 F2 D' R2 B' F2
R2 F2 D' F2 R2 B'
R2 F2 D' F2 B' R2
R2 F2 D' B' R2 F2
R2 F2 D' B' F2 R2
D' F2 B' R2 D' F2
D' B R2 B2 D' F2
B2 F L U L' B
B2 F L U B L'
B2 F L' U L B
B2 F L2 U L2 B
B2 F L2 U B L2
D' B' R2 U' R2 U
B2 F' L U L' B
B2 F' L U B L'
D' B' R2 D' F2 D
D' B' R2 D' F2 D'
D' B' R2 D' F2 D2
D' B' R2 F D' F2
D' B' R2 F' D' F2
D' B' R2 F2 D' F2
R' B' U' R B' U
B2 F' L' U L B
D2 B' U F2 U' F2
R' B' U' B' R U
R2 B' U' R2 B' U
B2 F' L2 U L2 B
B2 F' L2 U B L2
R2 B' U' B' R2 U
D2 B' D R2 D' F2
D' B' F R2 D' F2
