F2 L D' B2 L R
F2 L D' B2 R L
R' L' U' R2 U' F2
L' R' U' R2 U' F2
R' L' U2 F2 D B2
L' R' U2 F2 D B2
R U L' R2 U2 F2
R U R2 L' U2 F2
R U R2 U2 F2 R
B2 R U' F2 L R
B2 R U' F2 R L
R' U' R2 U' F2 R
R U' R F2 L' R
R U' R F2 R L'
R U' F2 D2 L2 R
R U' F2 D2 R L2
R' U2 F2 D R B2
R' U2 F2 D B2 R
R2 F2 L' R D B2
R2 F2 R L' D B2
R2 F2 R D L' B2
R2 F2 R D B2 L'
R' F2 D R B2 L
B2 F2 L R D' B2
F2 B2 L R D' B2
B2 F2 L D' R B2
B2 F2 L D' B2 R
F2 B2 L D' R B2
F2 B2 L D' B2 R
B2 F2 R L D' B2
F2 B2 R L D' B2
L2 R U L R2 U2 F2
L R U L2 R2 U2 F2
L2 R U R2 L U2 F2
F2 L R D' B2 D' L2
R L U L2 R2 U2 F2
F2 L R D2 L2 D B2
L R U R2 L2 U2 F2
R L U R2 L2 U2 F2
L R U' F2 D2 L2 R2
L R U' F2 D2 R2 L2
R L U' F2 D2 L2 R2
R L U' F2 D2 R2 L2
F2 L D R D2 L2 B2
F2 L D R D2 B2 L2
F2 L D' L B2 L R
F2 L D' L B2 R L
F2 L D' L' B2 L R
F2 L D' L' B2 R L
F2 L D' L2 B2 L R
F2 L D' L2 B2 R L
F2 L D' R B2 D2 L2
F2 L D' B' R B' L
F2 L D' B2 L R D
F2 L D' B2 L R D'
F2 L D' B2 L R D2
F2 L D' B2 L D R
F2 L D' B2 L D' R
F2 L D' B2 L D2 R
F2 L D' B2 R L D
F2 L D' B2 R L D'
F2 L D' B2 R L D2
F2 L D' B2 R D L
F2 L D' B2 R D' L
F2 L D' B2 R D2 L
F2 L D' B2 D L R
F2 L D' B2 D R L
F2 L D' B2 D' L R
F2 L D' B2 D' R L
F2 L D' B2 D2 L R
F2 L D' B2 D2 R L
L' R' U D R2 U B2
R' L' U D R2 U B2
L' R' U' L R2 U' F2
R' L' U' L R2 U' F2
L' R' U' L' R2 U' F2
R' L' U' L' R2 U' F2
L' R' U' L2 R2 U' F2
R' L' U' L2 R2 U' F2
R' L' U' R2 L U' F2
R' L' U' R2 L' U' F2
R' L' U' R2 L2 U' F2
L' R' U' R2 L U' F2
L' R' U' R2 L' U' F2
L' R' U' R2 L2 U' F2
R' L' U' R2 U' F2 D
R' L' U' R2 U' F2 D'
R' L' U' R2 U' F2 D2
R' L' U' R2 D' L2 U'
L' R' U' R2 U' F2 D
L' R' U' R2 U' F2 D'
L' R' U' R2 U' F2 D2
L' R' U' R2 D' L2 U'
F2 L B2 R D' L B2
F2 L B2 D' L R B2
F2 L B2 D' L B2 R
F2 L B2 D' R L B2
R' L' U2 D B2 D' F2
L' R' U2 D B2 D' F2
R' L' U2 F D F B2
R' L' U2 F D B2 F
L' R' U2 F D F B2
L' R' U2 F D B2 F
L' R' U2 F' D F' B2
L' R' U2 F' D B2 F'
R' L' U2 F' D F' B2
R' L' U2 F' D B2 F'
R' L' U2 F2 U R2 U'
L' R' U2 F2 U R2 U'
R' L' U2 F2 D B2 D
R' L' U2 F2 D B2 D'
R' L' U2 F2 D B2 D2
L' R' U2 F2 D B2 D
L' R' U2 F2 D B2 D'
L' R' U2 F2 D B2 D2
R' L' U2 F2 B D B2
L' R' U2 F2 B D B2
R' L' U2 F2 B' D B2
L' R' U2 F2 B' D B2
R' L' U2 F2 B2 D B2
L' R' U2 F2 B2 D B2
R' L' U2 B F2 D B2
L' R' U2 B F2 D B2
R' L' U2 B' F2 D B2
L' R' U2 B' F2 D B2
R' L' U2 B2 F2 D B2
L2 R' U2 F2 D B2 R'
L' R' U2 B2 F2 D B2
F2 L' R D2 L2 D' B2
R' L' D U R2 U B2
L' R' D U R2 U B2
D' L' R' U' L' R2 U'
D' L' R' U' R2 L' U'
R' L' D U2 B2 D' F2
L' R' D U2 B2 D' F2
U' L' R' U' R2 U' F2
U2 L' R' U' R2 U' F2
U' L' R' U2 F2 D B2
U2 L' R' U2 F2 D B2
U L' R' U' R2 U' F2
U L' R' U2 F2 D B2
D2 L' R' B2 U' R2 U'
D2 L' R' B2 U2 D B2
D2 L' R' B2 D U2 B2
D2 L' R' B2 D' F2 U2
R' L' D' F2 U' L2 U'
R' L' D' F2 U2 D F2
R' L' D' F2 D U2 F2
R' L' D' F2 D' B2 U2
L' R' D' F2 U' L2 U'
L' R' D' F2 U2 D F2
L' R' D' F2 D U2 F2
L' R' D' F2 D' B2 U2
R' L' D2 B2 U L2 U
R' L' D2 B2 U2 D' B2
R' L' D2 B2 D F2 U2
R' L' D2 B2 D' U2 B2
L' R' D2 B2 U L2 U
L' R' D2 B2 U2 D' B2
L' R' D2 B2 D F2 U2
L' R' D2 B2 D' U2 B2
R' L' F U' R2 U' F
L' R' F U' R2 U' F
R' L' F U2 D F B2
R' L' F U2 D B2 F
B2 L' U' R U' L2 F2
R' L' F U2 F D B2
B2 L' U' R U' F2 L2
L' R' F U2 D F B2
L' R' F U2 D B2 F
L' R' F U2 F D B2
R' L' F D U2 F B2
R' L' F D U2 B2 F
L' R' F D U2 F B2
L' R' F D U2 B2 F
R' L' F D' F2 U2 F'
L' R' F D' F2 U2 F'
R' L' F' U2 D F' B2
R' L' F' U2 D B2 F'
R' L' F' U2 F' D B2
L' R' F' U2 D F' B2
L' R' F' U2 D B2 F'
R' L' F' D U2 F' B2
R' L' F' D U2 B2 F'
L' R' F' U2 F' D B2
L' R' F' D U2 F' B2
L' R' F' D U2 B2 F'
R' L' F' D' F2 U2 F
L' R' F' D' F2 U2 F
R' L' F2 D' F2 U2 F2
L' R' F2 D' F2 U2 F2
R' L' B U' R2 U' F2
L' R' B U' R2 U' F2
R' L' B U2 F2 D B2
L' R' B U2 F2 D B2
R' L' B' U' R2 U' F2
