D' L2 R2 F B' U
D' L2 R2 B' F U
D' L2 F R2 B' U
D' L2 F B' R2 U
D' L2 B' R2 F U
D' L2 B' F R2 U
D' R2 L2 F B' U
D' R2 L2 B' F U
D R2 F B' L2 U'
D R2 B' F L2 U'
D F R2 B' L2 U'
D2 F B' U' F B'
D2 F B' U' B' F
D F B' L2 R2 U'
D F B' R2 L2 U'
F D B' L2 U' B'
B' F L2 U' F B'
B' F L2 U' B' F
B' F U F B' U2
B' F U B' F U2
D B' R2 F L2 U'
F B' L2 U' F B'
F B' L2 U' B' F
D2 B' F U' F B'
D2 B' F U' B' F
D B' F L2 R2 U'
F B' U F B' U2
D B' F R2 L2 U'
F B' U B' F U2
F2 B2 U' F' B U'
B2 F2 U' F' B U'
F2 B2 U' B F' U'
B2 F2 U' B F' U'
F2 L B2 U' F' U' L'
D' L2 R B' R F U
D' L2 R' F R' B' U
D' L2 R2 D F B' U
D' L2 R2 D B' F U
D' L2 R2 D' F B' U
D' L2 R2 D' B' F U
D' L2 R2 D2 F B' U
D' L2 R2 D2 B' F U
D' L2 R2 F D B' U
D' L2 R2 F D' B' U
D' L2 R2 F D2 B' U
D' L2 R2 F B' U D
D' L2 R2 F B' U D'
D' L2 R2 F B' U D2
D' L2 R2 F B' D U
D' L2 R2 F B' D' U
D' L2 R2 F B' D2 U
D L2 R2 U2 F B' U
D L2 R2 U2 B' F U
D' L2 R2 B' D F U
D' L2 R2 B' D' F U
D' L2 R2 B' D2 F U
D' L2 R2 B' F U D
D' L2 R2 B' F U D'
D' L2 R2 B' F U D2
D' L2 R2 B' F D U
D' L2 R2 B' F D' U
D' L2 R2 B' F D2 U
D' L2 D' F B' U F
D' L2 D' B' F U F
D' L2 F R B' R U
D' L2 F R2 D B' U
D' L2 F R2 D' B' U
D' L2 F R2 D2 B' U
D' L2 F R2 B' U D
D' L2 F R2 B' U D'
D' L2 F R2 B' U D2
D' L2 F R2 B' D U
D' L2 F R2 B' D' U
D' L2 F R2 B' D2 U
D' L2 F D' B' U F2
D' L2 F B R2 B2 U
D2 L2 F B' U F B'
D2 L2 F B' U B' F
D' L2 F B' R2 U D
D' L2 F B' R2 U D'
D' L2 F B' R2 U D2
D' L2 F B' R2 D U
D' L2 F B' R2 D' U
D' L2 F B' R2 D2 U
D' L2 F B' U D' F2
D' L2 F B' D' U F2
D' L2 F' R2 F2 B' U
D' L2 F' R2 B' F2 U
D' L2 F' B' R2 F2 U
D' L2 B R2 F B2 U
D' L2 B R2 B2 F U
D' L2 B F R2 B2 U
D' L2 B' R' F R' U
D' L2 B' R2 D F U
D' L2 B' R2 D' F U
D' L2 B' R2 D2 F U
D' L2 B' R2 F U D
D' L2 B' R2 F U D'
D' L2 B' R2 F U D2
D' L2 B' R2 F D U
D' L2 B' R2 F D' U
D' L2 B' R2 F D2 U
D' L2 B' D' F U F
D2 L2 B' F U F B'
D2 L2 B' F U B' F
D' L2 B' F R2 U D
D' L2 B' F R2 U D'
D' L2 B' F R2 U D2
D' L2 B' F R2 D U
D' L2 B' F R2 D' U
D' L2 B' F R2 D2 U
D' L2 B' F U D' F2
D' L2 B' F D' U F2
D' L2 B' F' R2 F2 U
D' R L2 B' R F U
F R D B' L2 U' B'
B' R F L2 U' F B'
B' R F L2 U' B' F
B' R F U F B' U2
B' R F U B' F U2
D2 R F B' U' F B'
D2 R F B' U' B' F
D R B' R F L2 U'
D2 R B' F U' F B'
D2 R B' F U' B' F
F R B' L2 U' F B'
F R B' L2 U' B' F
F R B' U F B' U2
F R B' U B' F U2
D' R' L2 F R' B' U
F R' D B' L2 U' B'
B' R' F L2 U' F B'
B' R' F L2 U' B' F
B' R' F U F B' U2
B' R' F U B' F U2
D2 R' F B' U' F B'
D2 R' F B' U' B' F
D R' F R' B' L2 U'
D2 R' B' F U' F B'
D2 R' B' F U' B' F
F R' B' L2 U' F B'
F R' B' L2 U' B' F
F R' B' U F B' U2
F R' B' U B' F U2
D' R2 L2 D F B' U
D' R2 L2 D B' F U
D' R2 L2 D' F B' U
D' R2 L2 D' B' F U
D' R2 L2 D2 F B' U
D' R2 L2 D2 B' F U
D' R2 L2 F D B' U
D' R2 L2 F D' B' U
D' R2 L2 F D2 B' U
D' R2 L2 F B' U D
D' R2 L2 F B' U D'
D' R2 L2 F B' U D2
D' R2 L2 F B' D U
D' R2 L2 F B' D' U
D' R2 L2 F B' D2 U
D' R2 L2 B' D F U
D' R2 L2 B' D' F U
D' R2 L2 B' D2 F U
D' R2 L2 B' F U D
D' R2 L2 B' F U D'
D' R2 L2 B' F U D2
D' R2 L2 B' F D U
D' R2 L2 B' F D' U
D' R2 L2 B' F D2 U
D R2 L2 U2 F B' U
D R2 L2 U2 B' F U
D R2 D F B' U' F
D R2 D B' F U' F
F R2 D B' L2 U' B'
B' R2 F L2 U' F B'
B' R2 F L2 U' B' F
B' R2 F U F B' U2
B' R2 F U B' F U2
D2 R2 F B' U' F B'
D2 R2 F B' U' B' F
D R2 F L2 U2 F U
L2 D L2 R2 F B' U'
L2 D L2 R2 B' F U'
D R2 F D B' U' F2
D R2 F B L2 B2 U'
L2 D L2 F R2 B' U'
L2 D L2 F B' R2 U'
D R2 F B' L2 U' D
D R2 F B' L2 U' D'
D R2 F B' L2 U' D2
D R2 F B' L2 D U'
D R2 F B' L2 D' U'
D R2 F B' L2 D2 U'
D R2 F B' U' D F2
D R2 F B' D U' F2
D R2 F B2 L2 B U'
L2 D L2 B' R2 F U'
L2 D L2 B' F R2 U'
B R2 F' D L2 R2 B
B R2 F' D R2 L2 B
B R2 F' D R2 B L2
D R2 F' B' L2 F2 U'
F' R2 B D L2 R2 F'
F' R2 B D R2 L2 F'
F' R2 B D R2 F' L2
D R2 F2 B' L2 F' U'
R' D R2 F B' L2 U'
R' D R2 B' F L2 U'
L2 D R2 L2 F B' U'
L2 D R2 L2 B' F U'
D R2 B F L2 B2 U'
D2 R2 B' F U' F B'
D2 R2 B' F U' B' F
R2 D R2 F B' L2 U'
D R2 B' L2 U2 B' U
R2 D R2 B' F L2 U'
F R2 B' L2 U' F B'
F R2 B' L2 U' B' F
R D R2 F B' L2 U'
D R2 B' D F U' F
F R2 B' U F B' U2
F R2 B' U B' F U2
D R2 B' F L2 U' D
D R2 B' F L2 U' D'
D R2 B' F L2 U' D2
D R2 B' F L2 D U'
D R2 B' F L2 D' U'
D R2 B' F L2 D2 U'
D R2 B' F U' D F2
D R2 B' F D U' F2
D R2 B' F' L2 F2 U'
R D R2 B' F L2 U'
D R2 B' F2 L2 F' U'
D R2 B2 F L2 B U'
R' D F R2 B' L2 U'
R' D F B' L2 R2 U'
R' D F B' R2 L2 U'
D' U L2 R2 F B' U
D' U L2 R2 B' F U
R2 D F R2 B' L2 U'
D' U L2 F R2 B' U
D' U L2 F B' R2 U
R2 D F B' L2 R2 U'
R2 D F B' R2 L2 U'
R D F R2 B' L2 U'
D' U L2 B' R2 F U
D' U L2 B' F R2 U
R D F B' L2 R2 U'
R D F B' R2 L2 U'
D' U R2 L2 F B' U
D' U R2 L2 B' F U
R' D B' R2 F L2 U'
U' D R2 F B' L2 U'
R' D B' F L2 R2 U'
R' D B' F R2 L2 U'
U' D R2 B' F L2 U'
U2 D R2 F B' L2 U'
R2 D B' R2 F L2 U'
U' D F R2 B' L2 U'
U2 D R2 B' F L2 U'
D U R2 F B' L2 U'
R2 D B' F L2 R2 U'
R2 D B' F R2 L2 U'
D U R2 B' F L2 U'
U' D F B' L2 R2 U'
U' D F B' R2 L2 U'
R D B' R2 F L2 U'
U2 D F R2 B' L2 U'
D2 U F B' U' F B'
D2 U F B' U' B' F
U D R2 F B' L2 U'
U D R2 B' F L2 U'
D U F R2 B' L2 U'
R D B' F L2 R2 U'
R D B' F R2 L2 U'
U2 D F B' L2 R2 U'
U2 D F B' R2 L2 U'
U D F R2 B' L2 U'
D U F B' L2 R2 U'
D U F B' R2 L2 U'
U D F B' L2 R2 U'
U D F B' R2 L2 U'
R' D' L2 R2 F B' U
R' D' L2 R2 B' F U
R' D' L2 F R2 B' U
R' D' L2 F B' R2 U
R' D' L2 B' R2 F U
R' D' L2 B' F R2 U
R2 D' L2 R2 F B' U
R2 D' L2 R2 B' F U
U' D B' R2 F L2 U'
R2 D' L2 F R2 B' U
R2 D' L2 F B' R2 U
R2 D' L2 B' R2 F U
R2 D' L2 B' F R2 U
R D' L2 R2 F B' U
R D' L2 R2 B' F U
U' D B' F L2 R2 U'
F U F B2 U' B U'
U' D B' F R2 L2 U'
D2 U B' F U' F B'
D2 U B' F U' B' F
U2 D B' R2 F L2 U'
R D' L2 F R2 B' U
R D' L2 F B' R2 U
D U B' R2 F L2 U'
U2 D B' F L2 R2 U'
U2 D B' F R2 L2 U'
B' U F2 B' U' F' U'
R D' L2 B' R2 F U
R D' L2 B' F R2 U
U D B' R2 F L2 U'
D U B' F L2 R2 U'
D U B' F R2 L2 U'
R' D' R2 L2 F B' U
R' D' R2 L2 B' F U
U D B' F L2 R2 U'
U D B' F R2 L2 U'
R2 D' R2 L2 F B' U
R2 D' R2 L2 B' F U
L2 D' R2 F B' L2 U
B' U B' F2 U' F' U'
L2 D' R2 B' F L2 U
R D' R2 L2 F B' U
R D' R2 L2 B' F U
D' U' L2 R2 F B' U
U' D' L2 R2 F B' U
D' U' L2 R2 B' F U
U' D' L2 R2 B' F U
U' D' L2 F R2 B' U
D' U' L2 F R2 B' U
U' D' L2 F B' R2 U
D' U' L2 F B' R2 U
U2 D' L2 R2 F B' U
U2 D' L2 R2 B' F U
U' D' L2 B' R2 F U
D' U' L2 B' R2 F U
U' D' L2 B' F R2 U
D' U' L2 B' F R2 U
U2 D' L2 F R2 B' U
U2 D' L2 F B' R2 U
U2 D' L2 B' R2 F U
U2 D' L2 B' F R2 U
U D' L2 R2 F B' U
U D' L2 R2 B' F U
F U B2 F U' B U'
U D' L2 F R2 B' U
U D' L2 F B' R2 U
U D' L2 B' R2 F U
U D' L2 B' F R2 U
L2 D' F R2 B' L2 U
U' D' R2 L2 F B' U
D' U' R2 L2 F B' U
L2 D' F B' L2 R2 U
U' D' R2 L2 B' F U
D' U' R2 L2 B' F U
L2 D' F B' R2 L2 U
U2 D' R2 L2 F B' U
U2 D' R2 L2 B' F U
U D' R2 L2 F B' U
U D' R2 L2 B' F U
D U' R2 F B' L2 U'
D2 U' F B' U' F B'
D2 U' F B' U' B' F
D U' R2 B' F L2 U'
D U' F R2 B' L2 U'
D U' F B' L2 R2 U'
D U' F B' R2 L2 U'
L2 D' B' R2 F L2 U
L2 D' B' F L2 R2 U
L2 D' B' F R2 L2 U
B2 U' D F B R2 U'
B2 U' D B R2 F U'
F2 U' D F' B' L2 U'
B2 U' D B F R2 U'
F2 U' D B' L2 F' U'
F2 U' D B' F' L2 U'
D2 U' B' F U' F B'
D2 U' B' F U' B' F
B2 U' D2 F B U' B
B2 U' D2 B F U' B
F2 U' D2 F' B' U' F'
F2 U' D2 B' F' U' F'
D U' B' R2 F L2 U'
D U' B' F L2 R2 U'
D U' B' F R2 L2 U'
B2 U' F B U F U2
F2 U' F' D B' L2 U'
F2 U' F' D2 B' U' F2
F2 U' F' B' L2 U' F
F2 U' F' B' U B' U2
D' U2 L2 R2 F B' U
D' U2 L2 R2 B' F U
D' U2 L2 F R2 B' U
D' U2 L2 F B' R2 U
D' U2 L2 B' R2 F U
D' U2 L2 B' F R2 U
B2 U' B D R2 F U'
B2 U' B D F R2 U'
B2 U' B D2 F U' B2
B2 U' B F U F U2
F2 U' B' L2 F' U' F2
F2 U' B' F' L2 U' F
F2 U' B' F' U B' U2
D' U2 R2 L2 F B' U
D' U2 R2 L2 B' F U
U' D2 F B' U' F B'
U' D2 F B' U' B' F
R' D2 F B' U' F B'
R' D2 F B' U' B' F
D U2 R2 F B' L2 U'
D2 U2 F B' U' F B'
D2 U2 F B' U' B' F
D U2 R2 B' F L2 U'
U2 D2 F B' U' F B'
U2 D2 F B' U' B' F
D U2 F R2 B' L2 U'
L2 D2 F B' U F B'
L2 D2 F B' U B' F
R2 D2 F B' U' F B'
R2 D2 F B' U' B' F
D U2 F B' L2 R2 U'
D U2 F B' R2 L2 U'
U D2 F B' U' F B'
U D2 F B' U' B' F
R D2 F B' U' F B'
R D2 F B' U' B' F
U' D2 B' F U' F B'
U' D2 B' F U' B' F
R' D2 B' F U' F B'
R' D2 B' F U' B' F
D2 U2 B' F U' F B'
D2 U2 B' F U' B' F
U2 D2 B' F U' F B'
U2 D2 B' F U' B' F
L2 D2 B' F U F B'
L2 D2 B' F U B' F
D U2 B' R2 F L2 U'
R2 D2 B' F U' F B'
R2 D2 B' F U' B' F
D U2 B' F L2 R2 U'
D U2 B' F R2 L2 U'
B' U2 D' L2 B' U F
U D2 B' F U' F B'
U D2 B' F U' B' F
R D2 B' F U' F B'
R D2 B' F U' B' F
D' F L2 F R2 B U
D F L2 R2 U2 F U
D2 F R B' U' F B'
D2 F R B' U' B' F
D2 F R' B' U' F B'
D2 F R' B' U' B' F
D F R B' L2 R U'
D F R B' R L2 U'
D2 F R2 B' U' F B'
D2 F R2 B' U' B' F
D F R2 L2 U2 F U
D F R2 D B' U' F2
D F R2 B L2 B2 U'
D F R2 B' L2 U' D
D F R2 B' L2 U' D'
D F R2 B' L2 U' D2
D F R2 B' L2 D U'
D F R2 B' L2 D' U'
D F R2 B' L2 D2 U'
D F R2 B' U' D F2
D F R2 B' D U' F2
D F R2 B2 L2 B U'
D' F U2 L2 R2 F U
D' F U2 L2 F R2 U
D' F U2 R2 L2 F U
U' F D B' L2 U' B'
R' F D B' L2 U' B'
D2 F D' R2 B' U' F
U2 F D B' L2 U' B'
D' F D' B' U' F2 B'
D' F D' B' U' B' F2
D2 F D' B' R2 U' F
R2 F D B' L2 U' B'
D F D B' U' F2 B'
D F D B' U' B' F2
D' F D2 R2 B' L2 U'
F D L2 U2 F U B'
