D L F' U F2 B'
D L F' U B' F2
B' L F' B U F2
B' L B F' U F2
R2 U2 B R' U' F'
F' D L U F B'
F' D L U B' F
D F' L U F B'
D F' L U B' F
F' B' L B U F
B' F' L B U F
R2 L U2 B R' U' F
D L U F D' B' L2
D L U F B' D' L2
D L U B' F D' L2
B' L D F' B U F2
D L D F' U F2 B'
D L D F' U B' F2
B' L D B F' U F2
F' L D' R' U F B
F' L D' R' U B F
B' L D' F' B U F2
D L D' F' U F2 B'
D L D' F' U B' F2
B' L D' B F' U F2
B' L D2 F' B U F2
D L D2 F' U F2 B'
D L D2 F' U B' F2
B' L D2 B F' U F2
D2 L F L' F2 U F2
D' L F' R' U F2 B
D' L F' R' U B F2
D L F' R U F2 B'
D L F' R U B' F2
D L F' R' U F2 B'
D L F' R' U B' F2
D L F' R2 U F2 B'
D L F' R2 U B' F2
D2 L F' U2 R U' F2
D L F' U F2 D B'
D L F' U F2 D' B'
D L F' U F2 D2 B'
D L F' U F2 B' D
D L F' U F2 B' D'
D L F' U F2 B' D2
D L F' U B' F2 D
D L F' U B' F2 D'
D L F' U B' F2 D2
D L F' D R2 U B'
B' L F' D B R2 U
B' L F' B R U F2
B' L F' B R' U F2
B' L F' B R2 U F2
B' L F' B U F2 D
B' L F' B U F2 D'
B' L F' B U F2 D2
B' L F' B D R2 U
B' L B U F D' L2
B' L B D F' U F2
B' L B D' F' U F2
B' L B D2 F' U F2
B' L B F' R U F2
B' L B F' R' U F2
B' L B F' R2 U F2
B' L B F' U F2 D
B' L B F' U F2 D'
B' L B F' U F2 D2
B' L B F' D R2 U
B' L B F' D R2 U
F' L' U' B' U L U
B' L' F' L2 B U F
D L' F' U' F2 B' U2
D L' F' U' B' F2 U2
D L' F' D' L2 U F
L R2 U2 B R' U' F
D2 L2 F L' F2 U F'
D L2 F' L' U F B'
D L2 F' L' U B' F
B' L2 B L' F' U F2
R2 U B L R' U' R
R2 U B R' L U' R
F' R D L U F B'
F' R D L U B' F
F' R B' L B U F
L' U' B' U L F' U
L' U' B' U F' L U
F' R' D L U F B'
F' R' D L U B' F
R2 U2 L B R' U' F'
R2 U2 L' B R' U' F'
R2 U2 L2 B R' U' F'
F' R' B' L B U F
L U2 R2 B R' U' F
R' U2 B R' B U' F'
U' R2 U' B R' U' F'
R2 U2 B L R' U' F'
R2 U2 B L' R' U' F'
R2 U2 B L2 R' U' F'
R2 U2 B R' L U' F'
R2 U2 B R' L' U' F'
R2 U2 B R' L2 U' F'
R2 U2 B R' U' D F'
R2 U2 B R' U' D' F'
R2 U2 B R' U' D2 F'
R2 U2 B R' U' F' D
R2 U2 B R' U' F' D'
R2 U2 B R' U' F' D2
R2 U2 B R' D U' F'
R2 U2 B R' D' U' F'
R2 U2 B R' D2 U' F'
R2 U2 B D R' U' F'
R2 U2 B D' R' U' F'
R2 U2 B D2 R' U' F'
R U2 B R' U' F' L'
F' R2 D L U F B'
F' R2 D L U B' F
R' D L U F B' L
R' D L U B' F L
L2 D L F' R U B'
U2 R2 B R' U B U2
F' R2 B' L B U F
U R2 B L R' U' R'
U R2 B R' L U' R'
L2 D F' L R U B'
L2 D F' R L U B'
L D F' L U F2 B'
L D F' L U B' F2
F' U B U L R' U'
F' U B U R' L U'
F' U B' U' L R' U
F' U B' U' R' L U
L D' F' R' U F2 B
L D' F' R' U B F2
F' U' B U' R' U' F'
F' U' B' U L U F
L D2 F L' F2 U F2
L2 D2 F' U2 R U' F'
L D2 F' U2 R U' F2
F' U2 D' R' U' F' B
F' U2 D' R' U' B F'
D2 F L F2 L2 U F'
D2 F L' U D' L2 F
D2 F L' D' U L2 F
D2 F L' F2 U' B' U2
D F L F2 U F' B'
D F L F2 U B' F'
F' U2 B R' B' U' F'
F' D L R U F B'
F' D L R U B' F
F' D L R' U F B'
F' D L R' U B' F
F' D L R2 U F B'
F' D L R2 U B' F
F' D L U D F B'
F' D L U D B' F
F' D L U D' F B'
F' D L U D' B' F
F' D L U D2 F B'
F' D L U D2 B' F
F' D L U F D B'
F' D L U F D' B'
F' D L U F D2 B'
F' D L U F B' D
F' D L U F B' D'
F' D L U F B' D2
F' D L U B' D F
F' D L U B' D' F
F' D L U B' D2 F
F' D L U B' F D
F' D L U B' F D'
F' D L U B' F D2
F' D L D U F B'
F' D L D U B' F
B' D L F' B U F2
F' D L D' U F B'
F' D L D' U B' F
F' D L D2 U F B'
F' D L D2 U B' F
B' D L B F' U F2
F' D L' U' F B' U2
F' D L' U' B' F U2
R2 F U2 B R' U' F'
F' D R L U F B'
F' D R L U B' F
F' D R' L U F B'
F' D R' L U B' F
F' D R2 L U F B'
F' D R2 L U B' F
D' F' L R' U F B
D' F' L R' U B F
D2 F' L U2 R U' F
D F' L R U F B'
D F' L R U B' F
D F' L R' U F B'
D F' L R' U B' F
D F' L R2 U F B'
D F' L R2 U B' F
D F' L U D F B'
D F' L U D B' F
D F' L U D' F B'
D F' L U D' B' F
D F' L U D2 F B'
D F' L U D2 B' F
D F' L U F D B'
D F' L U F D' B'
D F' L U F D2 B'
D F' L U F B' D
D F' L U F B' D'
D F' L U F B' D2
D F' L U B' D F
D F' L U B' D' F
D F' L U B' D2 F
D F' L U B' F D
D F' L U B' F D'
D F' L U B' F D2
D F' L D U F B'
D F' L D U B' F
D F' L D' U F B'
D F' L D' U B' F
D F' L D2 U F B'
D F' L D2 U B' F
F2 D F L U F B'
F2 D F L U B' F
B' D F' L B U F
D F' L' U' F B' U2
D F' L' U' B' F U2
D' F' R' L U F B
D' F' R' L U B F
D F' R L U F B'
D F' R L U B' F
D2 F' R2 U2 R' U' F'
D F' R' L U F B'
D F' R' L U B' F
D F' R2 L U F B'
D F' R2 L U B' F
F' D' L R' U F B
F' D' L R' U B F
L' F' U' B' U L U
B' D' L F' B U F2
D2 F' U2 R U B U2
D' F' U2 R' U' F' B
D' F' U2 R' U' B F'
B' D' L B F' U F2
R2 F' U2 B R' U' F'
L F' D L R2 U B'
D' F' D2 L U F B'
D' F' D2 L U B' F
L F' D R2 L U B'
F' D' R' L U F B
F' D' R' L U B F
U F' B' L R' U R
L F' B' L B U F2
U F' B' R' L U R
F' D' U2 R' U' F' B
F' D' U2 R' U' B F'
B' D' F' L B U F
B' D2 L F' B U F2
B' D2 L B F' U F2
R2 F2 U2 B R' U' F'
L F2 D2 F L' U F2
R2 B L R' U' F R
F2 D2 F L' U' B' U2
B' D2 F' L B U F
R2 B R' L U' F R
U2 B R2 B R U' F'
B' F L F2 B U F'
B' F L B F2 U F'
U B' L F' R' U R
B' F' L R' U F R
B' F' L D B U F
F' B' L R' U F R
B' F' L D' B U F
B' F' L D2 B U F
B' F' L B R U F
B' F' L B R' U F
B' F' L B R2 U F
B' F' L B U D F
B' F' L B U D' F
B' F' L B U D2 F
B' F' L B U F D
B' F' L B U F D'
B' F' L B U F D2
U' B' U L F' U F2
B' F' L B D U F
B' F' L B D' U F
F' B' L D B U F
B' F' L B D2 U F
F' B' L D' B U F
F' B' L D2 B U F
F' B' L B R U F
F' B' L B R' U F
F' B' L B R2 U F
F' B' L B U D F
F' B' L B U D' F
F' B' L B U D2 F
F' B' L B U F D
F' B' L B U F D'
F' B' L B U F D2
F' B' L B D U F
F' B' L B D' U F
F' B' L B D2 U F
L' B' U L F' B U
L' B' U L B F' U
U' B' U F' L U F
L' B' U F' L B U
B' F' L2 B L' U F
F B' L F2 B U F'
F B' L B F2 U F'
F' B' L2 B L' U F
B' F' R' L U F R
U2 B' U2 L F' U F2
