U' L R' D L2 B'
U' L D L2 R' B'
U' L D R' L2 B'
U' L' R' D B' L2
U' L' D R' B' L2
U' R' L D L2 B'
U' R' L' D B' L2
U' R' D L' B' L'
B' R' B' U L U2
U' D L' R' B' L'
U' D L2 D2 R' B
U' D R' L' B' L'
B2 U D L U2 B'
D U' L' R' B' L'
D U' L2 D2 R' B
D U' R' L' B' L'
B2 U' D' B2 R' B
B2 D U L U2 B'
B2 D' U' B2 R' B
R' B' R' B' U' R
R2 B' R' B' U' R2
U' L R' D L2 D B'
U' L R' D L2 D' B'
U' L R' D L2 D2 B'
U' L R' D L2 B' D
U' L R' D L2 B' D'
U' L R' D L2 B' D2
U' L R' D B L2 B'
U' L R' D B' L2 B'
U' L R' D B2 L2 B'
U' L R2 D L2 R B'
U' L R2 D L2 B' R
U' L R2 D R L2 B'
U' L D L2 R B' R2
U' L D L2 R' D B'
U' L D L2 R' D' B'
U' L D L2 R' D2 B'
U' L D L2 R' B' D
U' L D L2 R' B' D'
U' L D L2 R' B' D2
U' L D L2 R2 B' R
U' L D L2 D R' B'
U' L D L2 D' R' B'
U' L D L2 D2 R' B'
U' L D R L2 B' R2
U' L D R' L2 D B'
U' L D R' L2 D' B'
U' L D R' L2 D2 B'
U' L D R' L2 B' D
U' L D R' L2 B' D'
U' L D R' L2 B' D2
U' L D R' B L2 B'
U' L D R' B' L2 B'
U' L D R' B2 L2 B'
U' L D R2 L2 B' R
U' L D B L2 B' R'
U' L D2 R' D' L2 B'
U' L' R' U B2 U' B
U' L' R' D B L2 B2
U' L' R' D B' L2 D
U' L' R' D B' L2 D'
U' L' R' D B' L2 D2
U' L' R' D B2 L2 B
U' L' R' D' B' D2 L2
U' L' R' D2 B' D' L2
U' L' R' B' U B' U'
U' L' R2 D R B' L2
U' L' R2 D B' L2 R
U' L' R2 D B' R L2
B2 L' D L F2 U' B'
U' L' D R B' L2 R2
U' L' D R B' R2 L2
U' L' D R' B L2 B2
U' L' D R' B' L2 D
U' L' D R' B' L2 D'
U' L' D R' B' L2 D2
U' L' D R' B2 L2 B
U' L' D R2 B' L2 R
U' L' D R2 B' R L2
B2 L' D F2 L U' B'
U' L' D' R' B2 L B
U' L' D2 R' D' B' L2
U' L' D2 R' B' D' L2
U' L2 D L2 D R' B
U' L2 D2 R' D' L2 B
U' L2 D2 R' D' B L2
U' L2 D2 R' B D' L2
R2 U R D B L2 F
L2 U R' D F2 L2 B'
L2 U D R' F2 L2 B'
R2 U D R B L2 F
R2 U D' R2 U2 R' B
D' R U R U2 B R
B2 R U D L U2 B'
D R U' L' R2 B' L'
D R U' L' B' L' R2
D R U' L' B' R2 L'
B2 R U' D' B2 R' B
D R U' R2 L' B' L'
U R U' B2 U' R2 B'
U R U' B2 U' B' R2
B2 R D U L U2 B'
B2 R D' U' B2 R' B
D' R D' F2 U' L' B'
R2 U' L R D L2 B'
R2 U' L D L2 R B'
R2 U' L D L2 B' R
R2 U' L D R L2 B'
R U' L R2 D L2 B'
R2 U' L' R D B' L2
R2 U' L' D R B' L2
R U' L' R2 D B' L2
R2 U' L' D B' L2 R
R2 U' L' D B' R L2
R2 U' R L D L2 B'
R2 U' R L' D B' L2
D' R F2 U' L' R2 B'
R2 U' R D L' B' L'
D' R F2 U' L' B' R2
D' R F2 U' R2 L' B'
B' R B R2 B2 U' R
R U' R2 L D L2 B'
B' R B' R2 U L U2
R U' R2 L' D B' L2
B' R B' U' D B2 R'
B' R B' D U' B2 R'
R U' R2 D L' B' L'
D R B' R' U' L2 R'
D R B' R' U' R' L2
R2 U' D L' R B' L'
R2 U' D L' B' L' R
R2 U' D L' B' R L'
R2 U' D R L' B' L'
B R B2 R' B U' R'
U' R' L D L2 D B'
U' R' L D L2 D' B'
U' R' L D L2 D2 B'
U' R' L D L2 B' D
U' R' L D L2 B' D'
U' R' L D L2 B' D2
U' R' L D B L2 B'
U' R' L D B' L2 B'
U' R' L D B2 L2 B'
U' R' L' U B2 U' B
U' R' L' D B L2 B2
U' R' L' D B' L2 D
U' R' L' D B' L2 D'
U' R' L' D B' L2 D2
U' R' L' D B2 L2 B
U' R' L' D' B' D2 L2
U' R' L' D2 B' D' L2
U' R' L' B' U B' U'
B2 R' U D L U2 B'
U' R' U B' R' B' U'
B2 R' U' D' B2 R' B
B R' U2 L F U R
U' R' D L' D B' L'
U' R' D L' D' B' L'
U' R' D L' D2 B' L'
U' R' D L' B L' B2
U' R' D L' B' L' D
U' R' D L' B' L' D'
U' R' D L' B' L' D2
U' R' D L' B' D L'
U' R' D L' B' D' L'
U' R' D L' B' D2 L'
U' R' D L' B2 L' B
B2 R' D U L U2 B'
U' R' D B L' B' L'
U' R' D B' L' B' L'
U' R' D B2 L' B' L'
U' R' D' L D2 L2 B'
U' R' D' L' D2 B' L2
U' R' D' L' B' D2 L2
B2 R' D' U' B2 R' B
U' R' D2 L D' L2 B'
U' R' D2 L' D' B' L2
U' R' D2 L' B' D' L2
U R' D' R2 U2 B R2
U R' D' F' R2 U2 R2
B' R' D2 F' B' U' R
B' R' D2 B' F' U' R
B' R' F B' U L U2
B' R' F' B' U L U2
U R' F' D' R2 U2 R2
B' R' F2 B' U L U2
U' R' B L' B' D L2
B' R' B U' R' D L2
B' R' B U' D L2 R'
B' R' B U' D R' L2
B' R' B D U' L2 R'
B' R' B D U' R' L2
U' R' B' L' D' B' L
F' R' B' R' B' U' R
B' R' B' U L U2 D
B' R' B' U L U2 D'
B' R' B' U L U2 D2
B' R' B' U L D U2
B' R' B' U L D' U2
B' R' B' U L D2 U2
B' R' B' U D L U2
B' R' B' U D' L U2
B' R' B' U D2 L U2
U' R' B' U B' R' U'
B' R' B' U' B2 R' B2
F2 R' B' R' B' U' R
B' R' B' U2 B2 U R'
B' R' B' D U L U2
B' R' B' D' U L U2
B' R' B' D2 U L U2
B' R' B' F U L U2
D R' B' R' U' L2 R
D R' B' R' U' R L2
B' R' B' F' U L U2
B' R' B' F2 U L U2
F R' B' R' B' U' R
U' R2 L D L2 R B'
U' R2 L D L2 B' R
U' R2 L D R L2 B'
U' R2 L' D R B' L2
U' R2 L' D B' L2 R
U' R2 L' D B' R L2
B2 R2 U D L U2 B'
D R2 U R B L2 F
D R2 U' L' R B' L'
B2 R2 U' D' B2 R' B
D R2 U' L' B' L' R
D R2 U' L' B' R L'
D R2 U' R L' B' L'
U' R2 D L' R B' L'
U' R2 D L' B' L' R
U' R2 D L' B' R L'
U' R2 D R L' B' L'
B2 R2 D U L U2 B'
B' R2 D' R F' B' U'
B' R2 D' R B' F' U'
B2 R2 D' U' B2 R' B
B' R2 D' B' R F' U'
L D L' U' L' R' B'
L D L' U' R' L' B'
B' R2 B R B2 U' R2
B' R2 B' R U L U2
F' R2 B' R' B' U' R2
F2 R2 B' R' B' U' R2
D R2 B' R' U' L2 R2
D R2 B' R' U' R2 L2
L2 D U R' F2 L2 B'
F R2 B' R' B' U' R2
R2 D U R B L2 F
R2 D U' L' R B' L'
R2 D U' L' B' L' R
R2 D U' L' B' R L'
R2 D U' R L' B' L'
U' D L' R B' L' R2
U' D L' R B' R2 L'
U' D L' R' D B' L'
U' D L' R' D' B' L'
U' D L' R' D2 B' L'
U' D L' R' B L' B2
U' D L' R' B' L' D
U' D L' R' B' L' D'
U' D L' R' B' L' D2
U' D L' R' B' D L'
U' D L' R' B' D' L'
U' D L' R' B' D2 L'
U' D L' R' B2 L' B
U' D L' R2 B' L' R
U' D L' R2 B' R L'
U' D L' D R' B' L'
U' D L' D' R' B' L'
U' D L' D2 R' B' L'
U2 D L' U L' R' B'
U2 D L' U R' L' B'
D U L' U2 L' R' B'
D U L' U2 R' L' B'
U' D L2 D2 R' D B
U' D L2 D2 R' D' B
U' D L2 D2 R' D2 B
U' D L2 D2 R' B D
U' D L2 D2 R' B D'
U' D L2 D2 R' B D2
U D L' U2 L' R' B'
U D L' U2 R' L' B'
B2 U L2 D L' F U2
U' D R L' B' L' R2
U' D R L' B' R2 L'
U' D R' L' D B' L'
U' D R' L' D' B' L'
U' D R' L' D2 B' L'
U' D R' L' B L' B2
