B U' L F U R
B2 L U' L2 B' L U
B2 L B U R' F U'
B2 L B U F R' U'
B2 L' U' B' L U L
B L' B D' L R2 B2
B L' B D' L B2 R2
B L' B D' R2 L B2
B2 L2 D' L' R' B R'
B2 L2 D' L' B R' B
B2 L2 D' R' L' B R'
B2 L2 D' R' B L' R'
B2 L2 D' R' B R' L'
B2 L2 D' B L' R' B
B2 L2 D' B R' L' B
B2 L2 D' B R' B L'
B R U' L F U R
U R B' U' R' B2 L
B R' U' L F U R
U2 R' U' F' R U' B
L' U' B' L' U B' L
U2 R' F U' R F2 U'
B R2 U' L F U R
B' U R' B' U' L R'
B' U R' B' U' R' L
B U' L D F U R
B U' L D' F U R
B U' L D2 F U R
B U' L F U R D
B U' L F U R D'
B U' L F U R D2
B U' L F U D R
B U' L F U D' R
B U' L F U D2 R
B U' L F D U R
B U' L F D' U R
B U' L F D2 U R
B U' L F B U R
B U' L F B' U R
B U' L F B2 U R
B U' L B F U R
B U' L B' F U R
B U' L B2 F U R
B U' D L F U R
L2 D' B2 D L B' R'
B U' D' L F U R
B U' D2 L F U R
U2 F R' U' F' R2 U'
B2 D L U F U' B'
B2 D L B' U F U'
B D U' L F U R
B D' U' L F U R
U2 F2 R' U' F' R U'
B D2 U' L F U R
D2 B U' L F U R
D' B U' L F U R
L' B U' L F B2 U
L' B U' L B2 F U
L2 B U' L F B' U
L2 B U' L B' F U
D B U' L F U R
L2 B2 L U' B' L U
L B2 L D' R' B R'
L B2 L D' B R' B
U B2 R U' L B R'
L' B2 D L B' D' R2
L2 B2 D' L R' B R'
L2 B2 D' L B R' B
L2 B2 D' R' L B R'
