F2 R' D' B' L U'
F2 R' B' L' U' F
F2 D' R' B' L U'
R' F2 D' B' L U'
R' F2 B' L' U' F
R' B' L' F2 U' F'
R' B' F2 L' U' F
F2 L R' U B' R' U2
L' R D R2 F L' B2
L' R D R2 F B2 L'
L' R D R2 B2 F L'
L' R D F L' R2 B2
L' R D F L' B2 R2
L' R D F R2 L' B2
L' R D F R2 B2 L'
L' R D F B2 L' R2
L' R D F B2 R2 L'
L' R D B2 R2 F L'
L' R D B2 F L' R2
L' R D B2 F R2 L'
R' L F2 U B' R' U2
R' L' U' D R2 F L'
R' L' U' D F L' R2
R' L' U' D F R2 L'
L' R' U' D R2 F L'
L' R' U' D F L' R2
L' R' U' D F R2 L'
R' L' D U' R2 F L'
R' L' D U' F L' R2
R' L' D U' F R2 L'
L' R' D U' R2 F L'
L' R' D U' F L' R2
L' R' D U' F R2 L'
F2 L' R' U' D F L'
R L' D R2 F L' B2
R L' D R2 F B2 L'
R L' D R2 B2 F L'
F2 L' R' D U' F L'
R L' D F L' R2 B2
R L' D F L' B2 R2
R L' D F R2 L' B2
R L' D F R2 B2 L'
R L' D F B2 L' R2
R L' D F B2 R2 L'
R L' D B2 R2 F L'
R L' D B2 F L' R2
R L' D B2 F R2 L'
R' L' F2 L B' U' F'
L' R' F2 L B' U' F'
R' L' F2 L2 U' F' L'
L' R' F2 L2 U' F' L'
F2 L' D R' U' F L'
L R' F2 U B' R' U2
F2 L' D2 R' B U' F
R' U' L' D R2 F L'
R' U' L' D F L' R2
R' U' L' D F R2 L'
F2 R B' L' R2 U' F
F2 R B' R2 L' U' F
F2 R' L U B' R' U2
F2 R' L' U' D F L'
F2 R' L' D U' F L'
F2 R' U' L' D F L'
F R' D F B' L' U'
F R' D B' F L' U'
F2 R' D' B' L U' D
F2 R' D' B' L U' D'
F2 R' D' B' L U' D2
F2 R' D' B' L D U'
F2 R' D' B' L D' U'
F2 R' D' B' L D2 U'
F2 R' D' B' D L U'
F2 R' D' B' D' L U'
F2 R' D' B' D2 L U'
F R' D' F B' L U'
F R' D' B' F L U'
F R' F D' B' L U'
F R' F B' L' U' F
U' R' F2 D' B' L U'
U' R' F2 B' L' U' F
U2 R' F2 D' B' L U'
U2 R' F2 B' L' U' F
F2 R' B L' B2 U' F
U R' F2 D' B' L U'
U R' F2 B' L' U' F
D' R' B' L U L U2
U' R' B' L' F2 U' F'
F2 R' B' L U B' U2
F2 R' B' L' U' D F
F2 R' B' L' U' D' F
F2 R' B' L' U' D2 F
F2 R' B' L' U' F D
F2 R' B' L' U' F D'
F2 R' B' L' U' F D2
F2 R' B' L' D U' F
F2 R' B' L' D' U' F
F2 R' B' L' D2 U' F
U2 R' B' L' F2 U' F'
D2 R' B' D L2 F U'
D' R' B' D L F2 U'
D' R' B' D F2 L U'
D' R' B' D2 L U' R2
F2 R' B' U' L' F L
U' R' B' F2 L' U' F
F R' B' L' U' F R
U R' B' L' F2 U' F'
U2 R' B' F2 L' U' F
F2 R' B2 L' B U' F
F R' B' D F L' U'
F R' B' F L' U' F
U R' B' F2 L' U' F
F2 R2 D' R B' L U'
F2 R2 D' B' L R U'
F2 R2 D' B' R L U'
F2 R2 D2 R B' U' F'
F2 R2 D2 B' R U' F'
L' D R' U' R' F L'
L' D R' U' F L' R'
L' D R' U' F R' L'
F2 R2 B' L' R U' F
F2 R2 B' R L' U' F
F2 R2 B' D2 R U' F'
R' D F B' L' U' R2
R' D B' F L' U' R2
R' D' B' L U L U2
R' D' B' D L F2 U'
R' D' B' D F2 L U'
R' D' B' D2 L U' R2
L2 D2 F B2 L U F
L2 D2 B2 F L U F
L2 F U2 R' F U' F2
L2 F U2 F R' U' F'
R' F D F B' L' U'
R' F D B' F L' U'
R' F D' F B' L U'
R' F D' B' F L U'
F2 D R' D2 B' L U'
R' F B' L' U' F R
R' F B' D F L' U'
F D R' F B' L' U'
F D R' B' F L' U'
F D F R' B' L' U'
R' F' D' F' B' L U'
R' F' D' B' L F' U'
R' F' D' B' F' L U'
F2 D' R B' L R2 U'
F2 D' R B' R2 L U'
R' F' B' L' F' U' F2
F2 D' R' B' L U' D
F2 D' R' B' L U' D'
F2 D' R' B' L U' D2
F2 D' R' B' L D U'
F2 D' R' B' L D' U'
F2 D' R' B' L D2 U'
F2 D' R' B' D L U'
F2 D' R' B' D' L U'
F2 D' R' B' D2 L U'
F2 D' R2 B' L R U'
F2 D' R2 B' R L U'
F D' R' F B' L U'
F D' R' B' F L U'
R' F2 L U B' R' U2
R' F2 L' U' D F L'
R' F2 L' D U' F L'
F' D' F' R' B' L U'
F D' F R' B' L U'
U' F2 R' D' B' L U'
U' F2 R' B' L' U' F
U2 F2 R' D' B' L U'
U2 F2 R' B' L' U' F
L F2 R' U B' R' U2
U F2 R' D' B' L U'
F2 D' B' D L U' B'
U F2 R' B' L' U' F
R' F2 U' L' D F L'
R F2 R2 D' B' L U'
R F2 R2 B' L' U' F
U' F2 D' R' B' L U'
R' F2 D' B' L U' D
R' F2 D' B' L U' D'
R' F2 D' B' L U' D2
R' F2 D' B' L D U'
R' F2 D' B' L D' U'
R' F2 D' B' L D2 U'
R' F2 D' B' D L U'
R' F2 D' B' D' L U'
R' F2 D' B' D2 L U'
U2 F2 D' R' B' L U'
R' F2 B L' B2 U' F
U F2 D' R' B' L U'
R' F2 B' L U B' U2
R' F2 B' L' U' D F
R' F2 B' L' U' D' F
R' F2 B' L' U' D2 F
R' F2 B' L' U' F D
R' F2 B' L' U' F D'
R' F2 B' L' U' F D2
R' F2 B' L' D U' F
R' F2 B' L' D' U' F
R' F2 B' L' D2 U' F
F2 D2 R' B' U B2 U2
F2 D2 R' B' U' D2 F2
F2 D2 R' B' D L2 U'
F2 D2 R' B' D2 U' F2
R' F2 B' U' L' F L
R' F2 B2 L' B U' F
R2 F2 B' U2 L' U F
R F2 B' L' R2 U' F
R F2 B' R2 L' U' F
R' B L' F2 B2 U' F'
R' B L' B2 F2 U' F'
R' B F2 L' B2 U' F
R' B' L F2 L2 U' F
R' B' L F2 U B' U2
R' B' L' U' D R2 F
R' B' L' U' D F R2
R' B' L' D U' R2 F
R' B' L' D U' F R2
R' B' L' F2 L U' F'
R' B' L' F2 L' U' F'
R' B' L' F2 L2 U' F'
R' B' L' F2 U' D F'
R' B' L' F2 U' D' F'
R' B' L' F2 U' D2 F'
R' B' L' F2 U' F' D
R' B' L' F2 U' F' D'
R' B' L' F2 U' F' D2
R' B' L' F2 D U' F'
R' B' L' F2 D' U' F'
R' B' L' F2 D2 U' F'
R2 B' L' R F2 U' F'
R' B' L2 F2 L U' F
R B' L' R2 F2 U' F'
R2 B' R L' F2 U' F'
R2 B' R F2 L' U' F
R B' R2 L' F2 U' F'
R B' R2 F2 L' U' F
D' B' D L F2 U' B'
R' B' D F L' U' R2
D' B' D F2 L U' B'
R' B' F L' U' F R
R' B' F D F L' U'
R' B' F' L' F' U' F2
R' B' F2 L U B' U2
R' B' F2 L' U' D F
R' B' F2 L' U' D' F
R' B' F2 L' U' D2 F
R' B' F2 L' U' F D
R' B' F2 L' U' F D'
R' B' F2 L' U' F D2
R' B' F2 L' D U' F
R' B' F2 L' D' U' F
R' B' F2 L' D2 U' F
R' B' F2 U' L' F L
R2 B' F2 U2 L' U F
R' B2 L' F2 B U' F'
R' B2 L' B F2 U' F'
B' F' D2 F' R U' F'
R B' F2 L' R2 U' F
R B' F2 R2 L' U' F
F' B' D2 F' R U' F'
R' B2 F2 L' B U' F
