B' L U R F L' F2
B' R F L' F2 D' B2
B R F L' F2 D B2
B R' U' R2 F L' F2
B R' U' F L' R2 F'
B R' U' F R2 L' F'
B R' U' F2 R2 F' L'
B R' F U' L' R2 F'
B R' F U' R2 L' F'
R D L D F' B' L
R D L D B' L F'
R D L D B' F' L
R D L F' D B' L
R D F' L D B' L
B2 U R F L' F2 B
B2 U R F L' B F2
B2 U R F B L' F2
B2 U R B F L' F2
B2 U' R F L' F2 B'
B2 U' R F L' B' F2
R D2 B' D' L F' B'
R D2 B' D' L B' F'
R D2 B' D' F' L B'
R2 F L' D' R' F' B
R2 F L' D' R' B F'
R F L2 F2 D L B'
R2 F D' L' R' F' B
R2 F D' L' R' B F'
R2 F D' R' L' F' B
R2 F D' R' L' B F'
R2 F D' R' B L' F'
R F B' L' F2 D' B2
R F' U2 D' R F' U2
R F' D' U2 R F' U2
R2 F2 D' R' F' L' B
R2 F2 D' R' F' B L'
R2 F2 D' R' B F' L'
R B' F L' F2 D' B2
