U' L U2 L' B R'
U' L U2 B L' R'
U' L U2 B R' L'
U' L' U2 L B R'
U' L2 U2 L2 B R'
U' L2 U2 B L2 R'
U' L2 U2 B R' L2
U' L2 B L2 R' F
U' L2 B L2 F R'
U' L2 B R' L2 F
U R B R' B L
R U2 R' U B R'
R2 U2 R2 U B R'
B' U2 B U' B R'
U F U2 F' B R'
U F U2 B F' R'
U F' U2 F B R'
U F' U2 B R' F
U F' U2 B F R'
U F2 U2 F2 B R'
U F2 U2 B R' F2
U F2 U2 B F2 R'
U F2 B R' F2 L'
U' B L2 R' F L2
U' B L2 F L2 R'
U' B L2 F R' L2
U' B R' L2 F L2
U' B R' U2 B' U2
U B R' U2 R U2
U B R' F2 L' F2
U B R2 D2 L2 R
U B R2 D2 R L2
U B F2 R' F2 L'
U' B' R' B2 R' F'
U' B' R2 F' B2 R'
U' B' R2 B2 F' R'
U B' R B2 L R'
U B' R B2 R' L
U' B2 D2 F2 B' R'
U' B2 D2 B' R' F2
U' B2 D2 B' F2 R'
U L R B R' B L
L' R U2 R' U B R'
L2 R U2 R' U B R'
L R U2 R' U B R'
R2 L U2 R2 U B R'
R L U2 R' U B R'
U' L U2 L B L2 R'
U' L U2 L B R' L2
U' L U2 L' B R' D
U' L U2 L' B R' D'
U' L U2 L' B R' D2
U' L U2 L' B D R'
U' L U2 L' B D' R'
U' L U2 L' B D2 R'
U2 L U2 L' U' B R'
U' L U2 B L' R' D
U' L U2 B L' R' D'
U' L U2 B L' R' D2
U' L U2 B L' D R'
U' L U2 B L' D' R'
U' L U2 B L' D2 R'
U' L U2 B R' L' D
U' L U2 B R' L' D'
U' L U2 B R' L' D2
U' L U2 B R' D L'
U' L U2 B R' D' L'
U' L U2 B R' D2 L'
U' L U2 B D L' R'
U' L U2 B D R' L'
U' L U2 B D' L' R'
U' L U2 B D' R' L'
U' L U2 B D2 L' R'
U' L U2 B D2 R' L'
U' L F U2 B L R'
U' L F U2 B R' L
U L F U2 F' B R'
U L F U2 B F' R'
U L F' U2 F B R'
U L F' U2 B R' F
U L F' U2 B F R'
U L F2 U2 F2 B R'
U L F2 U2 B R' F2
U L F2 U2 B F2 R'
U L F2 B R' F2 L'
U' L B L2 R' F L
U' L B L2 F L R'
U' L B L2 F R' L
U' L B R' L2 F L
U L B R' U2 R U2
U L B R' F2 L' F2
U L B R2 D2 L2 R
U L B R2 D2 R L2
U L B F2 R' F2 L'
U L B' R B2 L R'
U L B' R B2 R' L
B L B' U B L R'
B L B' U B R' L
D L B' U2 B U' B
R2 L' U2 R2 U B R'
R2 L' U2 R2 U B R'
R L' U2 R' U B R'
U L' R B R' B L
U' L' U2 L B R' D
U' L' U2 L B R' D'
U' L' U2 L B R' D2
U' L' U2 L B D R'
U' L' U2 L B D' R'
U' L' U2 L B D2 R'
U2 L' U2 L U' B R'
U' L' U2 L' B L2 R'
U' L' U2 L' B R' L2
U' L' U2 L2 B L' R'
U' L' U2 L2 B R' L'
U' L' F U2 L B R'
U L' F U2 F' B R'
U L' F U2 B F' R'
U' L' F' U2 L B R'
U L' F' U2 F B R'
U L' F' U2 B R' F
U L' F' U2 B F R'
U' L' F2 U2 L B R'
U L' F2 U2 F2 B R'
U L' F2 U2 B R' F2
U L' F2 U2 B F2 R'
L' R2 U2 R2 U B R'
