F' R B2 L' U L
F' U' L' R B2 U
F' U' L' B2 R U
F' U' R L' B2 U
F' U' R B2 L' U
F' U' B2 L' R U
F' U' B2 R L' U
B2 F' L' R U L
B2 F' R L' U L
F' B2 L' R U L
F' B2 R L' U L
F' L R B2 L2 U L
B2 L U D' L' F B'
B2 L U D' L' B' F
B2 L D' U L' F B'
B2 L D' U L' B' F
F' L B2 L2 R U L
F' L B2 R L2 U L
F' L' R U L D' R2
F' L' R U D' L R2
F' L' R U D' R2 L
F L' R U' L D' R2
F' L' R D' U L R2
F' L' R D' U R2 L
F L' R U' D' L R2
F L' R U' D' R2 L
F L' R D' U' L R2
F L' R D' U' R2 L
F L' R D2 F2 U' L
F' L' R B2 U' R' U2
F' L' D' R U L R
F' L' D' R U R L
F L' D' R U' L R
F L' D' R U' R L
F L' D2 R F2 U' L
B2 L' F' L' R U L2
B2 L' F' R L' U L2
F' L' B2 R U D2 L2
F' L' B2 R U' R2 U2
F' L' B2 R D' F2 U
F' L' B2 R D2 U L2
B' L2 F L' R U' L'
B' L2 F R L' U' L'
B2 L2 F' L' R U L'
B2 L2 F' R L' U L'
L U D' L' R2 F B'
L U D' L' R2 B' F
L U D' L' F R2 B'
L U D' L' F B' R2
L U D' L' B' R2 F
L U D' L' B' F R2
L U D' R2 L' F B'
L U D' R2 L' B' F
F' R L B2 L2 U L
F' R L' U L D' R2
F' R L' U D' L R2
F' R L' U D' R2 L
F' R L' D' U L R2
F' R L' D' U R2 L
F R L' U' L D' R2
F R L' U' D' L R2
F R L' U' D' R2 L
F' R L' B2 U' R' U2
F R L' D' U' L R2
F R L' D' U' R2 L
F R L' D2 F2 U' L
F' R D' L' U L R2
F' R D' L' U R2 L
F R D' L' U' L R2
F R D' L' U' R2 L
F R D2 L' F2 U' L
B2 R F' L' R U L
B2 R F' R L' U L
F' R B2 L' U L D
F' R B2 L' U L D'
F' R B2 L' U L D2
F' R B2 L' U D L
F' R B2 L' U D' L
F' R B2 L' U D2 L
F' R B2 L' D U L
F' R B2 L' D' U L
F' R B2 L' D2 U L
F' R B2 L' F U L
F' R B2 L' F' U L
F' R B2 L' F2 U L
F' R B2 D L' U L
F' R B2 D' L' U L
F' R B2 D2 L' U L
F' R' U' L' R2 B2 U
F' R' U' L' B2 R2 U
F' R' U' R2 L' B2 U
F' R' U' R2 B2 L' U
F' R' U' B2 L' R2 U
F' R' U' B2 R2 L' U
B2 R' F' L' R U L
B2 R' F' R L' U L
F' R' B2 L' R2 U L
F' R' B2 R2 L' U L
D' R2 U L' U' F B'
D' R2 U L' U' B' F
F' R2 U' L' R' B2 U
F' R2 U' R' L' B2 U
F' R2 U' R' B2 L' U
B2 R2 F' L' R U L
D' R2 F' U' L' U F
B2 R2 F' R L' U L
D' U L' U' R2 F B'
D' U L' U' R2 B' F
D' U L' U' F R2 B'
D' U L' U' F B' R2
D' U L' U' B' R2 F
D' U L' U' B' F R2
F U L' R U' D' R2
F U L' R U2 B2 U
F U L' R D' U' R2
F U L' R D2 F2 U'
F U L' D' R U' R
F U L' D2 R F2 U'
F U R L' U' D' R2
F U R L' U2 B2 U
F U R L' D' U' R2
F U R L' D2 F2 U'
F U R D' L' U' R2
F U R D2 L' F2 U'
F U D' L' R U' R
F' U D2 F2 L' R U'
F' U D2 F2 R L' U'
F U D' R L' U' R
F U D2 L' R F2 U'
F U D2 R L' F2 U'
L D' U L' R2 F B'
L D' U L' R2 B' F
L D' U L' F R2 B'
L D' U L' F B' R2
L D' U L' B' R2 F
L D' U L' B' F R2
U D' L' U' R2 F B'
U D' L' U' R2 B' F
F' U' L R B2 L2 U
U D' L' U' F R2 B'
U D' L' U' F B' R2
U D' L' U' B' R2 F
U D' L' U' B' F R2
L D' U R2 L' F B'
L D' U R2 L' B' F
F' U' L B2 L2 R U
F' U' L B2 R L2 U
F' U' L' R U D' R2
F' U' L' R D' U R2
F' U' L' R B2 U D
F' U' L' R B2 U D'
F' U' L' R B2 U D2
F' U' L' R B2 D U
F' U' L' R B2 D' U
F' U' L' R B2 D2 U
F' U' L' R' B2 R2 U
F' U' L' D' R U R
F' U' L' B' R B' U
F' U' L' B2 R U D
F' U' L' B2 R U D'
F' U' L' B2 R U D2
F' U' L' B2 R D U
F' U' L' B2 R D' U
F' U' L' B2 R D2 U
F' U' L' B2 D R U
F' U' L' B2 D' R U
F' U' L' B2 D2 R U
F' U' R L B2 L2 U
F' U' R L' U D' R2
F' U' R L' D' U R2
F' U' R L' B2 U D
F' U' R L' B2 U D'
F' U' R L' B2 U D2
F' U' R L' B2 D U
F' U' R L' B2 D' U
F' U' R L' B2 D2 U
F' U' R D' L' U R2
F' U' R B L' B U
F' U' R B2 L' U D
F' U' R B2 L' U D'
F' U' R B2 L' U D2
F' U' R B2 L' D U
F' U' R B2 L' D' U
F' U' R B2 L' D2 U
F' U' R B2 D L' U
F' U' R B2 D' L' U
F' U' R B2 D2 L' U
F' U' R' L' B2 R2 U
F' U' R' B2 L' R2 U
F' U' R' B2 R2 L' U
F' U' D' L' R U R
F' U' D' R L' U R
F' U' B L' B R U
F' U' B' R B' L' U
F' U' B2 L' R U D
F' U' B2 L' R U D'
F' U' B2 L' R U D2
F' U' B2 L' R D U
F' U' B2 L' R D' U
F' U' B2 L' R D2 U
F' U' B2 L' D R U
F' U' B2 L' D' R U
F' U' B2 L' D2 R U
F' U' B2 R L' U D
F' U' B2 R L' U D'
F' U' B2 R L' U D2
F' U' B2 R L' D U
F' U' B2 R L' D' U
F' U' B2 R L' D2 U
F' U' B2 R D L' U
F' U' B2 R D' L' U
F' U' B2 R D2 L' U
F' U' B2 D L' R U
F' U' B2 D R L' U
F' U' B2 D' L' R U
F' U' B2 D' R L' U
F' U' B2 D2 L' R U
F' U' B2 D2 R L' U
F U' B2 U2 L' R U'
F U' B2 U2 R L' U'
F' U2 L' R B2 U L
F' U2 R L' B2 U L
F' U2 R B2 L' U L2
U F L' U' D' R2 B'
U F L' U' D' B' R2
U F L' U2 B2 U B
U F L' D' U' R2 B'
U F L' D' U' B' R2
U F L' D2 F2 U' B'
U F D' L' U' R2 B'
U F D' L' U' B' R2
U F D2 L' F2 U' B'
D' F' L' U R2 F L
D' F' L' U F L R2
D' F' L' U F R2 L
L' F' L' R B2 U L2
L2 F' L' R B2 U L'
L' F' L' B2 R U L2
L2 F' L' B2 R U L'
L' F' R L' B2 U L2
U' F' R F B2 U B'
U' F' R B2 F U B'
R' F' R B2 L' U L
L2 F' R L' B2 U L'
L2 F' R B2 L' U L'
R2 F' R B2 L' U L
D' F' R2 U' L' U F
R F' R B2 L' U L
R' F' U' L' R B2 U
R' F' U' L' B2 R U
U2 F' U R B2 U B'
D' F' U' L' U R2 F
D' F' U' L' U F R2
R' F' U' R L' B2 U
R' F' U' R B2 L' U
U2 F' U B2 R U B
R' F' U' B2 L' R U
R' F' U' B2 R L' U
R2 F' U' L' R B2 U
R2 F' U' L' B2 R U
R2 F' U' R L' B2 U
R2 F' U' R B2 L' U
F' D' L' R U L R
F' D' L' R U R L
R2 F' U' B2 L' R U
R2 F' U' B2 R L' U
R F' U' L' R B2 U
R F' U' L' B2 R U
R F' U' R L' B2 U
R F' U' R B2 L' U
R F' U' B2 L' R U
R F' U' B2 R L' U
U F' U2 R B2 U B'
F D' L' R U' L R
F D' L' R U' R L
F' D' R L' U L R
F' D' R L' U R L
U F' U2 B2 R U B
F D' R L' U' L R
F D' R L' U' R L
F' D' R2 U' L' R' U
F' D' R2 U' R' L' U
U' F' B2 R F U B
R' F' B2 L' R U L
U F' D2 F2 L' U' B'
R' F' B2 R L' U L
L2 F' B2 L' R U L'
F D' R2 U L' R' U'
F D' R2 U R' L' U'
F' D' U' L' R U R
L2 F' B2 R L' U L'
F' D' U' R L' U R
R2 F' B2 L' R U L
R2 F' B2 R L' U L
F D' U L' R U' R
F D' U R L' U' R
R F' B2 L' R U L
R F' B2 R L' U L
B2 D' F' L' U F L
F D2 L' R F2 U' L
F D2 R L' F2 U' L
F' D2 U F2 L' R U'
F' D2 U F2 R L' U'
F D2 U L' R F2 U'
F D2 U R L' F2 U'
F' D2 F2 L' R U' L
F' D2 F2 R L' U' L
B2 F U L' R U' R'
B2 F U R L' U' R'
F' B U' L' B R U
F' B U' B L' R U
F' B U' B R L' U
B2 F' L' R U L D
B2 F' L' R U L D'
B2 F' L' R U L D2
B2 F' L' R U D L
B2 F' L' R U D' L
B2 F' L' R U D2 L
B2 F' L' R D U L
B2 F' L' R D' U L
B2 F' L' R D2 U L
B2 F' L' R F U L
B2 F' L' R F' U L
B2 F' L' R F2 U L
B2 F' L' D R U L
B2 F' L' D' R U L
B2 F' L' D2 R U L
B2 F' L' F' U L F
B2 F' R L' U L D
B2 F' R L' U L D'
B2 F' R L' U L D2
B2 F' R L' U D L
B2 F' R L' U D' L
B2 F' R L' U D2 L
B2 F' R L' D U L
B2 F' R L' D' U L
B2 F' R L' D2 U L
B2 F' R L' F U L
B2 F' R L' F' U L
B2 F' R L' F2 U L
B' F' R B' L' U L
B2 F' R D L' U L
B2 F' R D' L' U L
B2 F' R D2 L' U L
F' B' R B' L' U L
B' F' U' R B' L' U
F' B' U' R B' L' U
B' F' U' B' L' R U
B' F' U' B' R L' U
F' B' U' B' L' R U
F' B' U' B' R L' U
B F' U' L' B R U
B F' U' B L' R U
B F' U' B R L' U
B2 F' D L' R U L
B2 F' D R L' U L
B2 F' D' L' R U L
B2 F' D' R L' U L
B2 F' D2 L' R U L
B2 F' D2 R L' U L
F' B2 L' R U L D
F' B2 L' R U L D'
F' B2 L' R U L D2
F' B2 L' R U D L
F' B2 L' R U D' L
F' B2 L' R U D2 L
F' B2 L' R D U L
F' B2 L' R D' U L
F' B2 L' R D2 U L
F' B2 L' R F U L
F' B2 L' R F' U L
F' B2 L' R F2 U L
F' B2 L' D R U L
F' B2 L' D' R U L
F' B2 L' D2 R U L
F' B2 L' F' U L F
F' B2 R L' U L D
F' B2 R L' U L D'
F' B2 R L' U L D2
F' B2 R L' U D L
F' B2 R L' U D' L
F' B2 R L' U D2 L
F' B2 R L' D U L
F' B2 R L' D' U L
F' B2 R L' D2 U L
F' B2 R L' F U L
F' B2 R L' F' U L
F' B2 R L' F2 U L
F' B2 R D L' U L
F' B2 R D' L' U L
F' B2 R D2 L' U L
L B2 U D' L' F B'
L B2 U D' L' B' F
U' B2 D R U F' B
U' B2 D R U B F'
F B2 U L' R U' R'
F B2 U R L' U' R'
F' B2 D L' R U L
F' B2 D R L' U L
U' B2 F' R F U B
L B2 D' U L' F B'
L B2 D' U L' B' F
R' B2 F' L' R U L
F' B2 D' L' R U L
R' B2 F' R L' U L
F' B2 D' R L' U L
L2 B2 F' L' R U L'
F' B2 D2 L' R U L
L2 B2 F' R L' U L'
F' B2 D2 R L' U L
R2 B2 F' L' R U L
R2 B2 F' R L' U L
R B2 F' L' R U L
R B2 F' R L' U L
