L2 R B D R2 F'
R L2 B D R2 F'
R B L2 D R2 F'
L2 R D B R2 D F2
L2 R D2 F2 D' B R2
B2 L D' L2 U2 L' B'
L' R B L' D R2 F'
L2 R B R2 D F' R2
L' R B D L' R2 F'
L' R B D R2 L' F'
L2 R B D R2 D F'
L2 R B D R2 D' F'
L2 R B D R2 D2 F'
L2 R B D R2 F' D
L2 R B D R2 F' D'
L2 R B D R2 F' D2
L2 R B D F R2 F'
L2 R B D F' R2 F'
L2 R B D F2 R2 F'
L2 R B2 D B' R2 F'
L2 R' D R2 D F2 B
L2 R' D R2 D B F2
L2 R' D R2 B D F2
B2 L' U2 L' D R2 B'
B2 L' U2 L' D B' R2
B2 L' U2 L' B' D R2
B2 L' U2 D L' R2 B'
B2 L' U2 D L' B' R2
B2 L' U2 D R2 L' B'
B2 L' D U2 L' R2 B'
B2 L' D U2 L' B' R2
B2 L' D U2 R2 L' B'
R L' B L' D R2 F'
L2 R' B D R2 F' B
L2 R' B D R2 B F'
R L' B D L' R2 F'
R L' B D R2 L' F'
D L' F2 R U B R
R' L2 D R2 D F2 B
R' L2 D R2 D B F2
R' L2 D R2 B D F2
R L2 D B R2 D F2
B' L2 R D F B R2
B' L2 R D B R2 F
B' L2 R D B F R2
B' L2 R B D R2 F
B' L2 R B D F R2
B' L2 R' D R2 F B
B' L2 R' D R2 B F
F L2 R B D' R2 F'
R L2 D2 F2 D' B R2
R' L2 B D R2 F' B
R' L2 B D R2 B F'
R L2 B R2 D F' R2
R L2 B D R2 D F'
R L2 B D R2 D' F'
R L2 B D R2 D2 F'
R L2 B D R2 F' D
R L2 B D R2 F' D'
R L2 B D R2 F' D2
R L2 B D F R2 F'
R L2 B D F' R2 F'
R L2 B D F2 R2 F'
B' L2 D R B R F
B' L2 D F R B R
B L2 D R B R F'
R L2 B2 D B' R2 F'
B' L2 F U F R U'
R U L2 B D R2 F'
B' R L2 D F B R2
B' R L2 D B R2 F
B' R L2 D B F R2
B' R L2 B D R2 F
B' R L2 B D F R2
F R L2 B D' R2 F'
F2 R U B2 U2 B' L2
F2 R U' L2 D2 F2 B
F2 R U' L2 D2 B F2
B2 R U' F2 U' L2 B
B2 R U' F2 U' B L2
F2 R U' B' L2 F B2
F2 R U' B' L2 B2 F
B2 R U2 L2 D B R2
B2 R U2 L2 B D R2
R U B L2 D R2 F'
B2 R U2 B L2 D R2
D R D B R F2 L'
D2 R F2 L' D' B R2
R U' L2 B D R2 F'
B' R F2 U' L2 F B
B' R F2 U' L2 B F
D2 R F2 D' L' B R2
D2 R F2 D' B L' R2
D2 R F2 D' B R2 L'
B2 R B L2 D R2 F
B2 R B L2 D F R2
D R B D R F2 L'
F2 R B' U' L2 F B2
F2 R B' U' L2 B2 F
D2 R B2 U F2 B' L'
D2 R B2 U B' F2 L'
B' R' L2 D R2 F B
B' R' L2 D R2 B F
F2 R' U F' B2 U2 L2
F2 R' U B2 F' U2 L2
B2 R' U' F2 U' L2 B'
B2 R' U2 L2 D R2 B
R U' B L2 D R2 F'
B2 R' F' U' F' U' L2
R U2 L2 B D R2 F'
B' R' F2 U' L2 F B'
B' R' F2 U' L2 B' F
R U2 B L2 D R2 F'
L2 D R D B R F2
L2 D R B R D F2
L2 D R B D R F2
L' D' L' D' F2 R B
B2 U' F2 U' L' B' L'
L2 D2 R F2 D' B R2
B2 U' F2 B' R' U' L2
B2 U' B' R' F2 U' L2
B2 U' B' F2 R' U' L2
B2 U2 L' D R2 B' L'
B2 U2 L' D B' L' R2
B2 U2 L' D B' R2 L'
B2 U2 L' B' L' D R2
B2 U2 L' B' D L' R2
B2 U2 L' B' D R2 L'
L2 D2 F2 R D' B R2
L2 D2 F2 R' D' R2 B
L2 D2 F2 D' R B R
R F L2 B D' R2 F'
R' F' B2 U' F' U' L2
R' F2 U F B2 U2 L2
R' F2 U B2 U2 L2 B'
R' F2 U B2 F U2 L2
R' F2 U' L2 D2 F2 B'
R' F2 U' L2 D2 B' F2
R' F2 U' B' L2 F B'
R' F2 U' B' L2 B' F
R F2 U B2 U2 B' L2
R F2 U' L2 D2 F2 B
R F2 U' L2 D2 B F2
R F2 U' B' L2 F B2
R F2 U' B' L2 B2 F
F2 D2 R U' F2 L' B
F2 D2 R U' F2 B L'
F2 D2 R U' B F2 L'
U' F2 B' R' U' L2 F
R' F2 B' U' L2 F B'
R' F2 B' U' L2 B' F
R F2 B' U' L2 F B2
R F2 B' U' L2 B2 F
R' B L2 D R2 F' B
R' B L2 D R2 B F'
R B L D L R2 F'
R B L D R2 L F'
R B L D R2 F' L
R B L' D L' R2 F'
R B L' D R2 L' F'
R B L2 R2 D F' R2
R B L2 D R2 D F'
R B L2 D R2 D' F'
R B L2 D R2 D2 F'
R B L2 D R2 F' D
R B L2 D R2 F' D'
R B L2 D R2 F' D2
R B L2 D F R2 F'
R B L2 D F' R2 F'
R B L2 D F2 R2 F'
