R' F2 B R2 U' F'
R F2 D L2 B' U'
R' B R2 F2 U' F
R' B F2 R2 U' F'
L' R F2 D L2 B' U'
L R F2 D L2 B' U'
L2 R F2 D L2 B' U'
R' L F2 B R2 U' F'
R L F2 D L2 B' U'
R' L B R2 F2 U' F
R' L B F2 R2 U' F'
R' L' F2 B R2 U' F'
L' R' F2 B R2 U' F'
R L' F2 D L2 B' U'
L2 R' F2 B R2 U' F'
L R' F2 B R2 U' F'
R' L' B R2 F2 U' F
L' R' B R2 F2 U' F
L2 R' B R2 F2 U' F
L R' B R2 F2 U' F
R' L' B F2 R2 U' F'
L' R' B F2 R2 U' F'
L2 R' B F2 R2 U' F'
L R' B F2 R2 U' F'
D L2 R B' U' L R
D L2 R B' U' R L
R' L2 F2 B R2 U' F'
R L2 F2 D L2 B' U'
R' L2 B R2 F2 U' F
R' L2 B F2 R2 U' F'
D L2 B' R U' L R
D L2 B' R U' R L
D R L2 B' U' L R
D R L2 B' U' R L
R' U F2 B R2 U' F'
R' U B R2 F2 U' F
R' U B F2 R2 U' F'
B' R F2 L2 B' U' F
U' R F2 D L2 B' U'
B2 R F2 U2 F U F'
U2 R F2 D L2 B' U'
U R F2 D L2 B' U'
D R B' L2 U' L' R
D R B' L2 U' R L'
R' U' F2 B R2 U' F'
R' U' B R2 F2 U' F
B2 R' U' F2 B R2 U'
B2 R' U' B R2 F2 U'
B2 R' U' B F2 R2 U'
R' U' B F2 R2 U' F'
U' R' F2 B R2 U' F'
U2 R' F2 B R2 U' F'
U' R' B R2 F2 U' F
U2 R' B R2 F2 U' F
U R' F2 B R2 U' F'
U' R' B F2 R2 U' F'
U2 R' B F2 R2 U' F'
U R' B R2 F2 U' F
U R' B F2 R2 U' F'
R U2 D2 F' B2 U F'
R U2 D2 B2 F' U F'
R' U2 F2 B R2 U' F'
R U2 F' D' R2 B U
R' U2 B R2 F2 U' F
R' U2 B F2 R2 U' F'
R' D L2 B U' B R2
R D L2 U2 F' U R2
D R2 B' D L F2 B'
D R2 B' D L B' F2
D R2 B' D F2 L B'
R' D B L2 U' B R2
R D F2 L2 B' U' R2
B2 U' R F2 U2 F U
B2 U' R' F2 B R2 U'
B2 U' R' B R2 F2 U'
B2 U' R' B F2 R2 U'
R D2 U2 F' B2 U F'
R D2 U2 B2 F' U F'
R' D2 B2 L2 F U F
F2 U2 D2 L' F U F
R' F B R2 F U' F2
R F D2 F B2 U' F
R F D2 B2 F U' F
R F' D F' L2 B' U'
R' F2 L B R2 U' F'
D2 F2 L' F B2 U F'
R' F2 L' B R2 U' F'
D2 F2 L' B2 F U F'
R' F2 L2 B R2 U' F'
R F2 L2 D B' L2 U'
R F2 L2 D2 B' U' F2
R2 F2 R B R2 U' F'
R F2 L2 B' L2 U' F
R F2 L2 B' U B' U2
D2 F2 U' L' F B2 U
D2 F2 U' L' B2 F U
D2 F2 U' B2 L' F U
R' F2 D L2 B U' B
R F2 U B2 U F U
R' F2 D B L2 U' B
R F2 U2 D' R2 F U
R F2 U2 D' F R2 U
R F2 U2 D2 F U F
R F2 U2 F U D2 F2
R F2 U2 F U' B2 U2
R F2 U2 F D' R2 U
R F2 U2 F D2 U F2
R F2 D L2 D B' U'
R F2 D L2 D' B' U'
R F2 D L2 D2 B' U'
R F2 D L2 B' U' D
R F2 D L2 B' U' D'
R F2 D L2 B' U' D2
R F2 D L2 B' D U'
R F2 D L2 B' D' U'
R F2 D L2 B' D2 U'
R' F2 B L R2 U' F'
R' F2 B L' R2 U' F'
R' F2 B L2 R2 U' F'
R F2 D B L2 B' U'
R' F2 B R2 L U' F'
R' F2 B R2 L' U' F'
R' F2 B R2 L2 U' F'
R' F2 B R2 U' D F'
R' F2 B R2 U' D' F'
R' F2 B R2 U' D2 F'
R' F2 B R2 U' F' D
R' F2 B R2 U' F' D'
R' F2 B R2 U' F' D2
R' F2 B R2 D U' F'
R' F2 B R2 D' U' F'
R' F2 B R2 D2 U' F'
R F2 D B' L2 B' U'
R F2 D B2 L2 B' U'
R F2 D' U2 R2 F U
R F2 D' U2 F R2 U
R F2 D2 L2 B' U' F2
D2 F2 B2 L' F U F'
R F2 D2 U2 F U F
R' B L R2 F2 U' F
R' B L F2 R2 U' F'
R F2 B' L2 B' U' F
R' B L' R2 F2 U' F
F2 D2 U2 L' F U F
R' B L' F2 R2 U' F'
R' B L2 R2 F2 U' F
R F2 B2 U2 F U F'
R' B L2 F2 R2 U' F'
R' B R' F2 R' U' F'
R' B R2 L F2 U' F
R' B R2 L' F2 U' F
R' B R2 L2 F2 U' F
R' B R2 U' D F' R2
R' B R2 D U' F' R2
R' B R2 F2 U' D F
R' B R2 F2 U' D' F
R' B R2 F2 U' D2 F
R' B R2 F2 U' F D
R' B R2 F2 U' F D'
R' B R2 F2 U' F D2
R' B R2 F2 D U' F
R' B R2 F2 D' U' F
R' B R2 F2 D2 U' F
R' B U' D R2 F' B2
R' B U' D R2 B2 F'
R' B D U' R2 F' B2
R' B D U' R2 B2 F'
R' B F R2 F U' F2
R' B F2 L R2 U' F'
R' B F2 L' R2 U' F'
R' B F2 L2 R2 U' F'
R' B F2 R2 L U' F'
R' B F2 R2 L' U' F'
R' B F2 R2 L2 U' F'
R' B F2 R2 U' D F'
R' B F2 R2 U' D' F'
R' B F2 R2 U' D2 F'
R' B F2 R2 U' F' D
R' B F2 R2 U' F' D'
R' B F2 R2 U' F' D2
R' B F2 R2 D U' F'
R' B F2 R2 D' U' F'
R' B F2 R2 D2 U' F'
D B' L2 R U' L' R
D B' L2 R U' R L'
D B' R L2 U' L' R
D B' R L2 U' R L'
R' B' D L2 R2 F B2
R' B' D L2 R2 B2 F
R' B' D L2 F R2 B2
R' B' D L2 F B2 R2
R' B' D L2 B2 R2 F
R' B' D L2 B2 F R2
R' B' D R2 L2 F B2
R' B' D R2 L2 B2 F
R' B' D B2 L2 R2 F'
R' B' D B2 R2 L2 F'
R' B' D B2 R2 F' L2
R B' F2 L2 B' U' F
R' B2 U' R2 F2 B' U'
R' B2 U' R2 B' F2 U'
R' B2 U' F2 R2 B' U'
R' B2 U' F2 B' R2 U'
R' B2 U' B' R2 F2 U'
R' B2 U' B' F2 R2 U'
D2 B2 F2 L' F U F'
R B2 F2 U2 F U F'
