U2 R B2 L U' B'
L U2 B2 L' U' B
B2 U2 L B2 U B
L D2 F2 R U B'
B2 U2 B2 L U B'
B2 D2 R' F2 U' B
B2 D2 F2 R' U' B
U2 L R B2 L U' B
D2 L R2 F2 R U B
R' L U2 B2 L' U' B
R2 L U2 B2 L' U' B
L R U2 B2 L' U' B
R L U2 B2 L' U' B
F' L U2 B2 L' U' B
F2 L U2 B2 L' U' B
F L U2 B2 L' U' B
R' L D2 F2 R U B'
R2 L D2 F2 R U B'
L R D2 F2 R U B'
R L D2 F2 R U B'
U' L D B L2 B2 R'
U L D B L2 F B2
U L D B L2 B2 F
U L D' R2 U2 R2 B'
U L D' R2 U2 B' R2
F' L D2 F2 R U B'
F2 L D2 F2 R U B'
F L D2 F2 R U B'
D2 L F2 R U' F' U2
L R' U2 B2 L' U' B
L R' D2 F2 R U B'
U' L' D B' L2 B' R'
U' L' D B2 L2 R' B'
U' L' D B2 R' L2 B'
U L' D B L2 F B'
U L' D B L2 B' F
U L' D' R2 F U2 R2
U L' D' F R2 U2 R2
U L' F D' R2 U2 R2
L R2 U2 B2 L' U' B
U2 L' B2 U F U2 F'
L R2 D2 F2 R U B'
U2 R L B2 L U' B
B2 R U2 L B2 U B
B2 R U2 B2 L U B'
L U B' U B' L' U'
B2 R D2 R' F2 U' B
B2 R D2 F2 R' U' B
D2 R F2 U' F U2 F'
U2 R B2 L R U' B'
U2 R B2 L R' U' B'
U2 R B2 L R2 U' B'
U2 R B2 L U' D B'
U2 R B2 L U' D' B'
U2 R B2 L U' D2 B'
U2 R B2 L U' B' D
U2 R B2 L U' B' D'
U2 R B2 L U' B' D2
U2 R B2 L D U' B'
U2 R B2 L D' U' B'
U2 R B2 L D2 U' B'
U2 R B2 R L U' B'
U2 R B2 R' L U' B'
U2 R B2 R2 L U' B'
L' U' F U' L B2 U'
D2 R' U D' B L2 F
D2 R' U B D' L2 F
B2 R' U2 L B2 U B
B2 R' U2 B2 L U B'
D2 R' D' U B L2 F
B2 R' D2 R' F2 U' B
B2 R' D2 F2 R' U' B
L2 U2 L2 R B2 U' B'
L' U2 L2 B2 L' U' B
L2 U2 L2 B2 R U' B
L2 U2 R L2 B2 U' B'
R' U2 R B2 L U' B'
R2 U2 R B2 L U' B'
L U2 R B2 L' U' B
R U2 R B2 L U' B'
L U2 R' B2 L' U' B
L' U2 D L U' L B'
L U2 R2 B2 L' U' B
D2 R2 L F2 R U B
B2 R2 U2 L B2 U B
L U2 B L' B U' B
B2 R2 U2 B2 L U B'
B' R2 D F' R B' U'
B' R2 D F' B' R U'
B' R2 D B' F' R U'
L2 U2 B2 L2 R U' B
L2 U2 B2 R L2 U' B
L U2 B2 L' U' D B
L U2 B2 L' U' D' B
L U2 B2 L' U' D2 B
L U2 B2 L' U' B D
L U2 B2 L' U' B D'
L U2 B2 L' U' B D2
L U2 B2 L' D U' B
L U2 B2 L' D' U' B
L U2 B2 L' D2 U' B
L U2 B2 D L' U' B
L U2 B2 D' L' U' B
L U2 B2 D2 L' U' B
B2 R2 D2 R' F2 U' B
B2 R2 D2 F2 R' U' B
L2 D L' U B' L' F2
B' R2 B' D F' R U'
L' D U2 L U' L B'
B2 U L U B2 U B
B2 U L U2 D' R2 B'
B2 U L U2 D' B' R2
B2 U L D L2 F U2
B2 U L D' U2 R2 B'
B2 U L D' U2 B' R2
B2 U L' D L2 U2 B'
B2 U L' D F L2 U2
B2 U L' D' F U2 R2
B2 U L' F U B2 U
B2 U L' F U2 D' R2
B2 U L' F D L2 U2
B2 U L' F D' U2 R2
L D F2 R U B' L2
B2 U' L D' R2 B' L'
B2 U' L D' B' L' R2
B2 U' L D' B' R2 L'
B2 U' D' R' D' R' B
B2 U' D2 R D R2 B
B2 U' D2 R' D B R2
B2 U' D2 R' B D R2
L2 D2 L F2 R2 U B
L2 D2 L' R2 F2 U B'
L2 D2 L' F2 R2 U B'
L' D2 L2 F2 R U B'
L D2 R F2 R U B'
L2 D2 R2 L' F2 U B'
L2 D2 R2 F2 L' U B'
L D2 R' F2 R U B'
L D2 R2 F2 R U B'
B2 U2 L U D' R2 B'
B2 U2 L U D' B' R2
B2 U2 L D' U R2 B'
B2 U2 L D' U B' R2
B2 U2 L B2 L U B
B2 U2 L B2 L' U B
B2 U2 L B2 L2 U B
B2 U2 L B2 U D B
B2 U2 L B2 U D' B
B2 U2 L B2 U D2 B
B2 U2 L B2 U B D
B2 U2 L B2 U B D'
B2 U2 L B2 U B D2
B2 U2 L B2 D U B
B2 U2 L B2 D' U B
B2 U2 L B2 D2 U B
B2 U2 L' B2 L2 U B'
B2 U2 L' B2 U' F U2
B2 U2 L2 B2 L' U B'
L2 D2 F2 L' R2 U B'
L2 D2 F2 R2 L' U B'
F' U2 R B2 L U' B'
F2 U2 R B2 L U' B'
L D2 F2 R U D B'
L D2 F2 R U D' B'
L D2 F2 R U D2 B'
L D2 F2 R U B' D
L D2 F2 R U B' D'
L D2 F2 R U B' D2
L D2 F2 R D U B'
L D2 F2 R D' U B'
L D2 F2 R D2 U B'
L D2 F2 D R U B'
L D2 F2 D' R U B'
L D2 F2 D2 R U B'
F U2 R B2 L U' B'
B2 U2 D' B' L U R2
D F L' U L' D F2
D F L' U2 L U' L2
B2 U2 B L B U B2
B2 U2 B' L U B' R'
B2 U2 B' D' B' L U
B2 U2 B2 L U D B'
B2 U2 B2 L U D' B'
B2 U2 B2 L U D2 B'
B2 U2 B2 L U B' D
B2 U2 B2 L U B' D'
B2 U2 B2 L U B' D2
B2 U2 B2 L D U B'
B2 U2 B2 L D' U B'
B2 U2 B2 L D2 U B'
B2 U2 B2 L' U' F U2
B2 U2 B2 U L B' L'
L' F U2 L B2 U' B2
B' D R2 F' R B' U'
B' D R2 F' B' R U'
B' D R2 B' F' R U'
B2 D F D F2 R U'
B2 D F' R U L2 U2
B2 D F' R U' D2 R2
B2 D F' R D F2 U'
B2 D F' R D2 U' R2
B2 D F' D R F2 U'
B2 D F' D2 R U' R
D F' R U' L2 D2 R2
B2 D' R' U' D' R' B
B2 D' R' D' U' R' B
B2 D' U' R' D' R' B
B2 D' U2 B' L U R2
D2 F2 R U' F' U2 F
L F2 R U D B' L2
L F2 R U2 B2 U' B
L F2 R D U B' L2
L F2 R D2 F2 U B'
B' D' B' U2 L B2 U
B D' B R' U' D' R2
B D' B R' U2 B2 U
B D' B R' D' U' R2
B D' B R' D2 F2 U'
B D' B U2 B2 L U
B D' B D' R' U' R'
B D' B D2 R' F2 U'
B D' B D2 F2 R' U'
B2 D2 R U' D R2 B
L F2 D R U B' L2
B2 D2 R D U' R2 B
B2 D2 R F2 U F U2
B2 D2 R' U' D B R2
B2 D2 R' U' B D R2
B2 D2 R' D U' B R2
B2 D2 R' F2 U' D B
B2 D2 R' F2 U' D' B
B2 D2 R' F2 U' D2 B
B2 D2 R' F2 U' B D
B2 D2 R' F2 U' B D'
B2 D2 R' F2 U' B D2
B2 D2 R' F2 D U' B
B2 D2 R' F2 D' U' B
B2 D2 R' F2 D2 U' B
L F2 D2 R F2 U B'
B2 D2 R2 F2 R U' B
B2 D2 U' R D R2 B
B2 D2 U' R' D B R2
B2 D2 U' R' B D R2
B2 D2 F R' F U' B
B2 D2 F' D' F' R U'
B2 D2 F2 R U F' U2
B2 D2 F2 R' U' D B
B2 D2 F2 R' U' D' B
B2 D2 F2 R' U' D2 B
B2 D2 F2 R' U' B D
B2 D2 F2 R' U' B D'
B2 D2 F2 R' U' B D2
B2 D2 F2 R' D U' B
B2 D2 F2 R' D' U' B
B2 D2 F2 R' D2 U' B
B2 D2 F2 U' R' B R
B2 F U2 L B2 U B
B2 F U2 B2 L U B'
B2 F D2 R' F2 U' B
B2 F D2 F2 R' U' B
D B' R2 F' R U' L2
B2 F' U2 L B2 U B
B2 F' U2 B2 L U B'
U2 B2 L' U F U2 F'
B2 F' D2 R' F2 U' B
B2 F' D2 F2 R' U' B
L B2 L' U' D' B R2
L B2 L' U2 B2 U B'
L B2 L' D' U' B R2
L B2 L' D2 F2 U' B
R' B2 U2 L B2 U B
R' B2 U2 B2 L U B'
R2 B2 U2 L B2 U B
R2 B2 U2 B2 L U B'
F' B2 U2 L B2 U B
R B2 U2 L B2 U B
B2 F2 U2 L B2 U B
R' B2 D2 R' F2 U' B
F2 B2 U2 L B2 U B
R' B2 D2 F2 R' U' B
F' B2 U2 B2 L U B'
R B2 U2 B2 L U B'
B2 F2 U2 B2 L U B'
F2 B2 U2 B2 L U B'
L B2 D' L' U' B R2
F B2 U2 L B2 U B
R2 B2 D2 R' F2 U' B
R2 B2 D2 F2 R' U' B
L B2 D2 L' F2 U' B
F B2 U2 B2 L U B'
F' B2 D2 R' F2 U' B
R B2 D2 R' F2 U' B
B2 F2 D2 R' F2 U' B
F2 B2 D2 R' F2 U' B
F' B2 D2 F2 R' U' B
R B2 D2 F2 R' U' B
B2 F2 D2 F2 R' U' B
F2 B2 D2 F2 R' U' B
F B2 D2 R' F2 U' B
F B2 D2 F2 R' U' B
