R' U L' U F' R' B'
F R U R2 U2 F' R'
F R U B R2 U2 R'
R U' R2 U2 F' R' B
F' R' U L' U F' R'
F' R' U2 F' D R' B
F2 R' U2 D F' R' B
R U' B R2 U2 R' B
F2 R' U2 F' R' D B2
F R' U2 D F' R' B2
F R' U2 F' D R' B2
F2 R' D U2 F' R' B
F R' D U2 F' R' B2
F R' D' F2 U2 R' F
F R' D' F2 U2 F R'
B2 R' F' L R' D' B2
B2 R' F' L D' R' B2
B2 R' F' R' L D' B2
U R2 F2 D' L' F B'
U R2 F2 D' L' B' F
R' F R U' R2 F2 L'
R' F R' F2 L' D B2
R' F R' F2 D L' B2
R' F R' F2 D B2 L'
R' F U' R U' R2 F2
R' F U' R U' F2 R2
R' F U2 R' F2 D B2
R' F2 U2 D R' F B
R' F2 U2 D R' B F
R' F2 U2 D F R' B
R' F2 D U2 R' F B
R' F2 D U2 R' B F
R' F2 D U2 F R' B
U2 B2 R2 D L F B'
U2 B2 R2 D L B' F
