R U R' B' U2
B' U' R U' R'
L2 R U R' U2 F
B' L U' R U' R'
L2 R B2 U' F L
B' L' U' R U' R'
R L2 U R' U2 F
U' L2 R U' R' F
U' L2 R U' F R'
B' L2 U' R U' R'
R L2 B2 U' F L
R U R B' R2 U2
R U R' D B' U2
R U R' D' B' U2
R U R' D2 B' U2
R U R' B' U2 D
R U R' B' U2 D'
R U R' B' U2 D2
R U R' B' D U2
R U R' B' D' U2
R U R' B' D2 U2
R U R2 B' R U2
R U D R' B' U2
R U D' R' B' U2
R U D2 R' B' U2
U' R L2 U' R' F
U' R L2 U' F R'
D' R U R' B' U2
D2 R U R' B' U2
B2 R U R' B U2
D R U R' B' U2
B R U R' B2 U2
B R U B2 U2 L
L2 U' R U' R' F
L2 U' R U' F R'
L U' R U' R' F'
R D U R' B' U2
R D' U R' B' U2
B' U' R U' R' D
B' U' R U' R' D'
B' U' R U' R' D2
B' U' R U' D R'
B' U' R U' D' R'
B' U' R U' D2 R'
B' U' R D U' R'
B' U' R D' U' R'
B' U' R D2 U' R'
B' U' R F U' R'
B' U' R F' U' R'
B' U' R F2 U' R'
B' U' D R U' R'
B' U' D' R U' R'
B' U' D2 R U' R'
R2 D2 R' U' L2 F
R D2 U R' B' U2
B' D U' R U' R'
B' D' U' R U' R'
B' D2 U' R U' R'
B' F U' F' R U'
D2 B' U' R U' R'
D' B' U' R U' R'
D B' U' R U' R'
F2 B' U' F2 R U'
F B' U' F' R U'
B' F2 U' F2 R U'
B2 L R U R' B U2
B L R U R' B2 U2
B L R U B2 U2 L
L2 R U R' U2 D F
L2 R U R' U2 D' F
L2 R U R' U2 D2 F
L2 R U R' U2 F D
L2 R U R' U2 F D'
L2 R U R' U2 F D2
L2 R U R' D U2 F
L2 R U R' D' U2 F
L2 R U R' D2 U2 F
L' R U D2 R' B U2
L2 R U R' B U2 F
L2 R U R' B' U2 F
L2 R U R' B2 U2 F
L2 R U D R' U2 F
L2 R U D' R' U2 F
L2 R U D2 R' U2 F
L2 R U B2 U2 F L
L2 R U' F U2 R' U2
L2 R U' F B2 L B2
L2 R U' B2 F L B2
L2 R D U R' U2 F
B' L U' R U' R' D
B' L U' R U' R' D'
B' L U' R U' R' D2
B' L U' R U' D R'
B' L U' R U' D' R'
B' L U' R U' D2 R'
B' L U' R D U' R'
B' L U' R D' U' R'
B' L U' R D2 U' R'
B' L U' R F U' R'
B' L U' R F' U' R'
D2 L U' R U' R' F'
B' L U' R F2 U' R'
D' L U' R U' R' F'
D L U' R U' R' F'
B' L U' D R U' R'
B' L U' D' R U' R'
B' L U' D2 R U' R'
L2 R D B2 U' F L
F L U' F' L' R U'
F L U' F' R L' U'
L2 R D' U R' U2 F
L' R D' B2 U' L F
L2 R D' B2 U' F L
L' R D2 U R' B U2
L2 R D2 U R' U2 F
B' L D U' R U' R'
L2 R D2 B2 U' F L
B' L D' U' R U' R'
B' L D2 U' R U' R'
B' L F U' F' R U'
L2 R B' U' D2 F L'
L2 R B' D2 U' F L'
L' R B2 L' U' F L2
B' L F2 U' F2 R U'
L R B2 L' U' L2 F
R L B2 L' U' L2 F
L R B2 L2 U' L' F
R L B2 L2 U' L' F
L' R B2 U' L' F L2
L2 R B2 U' D F L
L2 R B2 U' D' F L
L2 R B2 U' D2 F L
L2 R B2 U' F L D
L2 R B2 U' F L D'
L2 R B2 U' F L D2
L2 R B2 U' F D L
L2 R B2 U' F D' L
L2 R B2 U' F D2 L
L2 R B2 U' F' L F2
L2 R B2 U' F2 L F'
L2 R B2 D U' F L
L2 R B2 D' U' F L
L2 R B2 D2 U' F L
B2 L B U' R U' R'
R L' U D2 R' B U2
B L B2 U' R U' R'
B2 L' R U R' B U2
B L' R U R' B2 U2
B L' R U B2 U2 L
R L' D' B2 U' L F
R L' D2 U R' B U2
B' L' U' R U' R' D
B' L' U' R U' R' D'
B' L' U' R U' R' D2
B' L' U' R U' D R'
B' L' U' R U' D' R'
B' L' U' R U' D2 R'
B' L' U' R D U' R'
B' L' U' R D' U' R'
B' L' U' R D2 U' R'
B' L' U' R F U' R'
B' L' U' R F' U' R'
B' L' U' R F2 U' R'
B' L' U' D R U' R'
B' L' U' D' R U' R'
B' L' U' D2 R U' R'
B' L' D U' R U' R'
B' L' D' U' R U' R'
U' L' D2 R U' F' R'
B' L' D2 U' R U' R'
R L' B2 L' U' F L2
B' L' F U' F' R U'
R L' B2 U' L' F L2
R L2 U R' U2 D F
R L2 U R' U2 D' F
R L2 U R' U2 D2 F
R L2 U R' U2 F D
R L2 U R' U2 F D'
R L2 U R' U2 F D2
R L2 U R' D U2 F
R L2 U R' D' U2 F
R L2 U R' D2 U2 F
R L2 U R' B U2 F
R L2 U R' B' U2 F
R L2 U R' B2 U2 F
R L2 U D R' U2 F
R L2 U D' R' U2 F
R L2 U D2 R' U2 F
U2 L' F2 L' U F L2
R L2 U B2 U2 F L
B' L' F2 U' F2 R U'
R L2 U' F U2 R' U2
R L2 U' F B2 L B2
R L2 U' B2 F L B2
B2 L' B U' R U' R'
L2 R2 D R' B2 U' F
R2 L2 D R' B2 U' F
R L2 D U R' U2 F
R L2 D B2 U' F L
B L' B2 U' R U' R'
R L2 D' U R' U2 F
D2 L2 R U R' U2 F
D' L2 R U R' U2 F
U' L2 R U' R F R2
U' L2 R U' R' D F
U' L2 R U' R' D' F
U' L2 R U' R' D2 F
U' L2 R U' R' F D
U' L2 R U' R' F D'
U' L2 R U' R' F D2
U' L2 R U' D R' F
U' L2 R U' D F R'
U' L2 R U' D' R' F
U' L2 R U' D' F R'
U' L2 R U' D2 R' F
U' L2 R U' D2 F R'
U' L2 R U' F R' D
U' L2 R U' F R' D'
U' L2 R U' F R' D2
U' L2 R U' F D R'
U' L2 R U' F D' R'
U' L2 R U' F D2 R'
U' L2 R U' F' R' F2
B2 L2 R U R' B U2
U' L2 R D U' R' F
U' L2 R D U' F R'
D L2 R U R' U2 F
B L2 R U R' B2 U2
U' L2 R D' U' R' F
U' L2 R D' U' F R'
B L2 R U B2 U2 L
R L2 D' B2 U' F L
U' L2 R D2 U' R' F
U' L2 R D2 U' F R'
L2 R2 D2 R' U' F L2
R2 L2 D2 R' U' F L2
U' L2 R F' U' R' F2
U' L2 R F' U' F2 R'
U' L2 R F2 U' F' R'
D2 L2 R B2 U' F L
D' L2 R B2 U' F L
R L2 D2 U R' U2 F
D L2 R B2 U' F L
R L2 D2 B2 U' F L
D2 L2 U' R U' R' F
D2 L2 U' R U' F R'
D' L2 U' R U' R' F
D' L2 U' R U' F R'
B' L2 U' R U' R' D
B' L2 U' R U' R' D'
B' L2 U' R U' R' D2
B' L2 U' R U' D R'
B' L2 U' R U' D' R'
B' L2 U' R U' D2 R'
B' L2 U' R D U' R'
B' L2 U' R D' U' R'
B' L2 U' R D2 U' R'
B' L2 U' R F U' R'
B' L2 U' R F' U' R'
B' L2 U' R F2 U' R'
B' L2 U' D R U' R'
B' L2 U' D' R U' R'
B' L2 U' D2 R U' R'
D L2 U' R U' R' F
D L2 U' R U' F R'
F L2 U' F' R U' F2
U2 L2 U2 R U' F L2
U' L2 D R U' R' F
U' L2 D R U' F R'
B' L2 D U' R U' R'
R L2 B' U' D2 F L'
R L2 B' D2 U' F L'
U2 L2 D F2 L' U F'
U' L2 D' R U' R' F
U' L2 D' R U' F R'
B' L2 D' U' R U' R'
R L2 B2 U' D F L
R L2 B2 U' D' F L
R L2 B2 U' D2 F L
R L2 B2 U' F L D
R L2 B2 U' F L D'
R L2 B2 U' F L D2
R L2 B2 U' F D L
R L2 B2 U' F D' L
R L2 B2 U' F D2 L
R L2 B2 U' F' L F2
R L2 B2 U' F2 L F'
R L2 B2 D U' F L
R L2 B2 D' U' F L
R L2 B2 D2 U' F L
U' L2 D2 R U' R' F
U' L2 D2 R U' F R'
B' L2 D2 U' R U' R'
B' L2 F U' F' R U'
R' U R B' U' R U'
U2 L2 F2 L' U L' F'
R U R U2 D2 L2 F
B' L2 F2 U' F2 R U'
R U R D2 U2 L2 F
R U R D2 B' U2 L2
R U R B R2 B2 U2
R U R B' R2 U2 D
R U R B' R2 U2 D'
R U R B' R2 U2 D2
R U R B' R2 D U2
R U R B' R2 D' U2
R U R B' R2 D2 U2
R U R B' U2 D2 L2
R U R B' D2 U2 L2
R U R B2 R2 U2 F'
R U R' U' L2 U' F
R U R' U2 L2 F L2
R U R' D B' U2 D
R U R' D B' U2 D'
R U R' D B' U2 D2
R U R' D B' D U2
R U R' D B' D' U2
R U R' D B' D2 U2
R U R' D' B' U2 D
R U R' D' B' U2 D'
R U R' D' B' U2 D2
R U R' D' B' D U2
R U R' D' B' D' U2
R U R' D' B' D2 U2
B2 L2 B U' R U' R'
R U R' D2 B' U2 D
R U R' D2 B' U2 D'
R U R' D2 B' U2 D2
R U R' D2 B' D U2
R U R' D2 B' D' U2
R U R' D2 B' D2 U2
R U R' B U2 D2 F2
R U R' B D2 U2 F2
R U R' B2 D B U2
R U R' B2 D' B U2
R U R' B2 D2 B U2
R U R2 D R B' U2
R U R2 D B' R U2
R U R2 D' R B' U2
R' U D R B' U2 B'
R U R2 D' B' R U2
R U R2 D2 R B' U2
R U R2 D2 B' R U2
R2 U R2 B' U' R U'
R U R2 B R B2 U2
R U R2 B' R U2 D
R U R2 B' R U2 D'
R U R2 B' R U2 D2
R U R2 B' R D U2
R U R2 B' R D' U2
R U R2 B' R D2 U2
R U R2 B' D R U2
R U R2 B' D' R U2
R' U D B' R U2 B'
R U R2 B' D2 R U2
R U D R B' R2 U2
R' U D' R F2 B' U2
R' U D' R B' F2 U2
R U D R' D B' U2
R U D R' D' B' U2
R U D R' D2 B' U2
R U D R' B' U2 D
R U D R' B' U2 D'
R U D R' B' U2 D2
R U D R' B' D U2
R U D R' B' D' U2
R U D R' B' D2 U2
R U D R2 B' R U2
R' U D' F2 B' U2 L'
B L2 B2 U' R U' R'
R' U D' B' R F2 U2
R' U D' B' F2 U2 L'
B2 R L U R' B U2
R U D' R B' R2 U2
R U D' R' D B' U2
R U D' R' D' B' U2
R U D' R' D2 B' U2
R U D' R' B' U2 D
R U D' R' B' U2 D'
R U D' R' B' U2 D2
R U D' R' B' D U2
R U D' R' B' D' U2
R U D' R' B' D2 U2
B R L U R' B2 U2
R U D' R2 B' R U2
B R L U B2 U2 L
B2 R L' U R' B U2
R U D2 R B' R2 U2
R U D2 R' D B' U2
