F L U R' B' U L2
L2 R' U D2 B' L R'
L2 R' U D2 B' R' L
L2 R' D2 U B' L R'
L2 R' D2 U B' R' L
L2 R' F U B' L' R'
L2 R' F U B' R' L'
B2 L' F L2 U' L B'
R' L2 U D2 B' L R'
R' L2 U D2 B' R' L
R' L2 D2 U B' L R'
R' L2 D2 U B' R' L
R' L2 F U B' L' R'
R' L2 F U B' R' L'
D2 L2 R' B U B2 L
D2 R' L2 B U B2 L
D2 R' B U' R' F U2
D2 R' B U' F R' U2
F U D2 R' B U L'
L2 D2 R' U B' L R'
L2 D2 R' U B' R' L
L D2 R' B' U L B2
L2 F R' U B' L' R'
L2 F R' U B' R' L'
L' F B2 L U' L2 B'
F D2 U R' B U L'
L2 B2 L F U' L' B
L2 B2 L F U' B L'
L' B2 F L U' L2 B'
