U' L B2 U2 B U
U' L' F L2 B2 U'
U' L' F B2 L2 U'
U' L' B2 F L2 U'
L' U' F L2 B2 U'
L' U' F B2 L2 U'
L' U' B2 F L2 U'
L B2 U2 B U B'
L' R U' F L2 B2 U'
L' R U' F B2 L2 U'
L' R U' B2 F L2 U'
U' L R2 B2 R2 F' U'
B2 L U2 R' B' U B
U' L U2 D B' U L2
U' L U2 D2 F2 B' U
U' L U2 D2 B' F2 U
U' L U2 B' U2 B' U'
U' L D U2 B' U L2
U' L D2 U2 F2 B' U
U' L D2 U2 B' F2 U
U' L F B2 U2 B U
U' L F' B2 U2 B U
R' L B2 U2 B U B'
U' L F2 B2 U2 B U
L R B2 U2 B U B'
R2 L B2 U2 B U B'
R L B2 U2 B U B'
U' L B D' B U' R2
U' L B D2 F2 B U'
U' L B D2 B F2 U'
R' L' U' F L2 B2 U'
L' R' U' F L2 B2 U'
R' L' U' F B2 L2 U'
L' R' U' F B2 L2 U'
R2 L' U' F L2 B2 U'
R2 L' U' F B2 L2 U'
R L' U' F L2 B2 U'
R L' U' F B2 L2 U'
R' L' U' B2 F L2 U'
L' R' U' B2 F L2 U'
U' L B2 R2 F' R2 U'
U2 L B2 R2 F' U' B2
R2 L' U' B2 F L2 U'
F L B2 R2 F' U' B
R L' U' B2 F L2 U'
U' L B2 U2 D B U
U' L B2 U2 D' B U
U' L B2 U2 D2 B U
U' L B2 U2 B U D
U' L B2 U2 B U D'
U' L B2 U2 B U D2
U' L B2 U2 B D U
U' L B2 U2 B D' U
U' L B2 U2 B D2 U
F2 L B2 D R2 F' U'
U2 L B2 U2 B U B
U' L B2 D U2 B U
U' L B2 D' U2 B U
U2 L B2 D' R2 F' U'
U' L B2 D2 U2 B U
U L B2 U2 L' B U
U L B2 U2 B L' U
U' L B2 F U2 B U
U' L B2 F' U2 B U
U' L B2 F2 U2 B U
U2 L' U F L2 B2 U'
U2 L' U F B2 L2 U'
U2 L' U B2 F L2 U'
U' L' D F U' F L2
U' L' F L' B2 L' U'
U' L' F L2 U' D L2
U' L' F L2 D U' L2
U' L' F L2 B2 U' D
U' L' F L2 B2 U' D'
U' L' F L2 B2 U' D2
U' L' F L2 B2 D U'
U' L' F L2 B2 D' U'
U' L' F L2 B2 D2 U'
F2 L' F L2 B2 U' B
U2 L' F L2 B2 U' B2
U' L' F U' D L2 F2
U' L' F U' D F2 L2
U' L' F D U' L2 F2
U' L' F D U' F2 L2
L R' B2 U2 B U B'
U' L' F B L2 B U'
U' L' F B2 L2 U' D
U' L' F B2 L2 U' D'
U' L' F B2 L2 U' D2
U' L' F B2 L2 D U'
U' L' F B2 L2 D' U'
U' L' F B2 L2 D2 U'
U' L' F B2 U' D F2
U' L' F B2 D U' F2
F2 L' F B2 L2 U' B'
U2 L' F B2 L2 U' B2
U' L' F' L2 F2 B2 U'
U' L' F' L2 B2 F2 U'
U L' F B2 L2 R' U'
U L' F B2 R' L2 U'
U2 L' F' D L2 R2 F2
U2 L' F' D L2 F2 R2
U2 L' F' D R2 L2 F2
U2 L' F' D R2 F2 L2
U2 L' F' D F2 L2 R2
U2 L' F' D F2 R2 L2
U' L' F' B2 L2 F2 U'
U' L' F2 L2 F' B2 U'
U' L' F2 L2 B2 F' U'
L' R2 U' F L2 B2 U'
L' R2 U' F B2 L2 U'
L' R2 U' B2 F L2 U'
U' L' F2 B2 L2 F' U'
U' L' B F L2 B U'
U' L' B2 L2 U2 B' U
U' L' B2 D F U' F
U L' B2 R' F L2 U'
U' L' B2 F L2 U' D
U' L' B2 F L2 U' D'
U' L' B2 F L2 U' D2
U' L' B2 F L2 D U'
U' L' B2 F L2 D' U'
U' L' B2 F L2 D2 U'
U' L' B2 F U' D F2
U' L' B2 F D U' F2
F2 L' B2 F L2 U' B'
U' L' B2 F' L2 F2 U'
U' L' B2 F2 L2 F' U'
U2 L' B2 F L2 U' B2
U L' B2 F L2 R' U'
U L' B2 F R' L2 U'
L R2 B2 U2 B U B'
U' L2 B2 L F L2 U'
U' L2 B2 L' U2 B' U
L' U D2 F2 R2 B U
R' U' L B2 U2 B U
R' U' L' F L2 B2 U'
R2 U' L B2 U2 B U
R' U' L' F B2 L2 U'
R U' L B2 U2 B U
R' U' L' B2 F L2 U'
L2 U' L' F B2 U' R
R2 U' L' F L2 B2 U'
R2 U' L' F B2 L2 U'
L2 U' L' B2 F U' R
R U' L' F L2 B2 U'
R U' L' F B2 L2 U'
R2 U' L' B2 F L2 U'
R U' L' B2 F L2 U'
L' U' L2 B2 U2 B U
L U' L2 F B2 U' F'
L U' L2 B2 F U' F'
L' U' D F U' F L2
L' U' F L' B2 L' U'
L' U' F L2 U' D L2
L' U' F L2 D U' L2
