B2 L F U' R
B2 F L U' R
F B2 L U' R
B2 L U2 B' U R'
B2 L D F U' R
B2 L D' F U' R
B2 L D2 F U' R
B2 L F U' R D
B2 L F U' R D'
B2 L F U' R D2
B2 L F U' D R
B2 L F U' D' R
B2 L F U' D2 R
B2 L F D U' R
B2 L F D' U' R
B2 L F D2 U' R
B2 L F' U L' U2
F L B2 L U' R
B2 L' F L2 U' R
F L' B2 L U' R
F' L2 B2 L U' R'
F L2 B2 L U' R
B2 U2 B' U R' F'
B2 D L F U' R
L' F B2 L U' R
L2 F B2 L U' R
L F B2 L U' R
B2 D F L U' R
B2 D' L F U' R
B2 D' F L U' R
B2 D2 L F U' R
B2 D2 F L U' R
B2 F L U' R D
B2 F L U' R D'
B2 F L U' R D2
B2 F L U' D R
B2 F L U' D' R
B2 F L U' D2 R
B2 F L D U' R
B2 F L D' U' R
B2 F L D2 U' R
B2 F D L U' R
B2 F D' L U' R
B2 F D2 L U' R
B2 F' L U L2 U2
B2 F' L U' D2 R2
B2 F' L D F2 U'
B2 F' L D2 U' R2
L' B2 L F U' R
L2 B2 L F U' R
L B2 L F U' R
F' B2 L U L2 U2
F' B2 L U' D2 R2
F' B2 L D F2 U'
F' B2 L D2 U' R2
B2 F2 L F' U' R
F2 B2 L F' U' R
F B2 L U' R D
F B2 L U' R D'
F B2 L U' R D2
F B2 L U' D R
F B2 L U' D' R
F B2 L U' D2 R
F B2 L D U' R
F B2 L D' U' R
F B2 L D2 U' R
L' B2 F L U' R
L2 B2 F L U' R
L B2 F L U' R
F B2 D L U' R
F B2 D' L U' R
F B2 D2 L U' R
B2 L R F R' U' R2
B2 L R2 F R2 U' R'
B2 L U L U' F U'
B2 L U L' U B' U
B2 L U' R U' B U
B2 L U' R' U F' U'
U L U' F B2 L U'
U L U' B2 F L U'
B2 L U2 D B' U R'
B2 L U2 D' B' U R'
B2 L U2 D2 B' U R'
B2 L U2 B U' L U2
B2 L U2 B' U R' D
B2 L U2 B' U R' D'
B2 L U2 B' U R' D2
B2 L U2 B' U D R'
B2 L U2 B' U D' R'
B2 L U2 B' U D2 R'
B2 L U2 B' D U R'
B2 L U2 B' D' U R'
B2 L U2 B' D2 U R'
B2 L D U2 B' U R'
B2 L D F U' R D
B2 L D F U' R D'
B2 L D F U' R D2
B2 L D F U' D R
B2 L D F U' D' R
B2 L D F U' D2 R
B2 L D F D U' R
B2 L D F D' U' R
B2 L D F D2 U' R
B2 L D F' U L' U2
B2 L D' U2 B' U R'
B2 L D' F U' R D
B2 L D' F U' R D'
B2 L D' F U' R D2
B2 L D' F U' D R
B2 L D' F U' D' R
B2 L D' F U' D2 R
B2 L D' F D U' R
B2 L D' F D' U' R
B2 L D' F D2 U' R
B2 L D' F' U L' U2
B2 L D2 U2 B' U R'
B2 L D2 F U' R D
B2 L D2 F U' R D'
B2 L D2 F U' R D2
B2 L D2 F U' D R
B2 L D2 F U' D' R
B2 L D2 F U' D2 R
B2 L D2 F D U' R
B2 L D2 F D' U' R
B2 L D2 F D2 U' R
B2 L D2 F' U L' U2
B2 L F U L U2 R
B2 L F U L' U2 R
B2 L F U L2 U2 R
B2 L F U' R2 D R'
B2 L F U' R2 D' R'
B2 L F U' R2 D2 R'
B2 L F U' D R D
B2 L F U' D R D'
B2 L F U' D R D2
B2 L F U' D' R D
B2 L F U' D' R D'
B2 L F U' D' R D2
B2 L F U' D2 R D
B2 L F U' D2 R D'
B2 L F U' D2 R D2
B2 L F U' B R B'
B2 L F U' B2 R B2
B2 L F U2 B U R
B2 L F U2 B' U R
B2 L F U2 B2 U R
B2 L F D U' R D
B2 L F D U' R D'
B2 L F D U' R D2
B2 L F D' U' R D
B2 L F D' U' R D'
B2 L F D' U' R D2
B2 L F D2 U' R D
B2 L F D2 U' R D'
B2 L F D2 U' R D2
B L F B L U' R
B2 L F' U L' U2 D
B2 L F' U L' U2 D'
B2 L F' U L' U2 D2
B2 L F' U L' D U2
B2 L F' U L' D' U2
B2 L F' U L' D2 U2
B2 L F' U D L' U2
B2 L F' U D' L' U2
B2 L F' U D2 L' U2
B2 L F' U' F2 R F2
B2 L F' D U L' U2
B2 L F' D F2 U' R
B2 L F' D' U L' U2
B2 L F' D' F2 U' R
B2 L F' D2 U L' U2
B2 L F' D2 F2 U' R
F2 L F' B2 L U' R
B2 L F2 U' F' R F
B L B L F U' R
B L B F L U' R
F' L B2 L U L U2
F2 L B2 L F' U' R
F L B2 L U' R D
F L B2 L U' R D'
F L B2 L U' R D2
F L B2 L U' D R
F L B2 L U' D' R
F L B2 L U' D2 R
F L B2 L D U' R
F L B2 L D' U' R
F L B2 L D2 U' R
F' L B2 D L F2 U'
F' L B2 D F2 L U'
F' L B2 D2 L U' R2
F L B2 D L U' R
F L B2 D' L U' R
F L B2 D2 L U' R
F2 L B2 F' L U' R
F' L' U' B2 L U' B2
B2 L' D F U' R F
B2 L' F L2 U' R D
B2 L' F L2 U' R D'
B2 L' F L2 U' R D2
B2 L' F L2 U' D R
B2 L' F L2 U' D' R
B2 L' F L2 U' D2 R
B2 L' F L2 D U' R
B2 L' F L2 D' U' R
B2 L' F L2 D2 U' R
B2 L' F U' R D F2
B2 L' F U' D R F2
B2 L' F D U' R F2
B L' F B L U' R
B2 L' F' L2 U L U2
B2 L' F' U' D F2 R
B2 L' F' D U' F2 R
F2 L' F' B2 L U' R
B2 L' F2 L2 F' U' R
B L' B L F U' R
B L' B F L U' R
F' L' B2 L U L' U2
F' L' B2 L F2 U' R
F2 L' B2 L F' U' R
F L' B2 L U' R D
F L' B2 L U' R D'
F L' B2 L U' R D2
F L' B2 L U' D R
F L' B2 L U' D' R
F L' B2 L U' D2 R
F L' B2 L D U' R
F L' B2 L D' U' R
F L' B2 L D2 U' R
F2 L' B2 F' L U' R
F L' B2 D L U' R
F L' B2 D' L U' R
F L' B2 D2 L U' R
B2 L2 D L' F U' R
B2 L2 D' L' F U' R
B2 L2 D2 L' F U' R
B2 L2 F U' R' F' R2
F' L2 F B2 L U' R'
B L2 F B L U' R
F' L2 F' B2 L U' R'
F2 L2 F' B2 L U' R
F' L2 F2 B2 L U' R'
B L2 B L F U' R
R U R' B2 L F U'
B L2 B F L U' R
R2 U R2 B2 L F U'
F' L2 B2 L U' R' D
F' L2 B2 L U' R' D'
F' L2 B2 L U' R' D2
F' L2 B2 L U' D R'
F' L2 B2 L U' D' R'
F' L2 B2 L U' D2 R'
F' L2 B2 L D U' R'
F' L2 B2 L D' U' R'
F' L2 B2 L D2 U' R'
F' L2 B2 L F U' R'
F' L2 B2 L F' U' R'
F' L2 B2 L F2 U' R'
F2 L2 B2 L F' U' R
F L2 B2 L U' R D
F L2 B2 L U' R D'
F L2 B2 L U' R D2
F L2 B2 L U' D R
F L2 B2 L U' D' R
F L2 B2 L U' D2 R
F L2 B2 L D U' R
F L2 B2 L D' U' R
F L2 B2 L D2 U' R
F' L2 B2 D L U' R'
F' L2 B2 D' L U' R'
F' L2 B2 D2 L U' R'
F' L2 B2 F L U' R'
F' L2 B2 F' L U' R'
F' L2 B2 F2 L U' R'
F2 L2 B2 F' L U' R
F L2 B2 D L U' R
F L2 B2 D' L U' R
F L2 B2 D2 L U' R
B2 R L F R' U' R2
F R U R' B2 L U'
U' R U' B R2 F' U
B2 R F L R' U' R2
B2 R F R' L U' R2
U' R B R2 F' U B'
R U' R' F' B2 L U'
R U' R' B2 L F' U'
R U' R' B2 F' L U'
U' R' U F' B2 U' F
U' R' U B2 F' U' F
U2 R' U2 F B2 U' R
F R' U2 R B2 U' R
U2 R' U2 B2 F U' R
F R' U2 B2 R U' R
U2 R' D B' U L2 R'
U2 R' D B' U R' L2
F' R' D2 F2 L' U R
U2 R' D2 F2 B' U R'
U2 R' D2 B' F2 U R'
B2 R2 L F R2 U' R'
R' U2 B' R B' U' R2
R' U2 B2 D' R F' U'
B2 R2 F L R2 U' R'
B2 R2 F R2 L U' R'
B2 U L U' F U' F'
F' U L' U' B2 L U'
B2 U L' U' L2 F U'
B2 U L2 U' L' F U'
U2 D R' B' U L2 R'
U2 D R' B' U R' L2
B2 U' R' U L F' U'
B2 U' R' U F' L U'
F U' R D L2 D2 F2
F U' R D' F2 D2 L2
F U' D L2 R D' F2
F U' D R L2 D' F2
F U' D' R D' F2 L'
F U' D2 R D' L2 F2
F U' D2 R D' F2 L2
D2 U2 R' F2 B' U R'
D2 U2 R' B' F2 U R'
U2 D2 R' F2 B' U R'
U2 D2 R' B' F2 U R'
F U' B2 L U' R B2
F U' B2 L U' B2 R
D U2 R' B' U L2 R'
D U2 R' B' U R' L2
D2 U2 F2 R' B' U R'
U2 D2 F2 R' B' U R'
B2 U2 R B' U R' F'
F' U2 R' D2 F2 U R
B2 U2 R' B' U R' F'
F U2 R' U R2 D L2
F U2 R' U2 B2 U' R2
F U2 R' D B2 U L2
B2 U2 R2 B' U R' F'
F2 U2 D R' B U L2
B2 U2 D B' U R' F'
B2 U2 D' B' U R' F'
F U2 D R' U L2 R2
F U2 D R' U R2 L2
L' F L B2 L U' R
F' U2 D2 R' F2 U R
F' U2 D2 F2 R' U R2
L2 F L B2 L U' R
B2 U2 D2 B' U R' F'
L' F L' B2 L U' R
F U2 D2 R' F2 U R2
L2 F L' B2 L U' R
L F L B2 L U' R
L' F L2 B2 L U' R
L2 F L2 B2 L U' R
L F L' B2 L U' R
L F L2 B2 L U' R
B2 U2 B' U R' D F'
B2 U2 B' U R' D' F'
B2 U2 B' U R' D2 F'
B2 U2 B' U R' F' D
B2 U2 B' U R' F' D'
B2 U2 B' U R' F' D2
B2 U2 B' U D R' F'
B2 U2 B' U D' R' F'
B2 U2 B' U D2 R' F'
B2 U2 B' U F R' F'
B2 U2 B' U F' R' F'
B2 U2 B' U F2 R' F'
B2 U2 B' D U R' F'
B2 U2 B' D' U R' F'
B2 U2 B' D2 U R' F'
R F R' B2 L U' R2
B2 U2 B2 R' B U R'
D' F U' R D' F2 L'
B2 U2 B2 D' R' B U
B2 D L U2 B' U R'
B2 D L D F U' R
D2 F U2 R' F U R2
B2 D L D' F U' R
B2 D L D2 F U' R
D F U' L2 R D' F2
B2 D L F U' R D
B2 D L F U' R D'
B2 D L F U' R D2
B2 D L F U' D R
B2 D L F U' D' R
B2 D L F U' D2 R
B2 D L F D U' R
B2 D L F D' U' R
B2 D L F D2 U' R
B2 D L F' U L' U2
D F U' R L2 D' F2
B2 D L' F L2 U' R
D F U2 R' U L2 R2
D F U2 R' U R2 L2
D' F D B2 L U' R
R2 F D L2 R F' B2
R2 F D L2 R B2 F'
R2 F D L2 B2 R F'
R2 F D R L2 F' B2
R2 F D R L2 B2 F'
R2 F D R F' L2 B2
R2 F D R F' B2 L2
R2 F D R B2 L2 F'
R2 F D R B2 F' L2
R2 F D B2 L2 R F'
R2 F D B2 R L2 F'
R2 F D B2 R F' L2
D F D' B2 L U' R
L' F B2 L U' R D
L' F B2 L U' R D'
L' F B2 L U' R D2
L' F B2 L U' D R
L' F B2 L U' D' R
L' F B2 L U' D2 R
L' F B2 L D U' R
L' F B2 L D' U' R
L' F B2 L D2 U' R
L2 F B2 L U' R D
L2 F B2 L U' R D'
L2 F B2 L U' R D2
L2 F B2 L U' D R
L2 F B2 L U' D' R
L2 F B2 L U' D2 R
L2 F B2 L D U' R
L2 F B2 L D' U' R
L2 F B2 L D2 U' R
L' F B2 D L U' R
L' F B2 D' L U' R
L' F B2 D2 L U' R
D F B2 L U' L R
D F B2 L U' R L
L2 F B2 D L U' R
L2 F B2 D' L U' R
L2 F B2 D2 L U' R
L F B2 L U' R D
L F B2 L U' R D'
L F B2 L U' R D2
L F B2 L U' D R
L F B2 L U' D' R
L F B2 L U' D2 R
L F B2 L D U' R
L F B2 L D' U' R
L F B2 L D2 U' R
F2 D U2 R' B U L2
F D U' L2 R D' F2
L F B2 D L U' R
F D U' R L2 D' F2
L F B2 D' L U' R
B2 D U2 B' U R' F'
L F B2 D2 L U' R
B2 D F L U' R D
B2 D F L U' R D'
B2 D F L U' R D2
B2 D F L U' D R
B2 D F L U' D' R
B2 D F L U' D2 R
B2 D F L D U' R
B2 D F L D' U' R
B2 D F L D2 U' R
B2 D F D L U' R
B2 D F D' L U' R
B2 D F D2 L U' R
F D U2 R' U L2 R2
F D U2 R' U R2 L2
B2 D F' L U L2 U2
B2 D F' L U' D2 R2
B2 D F' L D F2 U'
B2 D F' L D2 U' R2
L' F' L2 B2 L U' R'
B D F B L U' R
L2 F' L2 B2 L U' R'
B2 D F2 L F' U' R
L F' L2 B2 L U' R'
B D B L F U' R
B D B F L U' R
F D B2 L U' L R
F D B2 L U' R L
B2 D' L U2 B' U R'
B2 D' L D F U' R
B2 D' L D' F U' R
B2 D' L D2 F U' R
B2 D' L F U' R D
B2 D' L F U' R D'
B2 D' L F U' R D2
B2 D' L F U' D R
B2 D' L F U' D' R
B2 D' L F U' D2 R
B2 D' L F D U' R
B2 D' L F D' U' R
B2 D' L F D2 U' R
B2 D' L F' U L' U2
B2 D' L' F L2 U' R
L' F' B2 L U L2 U2
L' F' B2 L U' D2 R2
L' F' B2 L D F2 U'
L' F' B2 L D2 U' R2
L2 F' B2 L U L2 U2
L2 F' B2 L U' D2 R2
L2 F' B2 L D F2 U'
L2 F' B2 L D2 U' R2
L F' B2 L U L2 U2
L F' B2 L U' D2 R2
L F' B2 L D F2 U'
L F' B2 L D2 U' R2
B2 D' U2 B' U R' F'
F D' U' R D' F2 L'
B2 D' F L U' R D
B2 D' F L U' R D'
B2 D' F L U' R D2
B2 D' F L U' D R
B2 D' F L U' D' R
B2 D' F L U' D2 R
B2 D' F L D U' R
B2 D' F L D' U' R
B2 D' F L D2 U' R
