B L F' R U' F2
F' L B R U' F
U' F' L' B R U'
U' F' B L' R U'
U' F' B R L' U'
L F' B R U' F2
U F' B L R U'
U F' B R L U'
U B L F' R U'
F' B L R U' F
F' B R L U' F
U' B F' L' R U'
U' B F' R L' U'
L B F' R U' F2
U B F' L R U'
U B F' R L U'
B F' L R U' F
B F' R L U' F
F' L R U' D' F L'
F' L R D' U' F L'
F' L D B R U' F
F' L D' B R U' F
F' L D2 B R U' F
D' L F B' D L2 R2
D' L F B' D R2 L2
U' L F' L' B R U'
B L F' L R U' F2
B L F' L' R U' F2
B' L F' R B2 U' F2
B L F' L2 R U' F2
B L F' R L U' F2
B L F' R L' U' F2
B L F' R L2 U' F2
B L F' R U' F2 D
B L F' R U' F2 D'
B L F' R U' F2 D2
B L F' R D' L2 U'
D2 L F' B R' U' F2
D' L F' B U' F2 B2
D' L F' B U' B2 F2
U' L F' B L' R U'
B L F' D' L2 R U'
U' L F' B R L' U'
B L F' D' R L2 U'
B' L F' B2 R U' F2
U L F' B L R U'
U L F' B R L U'
F' L B R U' D F
F' L B R U' D' F
F' L B R U' D2 F
F' L B R U' F D
F' L B R U' F D'
F' L B R U' F D2
F' L B R D U' F
F' L B R D' U' F
F' L B R D2 U' F
U L B L F' R U'
F' L B D R U' F
F' L B D' R U' F
F' L B D2 R U' F
D2 L B F' R' U' F2
D' L B F' U' F2 B2
D' L B F' U' B2 F2
U' L B F' L' R U'
U' L B F' R L' U'
U L B F' L R U'
U L B F' R L U'
F' L B' R B2 U' F
D' L B' F D L2 R2
D' L B' F D R2 L2
F' L B2 R B' U' F
B' L B2 F' R U' F2
U' L' F' L' B R U'
B L' F' L2 R U' F
B L' F' R L2 U' F
B L' F' R U B' U2
U' L' F' B L' R U'
U' L' F' B R L' U'
U L' F' B L R U'
U L' F' B R L U'
F' L' B R U B2 U2
F' L' B R U' D2 F2
F' L' B R D L2 U'
F' L' B R D2 U' F2
U L' B L F' R U'
F' L' B D L2 R U'
F' L' B D R L2 U'
F' L' B D2 R U' F2
U' L' B F' L' R U'
U' L' B F' R L' U'
U L' B F' L R U'
U L' B F' R L U'
F' L2 D2 B R U' F'
U' L2 F' L' B R U'
B L2 F' L' R U' F
B L2 F' R L' U' F
U' L2 F' B L' R U'
U' L2 F' B R L' U'
B L2 F' D2 R U' F'
U L2 F' B L R U'
U L2 F' B R L U'
F' L2 B L' R U' F
F' L2 B R L' U' F
U L2 B L F' R U'
F' L2 B D2 R U' F'
U' L2 B F' L' R U'
U' L2 B F' R L' U'
U L2 B F' L R U'
U L2 B F' R L U'
F' R L U' D' F L'
F' R L D' U' F L'
L U F' B R U' F2
L U B F' R U' F2
F' R D' L U' F L'
F' R D2 L B' U' F
L U' F' B R U' F2
L U' B F' R U' F2
L U2 F' B R U' F2
L U2 B F' R U' F2
D' U F' B L U' B'
D2 U F' B L R' U'
D2 U F' B R' L U'
D' U B L F' U' B'
D2 U B L F' R' U'
D' U B F' L U' B'
D2 U B F' L R' U'
D2 U B F' R' L U'
F U F2 B L R U'
F U F2 B R L U'
F U B F2 L R U'
F U B F2 R L U'
D2 U' F' L' B R' U'
D2 U' F' B L' R' U'
D2 U' F' B R' L' U'
U D' F' B L U' B'
D2 U' B F' L' R' U'
D2 U' B F' R' L' U'
U D' B L F' U' B'
U D' B F' L U' B'
B' U' F' L' R B2 U'
B' U' F' L' B2 R U'
B' U' F' R L' B2 U'
B' U' F' R B2 L' U'
B2 U' F' R B' L' U'
B' U' F' B2 L' R U'
B' U' F' B2 R L' U'
B2 U' F' B' L' R U'
B2 U' F' B' R L' U'
B U' F' L' R U' L
B U' F' R L' U' L
F' U' B R U' R' F'
B2 U' B' F' L' R U'
B2 U' B' F' R L' U'
B' U' B2 F' L' R U'
B' U' B2 F' R L' U'
U' D2 F' L' B R' U'
U' D2 F' B L' R' U'
U' D2 F' B R' L' U'
D2 U2 F' B R' U' F'
U2 D2 F' B R' U' F'
U D2 F' B L R' U'
U D2 F' B R' L U'
L D2 F' B R' U' F2
U' D2 B F' L' R' U'
U' D2 B F' R' L' U'
D2 U2 B F' R' U' F'
U2 D2 B F' R' U' F'
U D2 B L F' R' U'
U D2 B F' L R' U'
U D2 B F' R' L U'
L D2 B F' R' U' F2
F' D L B R U' F
L F U F2 B R U'
L F U B F2 R U'
U' F' L B L2 R U'
U' F' L B R L2 U'
D2 F' L B R' U' F
D' F' L B U' F B2
D' F' L B U' B2 F
U' F' L' D B R U'
U' F' L' D' B R U'
U' F' L' D2 B R U'
U' F' L' B R U' D
U' F' L' B R U' D'
U' F' L' B R U' D2
U' F' L' B R D U'
U' F' L' B R D' U'
U' F' L' B R D2 U'
U' F' L' B D R U'
U' F' L' B D' R U'
U' F' L' B D2 R U'
U' F' L' B' R B2 U'
U' F' L' B2 R B' U'
L2 F' L' B R U' F
U F' L B L R U'
U F' L B R L U'
L F' L B R U' F2
L' F' L2 B R U' F
U F' L' B L R U'
U F' L' B R L U'
L F' L' B R U' F2
U F' L2 B L R U'
U F' L2 B R L U'
F' D B L R U' F
L F' L2 B R U' F2
F' D B R L U' F
F' D' L B R U' F
U' F' D L' B R U'
U' F' D B L' R U'
U' F' D B R L' U'
B D' L F' U' F2 B'
B D' L F' U' B' F2
U' F' D' L' B R U'
U' F' D' B L' R U'
U' F' D' B R L' U'
U' F' D2 L' B R U'
U' F' D2 B L' R U'
U' F' D2 B R L' U'
U F' D B L R U'
U F' D B R L U'
U' F' B L' R U' D
U' F' B L' R U' D'
U' F' B L' R U' D2
U' F' B L' R D U'
U' F' B L' R D' U'
U' F' B L' R D2 U'
U' F' B L' D R U'
U' F' B L' D' R U'
U' F' B L' D2 R U'
U' F' B R L' U' D
U' F' B R L' U' D'
U' F' B R L' U' D2
U' F' B R L' D U'
U' F' B R L' D' U'
U' F' B R L' D2 U'
U' F' B R D L' U'
D2 F' B L R' U' F
U' F' B R D' L' U'
U' F' B R D2 L' U'
D' F' B L U' F B'
D' F' B L U' B' F
L F' D' L2 B R U'
D2 F' B R' L U' F
U' F' B D L' R U'
U' F' B D R L' U'
L' F' B R U B2 U2
L' F' B R U' D2 F2
L' F' B R D L2 U'
L' F' B R D2 U' F2
U' F' B D' L' R U'
U' F' B D' R L' U'
U' F' B D2 L' R U'
U' F' B D2 R L' U'
L2 F' D2 B R U' F'
U' F' B' L' R B2 U'
U' F' B' L' B2 R U'
U F' D' B L R U'
U F' D' B R L U'
U' F' B' R L' B2 U'
L F' D' B L2 R U'
L F' D' B R L2 U'
L' F' B D L2 R U'
