R' L' U L2 U2 L
L' R' U L2 U2 L
R' L' U' D2 L' R2
R' L' U' D2 R2 L'
L' R' U' D2 L' R2
L' R' U' D2 R2 L'
L' R' D2 U' L' R2
L' R' D2 U' R2 L'
R' L' D2 U' L' R2
R' L' D2 U' R2 L'
L U' L2 R' U' L'
L U' R' L2 U' L'
D' R' B2 L' U' R'
R' D' B2 L' U' R'
L' D2 R' U' L' R'
L' D2 R' U' R' L'
R' B2 L' U' L' R'
R' B2 L' U' R' L'
R2 L U' L2 R U' L'
L R U' L2 R2 U' L'
R2 L U' R L2 U' L'
R L U' L2 R2 U' L'
L R U' R2 L2 U' L'
R L U' R2 L2 U' L'
D2 L R2 U' L2 R U'
D2 L R2 U' R L2 U'
L R U2 D L F2 B2
L R U2 D L B2 F2
L R U2 D F2 L B2
R L U2 D L F2 B2
R L U2 D L B2 F2
R L U2 D F2 L B2
B2 L U R' D L F2
B2 L U R' D F2 L
B2 L U D L R' F2
B2 L U D L F2 R'
B2 L U D R' L F2
B2 L U D R' F2 L
B2 L U D F2 L R'
B2 L U D F2 R' L
L R D L F2 R B2
L R D L F2 B2 R
L R D L B2 F2 R
R L D L F2 R B2
R L D L F2 B2 R
R L D L B2 F2 R
L R D U2 L F2 B2
L R D U2 L B2 F2
D' L U' L2 R' B2 U'
U' L U' L2 R' U' L'
L R D U2 F2 L B2
U2 L U' L2 R' U' L'
D' L U' R' L2 B2 U'
R L D U2 L F2 B2
R L D U2 L B2 F2
U' L U' R' L2 U' L'
R L D U2 F2 L B2
U2 L U' R' L2 U' L'
D' L U' R' B2 L2 U'
U L U' L2 R' U' L'
F L U' R' U' L F'
F L U' R' U' F' L
U L U' R' L2 U' L'
B2 L U2 L2 U' L' R'
B2 L U2 L2 U' R' L'
L R D' F2 B2 R' U2
R L D' F2 B2 R' U2
L R D' B2 R' F2 U2
L R D' B2 F2 R' U2
R L D' B2 R' F2 U2
R L D' B2 F2 R' U2
B' L D L F2 B' R'
B' L D L B' R' F2
B' L D L B' F2 R'
B2 L D U L R' F2
B2 L D U L F2 R'
B2 L D U R' L F2
B2 L D U R' F2 L
B2 L D U F2 L R'
B2 L D U F2 R' L
B' L D F2 L B' R'
B2 L D2 R2 U L R
B2 L D2 R2 U R L
L' R' U L2 R U2 L
R' L' U L2 R U2 L
L' R' U L2 R' U2 L
R' L' U L2 R' U2 L
L' R' U L2 R2 U2 L
R' L' U L2 R2 U2 L
R' L' U L2 U2 L D
R' L' U L2 U2 L D'
L' R' U L2 U2 L D
R' L' U L2 U2 L D2
L' R' U L2 U2 L D'
L' R' U L2 U2 L D2
R' L' U L2 U2 D L
L' R' U L2 U2 D L
R' L' U L2 U2 D' L
L' R' U L2 U2 D' L
R' L' U L2 U2 D2 L
L' R' U L2 U2 D2 L
R' L' U L2 D U2 L
L' R' U L2 D U2 L
R' L' U L2 D' U2 L
L' R' U L2 D' U2 L
L' R' U L2 D2 U2 L
R' L' U L2 D2 U2 L
L' R' U R L2 U2 L
R' L' U R L2 U2 L
R' L' U R' L2 U2 L
L' R' U R' L2 U2 L
L' R' U R2 L2 U2 L
R' L' U R2 L2 U2 L
L' R' U' L' U2 L' U2
R' L' U' L' U2 L' U2
L' R' U' L' F2 R F2
R' L' U' L' F2 R F2
R' L' U' R D2 L' R2
R' L' U' R D2 R2 L'
L' R' U' R D2 L' R2
L' R' U' R D2 R2 L'
R' L' U' R' D2 L' R2
R' L' U' R' D2 R2 L'
L' R' U' R' D2 L' R2
L' R' U' R' D2 R2 L'
R' L' U' R2 D2 L' R2
R' L' U' R2 D2 R2 L'
L' R' U' R2 D2 L' R2
L' R' U' R2 D2 R2 L'
R' L' U' D L' D R2
L' R' U' D L' D R2
R' L' U' D' L' D' R2
L' R' U' D' L' D' R2
R' L' U' D2 L' R2 D
R' L' U' D2 L' R2 D'
R' L' U' D2 L' R2 D2
L' R' U' D2 L' R2 D
L' R' U' D2 L' R2 D'
L' R' U' D2 L' R2 D2
R' L' U' D2 R2 L' D
R' L' U' D2 R2 L' D'
R' L' U' D2 R2 L' D2
R' L' U' D2 R2 D L'
R' L' U' D2 R2 D' L'
R' L' U' D2 R2 D2 L'
