B U2 R' F' B2 U'
B U2 R' B2 F' U'
L2 F L B' L U
L2 F B' L B' U
U2 B R' F' B2 U'
U2 B R' B2 F' U'
L' B' L U2 B' U'
L' B' L' F L2 U
L2 B' F L B' U
B L U2 R' F B2 U'
B L U2 R' B2 F U'
B' L U2 F U2 F' U
B2 L U2 F B R U'
B L U2 F R' B2 U'
B2 L U2 B F R U'
B' L B U2 F B' U'
B' L B U2 B' F U'
B' L B' U2 F B U'
B' L B' U2 B F U'
B' L B2 U2 F B2 U'
B' L B2 U2 B2 F U'
D2 L' D' B' U L B'
U L' D' B' L R' B
U L' D' B' R' L B
D2 L' F B' L' F U
B' L' B L2 F B2 U
B' L' B L2 B2 F U
F' L' B' L U2 B' U'
D2 L' B' L' F L' U
F' L' B' L' F L2 U
F2 L' B' L U2 B' U'
B' L' B' L2 U2 B U'
F2 L' B' L' F L2 U
F L' B' L U2 B' U'
F L' B' L' F L2 U
B2 L' B' U2 R' B2 U'
D2 L' B' F L' F U
D2 L2 F L B' L2 U
D2 L2 F L' U2 F U'
F' L2 F L B' L U
F2 L2 F L B' L U
F L2 F L B' L U
F' L2 F B' L B' U
F2 L2 F B' L B' U
F L2 F B' L B' U
F' L2 B' F L B' U
F2 L2 B' F L B' U
F L2 B' F L B' U
U2 R B' U2 L B2 U
B R B2 L R2 F U'
B R B2 L F R2 U'
B R B2 R2 L F U'
B' R' U2 L R B U
B' R' U2 R L B U
U2 R' D2 F' R B' U'
U2 R' D2 F' B' R U'
U2 R' D2 B' F' R U'
U2 R' F' B R' B2 U'
U2 R' F' B' U2 L U
L U2 R F B R' U'
L U2 R B R' F U'
L U2 R B F R' U'
U2 R' B F' R' B2 U'
U2 R' B' F' U2 L U
B R' B2 U2 R B U
L U2 F R B R' U'
L2 D F U' L' F U2
L2 D' F U R' B R'
L2 D' F U B R' B
L2 D' F B U R' B
U2 D' R' F' B' U' B2
U2 D' R' B' F' U' B2
L2 D' B F U R' B
L' D' B' U D2 L B'
L' D' B' D2 U L B'
U2 D' B' R' F' U' B
U2 D' B' U' B' R' B
D' U2 R' F' B' U' B2
D2 U2 R' F' R B' U'
D2 U2 R' F' B' R U'
D' U2 R' B' F' U' B2
D2 U2 R' B' F' R U'
U2 D2 R' F' R B' U'
U2 D2 R' F' B' R U'
U2 D2 R' B' F' R U'
D' U2 B' R' F' U' B
D2 U2 B' R' F' R U'
D' U2 B' U' B' R' B
B U2 R' D F' U' L2
B U2 R' F' U' D L2
B U2 R' F' D U' L2
U2 D2 B' R' F' R U'
B U2 R' F' B2 U' D
B U2 R' F' B2 U' D'
B U2 R' F' B2 U' D2
B U2 R' F' B2 D U'
B U2 R' F' B2 D' U'
B U2 R' F' B2 D2 U'
B U2 R' B2 D F' U'
B U2 R' B2 D' F' U'
B U2 R' B2 D2 F' U'
B U2 R' B2 F' U' D
B U2 R' B2 F' U' D'
B U2 R' B2 F' U' D2
B U2 R' B2 F' D U'
B U2 R' B2 F' D' U'
B U2 R' B2 F' D2 U'
B U2 R2 B2 R F' U'
B U2 D R' F' U' L2
D2 F L' D' B' U L
L2 F L B' L U D
L2 F L B' L U D'
L2 F L B' L U D2
L2 F L B' L D U
L2 F L B' L D' U
L2 F L B' L D2 U
L2 F L B' D L U
L2 F L B' D' L U
L2 F L B' D2 L U
D2 F L2 F L B' U
B U2 F R' F' B2 U'
B U2 F R' B2 F' U'
B U2 F' R' F' B2 U'
B U2 F' R' B2 F' U'
F' U2 B R' F' B2 U'
F' U2 B R' B2 F' U'
B U2 F2 R' F' B2 U'
B U2 F2 R' B2 F' U'
F2 U2 B R' F' B2 U'
F2 U2 B R' B2 F' U'
F U2 B R' F' B2 U'
F U2 B R' B2 F' U'
L2 F U D' R' B R'
L2 F U D' B R' B
L2 F D' U R' B R'
L2 F D' U B R' B
L2 F D' B U R' B
L' F B' L U2 B' U'
U2 F B R' F' B2 U'
U2 F B R' B2 F' U'
L' F B' L' F L2 U
L2 F B' L D B' U
L2 F B' L D' B' U
L2 F B' L D2 B' U
L2 F B' L B' U D
L2 F B' L B' U D'
L2 F B' L B' U D2
L2 F B' L B' D U
L2 F B' L B' D' U
L2 F B' L B' D2 U
L2 F' L F2 B' L U
L2 F' L B' L F2 U
L2 F' L B' F2 L U
B D U2 R' F' U' L2
L' F' B' L U2 B' U'
U2 F' B R' F' B2 U'
U2 F' B R' B2 F' U'
L' F' B' L' F L2 U
L2 F' B' L F2 B' U
L2 F' B' L B' F2 U
L2 F2 L F' B' L U
L2 F2 L B' L F' U
L2 F2 L B' F' L U
D2 F2 U2 B' R' F' U'
L' F2 B' L U2 B' U'
L' F2 B' L' F L2 U
U2 F2 B R' F' B2 U'
U2 F2 B R' B2 F' U'
L2 F2 B' L F' B' U
L2 F2 B' L B' F' U
L' B L' F B2 L U
L' B L' B2 F L U
L' B L2 B2 L F U
U2 B R' D F' U' L2
B D2 F2 U2 R' F' U'
U2 B R' F' U' D L2
U2 B R' F' D U' L2
U2 B R' F' B2 U' D
U2 B R' F' B2 U' D'
U2 B R' F' B2 U' D2
U2 B R' F' B2 D U'
U2 B R' F' B2 D' U'
U2 B R' F' B2 D2 U'
U B R D B2 L2 R'
U B R D B2 R' L2
U2 B R' B2 D F' U'
U2 B R' B2 D' F' U'
U2 B R' B2 D2 F' U'
U2 B R' B2 F' U' D
U2 B R' B2 F' U' D'
U2 B R' B2 F' U' D2
