B U' R2 F' L' B'
B2 L F U R2 D' F2
D L F B2 L R' U
B2 L F B' U R2 F'
D L F B2 R' L U
B2 L B' F U R2 F'
D L B2 R' F L U
D L B2 F L R' U
D L B2 F R' L U
D2 L' R' B' U' F2 R
B2 L' U L2 F U R2
R' L' B' U B' L U2
L' R' B' U B' L U2
B2 L2 U L' F U R2
D L2 D2 R' F2 B U'
D L2 D2 R' B F2 U'
D L2 D2 F2 R' B U'
B R U R F' B L
B R U R B L F'
B R U R B F' L
B R U' R F' L' B'
R' U B' R' B' L U2
D' R F2 L' R2 B' U'
D' R F2 L' B' R2 U'
D' R F2 R2 L' B' U'
R' U' R' D2 F' L' F'
R' U' R' F D2 F2 L'
R' U' R' F' L' D2 F2
R' U' R' F' D2 L' F2
U2 R B R2 U' F' R'
R' U' D2 R' F' L' F'
R' U' D2 F' L' F' R'
R' U' F R' D2 L2 F2
R' U' F R' D2 F2 L2
D2 R' L' B' U' F2 R
R' U' F D2 F2 L' R'
R' U' F D2 F2 R' L'
R' U' F' L' R' D2 F2
R' U' F' L' D2 R' F2
R' U' F' L' D2 F2 R'
R' U' F' R' L' D2 F2
R' U' F' R' D2 L' F2
R' U' F' D2 L' R' F2
R' U' F' D2 L' F2 R'
R' U' F' D2 R' L' F2
D' R' F2 U2 R' F' U
D' R2 U2 R F2 B U'
D' R2 U2 R B F2 U'
L' D R' B' L2 F U'
B2 U L B U L R2
B2 U L B U R2 L
B U R B L R F'
B U R B R L F'
B U R B R F' L
B U' L' R2 F' B' L'
B U' L' R2 B' F' L'
B U' R2 L' F' B' L'
B U' R2 L' B' F' L'
B U' R2 D F' L' B'
B U' R2 D' F' L' B'
B U' R2 D2 F' L' B'
B U' R2 F' L' D B'
B U' R2 F' L' D' B'
B U' R2 F' L' D2 B'
B U' R2 F' L' B' D
B U' R2 F' L' B' D'
B U' R2 F' L' B' D2
B U' R2 F' D L' B'
B U' R2 F' D' L' B'
B U' R2 F' D2 L' B'
B U' R2 F' B L' B'
B U' R2 F' B' L' B'
B U' R2 F' B2 L' B'
B U' R2 B F' L' B'
B U' R2 B' F' L' B'
B U' R2 B2 F' L' B'
B U' F' L' R2 F' B'
B U' F' L' R2 B' F'
B U' F' R2 L' F' B'
B U' F' R2 L' B' F'
R' D2 U' R' F' L' F'
R' D2 U' F' L' F' R'
R' D2 F' U' F' L' R'
R' D2 F' U' F' R' L'
D' F2 R' U2 R' F' U
B2 D2 L2 U L' F U
R B R2 U' F' L' R'
R B R2 U' F' R' L'
F' B U' R2 F' L' B'
F2 B U' R2 F' L' B'
B F U' R2 F' L' B'
F B U' R2 F' L' B'
R' B' U B' L R' U2
R' B' U B' R' L U2
B F' U' R2 F' L' B'
D B2 L F U2 L U'
U' B2 U L F U R2
L B2 U F L U R2
D B2 D L F U F
B F2 U' R2 F' L' B'
D B2 D2 L R2 F U
D B2 D2 L F R2 U
D B2 D2 R2 L F U
