R' D' B2 D2 L2 F
L2 R U F' R2 D L2
L2 R U2 B2 U' F' R2
L2 R D B2 U L2 F'
L2 R D B2 U F' L2
R2 L B2 R' U' F' R2
D2 L' D R' F B2 L
D2 L' D R' B2 F L
D2 L' D F R' B2 L
D2 L' D' R' F L2 B'
D2 L' D' F L2 R' B'
D2 L' D' F R' L2 B'
R L2 U F' R2 D L2
R L2 U2 B2 U' F' R2
R L2 D B2 U L2 F'
R L2 D B2 U F' L2
D2 L2 D R' B2 L F
L R2 B2 R' U' F' R2
L2 U R F' R2 D L2
B2 R U' D' F' B2 R'
B2 R U' D' B2 F' R'
B2 R U' F' D' B2 R'
R' U B2 U2 L2 U F
B2 R D' U' F' B2 R'
B2 R D' U' B2 F' R'
D2 R F2 L' U R2 F
D2 R F2 L' U F R2
U' R' D' B2 D2 L2 F
F' R' D' B2 D2 L2 F
F2 R' D' B2 D2 L2 F
U2 R' D' B2 D2 L2 F
F R' D' B2 D2 L2 F
U R' D' B2 D2 L2 F
D' R' F B2 L D F2
R' U2 D F2 B U2 L2
R' U2 D B F2 U2 L2
D' R' B2 L2 D' L' F
R' U2 D' R2 U2 F' B2
R' U2 D' R2 U2 B2 F'
D' R' B2 D' L' F L2
R' U2 D' B R2 F' U2
D' R' B2 F L D F2
D' R2 U2 B2 D R F'
D2 R2 D2 B2 U' R F'
R' D L2 R2 F' R2 B
R' D L2 U2 F2 B U2
R' D L2 U2 B F2 U2
R' D L2 B' D2 F2 B2
R' D L2 B' D2 B2 F2
R2 D L2 R' F' R2 B
R D L2 F' D' R2 B
R2 D R' L2 F' R2 B
R' D R2 L2 F' R2 B
R2 D R' F' L2 R2 B
R2 D R' F' R2 L2 B
R2 D R' F' R2 B L2
R' D R2 F' L2 R2 B
R' D R2 F' R2 L2 B
R' D R2 F' R2 B L2
R' D U2 F2 B U2 L2
R' D U2 B F2 U2 L2
R' D F L2 B' D2 F2
R' D F B2 L2 F B'
R' D F B2 L2 B' F
R D F' L2 D' R2 B
R' D B' L2 D2 F2 B2
R' D B' L2 D2 B2 F2
R' D B2 L2 D2 F B2
R' D B2 L2 D2 B2 F
R' D B2 F L2 F B'
R' D B2 F L2 B' F
R' D' L B2 D2 L2 F
R' D' L' B2 D2 L2 F
R' D' L2 B2 D2 L2 F
R' D' R2 U2 F' R2 B2
R' D' R2 U2 F' B2 R2
R' D' R2 U2 B2 F' R2
R2 D' R' F' B2 L R2
R2 D' R' F' B2 R2 L
R2 D' R' B2 L F' R2
R2 D' R' B2 F' L R2
R2 D' R' B2 F' R2 L
R' D' U2 R2 U2 F' B2
R' D' U2 R2 U2 B2 F'
R' D' U2 B R2 F' U2
R' D' F B2 D2 L2 F
R' D' F' B2 D2 L2 F
R' D' F2 B2 D2 L2 F
B2 U' R D' F' B2 R'
B2 U' R D' B2 F' R'
B2 U' R F' D' B2 R'
R' D' B R2 U2 R2 B
R' D' B R2 F' U2 R2
R' D' B D2 B L2 F
R' D' B' D2 F2 B' L2
R' D' B' D2 B' L2 F2
R' D' B' D2 B' F2 L2
B2 U' R2 D' B2 R' F'
R' D' B2 L2 D2 F L2
R' D' B2 L2 F D2 L2
R' D' B2 U2 R2 B' U2
R' D' B2 U2 B' R2 U2
R' D' B2 D2 L2 D F
R' D' B2 D2 L2 D' F
R' D' B2 D2 L2 D2 F
R' D' B2 D2 L2 F D
R' D' B2 D2 L2 F D'
R' D' B2 D2 L2 F D2
R' D' B2 D2 F L2 F
R' D' B2 D2 F' L2 F
R' D' B2 D2 F2 L2 F
R' D' B2 F D2 L2 F
R' D' B2 F' D2 L2 F
R' D' B2 F2 D2 L2 F
L' D2 L' F2 U F' R'
B2 U2 L2 U F2 R F'
D' F L' U' R' B2 L
D' F R' B2 L D F2
R' F D' B2 D2 L2 F
D' F' R U R2 B2 L
D' F' R' B2 L D' F2
D' F' R' B2 D' L F2
D' F' R' B2 D' F2 L
R F' R' D' R' B2 L
R F' R2 D L2 D2 B2
R F' R2 D' B2 D2 L2
R' F' D' B2 D2 L2 F
L' F2 R B2 U' F' R2
B2 D' F2 U' B2 R' F'
L' F2 R' D B2 L2 F
D' F2 U R' B2 L F
D' F2 U' R' F' B2 L
D' F2 U' R' B2 L F'
D' F2 U' R' B2 F' L
R F2 R2 D F L2 B'
R' F2 D' B2 D2 L2 F
B2 D2 R2 U L B' U2
R B' L2 F U R2 F2
R B' L2 F U F2 R2
L B2 R' U L B U2
R' B2 U' L2 U F L2
R B2 U' F' R2 D' B2
R B2 U2 L2 U F' R2
R B2 D' F2 U' F B2
R B2 D' F2 U' B2 F
