D' R F D R2 B2 L
D' R F' R2 U' L' F2
R2 U' R B U' R' F
R2 U' R B U' F R'
U' R B R2 U' R F
D' R' U2 B U F L
D2 R' F' U' L' R F2
D2 R' F' U' R L' F2
F' R' B U' L' R' F2
F' R' B U' L' F2 R'
F' R' B U' R' L' F2
U2 R' B U' R' F L
U2 R' B U' F L R'
U2 R' B U' F R' L
R' U2 B U R' F L
R' U2 B U F L R'
R' U2 B U F R' L
R2 D' R F' U' L' F2
R' D2 F' U' L' R F2
R' D2 F' U' R L' F2
D2 F' L' R F2 D B2
D2 F' R L' F2 D B2
D2 F' R' U' L' R2 F2
D2 F' R' U' L' F2 R2
D2 F' R' U' R2 L' F2
R' F' B U' L' R' F2
R' F' B U' L' F2 R'
R' F' B U' R' L' F2
R' B U' R' F D' L2
R' B F' U' L' R' F2
R' B F' U' L' F2 R'
R' B F' U' R' L' F2
F' B U' L' R' F2 B'
F' B U' L' R' B' F2
F' B U' L' F2 R' B'
F' B U' R' L' F2 B'
F' B U' R' L' B' F2
B F' U' L' R' F2 B'
B F' U' L' R' B' F2
B F' U' L' F2 R' B'
B F' U' R' L' F2 B'
B F' U' R' L' B' F2
