U L F2 B' L2 R'
U L F2 B' R' L2
U L B' L2 R' F2
U L B' L2 F2 R'
U L B' R' L2 F2
U L B' R' F2 L2
U L B' F2 L2 R'
U L B' F2 R' L2
L F U' F B' L2
L F U' B' F L2
L' F2 R2 B D' R2
L' F2 B D' R2 B
L' B F2 D' R2 B
U L R F2 B' L2 R'
U L R F2 B' R' L2
U L R B' L2 R' F2
U L R B' L2 F2 R'
U L R B' R' L2 F2
U L R B' R' F2 L2
U L R B' F2 L2 R'
U L R B' F2 R' L2
U L R' F2 B' L2 R'
U L R' F2 B' R' L2
U L R' B' L2 R' F2
U L R' B' L2 F2 R'
U L R' B' R' L2 F2
U L R' B' R' F2 L2
U L R' B' F2 L2 R'
U L R' B' F2 R' L2
U L R2 F2 B' L2 R'
U L R2 F2 B' R' L2
U L R2 B' L2 R' F2
U L R2 B' L2 F2 R'
U L R2 B' R' L2 F2
U L R2 B' R' F2 L2
U L R2 B' F2 L2 R'
U L R2 B' F2 R' L2
U2 L U' F2 B' L2 R'
U2 L U' F2 B' R' L2
U2 L U' B' L2 R' F2
U2 L U' B' L2 F2 R'
U2 L U' B' R' L2 F2
U2 L U' B' R' F2 L2
U2 L U' B' F2 L2 R'
U2 L U' B' F2 R' L2
U' L U2 F2 B' L2 R'
U' L U2 F2 B' R' L2
U' L U2 B' L2 R' F2
U' L U2 B' L2 F2 R'
U' L U2 B' R' L2 F2
U' L U2 B' R' F2 L2
U' L U2 B' F2 L2 R'
U' L U2 B' F2 R' L2
R' L F U' F B' L2
R' L F U' B' F L2
R2 L F U' F B' L2
L R F U' F B' L2
R2 L F U' B' F L2
L R F U' B' F L2
R L F U' F B' L2
R L F U' B' F L2
L' R F2 R2 B D' R2
L' R F2 B D' R2 B
U' L F R F B' L2
U' L F R B' F L2
F' L F U' B' L' F2
B' L F U' F B' L2
B' L F U' B' F L2
B2 L F U' F B' L2
B2 L F U' B' F L2
B L F U' F B' L2
B L F U' B' F L2
U' L F B' R F L2
U L F B' R' F L2
L' R B F2 D' R2 B
U L F' B' L2 F' R'
U L F2 R B' L2 R'
U L F2 R B' R' L2
U L F2 R' B' L2 R'
U L F2 R' B' R' L2
U L F2 R2 B' L2 R'
U L F2 R2 B' R' L2
U L F2 B' L2 R' D
U L F2 B' L2 R' D'
U L F2 B' L2 R' D2
U L F2 B' L2 D R'
U L F2 B' L2 D' R'
U L F2 B' L2 D2 R'
U L F2 B' R' L2 D
U L F2 B' R' L2 D'
U L F2 B' R' L2 D2
U L F2 B2 L2 B R'
U L B L2 F2 R B2
U L B L2 F2 B2 R
U L B L2 B2 F2 R
U' L B' L2 F R F
U L B' L R' F2 L
U L B' L F2 L R'
U L B' L F2 R' L
U L B' L2 R F2 R2
U L B' L2 R' F2 D
U L B' L2 R' F2 D'
U L B' L2 R' F2 D2
U L B' L2 F R' F
U L B' L2 F2 R' D
U L B' L2 F2 R' D'
U L B' L2 F2 R' D2
U L B' L2 F2 D R'
U L B' L2 F2 D' R'
U L B' L2 F2 D2 R'
U L B' R L2 F2 R2
U L B' R F2 L2 R2
U L B' R F2 R2 L2
U L B' R' L F2 L
U L B' R' L2 F2 D
U L B' R' L2 F2 D'
U L B' R' L2 F2 D2
U L B' R' F' L2 F'
U L B' R' F2 L2 D
U L B' R' F2 L2 D'
U L B' R' F2 L2 D2
U' L B' F R F L2
U L B' F R' F L2
U L B' F' L2 F' R'
U L B' F2 L2 R' D
U L B' F2 L2 R' D'
U L B' F2 L2 R' D2
U L B' F2 L2 D R'
U L B' F2 L2 D' R'
U L B' F2 L2 D2 R'
U L B' F2 R' L2 D
U L B' F2 R' L2 D'
U L B' F2 R' L2 D2
U L B2 L2 F2 B R'
U L B2 L2 B R' F2
U L B2 L2 B F2 R'
U L B2 F2 L2 B R'
D2 L' R' B D' R2 F'
L R' F U' F B' L2
L R' F U' B' F L2
U' L' U2 F U2 F R
U L' U2 F U2 R F
R' L' F2 R2 B D' R2
L' R' F2 R2 B D' R2
R2 L' F2 R2 B D' R2
R L' F2 R2 B D' R2
R' L' F2 B D' R2 B
L' R' F2 B D' R2 B
R2 L' F2 B D' R2 B
R L' F2 B D' R2 B
R' L' B F2 D' R2 B
L' R' B F2 D' R2 B
R2 L' B F2 D' R2 B
R L' B F2 D' R2 B
U' L' F R' F R2 B
B' L' F2 R2 B D' R2
U' L' F2 R2 D2 B R'
U2 L' F2 R2 D B R'
B2 L' F2 R2 B D' R2
U' L' F2 U2 F' U2 R
B L' F2 R2 B D' R2
U L' F2 R' B' R' B
U' L' F2 D2 R2 B R'
B' L' F2 B D' R2 B
U L' F2 R2 B' R' B2
B2 L' F2 B D' R2 B
U L' F2 U2 F' L' U2
B L' F2 B D' R2 B
U L' F2 B' R2 B R
U L' F2 B2 R2 B R'
B' L' B F2 D' R2 B
B2 L' B F2 D' R2 B
B L' B F2 D' R2 B
U L' B' R F2 R2 B
U L' B' F2 R2 B R
U L' B2 F2 R2 B R'
L R2 F U' F B' L2
L R2 F U' B' F L2
L' R2 F2 R2 B D' R2
L' R2 F2 B D' R2 B
L' R2 B F2 D' R2 B
R' U L F2 B' L2 R'
R' U L F2 B' R' L2
R' U L B' L2 R' F2
R' U L B' L2 F2 R'
R' U L B' R' L2 F2
R' U L B' R' F2 L2
R' U L B' F2 L2 R'
R' U L B' F2 R' L2
R2 U L F2 B' L2 R'
R2 U L F2 B' R' L2
R2 U L B' L2 R' F2
R2 U L B' L2 F2 R'
R2 U L B' R' L2 F2
R2 U L B' R' F2 L2
R2 U L B' F2 L2 R'
R2 U L B' F2 R' L2
R U L F2 B' L2 R'
R U L F2 B' R' L2
R U L B' L2 R' F2
R U L B' L2 F2 R'
R U L B' R' L2 F2
R U L B' R' F2 L2
R U L B' F2 L2 R'
R U L B' F2 R' L2
L' U L2 F U' F B'
L' U L2 F U' B' F
U L2 F2 L' B' L2 R'
U L2 F2 L' B' R' L2
L' U D' L2 F U' B'
U R L F2 B' L2 R'
U R L F2 B' R' L2
U R L B' L2 R' F2
U R L B' L2 F2 R'
U R L B' R' L2 F2
U R L B' R' F2 L2
U R L B' F2 L2 R'
U R L B' F2 R' L2
L U F U' F B' L2
L U F U' B' F L2
D2 R' L' B D' R2 F'
U R' L F2 B' L2 R'
U R' L F2 B' R' L2
U R' L B' L2 R' F2
U R' L B' L2 F2 R'
U R' L B' R' L2 F2
U R' L B' R' F2 L2
U R' L B' F2 L2 R'
U R' L B' F2 R' L2
L U' F U' F B' L2
L U' F U' B' F L2
L' U' B' L2 U F2 B'
L' U' B' L2 U B' F2
L' U' B' U' F U2 F
L' U2 F U B' U F
U R2 L F2 B' L2 R'
U R2 L F2 B' R' L2
U R2 L B' L2 R' F2
U R2 L B' L2 F2 R'
U R2 L B' R' L2 F2
U R2 L B' R' F2 L2
U R2 L B' F2 L2 R'
U R2 L B' F2 R' L2
L U2 F U' F B' L2
L U2 F U' B' F L2
B' U L F2 B' L2 R'
B' U L F2 B' R' L2
B' U L B' L2 R' F2
B' U L B' L2 F2 R'
B' U L B' R' L2 F2
B' U L B' R' F2 L2
B' U L B' F2 L2 R'
B' U L B' F2 R' L2
B2 U L F2 B' L2 R'
B2 U L F2 B' R' L2
B2 U L B' L2 R' F2
B2 U L B' L2 F2 R'
B2 U L B' R' L2 F2
B2 U L B' R' F2 L2
B2 U L B' F2 L2 R'
B2 U L B' F2 R' L2
B U L F2 B' L2 R'
B U L F2 B' R' L2
B U L B' L2 R' F2
B U L B' L2 F2 R'
B U L B' R' L2 F2
B U L B' R' F2 L2
B U L B' F2 L2 R'
B U L B' F2 R' L2
L D F2 R2 B U B2
L' D B D' F2 R2 B
L' D' L2 F U' B' L2
L' D' U L2 F U' B'
L D' F B2 L2 U' B
L D' B2 F L2 U' B
L F R U' F B' L2
L F R U' B' F L2
L F R' U' F B' L2
L F R' U' B' F L2
L F R2 U' F B' L2
L F R2 U' B' F L2
L F U' F B L2 B2
L F U' F B' L2 D
L F U' F B' L2 D'
L F U' F B' L2 D2
L F U' F B2 L2 B
L F U' F' B' L2 F2
L F U' F2 B' L2 F'
L F U' B F L2 B2
L F U' B' F L2 D
L F U' B' F L2 D'
L F U' B' F L2 D2
L F U' B' F' L2 F2
L F U' B' F2 L2 F'
L F U' B2 F L2 B
L F D' B2 U' F B
L F D' B2 U' B F
L' F B D' F R2 B
L F B U' F L2 B2
L F B U' F B2 L2
L F B U' B2 F L2
U' F' L' F U2 L' F2
L F B2 U' F L2 B
L F B2 U' F B L2
L F B2 U' B F L2
L F' B' L2 D F' R2
U F2 L B' R' D2 L2
L' F2 R2 U' B' U B2
L' F2 R2 D B D' R2
L' F2 R2 D' B D' R2
L' F2 R2 D2 B D' R2
L' F2 R2 B R D' R2
L' F2 R2 B R' D' R2
L' F2 R2 B R2 D' R2
L' F2 R2 B U' B2 U
L' F2 R2 B D' R2 D
L' F2 R2 B D' R2 D'
L' F2 R2 B D' R2 D2
L F2 R2 B' L2 D' R2
L' F2 U' B' U' F' U2
L F2 U F' U' B' L2
L' F2 U2 F' U B' U
L' F2 D R2 B D' R2
L' F2 D B D' R2 B
L' F2 D' R2 B D' R2
L' F2 D' B D' R2 B
L' F2 D2 R2 B D' R2
L' F2 D2 B D' R2 B
L' F2 B R2 D' B R2
L' F2 B D' R2 D B
L' F2 B D' R2 D' B
L' F2 B D' R2 D2 B
L' F2 B D' R2 B D
L' F2 B D' R2 B D'
L' F2 B D' R2 B D2
L' F2 B D' B R2 B
L' F2 B D' B' R2 B
L' F2 B D' B2 R2 B
L F2 B' L2 U F' U'
L F2 B' U F' U' L2
U B L U2 F2 B' L2
U B L U2 B' L2 F2
U B L U2 B' F2 L2
U B L' F2 D2 R2 B
L' B R F2 D' R2 B
L' B R' F2 D' R2 B
L' B R2 F2 D' R2 B
L' B F D' F R2 B
L' B F2 R2 D' B R2
L' B F2 D' R2 D B
L' B F2 D' R2 D' B
L' B F2 D' R2 D2 B
L' B F2 D' R2 B D
L' B F2 D' R2 B D'
L' B F2 D' R2 B D2
L' B F2 D' B R2 B
L' B F2 D' B' R2 B
L' B F2 D' B2 R2 B
L B F U' F L2 B2
L B F U' F B2 L2
L B F U' B2 F L2
U B' L R' F2 B' L2
U B' L R' B' L2 F2
U B' L R' B' F2 L2
L' B' L2 U F2 B' L2
L' B' L2 U B' L2 F2
L' B' L2 U B' F2 L2
U B' L F2 R' B' L2
U B' L' R F2 R2 B
U B' L' F2 R2 B R
L B' L2 U' B' U F2
L B' L2 F2 U' B' U
U B' R L' F2 R2 B
U B' R' L F2 B' L2
U B' R' L B' L2 F2
U B' R' L B' F2 L2
L B' U F U' F L2
L B' F' L2 D F' R2
L B' F2 L2 U F' U'
L B' F2 U F' U' L2
U B2 L B' L2 F2 R
U B2 L' F2 R2 B R'
L B2 L2 F2 B D' R2
L B2 L2 B F2 D' R2
L B2 F U' F L2 B
L B2 F U' F B L2
L B2 F U' B F L2
