B' L F2 B' U F'
B' L B' F2 U F'
L F2 B' L U F'
F2 B' L B' U F
L B' F2 L U F'
B' F2 L B' U F
B' L R F2 B' U F'
B' L R B' F2 U F'
D' L R' F L B R'
B' L R' F2 B' U F'
B' L R' B' F2 U F'
B' L R2 F2 B' U F'
B' L R2 B' F2 U F'
B' L D' B' U F L2
D' L F L R' B R'
D' L F L B R' B
D' L F R' L B R'
R' L F2 B' L U F'
R2 L F2 B' L U F'
L R F2 B' L U F'
R L F2 B' L U F'
D L F' R F2 B' L'
D L F' R B' F2 L'
F' L F' B' L U F2
D L F' B' R F2 L'
R' L B' F2 L U F'
R2 L B' F2 L U F'
L R B' F2 L U F'
R L B' F2 L U F'
B' L F2 D B' U F'
B' L F2 D' B' U F'
B' L F2 D2 B' U F'
B' L F2 B' U D F'
B' L F2 B' U D' F'
B' L F2 B' U D2 F'
B' L F2 B' U F' D
B' L F2 B' U F' D'
B' L F2 B' U F' D2
B' L F2 B' D U F'
B' L F2 B' D' U F'
B' L F2 B' D2 U F'
U L F2 B' L R' U
U L F2 B' R' L U
B' L B' R F2 U F'
U L B' L R' F2 U
U L B' L F2 R' U
B' L B' R' F2 U F'
B' L B' R2 F2 U F'
B' L B' U D' F L2
U L B' R' L F2 U
U L B' R' F2 L U
B' L B' D' U F L2
F' L B' F' L U F2
D L B' F' R F2 L'
B' L B' F2 U D F'
B' L B' F2 U D' F'
B' L B' F2 U D2 F'
B' L B' F2 U F' D
B' L B' F2 U F' D'
B' L B' F2 U F' D2
B' L B' F2 D U F'
B' L B' F2 D' U F'
B' L B' F2 D2 U F'
U L B' F2 L R' U
U L B' F2 R' L U
D L' R2 F B' L' U2
D L' R2 B' F L' U2
L R' F2 B' L U F'
L R' B' F2 L U F'
D L' F R2 B' L' U2
D L' F B' L' R2 U2
D L' F B' R2 L' U2
D L' B' R2 F L' U2
D L' B' F L' R2 U2
D L' B' F R2 L' U2
L R2 F2 B' L U F'
L R2 B' F2 L U F'
B' R L F2 B' U F'
B' R L B' F2 U F'
L U F2 B' L U F'
L U B' F2 L U F'
B' R F2 L B' U F
F2 R B' L B' U F
D' R' L F L B R'
B' R' L F2 B' U F'
B' R' L B' F2 U F'
D' R' U2 L2 B R' F'
L U' F2 B' L U F'
D' R' U2 B L2 R' F'
D' R' U2 B R' L2 F'
D' R' U2 B R' F' L2
L U' B' F2 L U F'
B' R' F2 L B' U F
D' R' B L R' F L
D' R' B L F L R'
D' R' B L F R' L
D' R' B R' L F L
F2 R' B' L B' U F
B' R2 L F2 B' U F'
B' R2 L B' F2 U F'
D R2 L' F B' L' U2
D R2 L' B' F L' U2
L U2 F2 B' L U F'
L U2 B' F2 L U F'
D R2 F L' F B' U2
D R2 F L' B' F U2
B' R2 F2 L B' U F
F2 R2 B' L B' U F
B' U L F2 B' R' U
B' U L B' R' F2 U
B' U L B' F2 R' U
B' U F2 L B' R' U
U2 D' L2 R' F' B R'
U2 D' L2 R' B F' R'
U2 D' L2 B R' F' B
U2 D' L2 B R' B F'
U2 D' R' L2 F' B R'
U2 D' R' L2 B F' R'
U2 D' R' F' L2 B R'
U2 D' R' F' B L2 R'
U2 D' R' F' B R' L2
U2 D' R' B L2 F' R'
U2 D' R' B F' L2 R'
U2 D' R' B F' R' L2
U2 D' B L2 R' F' B
U2 D' B L2 R' B F'
U2 D' B R' L2 F' B
U2 D' B R' L2 B F'
U2 D' B R' F' L2 B
U2 D' B R' F' B L2
U2 D' B R' B L2 F'
U2 D' B R' B F' L2
D' U2 L2 R' F' B R'
D' U2 L2 R' B F' R'
D' U2 L2 B R' F' B
D' U2 L2 B R' B F'
D' U2 R' L2 F' B R'
D' U2 R' L2 B F' R'
D' U2 R' F' L2 B R'
D' U2 R' F' B L2 R'
D' U2 R' F' B R' L2
D' U2 R' B L2 F' R'
D' U2 R' B F' L2 R'
D' U2 R' B F' R' L2
D' U2 B L2 R' F' B
D' U2 B L2 R' B F'
D' U2 B R' L2 F' B
D' U2 B R' L2 B F'
D' U2 B R' F' L2 B
D' U2 B R' F' B L2
D' U2 B R' B L2 F'
D' U2 B R' B F' L2
D F L' R2 F B' U2
D F L' R2 B' F U2
D F L' F R2 B' U2
D F L' F B' R2 U2
D F L' B' R2 F U2
D F L' B' F R2 U2
D F R2 L' F B' U2
D F R2 L' B' F U2
L F U' F B' L U
L F U' B' F L U
L F' B' L F' U F'
U F2 L B' L R' U
U F2 L B' R' L U
R' F2 B' L B' U F
R2 F2 B' L B' U F
D' B L R' F L B
U F2 B' L R' B' U
L F2 B' L U D F'
L F2 B' L U D' F'
L F2 B' L U D2 F'
L F2 B' L U F' D
L F2 B' L U F' D'
L F2 B' L U F' D2
L F2 B' L D U F'
L F2 B' L D' U F'
L F2 B' L D2 U F'
D' B L F L R' B
