U2 R B' U' R'
U2 B' R U' R2
U2 R D B' U' R'
U2 R D' B' U' R'
U2 R D2 B' U' R'
U2 R F B' U' R'
U2 R F' B' U' R'
U2 R F2 B' U' R'
U2 R B' U' R' D
U2 R B' U' R' D'
U2 R B' U' R' D2
U2 R B' U' D R'
U2 R B' U' D' R'
U2 R B' U' D2 R'
U2 R B' D U' R'
U2 R B' D' U' R'
U2 R B' D2 U' R'
U2 R B' F U' R'
U2 R B' F' U' R'
U2 R B' F2 U' R'
U2 R' B' R2 U' R
U2 D R B' U' R'
U2 D B' R U' R2
U2 D' R B' U' R'
U2 D' B' R U' R2
D2 U2 R B' U' R'
U2 D2 R B' U' R'
D' U2 R B' U' R'
D U2 R B' U' R'
D' U2 B' R U' R2
U2 D2 B' R U' R2
D2 U2 B' R U' R2
D U2 B' R U' R2
L2 F2 L' F' U R
U2 B R B2 U' R'
U2 B' R U' R2 D
U2 B' R U' R2 D'
U2 B' R U' R2 D2
U2 B' R D' F2 U'
U2 B' R F U' R2
U2 B' R F' U' R2
U2 B' R F2 U' R2
U2 B' U' R' D B2
U2 B' D R U' R2
U2 B' D' R U' R2
U2 B' D' R U' R2
U2 B' D2 R U' R2
U L R F U' F' L'
F2 L2 D' F L B' U
F2 L2 F L U D2 R2
F2 L2 F L U' L2 U2
F2 L2 F L D' B2 U
F2 L2 F L D2 U R2
D2 L2 F2 L' F' U R
D' L2 F2 L' F' U R
D L2 F2 L' F' U R
U R L F U' F' L'
B' R U2 R' B' U R'
U2 R D F B' U' R'
U2 R D F' B' U' R'
U2 R D F2 B' U' R'
U2 R D B' U' R' D
U2 R D B' U' R' D'
U2 R D B' U' R' D2
U2 R D B' U' D R'
U2 R D B' U' D' R'
U2 R D B' U' D2 R'
U2 R D B' D U' R'
U2 R D B' D' U' R'
U2 R D B' D2 U' R'
U2 R D B' F U' R'
U2 R D B' F' U' R'
U2 R D B' F2 U' R'
U2 R D' F B' U' R'
U2 R D' F' B' U' R'
U2 R D' F2 B' U' R'
U2 R D' B' U' R' D
U2 R D' B' U' R' D'
U2 R D' B' U' R' D2
U2 R D' B' U' D R'
U2 R D' B' U' D' R'
U2 R D' B' U' D2 R'
U2 R D' B' D U' R'
U2 R D' B' D' U' R'
U2 R D' B' D2 U' R'
U2 R D' B' F U' R'
U2 R D' B' F' U' R'
U2 R D' B' F2 U' R'
U2 R D2 F B' U' R'
U2 R D2 F' B' U' R'
U2 R D2 F2 B' U' R'
U2 R D2 B' U' R' D
U2 R D2 B' U' R' D'
U2 R D2 B' U' R' D2
U2 R D2 B' U' D R'
U2 R D2 B' U' D' R'
U2 R D2 B' U' D2 R'
U2 R D2 B' D U' R'
U2 R D2 B' D' U' R'
U2 R D2 B' D2 U' R'
U2 R D2 B' F U' R'
U2 R D2 B' F' U' R'
U2 R D2 B' F2 U' R'
B' R F U' R D' F2
B' R F U2 R' U R2
U2 R F D B' U' R'
U2 R F D' B' U' R'
U2 R F D2 B' U' R'
U2 R F B' U' R' D
U2 R F B' U' R' D'
U2 R F B' U' R' D2
U2 R F B' U' D R'
U2 R F B' U' D' R'
U2 R F B' U' D2 R'
U2 R F B' D U' R'
U2 R F B' D' U' R'
U2 R F B' D2 U' R'
B R F B2 L U' R
U2 R F' D B' U' R'
U2 R F' D' B' U' R'
U2 R F' D2 B' U' R'
U2 R F' B' U' R' D
U2 R F' B' U' R' D'
U2 R F' B' U' R' D2
U2 R F' B' U' D R'
U2 R F' B' U' D' R'
U2 R F' B' U' D2 R'
U2 R F' B' D U' R'
U2 R F' B' D' U' R'
U2 R F' B' D2 U' R'
U R F' B' U' F R
U2 R F2 D B' U' R'
U2 R F2 D' B' U' R'
U2 R F2 D2 B' U' R'
U2 R F2 B' U' R' D
U2 R F2 B' U' R' D'
U2 R F2 B' U' R' D2
U2 R F2 B' U' D R'
U2 R F2 B' U' D' R'
U2 R F2 B' U' D2 R'
U2 R F2 B' D U' R'
U2 R F2 B' D' U' R'
U2 R F2 B' D2 U' R'
U' R B' U' D' R2 F'
U2 R B' U L U2 R'
U2 R B' U L' U2 R'
U2 R B' U L2 U2 R'
U' R B' D' U' R2 F'
U2 R B' U' R2 D R
U2 R B' U' R2 D' R
U2 R B' U' R2 D2 R
U2 R B' U' D R' D
U2 R B' U' D R' D'
U2 R B' U' D R' D2
U2 R B' U' D' R' D
U2 R B' U' D' R' D'
U2 R B' U' D' R' D2
U2 R B' U' D2 R' D
U2 R B' U' D2 R' D'
U2 R B' U' D2 R' D2
U2 R B' U' F' R' F
U2 R B' U' F2 R' F2
U R B' L F U' F'
U2 R B' D U' R' D
U2 R B' D U' R' D'
U2 R B' D U' R' D2
U2 R B' D F U' R'
U2 R B' D F' U' R'
U2 R B' D F2 U' R'
U2 R B' D' U' R' D
U2 R B' D' U' R' D'
U2 R B' D' U' R' D2
U2 R B' D' F U' R'
U2 R B' D' F' U' R'
U2 R B' D' F2 U' R'
U2 R B' D2 U' R' D
U2 R B' D2 U' R' D'
U2 R B' D2 U' R' D2
U2 R B' D2 F U' R'
U2 R B' D2 F' U' R'
U2 R B' D2 F2 U' R'
U2 R B' F U' R' D
U2 R B' F U' R' D'
U2 R B' F U' R' D2
U2 R B' F U' D R'
U2 R B' F U' D' R'
U2 R B' F U' D2 R'
U2 R B' F D U' R'
U2 R B' F D' U' R'
U2 R B' F D2 U' R'
U2 R B' F' U' R' D
U2 R B' F' U' R' D'
U2 R B' F' U' R' D2
U2 R B' F' U' D R'
U2 R B' F' U' D' R'
U2 R B' F' U' D2 R'
U2 R B' F' D U' R'
U2 R B' F' D' U' R'
U2 R B' F' D2 U' R'
U2 R B' F2 U' R' D
U2 R B' F2 U' R' D'
U2 R B' F2 U' R' D2
U2 R B' F2 U' D R'
U2 R B' F2 U' D' R'
U2 R B' F2 U' D2 R'
U2 R B' F2 D U' R'
U2 R B' F2 D' U' R'
U2 R B' F2 D2 U' R'
B R B2 L F U' R
U R B' F' U' F R
B R B2 F L U' R
U R' U R2 B' U' R'
U' R' U' F' R2 B' U'
U' R' U' F' B' R2 U'
U R' U B' R2 U' R
