D L' F2 R B U B
D2 L2 R B U F2 L'
D2 R L2 B U F2 L'
D2 R B L2 U F2 L'
B2 R' U' F' R' U' L2
B' R' F' R' U' L2 F
B R' F' R' U' L2 F'
B R' F' R' U' F' L2
B R2 U' L2 D' F' R
B R2 D' B2 U' F' R
U' R2 B' U' L2 R' F
U' R2 B' U' L2 F R'
U' R2 B' U' R' L2 F
U2 R2 B' U' L2 F R
B' U L2 D F R B2
B' U L2 D F B2 R
B' U L2 D B2 F R
B' U L2 F D R B2
B' U L2 F D B2 R
R' D' F' R' B2 L U'
B2 U' R2 B' U' L2 R'
B2 U' R2 B' U' R' L2
B2 U' B' R2 U' L2 R
B2 U' B' R2 U' R L2
B' U2 R2 U' L2 F R
D F L2 B' U' B' R'
R' F' R' U B2 U2 L2
R' F' R' U' L2 D2 F2
R' F' R' B' U' L2 F
R' F' D' R' B2 L U'
U' B' L2 D R' F B2
U' B' L2 D R' B2 F
U' B' L2 D F R' B2
U' B' L2 F D R' B2
U B' L2 D F R B2
U B' L2 D F B2 R
U B' L2 D B2 F R
U B' L2 F D R B2
U B' L2 F D B2 R
U' B' R2 U' L2 R F
U' B' R2 U' R L2 F
U2 B' R2 U' L2 F R
L B2 R' U' F' R' U'
