R' B2 U B L U'
L R U' F R2 B2 L
R L U' F R2 B2 L
U' L U' R' F' L' B2
U' L U' R' F' B2 L'
U' L U' R' B2 F' L'
B' L' U B' L U2 B'
U2 L2 R' F' B2 D' L2
U2 L2 R' B2 F' D' L2
U' L2 F R U R2 B2
U' L2 F R U B2 R2
U L2 F U R' F' B2
U L2 F U R' B2 F'
L U R' F B L B
L U R' B F L B
L U R' B2 D2 F L'
L U F R' B L B
R' U B L B2 U' B'
R' U B' U2 R' U B'
R' U' L2 F R U B2
L U' R F R2 B2 L
L U' R' F' L' F2 B2
L U' R' F' L' B2 F2
L U' R' F' B2 L' F2
L U' R' B2 F' L' F2
R' U' D L2 F R U
L U' F R' B2 D2 L2
L U' F R2 B2 L R
L U' F R2 B2 R L
U2 R' L2 F' B2 D' L2
L U' F' L' R' F2 B2
L U' F' L' R' B2 F2
U2 R' L2 B2 F' D' L2
L U' F' L' F2 R' B2
L U' F' R' L' F2 B2
L U' F' R' L' B2 F2
L U' F' R' B2 L' F2
U2 R' U B' U' F' B'
U2 R' U B' U' B' F'
D R' U' L2 F R U
U2 R' F' U B' U' B'
U2 R' F' B D L2 B
U2 R' F' B D B L2
U2 R' F' B2 U B U'
U2 R' B D L2 F' B
U2 R' B D L2 B F'
U2 R' B D F' L2 B
L U2 R' F B2 D' L2
U2 R' B D F' B L2
U2 R' B D B L2 F'
U2 R' B D B F' L2
U2 R' B F' D L2 B
U2 R' B F' D B L2
L U2 R' B2 F D' L2
F' R' B2 U B L U'
F2 R' B2 U B L U'
U2 R' B2 U B U' F'
U2 R' B2 F' U B U'
F R' B2 U B L U'
L' D L2 U R' F L'
L' D L2 U F L' R'
L' D L2 U F R' L'
D' R2 B' L U' R F
U2 R2 B' U' R F' B'
U2 R2 B' U' R B' F'
U2 R2 B' U' B' R F'
R' D U' L2 F R U
U' D L2 F R U R2
D U L2 F U R' F'
U D L2 F U R' F'
D U' L2 F R U R2
U2 D' R2 B' U' R F'
B2 U2 L U' B L U'
D' U2 R2 B' U' R F'
L2 F L' U R' F B2
L2 F L' U R' B2 F
L2 F L' U F R' B2
R' F B2 U B L U'
R' F' B2 U B L U'
B D' B' R' B2 L F
L F2 U' F' L' R' B2
L F2 U' F' R' L' B2
L F2 U' F' R' B2 L'
R' F2 B2 U B L U'
R' B L D F L2 B
R' B L D F B L2
R' B L D B F L2
R' B L F D L2 B
R' B L F D B L2
R' B L' D L2 F B
R' B L' D L2 B F
R' B D L F L B
R' B D B L F L
U' B' U' B R' F' B2
U' B' U' B R' B2 F'
R' B2 L U B U' F
R' B2 L F U B U'
R2 B2 L R D' F L'
R B2 L R2 F D' L2
R2 B2 R L D' F L'
R2 B2 R D' L F L'
R' B2 U L B L U'
R' B2 U L' B L U'
R' B2 U L2 B L U'
R' B2 U D B L U'
R' B2 U D' B L U'
R' B2 U D2 B L U'
R' B2 U B L U' D
R' B2 U B L U' D'
R' B2 U B L U' D2
R' B2 U B L D U'
R' B2 U B L D' U'
R' B2 U B L D2 U'
R' B2 U B D L U'
R' B2 U B D' L U'
R' B2 U B D2 L U'
R B2 R2 L F D' L2
R2 B2 U B L U' R
R' B2 D U B L U'
R B2 U B L U' R2
R' B2 D' U B L U'
R' B2 D2 U B L U'
R' B2 F U B L U'
R' B2 F' U B L U'
R' B2 F2 U B L U'
