F' L R D B' L2
B2 L U' F' R B'
B2 L U' F' B' R
B2 L U' B' F' R
F' L D R B' L2
F' L D B' L2 R
F' L D B' R L2
F' L' R D L2 B'
F' L' D L2 R B'
F' L' D L2 B' R
F' L' D R L2 B'
F' R L D B' L2
F' R L' D L2 B'
L F' R D B' L2
L F' D R B' L2
L F' D B' L2 R
L F' D B' R L2
L B2 U' F' B R
L B2 U' B F' R
F' L R U B2 U' B
F' L R D B L2 B2
F' L R D B' L2 D
F' L R D B' L2 D'
F' L R D B' L2 D2
F' L R D B2 L2 B
F' L R D' B' D2 L2
F' L R D2 B' D' L2
F' L R B' U B' U'
F' L R2 D R' B' L2
F' L U B2 U' B R
B' L U' F' R B' L'
B' L U' F' B' L' R
B' L U' F' B' R L'
B2 L U' F' R D B'
B2 L U' F' R D' B'
B2 L U' F' R D2 B'
B2 L U' F' R B' D
B2 L U' F' R B' D'
B2 L U' F' R B' D2
B2 L U' F' R' B' R2
B2 L U' F' D R B'
B2 L U' F' D B' R
B2 L U' F' D' R B'
B2 L U' F' D' B' R
B2 L U' F' D2 R B'
B2 L U' F' D2 B' R
B2 L U' F' B R B2
B2 L U' F' B' R D
B2 L U' F' B' R D'
B2 L U' F' B' R D2
B2 L U' F' B' D R
B2 L U' F' B' D' R
B2 L U' F' B' D2 R
B' L U' B' F' L' R
B' L U' B' F' R L'
B2 L U' B F' R B2
B2 L U' B' F' R D
B2 L U' B' F' R D'
B2 L U' B' F' R D2
B2 L U' B' F' D R
B2 L U' B' F' D' R
B2 L U' B' F' D2 R
F' L D R B L2 B2
F' L D R B' L2 D
F' L D R B' L2 D'
F' L D R B' L2 D2
F' L D R B2 L2 B
F' L D R' B' L2 R2
F' L D R' B' R2 L2
F' L D B L2 R B2
F' L D B L2 B2 R
F' L D B R L2 B2
F' L D B R B2 L2
F' L D B' L2 R D
F' L D B' L2 R D'
F' L D B' L2 R D2
F' L D B' L2 D R
F' L D B' L2 D' R
F' L D B' L2 D2 R
F' L D B' R L2 D
F' L D B' R L2 D'
F' L D B' R L2 D2
F' L D B2 L2 B R
D L D' L F' R B'
D L D' L F' B' R
D L D' L B' F' R
D L D' F' L R B'
D L D' F' L B' R
D L D' F' R L B'
F' L D' B' D2 L2 R
F' L D' B' D2 R L2
F' L D2 R D' B' L2
F' L D2 R B' D' L2
F' L D2 B' R D' L2
F' L D2 B' D' L2 R
F' L D2 B' D' R L2
B2 L F U' F2 R B'
B2 L F U' F2 B' R
B2 L F U' B' F2 R
U2 L F' R D B' L2
U' L F' R D B' L2
B L F' R D B' L
U L F' R D B' L2
U2 L F' D R B' L2
U' L F' D R B' L2
U2 L F' D B' L2 R
U2 L F' D B' R L2
U' L F' D B' L2 R
U' L F' D B' R L2
U L F' D R B' L2
U L F' D B' L2 R
U L F' D B' R L2
B L F' B' R D L2
B L F' B' D L2 R
B L F' B' D R L2
B L B U' F' R B2
B L B U' F' B2 R
B L B U' B2 F' R
F' L B' R U B' U'
F' L B' U B' U' R
B L B' F' R D L2
B L B' F' D L2 R
B L B' F' D R L2
U' L B2 U' F' B R
U' L B2 U' B F' R
U2 L B2 U' F' B R
U2 L B2 U' B F' R
U L B2 U' F' B R
U L B2 U' B F' R
F' L' R D L2 D B'
F' L' R D L2 D' B'
F' L' R D L2 D2 B'
F' L' R D L2 B' D
F' L' R D L2 B' D'
F' L' R D L2 B' D2
F' L' R D B L2 B'
F' L' R D B' L2 B'
F' L' R D B2 L2 B'
F' L' R2 D L2 R' B'
F' L' R2 D R' L2 B'
B2 L' U F L' U2 F2
B2 L' U F U2 F2 R
B2 L' U' F' R D2 B2
B2 L' U' F' D2 R B2
B2 L' U' F' D2 B2 R
F' L' D L2 R D B'
F' L' D L2 R D' B'
F' L' D L2 R D2 B'
F' L' D L2 R B' D
F' L' D L2 R B' D'
F' L' D L2 R B' D2
F' L' D L2 R' B' R2
F' L' D L2 D R B'
F' L' D L2 D B' R
F' L' D L2 D' R B'
F' L' D L2 D' B' R
F' L' D L2 D2 R B'
F' L' D L2 D2 B' R
F' L' D L2 B R B2
F' L' D L2 B' R D
F' L' D L2 B' R D'
F' L' D L2 B' R D2
F' L' D L2 B' D R
F' L' D L2 B' D' R
F' L' D L2 B' D2 R
F' L' D R L2 D B'
F' L' D R L2 D' B'
F' L' D R L2 D2 B'
F' L' D R L2 B' D
F' L' D R L2 B' D'
F' L' D R L2 B' D2
F' L' D R B L2 B'
F' L' D R B' L2 B'
F' L' D R B2 L2 B'
F' L' D R' L2 B' R2
F' L' D B L2 R B'
F' L' D B L2 B' R
F' L' D B R L2 B'
F' L' D B' L2 R B'
F' L' D B' L2 B' R
F' L' D B' R L2 B'
F' L' D B2 L2 R B'
F' L' D B2 L2 B' R
F' L' D B2 R L2 B'
F' L' D2 R D' L2 B'
F L' F U' B2 U' F
F L' F U2 D F L2
F L' F U2 F D L2
F L' F D U2 F L2
F L' F D' R2 U2 F
F' L2 R D L' B' L'
F' L2 D L' R B' L'
F' L2 D L' B' L' R
F' L2 D L' B' R L'
F' L2 D R L' B' L'
D L2 D F' R' B R'
D L2 D F' B R' B
D L2 D B F' R' B
D L2 F' U R F' U'
F' R L U B2 U' B
F' R L D B L2 B2
F' R L D B' L2 D
F' R L D B' L2 D'
F' R L D B' L2 D2
F' R L D B2 L2 B
F' R L D' B' D2 L2
F' R L D2 B' D' L2
F' R L B' U B' U'
F' R L' D L2 D B'
F' R L' D L2 D' B'
F' R L' D L2 D2 B'
F' R L' D L2 B' D
F' R L' D L2 B' D'
F' R L' D L2 B' D2
F' R L' D B L2 B'
F' R L' D B' L2 B'
F' R L' D B2 L2 B'
F' R L2 D L' B' L'
L U F' R D B' L2
L U F' D R B' L2
L U F' D B' L2 R
L U F' D B' R L2
F' R D L D' L B'
L U B2 U' F' B R
L U B2 U' B F' R
F' R B L B' D L2
L U' F' R D B' L2
L U' F' D R B' L2
L U' F' D B' L2 R
L U' F' D B' R L2
L2 U' B2 U' F' R B
L U' B2 U' F' B R
L U' B2 U' B F' R
F' R2 L D R' B' L2
F' R2 L' D L2 R' B'
F' R2 L' D R' L2 B'
L2 U2 F' R D L2 B
L2 U2 F' R D B L2
L2 U2 F' D L2 R B
L2 U2 F' D R L2 B
L2 U2 F' D R B L2
L U2 F' R D B' L2
L U2 F' D R B' L2
L U2 F' D B' L2 R
L U2 F' D B' R L2
F' R2 D L2 D R' B
D' R2 D' B U2 R' B
L U2 B2 U' F' B R
L U2 B2 U' B F' R
F' R2 D2 R' D' L2 B
F' R2 D2 R' D' B L2
F' R2 D2 R' B D' L2
L' D L2 D' F' R B'
L' D L2 D' F' B' R
L' D L2 D' B' F' R
L' D L2 B' D' F' R
B2 U L U2 F' R B'
B2 U L U2 F' B' R
B2 U L U2 B' F' R
B2 U L' F L' U2 F2
B2 U L' F U2 F2 R
B2 U L2 U2 F' R B
L D B' L2 D' F' R
B2 U F L' F U2 F
B2 U F' R B2 L B'
B2 U' L B' L' F' R
B2 U' D2 F' R' B R'
B2 U' D2 F' B R' B
B2 U' D2 B F' R' B
B2 U' F' L R B' L'
B2 U' F' L B' L' R
B2 U' F' L B' R L'
B2 U' F' R L B' L'
B2 U' F' R2 D2 R' B
B2 U' F' D2 R' B R2
B2 U2 L U F' R B'
B2 U2 L U F' B' R
