B' R U' D R2 F'
B' R D U' R2 F'
B' R F2 U B U2
B' R' F2 R2 U' F
R' F2 R2 B' U' F
R' F2 B' R2 U' F
R F2 B' U B2 U2
R F2 B' U' D2 F2
R F2 B' D L2 U'
R F2 B' D2 U' F2
R B' D L2 U' R2
R' B' F2 R2 U' F
R B' F2 U B2 U2
R B' F2 U' D2 F2
R B' F2 D L2 U'
R B' F2 D2 U' F2
B' L R U' D R2 F'
B' L R D U' R2 F'
B' L R F2 U B U2
U2 L R F2 U' F' L'
B' L R' F2 R2 U' F
L R U' D R2 F' L'
R L U' D R2 F' L'
L R D U' R2 F' L'
R L D U' R2 F' L'
L R F2 U B U2 L
R L F2 U B U2 L
B' L' R U' D R2 F'
B' L' R D U' R2 F'
B' L' R F2 U B U2
R' L' D F' R2 B2 L
L' R' D F' R2 B2 L
B' L' R' F2 R2 U' F
L2 R' F2 R2 B U' F
B' L2 R U' D R2 F'
B' L2 R D U' R2 F'
B' L2 R F2 U B U2
B' L2 R' F2 R2 U' F
R' L2 F2 R2 B U' F
F2 L2 U2 F L U F
B' R L U' D R2 F'
B' R L D U' R2 F'
B' R L F2 U B U2
U2 R L F2 U' F' L'
B' R L' U' D R2 F'
B' R L' D U' R2 F'
B' R L' F2 U B U2
B' R L2 U' D R2 F'
B' R L2 D U' R2 F'
B' R L2 F2 U B U2
B' R U D B U2 R2
B' R U D' L2 B U2
B' R U D' B L2 U2
R' U F2 R2 B' U' F
B' R U B U' F2 U'
B' R U B U2 D R2
B' R U B D U2 R2
B' R U B D' L2 U2
R' U F2 B' R2 U' F
B' R U' R2 D F' R2
B' R U' D R2 D F'
B' R U' D R2 D' F'
B' R U' D R2 D2 F'
B' R U' D R2 F' D
B' R U' D R2 F' D'
B' R U' D R2 F' D2
B' R U' D F R2 F'
B' R U' D F' R2 F'
B' R U' D F2 R2 F'
B R U' D L2 R2 F'
B R U' D R2 L2 F'
B R U' D R2 F' L2
R U B U' F2 B2 U'
R U B U' B2 F2 U'
R U B U2 D L2 R2
R U B U2 D R2 L2
R U B D U2 L2 R2
R U B D U2 R2 L2
R U B D' L2 R2 U2
R U B D' R2 L2 U2
B' R D L U' R2 F'
B' R D L' U' R2 F'
B' R D L2 U' R2 F'
R' U B' F2 R2 U' F
B' R D U B U2 R2
B' R D U' R2 D F'
B' R D U' R2 D' F'
B' R D U' R2 D2 F'
B' R D U' R2 F' D
B' R D U' R2 F' D'
B' R D U' R2 F' D2
B' R D U' F R2 F'
B' R D U' F' R2 F'
B' R D U' F2 R2 F'
B' R D F U' R2 F'
B' R D F' U' R2 F'
B' R D F2 U' R2 F'
B R D U' L2 R2 F'
B R D U' R2 L2 F'
B R D U' R2 F' L2
B' R D' U L2 B U2
B' R D' U B L2 U2
B' R F2 L U B U2
B' R F2 L' U B U2
B' R F2 L2 U B U2
B' R F2 U D B U2
B' R F2 U D' B U2
B' R F2 U D2 B U2
B' R F2 U B U2 D
B' R F2 U B U2 D'
B' R F2 U B U2 D2
B' R F2 U B D U2
B' R F2 U B D' U2
B' R F2 U B D2 U2
B' R F2 U' R2 F' R2
B' R F2 U2 R2 U F'
B' R F2 D U B U2
B' R F2 D' U B U2
U R F' B' L' F' U'
B' R F2 D2 U B U2
U' R F2 B L B2 U'
U' R F2 B' U2 R' U
U' R B L F2 B2 U'
U' R B L B2 F2 U'
U2 R F2 B' L U' F
